rank	against	contig	start	end	n_genes	n_families	n_paralog_hits	n_query_genes_hit	carries_family_gene	hit_symbols
13	RYR2	NC_000002.12	159315312	169362534	41	3	3	3	no	B3GALT1;LRP2;RBMS1
14	RYR2	NC_000004.12	141636583	152979671	41	3	3	3	no	FBXW7;FHDC1;LRBA
15	RYR2	NC_000006.12	99271161	109465968	41	3	3	3	no	MICAL1;PDSS2;PRDM1
16	RYR2	NC_000011.10	45804079	47767341	41	3	3	3	no	CHRM4;FNBP4;LRP4
17	RYR2	NC_000011.10	62296281	63516772	41	3	3	3	no	CHRM1;GNG3;LGALS12
18	RYR2	NC_000014.9	69398384	73963670	41	3	3	3	no	COQ6;RGS6;ZNF410
19	RYR2	NC_000018.10	34493312	48412585	41	3	3	3	no	DTNA;FHOD3;ZBTB7C
20	RYR2	NC_000019.10	10289952	11505839	41	3	3	3	no	ELAVL3;LDLR;ZNF653
21	RYR2	NC_000005.10	168291645	175710756	41	3	3	2	no	DRD1;FBXW11;HRH2
22	RYR2	NC_000006.12	49834257	57170305	41	3	3	2	no	DST;PKHD1;ZNF451
23	RYR2	NC_000011.10	65879837	66744682	41	3	3	2	no	ACTN3;RBM14;SPTBN2
24	RYR2	NC_000019.10	36817428	38812945	41	2	4	2	yes	ACTN4;LGALS4;LGALS7;LGALS7B
25	RYR2	NC_000023.11	23334396	37011664	41	2	4	2	no	DMD;FAM47A;FAM47B;FAM47C
1	RYR3	NC_000015.10	21846329	30414260	41	5	11	8	no	CHRFAM7A;GABRA5;GABRB3;GABRG3;GOLGA8F;GOLGA8G;GOLGA8J;GOLGA8M;GOLGA8R;GOLGA8S;GOLGA8T
2	RYR3	NC_000004.12	38664199	47426447	41	5	6	2	no	CHRNA9;GABRA2;GABRA4;GABRB1;GABRG1;KLF3
3	RYR3	NC_000023.11	143025928	152658965	41	5	5	2	no	GABRA3;GABRE;GABRQ;MTM1;MTMR1
4	RYR3	NC_000005.10	157670941	170814047	41	4	5	1	no	GABRA1;GABRA6;GABRB2;GABRG2;GABRP
5	RYR3	NC_000015.10	75198889	78661641	41	3	5	8	no	CHRNA3;CHRNA5;CHRNB4;GOLGA6C;GOLGA6D
6	RYR3	NC_000002.12	169127109	174764472	41	3	5	3	no	CHRNA1;DLX1;DLX2;SP5;SP9
7	RYR3	NC_000001.11	146938324	150067653	41	3	4	3	no	GJA5;GJA8;MTMR11;OTUD7B
8	RYR3	NC_000001.11	237004103	247331867	41	3	3	3	yes	CHRM3;GREM2;ZNF496
9	RYR3	NC_000006.12	135283532	144064599	41	3	3	3	no	GJE1;PLAGL1;TNFAIP3
10	RYR3	NC_000020.11	35668052	38772520	41	3	3	3	no	ACTR5;SCAND1;TGIF2
11	RYR3	NC_000020.11	59936663	63574239	41	3	3	3	no	CHRNA4;HELZ2;HRH3
12	RYR3	NC_000006.12	83193357	89896120	41	3	4	2	no	GABRR1;GABRR2;GJA10;GJB7
13	RYR3	NC_000013.11	19173772	26223085	41	3	4	2	no	GJA3;GJB2;GJB6;MTMR6
14	RYR3	NC_000002.12	231453531	234019522	41	3	3	2	no	CHRND;CHRNG;TRPM8
15	RYR3	NC_000008.11	37934281	42768786	41	3	3	2	no	CHRNA6;CHRNB3;GPAT4
16	RYR3	NC_000019.10	55528611	56840726	41	3	5	1	no	PEG3;ZNF444;ZSCAN5A;ZSCAN5B;ZSCAN5C
17	RYR3	NC_000009.12	125146573	128276007	41	2	2	8	no	GOLGA2;PBX3
18	RYR3	NC_000003.12	172443291	184106995	41	2	4	2	no	ACTL6A;HTR3C;HTR3D;HTR3E
19	RYR3	NC_000007.14	96481626	99930747	41	2	3	2	no	DLX5;DLX6;GJC3
20	RYR3	NC_000009.12	61002335	74887921	41	2	3	2	no	KLF9;TRPM3;TRPM6
21	RYR3	NC_000009.12	99821885	108863756	41	2	3	2	no	ACTL7A;ACTL7B;KLF4
22	RYR3	NC_000010.11	80407829	88991337	41	2	3	2	no	ACTA2;NUTM2A;NUTM2D
23	RYR3	NC_000001.11	1331280	3022903	41	2	2	2	no	ACTRT2;GABRD
24	RYR3	NC_000001.11	16022036	19658452	41	2	2	2	no	ACTL8;NBL1
25	RYR3	NC_000001.11	161707229	168137667	41	2	2	2	no	GPR161;PBX1
