accession	organism	vclass	window_a	window_b	n_mapped_a	n_mapped_b	n_links
GCA_013397465.1	Furnarius figulus	Aves	ctrl0	ctrl1	16	15	0
GCA_013397465.1	Furnarius figulus	Aves	ctrl0	ctrl2	16	17	0
GCA_013397465.1	Furnarius figulus	Aves	ctrl0	ctrl3	16	17	0
GCA_013397465.1	Furnarius figulus	Aves	ctrl1	ctrl2	15	17	0
GCA_013397465.1	Furnarius figulus	Aves	ctrl1	ctrl3	15	17	0
GCA_013397465.1	Furnarius figulus	Aves	ctrl2	ctrl3	17	17	0
GCA_013397535.1	Pterocles burchelli	Aves	ctrl0	ctrl1	20	15	0
GCA_013397535.1	Pterocles burchelli	Aves	ctrl0	ctrl2	20	12	0
GCA_013397535.1	Pterocles burchelli	Aves	ctrl0	ctrl3	20	12	0
GCA_013397535.1	Pterocles burchelli	Aves	ctrl1	ctrl2	15	12	0
GCA_013397535.1	Pterocles burchelli	Aves	ctrl1	ctrl3	15	12	0
GCA_013397535.1	Pterocles burchelli	Aves	ctrl2	ctrl3	12	12	0
GCA_013397895.1	Origma solitaria	Aves	ctrl0	ctrl1	19	18	0
GCA_013397895.1	Origma solitaria	Aves	ctrl0	ctrl2	19	19	0
GCA_013397895.1	Origma solitaria	Aves	ctrl0	ctrl3	19	15	0
GCA_013397895.1	Origma solitaria	Aves	ctrl1	ctrl2	18	19	0
GCA_013397895.1	Origma solitaria	Aves	ctrl1	ctrl3	18	15	0
GCA_013397895.1	Origma solitaria	Aves	ctrl2	ctrl3	19	15	0
GCA_013397955.1	Grantiella picta	Aves	ctrl0	ctrl1	16	16	0
GCA_013397955.1	Grantiella picta	Aves	ctrl0	ctrl2	16	13	0
GCA_013397955.1	Grantiella picta	Aves	ctrl0	ctrl3	16	14	0
GCA_013397955.1	Grantiella picta	Aves	ctrl1	ctrl2	16	13	0
GCA_013397955.1	Grantiella picta	Aves	ctrl1	ctrl3	16	14	0
GCA_013397955.1	Grantiella picta	Aves	ctrl2	ctrl3	13	14	0
GCA_013398125.1	Aegotheles bennettii	Aves	ctrl0	ctrl1	18	17	0
GCA_013398125.1	Aegotheles bennettii	Aves	ctrl0	ctrl2	18	14	0
GCA_013398125.1	Aegotheles bennettii	Aves	ctrl0	ctrl3	18	18	0
GCA_013398125.1	Aegotheles bennettii	Aves	ctrl1	ctrl2	17	14	0
GCA_013398125.1	Aegotheles bennettii	Aves	ctrl1	ctrl3	17	18	0
GCA_013398125.1	Aegotheles bennettii	Aves	ctrl2	ctrl3	14	18	0
GCA_013398175.1	Climacteris rufus	Aves	ctrl0	ctrl1	17	11	0
GCA_013398175.1	Climacteris rufus	Aves	ctrl0	ctrl2	17	18	0
GCA_013398175.1	Climacteris rufus	Aves	ctrl0	ctrl3	17	10	0
GCA_013398175.1	Climacteris rufus	Aves	ctrl1	ctrl2	11	18	0
GCA_013398175.1	Climacteris rufus	Aves	ctrl1	ctrl3	11	10	0
GCA_013398175.1	Climacteris rufus	Aves	ctrl2	ctrl3	18	10	0
GCA_013398455.1	Loxia curvirostra	Aves	ctrl0	ctrl1	15	18	0
GCA_013398455.1	Loxia curvirostra	Aves	ctrl0	ctrl2	15	15	0
GCA_013398455.1	Loxia curvirostra	Aves	ctrl0	ctrl3	15	11	0
GCA_013398455.1	Loxia curvirostra	Aves	ctrl1	ctrl2	18	15	0
GCA_013398455.1	Loxia curvirostra	Aves	ctrl1	ctrl3	18	11	0
GCA_013398455.1	Loxia curvirostra	Aves	ctrl2	ctrl3	15	11	0
GCA_013398615.1	Brachypodius melanocephalos	Aves	ctrl0	ctrl1	13	16	0
GCA_013398615.1	Brachypodius melanocephalos	Aves	ctrl0	ctrl2	13	14	0
GCA_013398615.1	Brachypodius melanocephalos	Aves	ctrl0	ctrl3	13	15	0
GCA_013398615.1	Brachypodius melanocephalos	Aves	ctrl1	ctrl2	16	14	0
GCA_013398615.1	Brachypodius melanocephalos	Aves	ctrl1	ctrl3	16	15	0
GCA_013398615.1	Brachypodius melanocephalos	Aves	ctrl2	ctrl3	14	15	0
GCA_013398795.1	Elachura formosa	Aves	ctrl0	ctrl1	13	16	0
GCA_013398795.1	Elachura formosa	Aves	ctrl0	ctrl2	13	14	0
GCA_013398795.1	Elachura formosa	Aves	ctrl0	ctrl3	13	14	0
GCA_013398795.1	Elachura formosa	Aves	ctrl1	ctrl2	16	14	0
GCA_013398795.1	Elachura formosa	Aves	ctrl1	ctrl3	16	14	0
GCA_013398795.1	Elachura formosa	Aves	ctrl2	ctrl3	14	14	0
GCA_013399305.1	Rostratula benghalensis	Aves	ctrl0	ctrl1	12	17	0
GCA_013399305.1	Rostratula benghalensis	Aves	ctrl0	ctrl2	12	14	0
GCA_013399305.1	Rostratula benghalensis	Aves	ctrl0	ctrl3	12	15	0
GCA_013399305.1	Rostratula benghalensis	Aves	ctrl1	ctrl2	17	14	1
GCA_013399305.1	Rostratula benghalensis	Aves	ctrl1	ctrl3	17	15	0
GCA_013399305.1	Rostratula benghalensis	Aves	ctrl2	ctrl3	14	15	0
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ctrl0	ctrl1	17	16	0
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ctrl0	ctrl2	17	16	0
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ctrl0	ctrl3	17	6	0
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ctrl1	ctrl2	16	16	0
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ctrl1	ctrl3	16	6	0
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ctrl2	ctrl3	16	6	0
GCA_013399495.1	Corythaixoides concolor	Aves	ctrl0	ctrl1	17	12	0
GCA_013399495.1	Corythaixoides concolor	Aves	ctrl0	ctrl2	17	18	0
GCA_013399495.1	Corythaixoides concolor	Aves	ctrl0	ctrl3	17	16	0
GCA_013399495.1	Corythaixoides concolor	Aves	ctrl1	ctrl2	12	18	0
GCA_013399495.1	Corythaixoides concolor	Aves	ctrl1	ctrl3	12	16	0
GCA_013399495.1	Corythaixoides concolor	Aves	ctrl2	ctrl3	18	16	0
GCA_013399565.1	Podilymbus podiceps	Aves	ctrl0	ctrl1	10	15	0
GCA_013399565.1	Podilymbus podiceps	Aves	ctrl0	ctrl2	10	18	0
GCA_013399565.1	Podilymbus podiceps	Aves	ctrl0	ctrl3	10	14	0
GCA_013399565.1	Podilymbus podiceps	Aves	ctrl1	ctrl2	15	18	0
GCA_013399565.1	Podilymbus podiceps	Aves	ctrl1	ctrl3	15	14	0
GCA_013399565.1	Podilymbus podiceps	Aves	ctrl2	ctrl3	18	14	0
GCA_013399735.1	Tyrannus savana	Aves	ctrl0	ctrl1	15	17	0
GCA_013399735.1	Tyrannus savana	Aves	ctrl0	ctrl2	15	12	0
GCA_013399735.1	Tyrannus savana	Aves	ctrl0	ctrl3	15	19	0
GCA_013399735.1	Tyrannus savana	Aves	ctrl1	ctrl2	17	12	0
GCA_013399735.1	Tyrannus savana	Aves	ctrl1	ctrl3	17	19	0
GCA_013399735.1	Tyrannus savana	Aves	ctrl2	ctrl3	12	19	0
GCA_013399795.1	Zosterops hypoxanthus	Aves	ctrl0	ctrl1	14	15	0
GCA_013399795.1	Zosterops hypoxanthus	Aves	ctrl0	ctrl2	14	14	0
GCA_013399795.1	Zosterops hypoxanthus	Aves	ctrl0	ctrl3	14	12	0
GCA_013399795.1	Zosterops hypoxanthus	Aves	ctrl1	ctrl2	15	14	0
GCA_013399795.1	Zosterops hypoxanthus	Aves	ctrl1	ctrl3	15	12	0
GCA_013399795.1	Zosterops hypoxanthus	Aves	ctrl2	ctrl3	14	12	0
GCA_013399855.1	Oxyruncus cristatus	Aves	ctrl0	ctrl1	16	16	0
GCA_013399855.1	Oxyruncus cristatus	Aves	ctrl0	ctrl2	16	15	0
GCA_013399855.1	Oxyruncus cristatus	Aves	ctrl0	ctrl3	16	13	0
GCA_013399855.1	Oxyruncus cristatus	Aves	ctrl1	ctrl2	16	15	0
GCA_013399855.1	Oxyruncus cristatus	Aves	ctrl1	ctrl3	16	13	0
GCA_013399855.1	Oxyruncus cristatus	Aves	ctrl2	ctrl3	15	13	0
GCA_013399895.1	Serilophus lunatus	Aves	ctrl0	ctrl1	18	11	0
GCA_013399895.1	Serilophus lunatus	Aves	ctrl0	ctrl2	18	16	0
GCA_013399895.1	Serilophus lunatus	Aves	ctrl0	ctrl3	18	15	0
GCA_013399895.1	Serilophus lunatus	Aves	ctrl1	ctrl2	11	16	0
GCA_013399895.1	Serilophus lunatus	Aves	ctrl1	ctrl3	11	15	0
GCA_013399895.1	Serilophus lunatus	Aves	ctrl2	ctrl3	16	15	0
GCA_013400195.1	Aramus guarauna	Aves	ctrl0	ctrl1	15	18	0
GCA_013400195.1	Aramus guarauna	Aves	ctrl0	ctrl2	15	16	0
GCA_013400195.1	Aramus guarauna	Aves	ctrl0	ctrl3	15	18	0
GCA_013400195.1	Aramus guarauna	Aves	ctrl1	ctrl2	18	16	0
GCA_013400195.1	Aramus guarauna	Aves	ctrl1	ctrl3	18	18	0
GCA_013400195.1	Aramus guarauna	Aves	ctrl2	ctrl3	16	18	0
GCA_013400215.1	Cisticola juncidis	Aves	ctrl0	ctrl1	16	19	0
GCA_013400215.1	Cisticola juncidis	Aves	ctrl0	ctrl2	16	13	0
GCA_013400215.1	Cisticola juncidis	Aves	ctrl0	ctrl3	16	17	0
GCA_013400215.1	Cisticola juncidis	Aves	ctrl1	ctrl2	19	13	0
GCA_013400215.1	Cisticola juncidis	Aves	ctrl1	ctrl3	19	17	0
GCA_013400215.1	Cisticola juncidis	Aves	ctrl2	ctrl3	13	17	0
GCA_013400415.1	Scytalopus superciliaris	Aves	ctrl0	ctrl1	13	19	0
GCA_013400415.1	Scytalopus superciliaris	Aves	ctrl0	ctrl2	13	11	0
GCA_013400415.1	Scytalopus superciliaris	Aves	ctrl0	ctrl3	13	17	0
GCA_013400415.1	Scytalopus superciliaris	Aves	ctrl1	ctrl2	19	11	0
GCA_013400415.1	Scytalopus superciliaris	Aves	ctrl1	ctrl3	19	17	0
GCA_013400415.1	Scytalopus superciliaris	Aves	ctrl2	ctrl3	11	17	0
GCA_013400445.1	Leiothrix lutea	Aves	ctrl0	ctrl1	12	18	0
GCA_013400445.1	Leiothrix lutea	Aves	ctrl0	ctrl2	12	14	0
GCA_013400445.1	Leiothrix lutea	Aves	ctrl0	ctrl3	12	14	0
GCA_013400445.1	Leiothrix lutea	Aves	ctrl1	ctrl2	18	14	0
GCA_013400445.1	Leiothrix lutea	Aves	ctrl1	ctrl3	18	14	0
GCA_013400445.1	Leiothrix lutea	Aves	ctrl2	ctrl3	14	14	0
GCA_013400585.1	Chloropsis cyanopogon	Aves	ctrl0	ctrl1	15	18	0
GCA_013400585.1	Chloropsis cyanopogon	Aves	ctrl0	ctrl2	15	17	0
GCA_013400585.1	Chloropsis cyanopogon	Aves	ctrl0	ctrl3	15	13	0
GCA_013400585.1	Chloropsis cyanopogon	Aves	ctrl1	ctrl2	18	17	0
GCA_013400585.1	Chloropsis cyanopogon	Aves	ctrl1	ctrl3	18	13	0
GCA_013400585.1	Chloropsis cyanopogon	Aves	ctrl2	ctrl3	17	13	0
GCA_013400815.1	Centropus bengalensis	Aves	ctrl0	ctrl1	14	15	0
GCA_013400815.1	Centropus bengalensis	Aves	ctrl0	ctrl2	14	13	1
GCA_013400815.1	Centropus bengalensis	Aves	ctrl0	ctrl3	14	17	0
GCA_013400815.1	Centropus bengalensis	Aves	ctrl1	ctrl2	15	13	0
GCA_013400815.1	Centropus bengalensis	Aves	ctrl1	ctrl3	15	17	0
GCA_013400815.1	Centropus bengalensis	Aves	ctrl2	ctrl3	13	17	0
GCA_014281875.1	Nibea albiflora	Actinopteri	ctrl0	ctrl1	6	14	0
GCA_014281875.1	Nibea albiflora	Actinopteri	ctrl0	ctrl2	6	15	0
GCA_014281875.1	Nibea albiflora	Actinopteri	ctrl0	ctrl3	6	9	0
GCA_014281875.1	Nibea albiflora	Actinopteri	ctrl1	ctrl2	14	15	0
GCA_014281875.1	Nibea albiflora	Actinopteri	ctrl1	ctrl3	14	9	0
GCA_014281875.1	Nibea albiflora	Actinopteri	ctrl2	ctrl3	15	9	0
GCA_014839755.1	Sylvia borin	Aves	ctrl0	ctrl1	17	16	0
GCA_014839755.1	Sylvia borin	Aves	ctrl0	ctrl2	17	9	0
GCA_014839755.1	Sylvia borin	Aves	ctrl0	ctrl3	17	20	0
GCA_014839755.1	Sylvia borin	Aves	ctrl1	ctrl2	16	9	0
GCA_014839755.1	Sylvia borin	Aves	ctrl1	ctrl3	16	20	0
GCA_014839755.1	Sylvia borin	Aves	ctrl2	ctrl3	9	20	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ctrl0	ctrl1	10	10	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ctrl0	ctrl2	10	13	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ctrl0	ctrl3	10	12	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ctrl1	ctrl2	10	13	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ctrl1	ctrl3	10	12	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ctrl2	ctrl3	13	12	0
GCA_028571685.1	Heterohyrax brucei	Mammalia	ctrl0	ctrl1	20	20	0
GCA_028571685.1	Heterohyrax brucei	Mammalia	ctrl0	ctrl2	20	18	0
GCA_028571685.1	Heterohyrax brucei	Mammalia	ctrl0	ctrl3	20	18	0
GCA_028571685.1	Heterohyrax brucei	Mammalia	ctrl1	ctrl2	20	18	0
GCA_028571685.1	Heterohyrax brucei	Mammalia	ctrl1	ctrl3	20	18	0
GCA_028571685.1	Heterohyrax brucei	Mammalia	ctrl2	ctrl3	18	18	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	ctrl0	ctrl1	13	11	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	ctrl0	ctrl2	13	14	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	ctrl1	ctrl2	11	14	0
GCA_054099775.1	Steatornis caripensis	Aves	ctrl1	ctrl2	18	20	0
GCA_054099775.1	Steatornis caripensis	Aves	ctrl1	ctrl3	18	15	0
GCA_054099775.1	Steatornis caripensis	Aves	ctrl2	ctrl3	20	15	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	ctrl0	ctrl1	11	12	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	ctrl0	ctrl2	11	8	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	ctrl0	ctrl3	11	6	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	ctrl1	ctrl2	12	8	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	ctrl1	ctrl3	12	6	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	ctrl2	ctrl3	8	6	0
GCF_000001405.40	Homo sapiens	Mammalia	ctrl0	ctrl1	17	18	0
GCF_000001405.40	Homo sapiens	Mammalia	ctrl0	ctrl2	17	20	0
GCF_000001405.40	Homo sapiens	Mammalia	ctrl0	ctrl3	17	20	0
GCF_000001405.40	Homo sapiens	Mammalia	ctrl1	ctrl2	18	20	0
GCF_000001405.40	Homo sapiens	Mammalia	ctrl1	ctrl3	18	20	0
GCF_000001405.40	Homo sapiens	Mammalia	ctrl2	ctrl3	20	20	0
GCF_000001635.27	Mus musculus	Mammalia	ctrl0	ctrl1	12	18	0
GCF_000001635.27	Mus musculus	Mammalia	ctrl0	ctrl2	12	19	0
GCF_000001635.27	Mus musculus	Mammalia	ctrl0	ctrl3	12	18	0
GCF_000001635.27	Mus musculus	Mammalia	ctrl1	ctrl2	18	19	0
GCF_000001635.27	Mus musculus	Mammalia	ctrl1	ctrl3	18	18	0
GCF_000001635.27	Mus musculus	Mammalia	ctrl2	ctrl3	19	18	0
GCF_000004195.4	Xenopus tropicalis	Amphibia	ctrl2	ctrl3	16	19	0
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	ctrl0	ctrl1	14	20	0
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	ctrl0	ctrl2	14	9	0
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	ctrl0	ctrl3	14	18	0
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	ctrl1	ctrl2	20	9	0
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	ctrl1	ctrl3	20	18	0
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	ctrl2	ctrl3	9	18	0
GCF_000298275.1	Orycteropus afer afer	Mammalia	ctrl0	ctrl1	15	19	0
GCF_000298275.1	Orycteropus afer afer	Mammalia	ctrl0	ctrl3	15	19	0
GCF_000298275.1	Orycteropus afer afer	Mammalia	ctrl1	ctrl3	19	19	1
GCF_000299155.1	Elephantulus edwardii	Mammalia	ctrl0	ctrl1	18	16	0
GCF_000299155.1	Elephantulus edwardii	Mammalia	ctrl0	ctrl2	18	13	0
GCF_000299155.1	Elephantulus edwardii	Mammalia	ctrl0	ctrl3	18	15	0
GCF_000299155.1	Elephantulus edwardii	Mammalia	ctrl1	ctrl2	16	13	0
GCF_000299155.1	Elephantulus edwardii	Mammalia	ctrl1	ctrl3	16	15	0
GCF_000299155.1	Elephantulus edwardii	Mammalia	ctrl2	ctrl3	13	15	0
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	ctrl0	ctrl1	18	19	0
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	ctrl0	ctrl2	18	20	0
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	ctrl0	ctrl3	18	20	0
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	ctrl1	ctrl2	19	20	0
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	ctrl1	ctrl3	19	20	0
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	ctrl2	ctrl3	20	20	0
GCF_000687185.1	Egretta garzetta	Aves	ctrl0	ctrl1	17	15	0
GCF_000687185.1	Egretta garzetta	Aves	ctrl0	ctrl2	17	17	0
GCF_000687185.1	Egretta garzetta	Aves	ctrl0	ctrl3	17	17	0
GCF_000687185.1	Egretta garzetta	Aves	ctrl1	ctrl2	15	17	0
GCF_000687185.1	Egretta garzetta	Aves	ctrl1	ctrl3	15	17	0
GCF_000687185.1	Egretta garzetta	Aves	ctrl2	ctrl3	17	17	0
GCF_000691975.1	Corvus brachyrhynchos	Aves	ctrl0	ctrl1	16	15	0
GCF_000691975.1	Corvus brachyrhynchos	Aves	ctrl0	ctrl2	16	18	0
GCF_000691975.1	Corvus brachyrhynchos	Aves	ctrl0	ctrl3	16	15	0
GCF_000691975.1	Corvus brachyrhynchos	Aves	ctrl1	ctrl2	15	18	0
GCF_000691975.1	Corvus brachyrhynchos	Aves	ctrl1	ctrl3	15	15	0
GCF_000691975.1	Corvus brachyrhynchos	Aves	ctrl2	ctrl3	18	15	0
GCF_000698965.1	Struthio camelus australis	Aves	ctrl0	ctrl1	11	19	0
GCF_000698965.1	Struthio camelus australis	Aves	ctrl0	ctrl2	11	16	0
GCF_000698965.1	Struthio camelus australis	Aves	ctrl0	ctrl3	11	18	0
GCF_000698965.1	Struthio camelus australis	Aves	ctrl1	ctrl2	19	16	0
GCF_000698965.1	Struthio camelus australis	Aves	ctrl1	ctrl3	19	18	0
GCF_000698965.1	Struthio camelus australis	Aves	ctrl2	ctrl3	16	18	0
GCF_000699105.1	Pygoscelis adeliae	Aves	ctrl0	ctrl1	17	15	0
GCF_000699105.1	Pygoscelis adeliae	Aves	ctrl0	ctrl2	17	17	0
GCF_000699105.1	Pygoscelis adeliae	Aves	ctrl0	ctrl3	17	17	0
GCF_000699105.1	Pygoscelis adeliae	Aves	ctrl1	ctrl2	15	17	0
GCF_000699105.1	Pygoscelis adeliae	Aves	ctrl1	ctrl3	15	17	0
GCF_000699105.1	Pygoscelis adeliae	Aves	ctrl2	ctrl3	17	17	0
GCF_000699145.1	Aptenodytes forsteri	Aves	ctrl0	ctrl1	17	14	0
GCF_000699145.1	Aptenodytes forsteri	Aves	ctrl0	ctrl2	17	14	0
GCF_000699145.1	Aptenodytes forsteri	Aves	ctrl0	ctrl3	17	18	0
GCF_000699145.1	Aptenodytes forsteri	Aves	ctrl1	ctrl2	14	14	0
GCF_000699145.1	Aptenodytes forsteri	Aves	ctrl1	ctrl3	14	18	0
GCF_000699145.1	Aptenodytes forsteri	Aves	ctrl2	ctrl3	14	18	1
GCF_000708025.1	Charadrius vociferus	Aves	ctrl0	ctrl1	12	13	0
GCF_000708025.1	Charadrius vociferus	Aves	ctrl0	ctrl2	12	16	2
GCF_000708025.1	Charadrius vociferus	Aves	ctrl0	ctrl3	12	15	0
GCF_000708025.1	Charadrius vociferus	Aves	ctrl1	ctrl2	13	16	0
GCF_000708025.1	Charadrius vociferus	Aves	ctrl1	ctrl3	13	15	0
GCF_000708025.1	Charadrius vociferus	Aves	ctrl2	ctrl3	16	15	0
GCF_000747805.2	Chaetura pelagica	Aves	ctrl0	ctrl1	17	17	0
GCF_000747805.2	Chaetura pelagica	Aves	ctrl0	ctrl2	17	17	0
GCF_000747805.2	Chaetura pelagica	Aves	ctrl0	ctrl3	17	16	0
GCF_000747805.2	Chaetura pelagica	Aves	ctrl1	ctrl2	17	17	0
GCF_000747805.2	Chaetura pelagica	Aves	ctrl1	ctrl3	17	16	0
GCF_000747805.2	Chaetura pelagica	Aves	ctrl2	ctrl3	17	16	0
GCF_001715985.3	Manacus vitellinus	Aves	ctrl0	ctrl1	17	18	1
GCF_001715985.3	Manacus vitellinus	Aves	ctrl0	ctrl2	17	20	0
GCF_001715985.3	Manacus vitellinus	Aves	ctrl0	ctrl3	17	16	1
GCF_001715985.3	Manacus vitellinus	Aves	ctrl1	ctrl2	18	20	0
GCF_001715985.3	Manacus vitellinus	Aves	ctrl1	ctrl3	18	16	0
GCF_001715985.3	Manacus vitellinus	Aves	ctrl2	ctrl3	20	16	0
GCF_003342845.1	Nothoprocta perdicaria	Aves	ctrl0	ctrl1	18	17	0
GCF_003342845.1	Nothoprocta perdicaria	Aves	ctrl0	ctrl2	18	18	0
GCF_003342845.1	Nothoprocta perdicaria	Aves	ctrl0	ctrl3	18	19	0
GCF_003342845.1	Nothoprocta perdicaria	Aves	ctrl1	ctrl2	17	18	0
GCF_003342845.1	Nothoprocta perdicaria	Aves	ctrl1	ctrl3	17	19	0
GCF_003342845.1	Nothoprocta perdicaria	Aves	ctrl2	ctrl3	18	19	0
GCF_003668045.3	Cricetulus griseus	Mammalia	ctrl0	ctrl1	15	18	0
GCF_003668045.3	Cricetulus griseus	Mammalia	ctrl0	ctrl2	15	13	0
GCF_003668045.3	Cricetulus griseus	Mammalia	ctrl0	ctrl3	15	18	0
GCF_003668045.3	Cricetulus griseus	Mammalia	ctrl1	ctrl2	18	13	0
GCF_003668045.3	Cricetulus griseus	Mammalia	ctrl1	ctrl3	18	18	0
GCF_003668045.3	Cricetulus griseus	Mammalia	ctrl2	ctrl3	13	18	0
GCF_003957555.1	Calypte anna	Aves	ctrl0	ctrl1	19	16	0
GCF_003957555.1	Calypte anna	Aves	ctrl0	ctrl2	19	19	0
GCF_003957555.1	Calypte anna	Aves	ctrl0	ctrl3	19	16	0
GCF_003957555.1	Calypte anna	Aves	ctrl1	ctrl2	16	19	0
GCF_003957555.1	Calypte anna	Aves	ctrl1	ctrl3	16	16	0
GCF_003957555.1	Calypte anna	Aves	ctrl2	ctrl3	19	16	0
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	ctrl0	ctrl1	20	17	0
