accession	organism	vclass	vorder	contig_spans_gene	cell	n_copies	n_contigs	same_contig	copy_id	contig	start	end	strand	coverage	identity	integrity	bait	annot_gene
GCA_008658365.1	Alca torda	Aves	Charadriiformes	1	RYR	2	2	0	GCA_008658365.1#RYR#copy1	CM018078.1	42099162	42521409	-	1.0	0.9847	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2
GCA_008658365.1	Alca torda	Aves	Charadriiformes	1	RYR	2	2	0	GCA_008658365.1#RYR#copy2	CM018080.1	32535056	32770773	-	1.0	0.6768	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR3
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	1	RYR	2	2	0	GCA_009769605.1#RYR#copy1	CM020031.1	30080173	30383635	+	0.993	0.9795	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	1	RYR	2	2	0	GCA_009769605.1#RYR#copy2	CM020042.1	5133878	5346665	-	1.0	0.6738	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR3
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	1	RYR	2	2	0	GCA_009819775.1#RYR#copy1	CM020217.1	43176402	43630802	-	1.0	0.9851	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	1	RYR	2	2	0	GCA_009819775.1#RYR#copy2	CM020219.1	36415959	36660665	+	1.0	0.6771	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR3
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	1	RYR	3	3	0	GCA_010411085.1#RYR#copy1	CM021195.1	45417026	45713776	+	1.0	0.7888	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	G4228_002289
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	1	RYR	3	3	0	GCA_010411085.1#RYR#copy2	CM021203.1	24710155	25256973	-	1.0	0.6715	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	G4228_008671
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	1	RYR	3	3	0	GCA_010411085.1#RYR#copy3	CM021206.1	2723846	3495477	-	1.0	0.9793	intact	Q92736|RYR2|Homo_sapiens|RYR2	G4228_010619
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	1	ITPR1	2	1	1	GCA_011823955.1#ITPR1#copy1	JAAKFY010000006.1	12061969	12166519	+	1.0	0.847	lesion_rich	A0A672IUQ7|ITPR1|Salarias_fasciatus	F7725_016552
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	1	ITPR1	2	1	1	GCA_011823955.1#ITPR1#copy2	JAAKFY010000006.1	25372485	25435846	-	1.0	0.9528	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	1	RYR	6	6	0	GCA_011823955.1#RYR#copy1	JAAKFY010000008.1	28825736	28999030	+	1.0	0.8696	lesion_rich	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	F7725_014813
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	1	RYR	6	6	0	GCA_011823955.1#RYR#copy2	JAAKFY010000011.1	18743167	18859665	-	1.0	0.6069	lesion_rich	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	F7725_019825
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	1	RYR	6	6	0	GCA_011823955.1#RYR#copy3	JAAKFY010000013.1	8762014	8874393	-	0.9992	0.7975	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	F7725_020359
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	1	RYR	6	6	0	GCA_011823955.1#RYR#copy4	JAAKFY010000015.1	14893862	15017626	+	1.0	0.6669	lesion_rich	Q92736|RYR2|Homo_sapiens|RYR2	F7725_007914
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	1	RYR	6	6	0	GCA_011823955.1#RYR#copy5	JAAKFY010000019.1	13853216	13935566	+	1.0	0.6456	lesion_rich	Q92736|RYR2|Homo_sapiens|RYR2	
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	1	RYR	6	6	0	GCA_011823955.1#RYR#copy6	JAAKFY010000020.1	12009470	12064928	-	1.0	0.7939	lesion_rich	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	0	RYR	2	2	0	GCA_013389825.1#RYR#copy1	VWPW01021686.1	6388	188083	-	1.0	0.6769	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	0	RYR	2	2	0	GCA_013389825.1#RYR#copy2	VWPW01022533.1	2613	236680	-	0.9386	0.9768	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2_1
GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	0	RYR	2	2	0	GCA_013389885.1#RYR#copy1	VWPV01009501.1	2457	125848	+	0.5779	0.9795	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2_2
GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	0	RYR	2	2	0	GCA_013389885.1#RYR#copy2	VWPV01031520.1	759	103791	-	0.5634	0.6928	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	0	RYR	2	2	0	GCA_013390065.1#RYR#copy1	WEIW01000007.1	603461	986066	-	1.0	0.9679	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	CHLHAR_R11689
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	0	RYR	2	2	0	GCA_013390065.1#RYR#copy2	WEIW01000336.1	3014	195968	+	1.0	0.6669	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	0	RYR	2	2	0	GCA_013396355.1#RYR#copy1	VWPS01000022.1	4514479	4727368	-	1.0	0.6757	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	0	RYR	2	2	0	GCA_013396355.1#RYR#copy2	VWPS01000054.1	947597	1329405	+	0.9974	0.9788	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	0	RYR	2	2	0	GCA_013396465.1#RYR#copy1	VWYW01000072.1	911143	1129658	-	1.0	0.6559	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	0	RYR	2	2	0	GCA_013396465.1#RYR#copy2	VWYW01000101.1	1644478	2036936	+	1.0	0.9783	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	0	RYR	2	2	0	GCA_013396485.1#RYR#copy1	VWYY01000118.1	1297525	1497345	-	1.0	0.6753	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	0	RYR	2	2	0	GCA_013396485.1#RYR#copy2	VWYY01000123.1	510360	912092	+	1.0	0.9777	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	0	RYR	2	2	0	GCA_013396675.1#RYR#copy1	VWZE01005099.1	1658	195174	+	0.7363	0.9795	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2_0
GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	0	RYR	2	2	0	GCA_013396675.1#RYR#copy2	VWZE01015450.1	306854	551883	+	1.0	0.6826	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	0	RYR	2	2	0	GCA_013396835.1#RYR#copy1	VWZI01009657.1	287938	514786	+	1.0	0.6838	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	0	RYR	2	2	0	GCA_013396835.1#RYR#copy2	VWZI01019360.1	1284	135498	+	0.6679	0.9786	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	0	RYR	2	2	0	GCA_013396875.1#RYR#copy1	VZRF01001132.1	258552	637824	-	0.9974	0.9782	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	0	RYR	2	2	0	GCA_013396875.1#RYR#copy2	VZRF01009222.1	594031	799678	-	1.0	0.6724	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397015.1#RYR#copy1	VWZQ01001806.1	609461	985178	+	0.9974	0.978	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397015.1#RYR#copy2	VWZQ01008955.1	470059	671917	+	1.0	0.6748	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397245.1#RYR#copy1	VZTB01006589.1	395	296542	-	0.6804	0.9595	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397245.1#RYR#copy2	VZTB01009153.1	168	77998	+	0.5954	0.6748	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	THRLUD_R12892
GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397295.1#RYR#copy1	VYXF01004723.1	45110	412493	-	0.9974	0.977	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	POLCAE_R12426
GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397295.1#RYR#copy2	VYXF01009487.1	85514	278560	-	1.0	0.6768	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397395.1#RYR#copy1	VXBN01012045.1	281508	658308	-	1.0	0.9773	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397395.1#RYR#copy2	VXBN01015030.1	901189	1094514	+	1.0	0.676	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397495.1#RYR#copy1	VYZC01000019.1	1653182	1869762	-	1.0	0.6711	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397495.1#RYR#copy2	VYZC01000047.1	483865	872792	-	1.0	0.9783	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013397635.1	Columbina picui	Aves	Columbiformes	0	RYR	2	2	0	GCA_013397635.1#RYR#copy1	VYZG01000063.1	1015244	1404500	-	1.0	0.9732	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013397635.1	Columbina picui	Aves	Columbiformes	0	RYR	2	2	0	GCA_013397635.1#RYR#copy2	VYZG01000089.1	98286	329833	-	1.0	0.6664	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397815.1#RYR#copy1	VZTH01000269.1	550972	744202	-	0.9312	0.9769	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397815.1#RYR#copy2	VZTH01018405.1	213306	413200	+	1.0	0.6732	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397895.1#RYR#copy1	VZRL01002523.1	468171	658861	+	1.0	0.6754	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397895.1#RYR#copy2	VZRL01003992.1	573360	943975	-	0.9976	0.9782	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013397955.1	Grantiella picta	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397955.1#RYR#copy1	VZRM01002603.1	1392669	1765554	-	0.9976	0.9754	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013397955.1	Grantiella picta	Aves	Passeriformes	0	RYR	2	2	0	GCA_013397955.1#RYR#copy2	VZRM01007608.1	60189	246791	+	1.0	0.6765	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013398125.1	Aegotheles bennettii	Aves	Caprimulgiformes	0	RYR	2	2	0	GCA_013398125.1#RYR#copy1	VZRW01002778.1	7683	247167	+	0.9764	0.9823	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2_1
GCA_013398125.1	Aegotheles bennettii	Aves	Caprimulgiformes	0	RYR	2	2	0	GCA_013398125.1#RYR#copy2	VZRW01014125.1	219985	365125	-	0.9248	0.6709	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013398175.1	Climacteris rufus	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398175.1#RYR#copy1	VZRZ01002579.1	769125	979284	-	1.0	0.6783	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013398175.1	Climacteris rufus	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398175.1#RYR#copy2	VZRZ01007597.1	193079	582040	-	0.9974	0.9782	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013398455.1	Loxia curvirostra	Aves	Passeriformes	1	RYR	2	2	0	GCA_013398455.1#RYR#copy1	VZSM01002731.1	5502326	5695489	-	1.0	0.6737	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013398455.1	Loxia curvirostra	Aves	Passeriformes	1	RYR	2	2	0	GCA_013398455.1#RYR#copy2	VZSM01006932.1	2392609	2761404	-	0.9974	0.9766	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013398575.1	Certhia familiaris	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398575.1#RYR#copy1	WBNC01000059.1	569150	939120	+	0.9976	0.9675	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013398575.1	Certhia familiaris	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398575.1#RYR#copy2	WBNC01000130.1	524004	713634	-	1.0	0.6765	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013398615.1	Brachypodius melanocephalos	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398615.1#RYR#copy1	VZSR01000520.1	18929082	19118951	-	1.0	0.674	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013398615.1	Brachypodius melanocephalos	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398615.1#RYR#copy2	VZSR01003807.1	4412913	4791937	+	1.0	0.9775	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013398795.1	Elachura formosa	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398795.1#RYR#copy1	WBNG01000058.1	2626492	3006297	-	1.0	0.9716	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	ELAFOR_R07682
GCA_013398795.1	Elachura formosa	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398795.1#RYR#copy2	WBNG01000069.1	2325252	2516903	+	1.0	0.6735	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013398835.1	Emberiza fucata	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398835.1#RYR#copy1	VYZJ01000130.1	910050	1289332	+	1.0	0.9664	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013398835.1	Emberiza fucata	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398835.1#RYR#copy2	VYZJ01000340.1	650006	783095	-	0.9476	0.6638	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013398935.1	Ceuthmochares aereus	Aves	Cuculiformes	0	RYR	2	2	0	GCA_013398935.1#RYR#copy1	VWPQ01000040.1	129171	524507	-	1.0	0.9793	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013398935.1	Ceuthmochares aereus	Aves	Cuculiformes	0	RYR	2	2	0	GCA_013398935.1#RYR#copy2	VWPQ01001982.1	853	117552	+	0.699	0.6799	intact	H3BGR5|RYR|Latimeria_chalumnae	
GCA_013398955.1	Callaeas wilsoni	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398955.1#RYR#copy1	VWPU01007266.1	89750	290386	-	1.0	0.6746	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013398955.1	Callaeas wilsoni	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398955.1#RYR#copy2	VWPU01018445.1	10607	391166	+	0.9974	0.9776	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013398975.1	Catharus fuscescens	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398975.1#RYR#copy1	VWYD01013793.1	182214	552014	+	0.9974	0.978	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	CATFUS_R13731
GCA_013398975.1	Catharus fuscescens	Aves	Passeriformes	0	RYR	2	2	0	GCA_013398975.1#RYR#copy2	VWYD01065695.1	559436	755825	-	1.0	0.6764	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013399035.1	Quiscalus mexicanus	Aves	Passeriformes	0	RYR	2	2	0	GCA_013399035.1#RYR#copy1	VWYF01012987.1	44475	184959	-	0.7816	0.9761	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_013399035.1	Quiscalus mexicanus	Aves	Passeriformes	0	RYR	2	2	0	GCA_013399035.1#RYR#copy2	VWYF01015411.1	217625	393021	+	0.8878	0.6693	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013399305.1	Rostratula benghalensis	Aves	Charadriiformes	0	RYR	2	2	0	GCA_013399305.1#RYR#copy1	VXAI01000004.1	229833	617047	-	1.0	0.9595	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	ROSBEN_R00401
GCA_013399305.1	Rostratula benghalensis	Aves	Charadriiformes	0	RYR	2	2	0	GCA_013399305.1#RYR#copy2	VXAI01000009.1	8100978	8317864	+	1.0	0.6752	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013399565.1	Podilymbus podiceps	Aves	Podicipediformes	0	RYR	2	2	0	GCA_013399565.1#RYR#copy1	VXAO01000097.1	961397	1389636	+	1.0	0.9827	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013399565.1	Podilymbus podiceps	Aves	Podicipediformes	0	RYR	2	2	0	GCA_013399565.1#RYR#copy2	VXAO01000161.1	281873	529214	+	1.0	0.6745	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013399735.1	Tyrannus savana	Aves	Passeriformes	0	RYR	2	2	0	GCA_013399735.1#RYR#copy1	VXAW01002520.1	14	134513	-	0.7391	0.9739	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_013399735.1	Tyrannus savana	Aves	Passeriformes	0	RYR	2	2	0	GCA_013399735.1#RYR#copy2	VXAW01003324.1	332648	547640	-	1.0	0.6757	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013399795.1	Zosterops hypoxanthus	Aves	Passeriformes	0	RYR	3	3	0	GCA_013399795.1#RYR#copy1	VWYL01017432.1	219987	351326	+	0.6031	0.6664	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013399795.1	Zosterops hypoxanthus	Aves	Passeriformes	0	RYR	3	3	0	GCA_013399795.1#RYR#copy2	VWYL01030747.1	1951	134073	-	0.7558	0.9766	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_013399795.1	Zosterops hypoxanthus	Aves	Passeriformes	0	RYR	3	3	0	GCA_013399795.1#RYR#copy3	VWYL01031540.1	1636	38792	+	0.7362	0.6697	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013399855.1	Oxyruncus cristatus	Aves	Passeriformes	0	RYR	2	2	0	GCA_013399855.1#RYR#copy1	VXAY01001352.1	293252	512248	+	1.0	0.6751	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013399855.1	Oxyruncus cristatus	Aves	Passeriformes	0	RYR	2	2	0	GCA_013399855.1#RYR#copy2	VXAY01002711.1	6765	188805	+	0.8893	0.9774	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_013399895.1	Serilophus lunatus	Aves	Passeriformes	0	RYR	2	2	0	GCA_013399895.1#RYR#copy1	VXBA01001840.1	56628	433628	-	1.0	0.9767	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013399895.1	Serilophus lunatus	Aves	Passeriformes	0	RYR	2	2	0	GCA_013399895.1#RYR#copy2	VXBA01005560.1	402796	613975	-	1.0	0.6742	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013400075.1	Hippolais icterina	Aves	Passeriformes	0	RYR	2	2	0	GCA_013400075.1#RYR#copy1	VWYN01009831.1	147031	298689	+	0.6897	0.6748	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013400075.1	Hippolais icterina	Aves	Passeriformes	0	RYR	2	2	0	GCA_013400075.1#RYR#copy2	VWYN01024224.1	215696	407355	-	0.93	0.9768	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_013400195.1	Aramus guarauna	Aves	Gruiformes	0	RYR	2	2	0	GCA_013400195.1#RYR#copy1	VXBL01009441.1	447354	685554	-	1.0	0.6736	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_013400195.1	Aramus guarauna	Aves	Gruiformes	0	RYR	2	2	0	GCA_013400195.1#RYR#copy2	VXBL01009547.1	55736	463143	-	0.9974	0.9833	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2
GCA_013400215.1	Cisticola juncidis	Aves	Passeriformes	0	RYR	2	2	0	GCA_013400215.1#RYR#copy1	VXBR01005532.1	2477378	2666572	-	1.0	0.6763	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
