gene_a	gene_b	symbol_a	symbol_b	duplication_level
ENSG00000179454	ENSG00000187961	KLHL28	KLHL17	Bilateria
ENSG00000090924	ENSG00000187583	PLEKHG2	PLEKHN1	Opisthokonta
ENSG00000163704	ENSG00000187642	PRRT3	PERM1	Gnathostomata
ENSG00000123095	ENSG00000188290	BHLHE41	HES4	Opisthokonta
ENSG00000135547	ENSG00000188290	HEY2	HES4	Opisthokonta
ENSG00000134107	ENSG00000188290	BHLHE40	HES4	Opisthokonta
ENSG00000188290	ENSG00000197921	HES4	HES5	Opisthokonta
ENSG00000130702	ENSG00000188157	LAMA5	AGRN	Bilateria
ENSG00000142798	ENSG00000188157	HSPG2	AGRN	Bilateria
ENSG00000188157	ENSG00000196878	AGRN	LAMB3	Bilateria
ENSG00000050555	ENSG00000188157	LAMC3	AGRN	Bilateria
ENSG00000188157	ENSG00000196569	AGRN	LAMA2	Bilateria
ENSG00000172037	ENSG00000188157	LAMB2	AGRN	Bilateria
ENSG00000100271	ENSG00000162571	TTLL1	TTLL10	Opisthokonta
ENSG00000162571	ENSG00000214021	TTLL10	TTLL3	Opisthokonta
ENSG00000137941	ENSG00000162571	TTLL7	TTLL10	Opisthokonta
ENSG00000120440	ENSG00000162571	TTLL2	TTLL10	Opisthokonta
ENSG00000026103	ENSG00000186891	FAS	TNFRSF18	Chordata
ENSG00000026103	ENSG00000186827	FAS	TNFRSF4	Chordata
ENSG00000078808	ENSG00000117906	SDF4	RCN2	Bilateria
ENSG00000078808	ENSG00000142552	SDF4	RCN3	Bilateria
ENSG00000078808	ENSG00000128595	SDF4	CALU	Bilateria
ENSG00000049449	ENSG00000078808	RCN1	SDF4	Bilateria
ENSG00000162885	ENSG00000176022	B3GALNT2	B3GALT6	Bilateria
ENSG00000176022	ENSG00000177191	B3GALT6	B3GNT8	Bilateria
ENSG00000176022	ENSG00000235863	B3GALT6	B3GALT4	Bilateria
ENSG00000178752	ENSG00000184163	ERFE	C1QTNF12	Vertebrata
ENSG00000160087	ENSG00000186591	UBE2J2	UBE2H	Opisthokonta
ENSG00000160087	ENSG00000177889	UBE2J2	UBE2N	Opisthokonta
ENSG00000077152	ENSG00000160087	UBE2T	UBE2J2	Opisthokonta
ENSG00000160087	ENSG00000240849	UBE2J2	PEDS1	Opisthokonta
ENSG00000111319	ENSG00000162572	SCNN1A	SCNN1D	Bilateria
ENSG00000101199	ENSG00000131584	ARFGAP1	ACAP3	Opisthokonta
ENSG00000131584	ENSG00000186635	ACAP3	ARAP1	Opisthokonta
ENSG00000131584	ENSG00000242247	ACAP3	ARFGAP3	Opisthokonta
ENSG00000131584	ENSG00000157500	ACAP3	APPL1	Opisthokonta
ENSG00000112305	ENSG00000131584	SMAP1	ACAP3	Opisthokonta
ENSG00000104299	ENSG00000127054	INTS9	INTS11	Opisthokonta
ENSG00000127054	ENSG00000165934	INTS11	CPSF2	Opisthokonta
ENSG00000119203	ENSG00000127054	CPSF3	INTS11	Opisthokonta
ENSG00000182327	ENSG00000224051	GLTPD2	CPTP	Bilateria
ENSG00000113163	ENSG00000224051	CERT1	CPTP	Bilateria
ENSG00000116095	ENSG00000224051	PLEKHA3	CPTP	Bilateria
ENSG00000106086	ENSG00000224051	PLEKHA8	CPTP	Bilateria
ENSG00000139433	ENSG00000224051	GLTP	CPTP	Bilateria
ENSG00000036828	ENSG00000169962	CASR	TAS1R3	Chordata
ENSG00000144847	ENSG00000162576	IGSF11	MXRA8	Chordata
ENSG00000149564	ENSG00000162576	ESAM	MXRA8	Chordata
ENSG00000090061	ENSG00000221978	CCNK	CCNL2	Opisthokonta
ENSG00000230778	ENSG00000235098	ANKRD63	ANKRD65	Bilateria
ENSG00000179403	ENSG00000205221	VWA1	VIT	Bilateria
ENSG00000101752	ENSG00000197530	MIB1	MIB2	Bilateria
ENSG00000137745	ENSG00000189409	MMP13	MMP23B	Bilateria
ENSG00000087245	ENSG00000189409	MMP2	MMP23B	Bilateria
ENSG00000118113	ENSG00000189409	MMP8	MMP23B	Bilateria
ENSG00000189409	ENSG00000198598	MMP23B	MMP17	Bilateria
ENSG00000137673	ENSG00000189409	MMP7	MMP23B	Bilateria
ENSG00000157227	ENSG00000189409	MMP14	MMP23B	Bilateria
ENSG00000102996	ENSG00000189409	MMP15	MMP23B	Bilateria
ENSG00000110169	ENSG00000189409	HPX	MMP23B	Bilateria
ENSG00000100985	ENSG00000189409	MMP9	MMP23B	Bilateria
ENSG00000123342	ENSG00000189409	MMP19	MMP23B	Bilateria
ENSG00000154485	ENSG00000189409	MMP21	MMP23B	Bilateria
ENSG00000189409	ENSG00000271447	MMP23B	MMP28	Bilateria
ENSG00000189409	ENSG00000196611	MMP23B	MMP1	Bilateria
ENSG00000189409	ENSG00000262406	MMP23B	MMP12	Bilateria
ENSG00000149968	ENSG00000189409	MMP3	MMP23B	Bilateria
ENSG00000125966	ENSG00000189409	MMP24	MMP23B	Bilateria
ENSG00000008516	ENSG00000189409	MMP25	MMP23B	Bilateria
ENSG00000167346	ENSG00000189409	MMP26	MMP23B	Bilateria
ENSG00000166670	ENSG00000189409	MMP10	MMP23B	Bilateria
ENSG00000137674	ENSG00000189409	MMP20	MMP23B	Bilateria
ENSG00000099953	ENSG00000189409	MMP11	MMP23B	Bilateria
ENSG00000156103	ENSG00000189409	MMP16	MMP23B	Bilateria
ENSG00000137675	ENSG00000189409	MMP27	MMP23B	Bilateria
ENSG00000164885	ENSG00000248333	CDK5	CDK11B	Opisthokonta
ENSG00000138769	ENSG00000248333	CDKL2	CDK11B	Opisthokonta
ENSG00000156345	ENSG00000248333	CDK20	CDK11B	Opisthokonta
ENSG00000132964	ENSG00000248333	CDK8	CDK11B	Opisthokonta
ENSG00000059758	ENSG00000248333	CDK17	CDK11B	Opisthokonta
ENSG00000100490	ENSG00000248333	CDKL1	CDK11B	Opisthokonta
ENSG00000117266	ENSG00000248333	CDK18	CDK11B	Opisthokonta
ENSG00000155111	ENSG00000248333	CDK19	CDK11B	Opisthokonta
ENSG00000065883	ENSG00000248333	CDK13	CDK11B	Opisthokonta
ENSG00000112739	ENSG00000248333	PRP4K	CDK11B	Opisthokonta
ENSG00000248333	ENSG00000250506	CDK11B	CDK3	Opisthokonta
ENSG00000170312	ENSG00000248333	CDK1	CDK11B	Opisthokonta
ENSG00000135446	ENSG00000248333	CDK4	CDK11B	Opisthokonta
ENSG00000167258	ENSG00000248333	CDK12	CDK11B	Opisthokonta
ENSG00000105810	ENSG00000248333	CDK6	CDK11B	Opisthokonta
ENSG00000205111	ENSG00000248333	CDKL4	CDK11B	Opisthokonta
ENSG00000185324	ENSG00000248333	CDK10	CDK11B	Opisthokonta
ENSG00000123374	ENSG00000248333	CDK2	CDK11B	Opisthokonta
ENSG00000006837	ENSG00000248333	CDKL3	CDK11B	Opisthokonta
ENSG00000136807	ENSG00000248333	CDK9	CDK11B	Opisthokonta
ENSG00000008086	ENSG00000248333	CDKL5	CDK11B	Opisthokonta
ENSG00000102225	ENSG00000248333	CDK16	CDK11B	Opisthokonta
ENSG00000134058	ENSG00000248333	CDK7	CDK11B	Opisthokonta
ENSG00000138395	ENSG00000248333	CDK15	CDK11B	Opisthokonta
ENSG00000058091	ENSG00000248333	CDK14	CDK11B	Opisthokonta
ENSG00000008128	ENSG00000248333	CDK11A	CDK11B	Homo sapiens
ENSG00000080189	ENSG00000189339	SLC35H1	SLC35E2B	Opisthokonta
ENSG00000175782	ENSG00000189339	SLC35E3	SLC35E2B	Opisthokonta
ENSG00000008128	ENSG00000156345	CDK11A	CDK20	Opisthokonta
ENSG00000008128	ENSG00000059758	CDK11A	CDK17	Opisthokonta
ENSG00000008128	ENSG00000100490	CDK11A	CDKL1	Opisthokonta
ENSG00000008128	ENSG00000117266	CDK11A	CDK18	Opisthokonta
ENSG00000008128	ENSG00000170312	CDK11A	CDK1	Opisthokonta
ENSG00000008128	ENSG00000135446	CDK11A	CDK4	Opisthokonta
ENSG00000008128	ENSG00000102225	CDK11A	CDK16	Opisthokonta
ENSG00000078369	ENSG00000172354	GNB1	GNB2	Vertebrata
ENSG00000169885	ENSG00000203666	CALML6	DRC8	Opisthokonta
ENSG00000169885	ENSG00000172771	CALML6	EFCAB12	Opisthokonta
ENSG00000169885	ENSG00000183166	CALML6	CALN1	Opisthokonta
ENSG00000147434	ENSG00000187730	CHRNA6	GABRD	Bilateria
ENSG00000186919	ENSG00000187730	ZACN	GABRD	Bilateria
ENSG00000175344	ENSG00000187730	CHRNA7	GABRD	Bilateria
ENSG00000166664	ENSG00000187730	CHRFAM7A	GABRD	Bilateria
ENSG00000163288	ENSG00000187730	GABRB1	GABRD	Bilateria
ENSG00000145864	ENSG00000187730	GABRB2	GABRD	Bilateria
ENSG00000169684	ENSG00000187730	CHRNA5	GABRD	Bilateria
ENSG00000182256	ENSG00000187730	GABRG3	GABRD	Bilateria
ENSG00000011677	ENSG00000187730	GABRA3	GABRD	Bilateria
ENSG00000166206	ENSG00000187730	GABRB3	GABRD	Bilateria
ENSG00000080644	ENSG00000187730	CHRNA3	GABRD	Bilateria
ENSG00000187730	ENSG00000196811	GABRD	CHRNG	Bilateria
ENSG00000160716	ENSG00000187730	CHRNB2	GABRD	Bilateria
ENSG00000186297	ENSG00000187730	GABRA5	GABRD	Bilateria
ENSG00000151834	ENSG00000187730	GABRA2	GABRD	Bilateria
ENSG00000111886	ENSG00000187730	GABRR2	GABRD	Bilateria
ENSG00000101958	ENSG00000187730	GLRA2	GABRD	Bilateria
ENSG00000120903	ENSG00000187730	CHRNA2	GABRD	Bilateria
ENSG00000147432	ENSG00000187730	CHRNB3	GABRD	Bilateria
ENSG00000163285	ENSG00000187730	GABRG1	GABRD	Bilateria
ENSG00000109158	ENSG00000187730	GABRA4	GABRD	Bilateria
ENSG00000187730	ENSG00000268089	GABRD	GABRQ	Bilateria
ENSG00000138435	ENSG00000187730	CHRNA1	GABRD	Bilateria
ENSG00000109738	ENSG00000187730	GLRB	GABRD	Bilateria
ENSG00000166736	ENSG00000187730	HTR3A	GABRD	Bilateria
ENSG00000129749	ENSG00000187730	CHRNA10	GABRD	Bilateria
ENSG00000108556	ENSG00000187730	CHRNE	GABRD	Bilateria
ENSG00000146276	ENSG00000187730	GABRR1	GABRD	Bilateria
ENSG00000186090	ENSG00000187730	HTR3D	GABRD	Bilateria
ENSG00000178084	ENSG00000187730	HTR3C	GABRD	Bilateria
ENSG00000135902	ENSG00000187730	CHRND	GABRD	Bilateria
ENSG00000101204	ENSG00000187730	CHRNA4	GABRD	Bilateria
ENSG00000174343	ENSG00000187730	CHRNA9	GABRD	Bilateria
ENSG00000149305	ENSG00000187730	HTR3B	GABRD	Bilateria
ENSG00000170175	ENSG00000187730	CHRNB1	GABRD	Bilateria
ENSG00000117971	ENSG00000187730	CHRNB4	GABRD	Bilateria
ENSG00000094755	ENSG00000187730	GABRP	GABRD	Bilateria
ENSG00000145863	ENSG00000187730	GABRA6	GABRD	Bilateria
ENSG00000183185	ENSG00000187730	GABRR3	GABRD	Bilateria
ENSG00000102287	ENSG00000187730	GABRE	GABRD	Bilateria
ENSG00000186038	ENSG00000187730	HTR3E	GABRD	Bilateria
ENSG00000145451	ENSG00000187730	GLRA3	GABRD	Bilateria
ENSG00000022355	ENSG00000187730	GABRA1	GABRD	Bilateria
ENSG00000145888	ENSG00000187730	GLRA1	GABRD	Bilateria
ENSG00000113327	ENSG00000187730	GABRG2	GABRD	Bilateria
ENSG00000067606	ENSG00000166501	PRKCZ	PRKCB	Opisthokonta
ENSG00000067606	ENSG00000171132	PRKCZ	PRKCE	Opisthokonta
ENSG00000067606	ENSG00000126583	PRKCZ	PRKCG	Opisthokonta
ENSG00000065243	ENSG00000067606	PKN2	PRKCZ	Opisthokonta
ENSG00000067606	ENSG00000154229	PRKCZ	PRKCA	Opisthokonta
ENSG00000067606	ENSG00000123143	PRKCZ	PKN1	Opisthokonta
ENSG00000067606	ENSG00000160447	PRKCZ	PKN3	Opisthokonta
ENSG00000027075	ENSG00000067606	PRKCH	PRKCZ	Opisthokonta
ENSG00000067606	ENSG00000163558	PRKCZ	PRKCI	Vertebrata
ENSG00000116151	ENSG00000160188	MORN1	RSPH1	Bilateria
ENSG00000116151	ENSG00000188010	MORN1	MORN2	Bilateria
ENSG00000137841	ENSG00000149527	PLCB2	PLCH2	Opisthokonta
ENSG00000124181	ENSG00000149527	PLCG1	PLCH2	Opisthokonta
ENSG00000125779	ENSG00000157881	PANK2	PANK4	Opisthokonta
ENSG00000152782	ENSG00000157881	PANK1	PANK4	Opisthokonta
ENSG00000120137	ENSG00000157881	PANK3	PANK4	Opisthokonta
ENSG00000123095	ENSG00000197921	BHLHE41	HES5	Opisthokonta
ENSG00000114315	ENSG00000197921	HES1	HES5	Opisthokonta
ENSG00000135547	ENSG00000197921	HEY2	HES5	Opisthokonta
ENSG00000163909	ENSG00000197921	HEYL	HES5	Opisthokonta
ENSG00000134107	ENSG00000197921	BHLHE40	HES5	Opisthokonta
ENSG00000173673	ENSG00000197921	HES3	HES5	Opisthokonta
ENSG00000187821	ENSG00000197921	HELT	HES5	Opisthokonta
ENSG00000179111	ENSG00000197921	HES7	HES5	Opisthokonta
ENSG00000144485	ENSG00000197921	HES6	HES5	Opisthokonta
ENSG00000069812	ENSG00000197921	HES2	HES5	Opisthokonta
ENSG00000164683	ENSG00000197921	HEY1	HES5	Opisthokonta
ENSG00000026103	ENSG00000157873	FAS	TNFRSF14	Chordata
ENSG00000142606	ENSG00000197993	MMEL1	KEL	Bilateria
ENSG00000143643	ENSG00000215912	TTC13	TTC34	Bilateria
ENSG00000165533	ENSG00000215912	TTC8	TTC34	Bilateria
ENSG00000133687	ENSG00000215912	TMTC1	TTC34	Bilateria
ENSG00000113812	ENSG00000169717	ACTR8	ACTRT2	Opisthokonta
ENSG00000159251	ENSG00000169717	ACTC1	ACTRT2	Opisthokonta
ENSG00000075089	ENSG00000169717	ACTR6	ACTRT2	Opisthokonta
ENSG00000107796	ENSG00000169717	ACTA2	ACTRT2	Opisthokonta
ENSG00000142621	ENSG00000162592	FHAD1	CCDC27	Chordata
ENSG00000116120	ENSG00000130764	FARSB	LRRC47	Bilateria
ENSG00000069424	ENSG00000165568	KCNAB2	AKR1E2	Opisthokonta
ENSG00000069424	ENSG00000085662	KCNAB2	AKR1B1	Opisthokonta
ENSG00000069424	ENSG00000122787	KCNAB2	AKR1D1	Opisthokonta
ENSG00000116254	ENSG00000225830	CHD5	ERCC6	Opisthokonta
ENSG00000116254	ENSG00000173575	CHD5	CHD2	Opisthokonta
ENSG00000116254	ENSG00000164080	CHD5	RAD54L2	Opisthokonta
ENSG00000111642	ENSG00000116254	CHD4	CHD5	Opisthokonta
ENSG00000102038	ENSG00000116254	SMARCA1	CHD5	Opisthokonta
ENSG00000116254	ENSG00000153147	CHD5	SMARCA5	Opisthokonta
ENSG00000116254	ENSG00000131778	CHD5	CHD1L	Opisthokonta
ENSG00000116254	ENSG00000177200	CHD5	CHD9	Opisthokonta
ENSG00000116254	ENSG00000170004	CHD5	CHD3	Opisthokonta
ENSG00000100888	ENSG00000116254	CHD8	CHD5	Opisthokonta
ENSG00000116254	ENSG00000171316	CHD5	CHD7	Opisthokonta
ENSG00000116254	ENSG00000146414	CHD5	SHPRH	Opisthokonta
ENSG00000116254	ENSG00000127616	CHD5	SMARCA4	Opisthokonta
ENSG00000085999	ENSG00000116254	RAD54L	CHD5	Opisthokonta
ENSG00000116254	ENSG00000138375	CHD5	SMARCAL1	Opisthokonta
ENSG00000116254	ENSG00000124177	CHD5	CHD6	Opisthokonta
ENSG00000085224	ENSG00000116254	ATRX	CHD5	Opisthokonta
ENSG00000116254	ENSG00000186871	CHD5	ERCC6L	Opisthokonta
ENSG00000116254	ENSG00000121988	CHD5	ZRANB3	Opisthokonta
ENSG00000080503	ENSG00000116254	SMARCA2	CHD5	Opisthokonta
ENSG00000116254	ENSG00000197275	CHD5	RAD54B	Opisthokonta
ENSG00000116254	ENSG00000183495	CHD5	EP400	Opisthokonta
ENSG00000080603	ENSG00000116254	SRCAP	CHD5	Opisthokonta
ENSG00000116254	ENSG00000119969	CHD5	HELLS	Opisthokonta
ENSG00000116254	ENSG00000116830	CHD5	TTF2	Opisthokonta
ENSG00000116254	ENSG00000153922	CHD5	CHD1	Opisthokonta
ENSG00000116254	ENSG00000128908	CHD5	INO80	Opisthokonta
ENSG00000095564	ENSG00000116254	BTAF1	CHD5	Opisthokonta
ENSG00000116254	ENSG00000163104	CHD5	SMARCAD1	Opisthokonta
ENSG00000071794	ENSG00000116254	HLTF	CHD5	Opisthokonta
ENSG00000116251	ENSG00000163584	RPL22	RPL22L1	Opisthokonta
ENSG00000123095	ENSG00000173673	BHLHE41	HES3	Opisthokonta
ENSG00000135547	ENSG00000173673	HEY2	HES3	Opisthokonta
ENSG00000134107	ENSG00000173673	BHLHE40	HES3	Opisthokonta
ENSG00000069812	ENSG00000123095	HES2	BHLHE41	Opisthokonta
ENSG00000069812	ENSG00000135547	HES2	HEY2	Opisthokonta
ENSG00000069812	ENSG00000134107	HES2	BHLHE40	Opisthokonta
ENSG00000026103	ENSG00000215788	FAS	TNFRSF25	Chordata
ENSG00000171680	ENSG00000187510	PLEKHG5	PLEKHG7	Chordata
ENSG00000162408	ENSG00000172409	NOL9	CLP1	Opisthokonta
ENSG00000036828	ENSG00000173662	CASR	TAS1R1	Chordata
ENSG00000179965	ENSG00000204859	ZNF771	ZBTB48	Bilateria
ENSG00000185278	ENSG00000204859	ZBTB37	ZBTB48	Bilateria
ENSG00000204859	ENSG00000213799	ZBTB48	ZNF845	Bilateria
ENSG00000189420	ENSG00000204859	ZFP92	ZBTB48	Bilateria
ENSG00000167232	ENSG00000204859	ZNF91	ZBTB48	Bilateria
ENSG00000180035	ENSG00000204859	ZNF48	ZBTB48	Bilateria
ENSG00000167625	ENSG00000204859	ZNF526	ZBTB48	Bilateria
ENSG00000204859	ENSG00000213973	ZBTB48	ZNF99	Bilateria
ENSG00000196350	ENSG00000204859	ZNF729	ZBTB48	Bilateria
ENSG00000197050	ENSG00000204859	ZNF420	ZBTB48	Bilateria
ENSG00000180626	ENSG00000204859	ZNF594	ZBTB48	Bilateria
ENSG00000124092	ENSG00000204859	CTCFL	ZBTB48	Bilateria
ENSG00000105732	ENSG00000204859	ZNF574	ZBTB48	Bilateria
ENSG00000177125	ENSG00000204859	ZBTB34	ZBTB48	Bilateria
ENSG00000089335	ENSG00000204859	ZNF302	ZBTB48	Bilateria
ENSG00000197841	ENSG00000204859	ZNF181	ZBTB48	Bilateria
ENSG00000170265	ENSG00000204859	ZNF282	ZBTB48	Bilateria
ENSG00000142528	ENSG00000204859	ZNF473	ZBTB48	Bilateria
ENSG00000196247	ENSG00000204859	ZNF107	ZBTB48	Bilateria
ENSG00000156853	ENSG00000204859	ZNF689	ZBTB48	Bilateria
ENSG00000160321	ENSG00000204859	ZNF208	ZBTB48	Bilateria
ENSG00000197937	ENSG00000204859	ZNF347	ZBTB48	Bilateria
ENSG00000169951	ENSG00000204859	ZNF764	ZBTB48	Bilateria
ENSG00000169955	ENSG00000204859	ZNF747	ZBTB48	Bilateria
ENSG00000096654	ENSG00000204859	ZNF184	ZBTB48	Bilateria
ENSG00000196437	ENSG00000204859	ZNF569	ZBTB48	Bilateria
ENSG00000174586	ENSG00000204859	ZNF497	ZBTB48	Bilateria
ENSG00000170949	ENSG00000204859	ZNF160	ZBTB48	Bilateria
ENSG00000197497	ENSG00000204859	ZNF665	ZBTB48	Bilateria
ENSG00000204859	ENSG00000229809	ZBTB48	ZNF688	Bilateria
ENSG00000102974	ENSG00000204859	CTCF	ZBTB48	Bilateria
ENSG00000112365	ENSG00000204859	ZBTB24	ZBTB48	Bilateria
ENSG00000198040	ENSG00000204859	ZNF84	ZBTB48	Bilateria
ENSG00000115568	ENSG00000204859	ZNF142	ZBTB48	Bilateria
ENSG00000151612	ENSG00000204859	ZNF827	ZBTB48	Bilateria
ENSG00000197162	ENSG00000204859	ZNF785	ZBTB48	Bilateria
ENSG00000162413	ENSG00000165572	KLHL21	KBTBD6	Bilateria
ENSG00000120696	ENSG00000162413	KBTBD7	KLHL21	Bilateria
ENSG00000162413	ENSG00000186231	KLHL21	KLHL32	Bilateria
ENSG00000162413	ENSG00000163376	KLHL21	KBTBD8	Bilateria
ENSG00000162413	ENSG00000170852	KLHL21	KBTBD2	Bilateria
ENSG00000109790	ENSG00000162413	KLHL5	KLHL21	Bilateria
ENSG00000157119	ENSG00000162413	KLHL40	KLHL21	Bilateria
ENSG00000162413	ENSG00000182359	KLHL21	KBTBD3	Bilateria
ENSG00000162413	ENSG00000179023	KLHL21	KLHDC7A	Bilateria
ENSG00000162413	ENSG00000175946	KLHL21	KLHL38	Bilateria
ENSG00000156273	ENSG00000162413	BACH1	KLHL21	Bilateria
ENSG00000162413	ENSG00000185915	KLHL21	KLHL34	Bilateria
ENSG00000116679	ENSG00000162413	IVNS1ABP	KLHL21	Bilateria
ENSG00000135686	ENSG00000162413	KLHL36	KLHL21	Bilateria
ENSG00000145332	ENSG00000162413	KLHL8	KLHL21	Bilateria
ENSG00000162413	ENSG00000176595	KLHL21	KBTBD11	Bilateria
ENSG00000102271	ENSG00000162413	KLHL4	KLHL21	Bilateria
ENSG00000099910	ENSG00000162413	KLHL22	KLHL21	Bilateria
ENSG00000109466	ENSG00000162413	KLHL2	KLHL21	Bilateria
ENSG00000124743	ENSG00000162413	KLHL31	KLHL21	Bilateria
ENSG00000162413	ENSG00000167487	KLHL21	KLHL26	Bilateria
ENSG00000162413	ENSG00000185909	KLHL21	KLHDC8B	Bilateria
ENSG00000162413	ENSG00000185271	KLHL21	KLHL33	Bilateria
ENSG00000162413	ENSG00000233436	KLHL21	BTBD18	Bilateria
ENSG00000162413	ENSG00000197705	KLHL21	KLHL14	Bilateria
ENSG00000162413	ENSG00000187715	KLHL21	KBTBD12	Bilateria
ENSG00000162413	ENSG00000198642	KLHL21	KLHL9	Bilateria
ENSG00000003096	ENSG00000162413	KLHL13	KLHL21	Bilateria
ENSG00000162413	ENSG00000197429	KLHL21	IPP	Bilateria
ENSG00000076321	ENSG00000162413	KLHL20	KLHL21	Bilateria
ENSG00000146021	ENSG00000162413	KLHL3	KLHL21	Bilateria
ENSG00000162413	ENSG00000261609	KLHL21	GAN	Bilateria
ENSG00000119771	ENSG00000162413	KLHL29	KLHL21	Bilateria
ENSG00000162413	ENSG00000168427	KLHL21	KLHL30	Bilateria
ENSG00000149243	ENSG00000162413	KLHL35	KLHL21	Bilateria
ENSG00000162413	ENSG00000239474	KLHL21	KLHL41	Bilateria
ENSG00000130487	ENSG00000162413	KLHDC7B	KLHL21	Bilateria
ENSG00000112182	ENSG00000162413	BACH2	KLHL21	Bilateria
ENSG00000162413	ENSG00000172578	KLHL21	KLHL6	Bilateria
ENSG00000114796	ENSG00000162413	KLHL24	KLHL21	Bilateria
ENSG00000162413	ENSG00000174010	KLHL21	KLHL15	Bilateria
ENSG00000162413	ENSG00000162873	KLHL21	KLHDC8A	Bilateria
ENSG00000162413	ENSG00000185972	KLHL21	CCIN	Bilateria
ENSG00000114648	ENSG00000162413	KLHL18	KLHL21	Bilateria
ENSG00000162413	ENSG00000213160	KLHL21	KLHL23	Bilateria
ENSG00000117153	ENSG00000162413	KLHL12	KLHL21	Bilateria
ENSG00000150361	ENSG00000162413	KLHL1	KLHL21	Bilateria
ENSG00000079999	ENSG00000162413	KEAP1	KLHL21	Bilateria
ENSG00000087448	ENSG00000162413	KLHL42	KLHL21	Bilateria
ENSG00000122550	ENSG00000162413	KLHL7	KLHL21	Bilateria
ENSG00000162413	ENSG00000179454	KLHL21	KLHL28	Bilateria
ENSG00000162413	ENSG00000234438	KLHL21	KBTBD13	Bilateria
ENSG00000161594	ENSG00000162413	KLHL10	KLHL21	Bilateria
ENSG00000007923	ENSG00000163793	DNAJC11	DNAJC5G	Opisthokonta
ENSG00000007923	ENSG00000116138	DNAJC11	DNAJC16	Opisthokonta
ENSG00000007923	ENSG00000213551	DNAJC11	DNAJC9	Opisthokonta
ENSG00000007923	ENSG00000104129	DNAJC11	DNAJC17	Opisthokonta
ENSG00000007923	ENSG00000135392	DNAJC11	DNAJC14	Opisthokonta
ENSG00000007923	ENSG00000170464	DNAJC11	DNAJC18	Opisthokonta
ENSG00000049245	ENSG00000139190	VAMP3	VAMP1	Opisthokonta
ENSG00000026103	ENSG00000049249	FAS	TNFRSF9	Chordata
ENSG00000151229	ENSG00000197241	SLC2A13	SLC2A7	Opisthokonta
ENSG00000142583	ENSG00000151229	SLC2A5	SLC2A13	Opisthokonta
ENSG00000180758	ENSG00000198270	GPR157	TMEM116	Chordata
ENSG00000049239	ENSG00000160211	H6PD	G6PD	Bilateria
ENSG00000162461	ENSG00000171612	SLC25A34	SLC25A33	Opisthokonta
ENSG00000171612	ENSG00000178537	SLC25A33	SLC25A20	Opisthokonta
ENSG00000102078	ENSG00000171612	SLC25A14	SLC25A33	Opisthokonta
ENSG00000144741	ENSG00000171612	SLC25A26	SLC25A33	Opisthokonta
ENSG00000171612	ENSG00000182902	SLC25A33	SLC25A18	Opisthokonta
ENSG00000133056	ENSG00000171608	PIK3C2B	PIK3CD	Opisthokonta
ENSG00000105851	ENSG00000171608	PIK3CG	PIK3CD	Opisthokonta
ENSG00000011405	ENSG00000171608	PIK3C2A	PIK3CD	Opisthokonta
ENSG00000054523	ENSG00000237649	KIF1B	KIFC1	Opisthokonta
ENSG00000054523	ENSG00000125337	KIF1B	KIF25	Opisthokonta
ENSG00000054523	ENSG00000162849	KIF1B	KIF26B	Opisthokonta
ENSG00000054523	ENSG00000066735	KIF1B	KIF26A	Opisthokonta
