accession	organism	vclass	vorder	group	cell	copy_id	label	contig	start	end	n_informative	keys
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	non_actinopterygian	ITPR2	Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR2.0	Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR2.0	CM020215.1	76787452	77053252	19	BHLHE41;BMAL2;CYB5R3;DNAI7;ETFRF1;FGFR1OP2;GYS2;INTS13;IRAG2;KCNJ8;LDHB;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;STK38L;TM7SF3
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	non_actinopterygian	ITPR3	Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR3.0	Phoenicopterus_ruber_ruber|GCA_009819775.1|ITPR3.0	CM020239.1	4308884	4357363	17	APOBEC2;BAK1;FOXP4;GRM4;HMGA1;IP6K3;LEMD2;MDFI;MLN;NCR2;NFYA;OARD1;PACSIN1;RPS10;SMIM29;TFEB;TSPO2
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	non_actinopterygian	RYR	Phoenicopterus_ruber_ruber|GCA_009819775.1|RYR.0	Phoenicopterus_ruber_ruber|GCA_009819775.1|RYR.0	CM020217.1	43176402	43630802	20	ACTN2;CHRM3;EDARADD;ERO1B;EXO1;FMN2;GNG4;GPR137B;GREM2;HEATR1;LGALS8;LYST;MAP1LC3C;MTR;NID1;OPN3;PIGM;PLD5;RGS7;WDR64
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	non_actinopterygian	RYR	Phoenicopterus_ruber_ruber|GCA_009819775.1|RYR.1	Phoenicopterus_ruber_ruber|GCA_009819775.1|RYR.1	CM020219.1	36415959	36660665	18	ARHGAP11A;AVEN;CDIN1;CHRM5;DPH6;EIF2AK4;EMC7;FAM98B;FMN1;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SPRED1;SRP14;THBS1
GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	non_actinopterygian	ITPR2	Crypturellus_undulatus|GCA_013389825.1|ITPR2.0	Crypturellus_undulatus|GCA_013389825.1|ITPR2.0	VWPW01014676.1	286425	522703	7	BHLHE41;FGFR1OP2;INTS13;MED21;SSPN;STK38L;TM7SF3
GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	non_actinopterygian	RYR	Crypturellus_undulatus|GCA_013389825.1|RYR.1	Crypturellus_undulatus|GCA_013389825.1|RYR.1	VWPW01021686.1	6388	188083	9	ARHGAP11A;AVEN;DPH6;FAM98B;GREM1;LD;RASGRP1;SCG5;SPRED1
GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	non_actinopterygian	ITPR3	Dryoscopus_gambensis|GCA_013389985.1|ITPR3.0	Dryoscopus_gambensis|GCA_013389985.1|ITPR3.0	WEIT01027115.1	18120	55110	9	GRM4;HMGA1;IP6K3;LEMD2;MLN;NUDT3;PACSIN1;RPS10;UQCC2
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	non_actinopterygian	ITPR1	Chloropsis_hardwickii|GCA_013390065.1|ITPR1.0	Chloropsis_hardwickii|GCA_013390065.1|ITPR1.0	WEIW01000372.1	584206	736259	7	BHLHE40;CRBN;IL5RA;LRRN1;SETMAR;SUMF1;TRNT1
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	non_actinopterygian	ITPR2	Chloropsis_hardwickii|GCA_013390065.1|ITPR2.0	Chloropsis_hardwickii|GCA_013390065.1|ITPR2.0	WEIW01000437.1	216914	459762	5	FGFR1OP2;INTS13;MED21;SSPN;TM7SF3
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	non_actinopterygian	RYR	Chloropsis_hardwickii|GCA_013390065.1|RYR.0	Chloropsis_hardwickii|GCA_013390065.1|RYR.0	WEIW01000007.1	603461	986066	9	ACTN2;EDARADD;ERO1B;GNG4;GPR137B;HEATR1;LGALS8;LYST;NID1
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	non_actinopterygian	RYR	Chloropsis_hardwickii|GCA_013390065.1|RYR.1	Chloropsis_hardwickii|GCA_013390065.1|RYR.1	WEIW01000336.1	3014	195968	7	AVEN;CHRM5;EMC7;FSIP1;GPR176;KATNBL1;THBS1
GCA_013390105.1	Tichodroma muraria	Aves	Passeriformes	non_actinopterygian	ITPR3	Tichodroma_muraria|GCA_013390105.1|ITPR3.0	Tichodroma_muraria|GCA_013390105.1|ITPR3.0	WAAG01017736.1	29323	69603	10	BAK1;GRM4;HMGA1;IP6K3;LEMD2;MLN;NUDT3;PRA1;RPS10;SNRPC
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	non_actinopterygian	ITPR1	Menura_novaehollandiae|GCA_013396355.1|ITPR1.0	Menura_novaehollandiae|GCA_013396355.1|ITPR1.0	VWPS01000057.1	1454359	1609868	14	BHLHE40;CAV3;CNTN4;CRBN;EDEM1;IL5RA;LMCD1;LRRN1;RAD18;SETMAR;SRGAP3;SUMF1;THUMPD3;TRNT1
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	non_actinopterygian	ITPR2	Menura_novaehollandiae|GCA_013396355.1|ITPR2.0	Menura_novaehollandiae|GCA_013396355.1|ITPR2.0	VWPS01000128.1	596224	815047	13	BHLHE41;CYB5R3;ENDOUA;ETFRF1;FGFR1OP2;GYS2;INTS13;KRAS;PPFIBP1;REP15;SPX;SSPN;TM7SF3
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	non_actinopterygian	ITPR3	Menura_novaehollandiae|GCA_013396355.1|ITPR3.0	Menura_novaehollandiae|GCA_013396355.1|ITPR3.0	VWPS01000164.1	595136	635528	18	APOBEC2;BAK1;CD300A;GRM4;HMGA1;IP6K3;LEMD2;MDFI;MLN;NFYA;NUDT3;OARD1;PRA1;RPS10;SNRPC;TFEB;TREM2;UHRF1BP1
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	non_actinopterygian	RYR	Menura_novaehollandiae|GCA_013396355.1|RYR.1	Menura_novaehollandiae|GCA_013396355.1|RYR.1	VWPS01000022.1	4514479	4727368	17	ARHGAP11A;AVEN;CHRM5;EIF2AK4;EMC7;FAM98B;FSIP1;GPR176;GREM1;KATNBL1;LD;MEIS2;RASGRP1;SCG5;SPRED1;SRP14;THBS1
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	non_actinopterygian	RYR	Menura_novaehollandiae|GCA_013396355.1|RYR.0	Menura_novaehollandiae|GCA_013396355.1|RYR.0	VWPS01000054.1	947597	1329405	17	ACTN2;B3GALNT2;CHRM3;EDARADD;ERO1B;EXO1;FMN2;GNG4;GPR137B;GREM2;HEATR1;LYST;MAP1LC3C;NID1;OPN3;PIGM;RGS7
GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	non_actinopterygian	ITPR2	Smithornis_capensis|GCA_013396465.1|ITPR2.0	Smithornis_capensis|GCA_013396465.1|ITPR2.0	VWYW01000229.1	449541	677297	15	BHLHE41;CYB5R3;ENDOUA;ETFRF1;FGFR1OP2;GYS2;INTS13;KRAS;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;TM7SF3
GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	non_actinopterygian	RYR	Smithornis_capensis|GCA_013396465.1|RYR.1	Smithornis_capensis|GCA_013396465.1|RYR.1	VWYW01000072.1	911143	1129658	17	ARHGAP11A;AVEN;CHRM5;EIF2AK4;EMC7;FAM98B;FSIP1;GPR176;GREM1;KATNBL1;LD;ODF3;RASGRP1;SCG5;SPRED1;SRP14;THBS1
GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	non_actinopterygian	RYR	Smithornis_capensis|GCA_013396465.1|RYR.0	Smithornis_capensis|GCA_013396465.1|RYR.0	VWYW01000101.1	1644478	2036936	10	ACTN2;B3GALNT2;EDARADD;ERO1B;GNG4;GPR137B;HEATR1;LYST;MTR;NID1
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	non_actinopterygian	RYR	Ptilorrhoa_leucosticta|GCA_013396485.1|RYR.1	Ptilorrhoa_leucosticta|GCA_013396485.1|RYR.1	VWYY01000118.1	1297525	1497345	16	ARHGAP11A;AVEN;CHRM5;EIF2AK4;EMC7;FAM98B;FSIP1;GPR176;GREM1;KATNBL1;LD;RASGRP1;SCG5;SPRED1;SRP14;THBS1
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	non_actinopterygian	RYR	Ptilorrhoa_leucosticta|GCA_013396485.1|RYR.0	Ptilorrhoa_leucosticta|GCA_013396485.1|RYR.0	VWYY01000123.1	510360	912092	9	ACTN2;CHRM3;EDARADD;ERO1B;FMN2;GPR137B;GREM2;HEATR1;NID1
GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	non_actinopterygian	ITPR3	Eubucco_bourcierii|GCA_013396675.1|ITPR3.0	Eubucco_bourcierii|GCA_013396675.1|ITPR3.0	VWZE01023714.1	96269	224427	5	APOBEC2;BAK1;LRIF1;NFYA;OARD1
GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	non_actinopterygian	ITPR3	Psilopogon_haemacephalus|GCA_013396835.1|ITPR3.0	Psilopogon_haemacephalus|GCA_013396835.1|ITPR3.0	VWZI01004865.1	499854	631096	19	ADIPOR1;ANKS1A;APOBEC2;BAK1;GRM4;HMGA1;LMOD1;LRIF1;NFYA;NUDT3;OARD1;PACSIN1;RPS10;SCUBE3;SNRPC;TAF11;TIMM17A;UBE2T;UHRF1BP1
GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	non_actinopterygian	RYR	Psilopogon_haemacephalus|GCA_013396835.1|RYR.0	Psilopogon_haemacephalus|GCA_013396835.1|RYR.0	VWZI01009657.1	287938	514786	7	AVEN;CHRM5;EMC7;GREM1;KATNBL1;LD;SCG5
GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	non_actinopterygian	ITPR3	Vireo_altiloquus|GCA_013396875.1|ITPR3.0	Vireo_altiloquus|GCA_013396875.1|ITPR3.0	VZRF01014545.1	203966	288081	12	APOBEC2;BAK1;CD300LB;GRM4;HMGA1;MLN;NFYA;NUDT3;OARD1;PRA1;RPS10;TREM2
GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	non_actinopterygian	RYR	Vireo_altiloquus|GCA_013396875.1|RYR.1	Vireo_altiloquus|GCA_013396875.1|RYR.1	VZRF01009222.1	594031	799678	11	AVEN;CHRM5;EMC7;FAM98B;GREM1;KATNBL1;LD;RASGRP1;SCG5;SPRED1;THBS1
GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes	non_actinopterygian	ITPR3	Baryphthengus_martii|GCA_013396935.1|ITPR3.0	Baryphthengus_martii|GCA_013396935.1|ITPR3.0	VWZK01016629.1	161004	208872	9	APOBEC2;BAK1;CD300LD;IP6K3;LEMD2;NFYA;OARD1;PRA1;TREM2
GCA_013396975.1	Bucco capensis	Aves	Piciformes	non_actinopterygian	ITPR1	Bucco_capensis|GCA_013396975.1|ITPR1.0	Bucco_capensis|GCA_013396975.1|ITPR1.0	VWZO01019971.1	305321	469383	5	ARL8B;BHLHE40;EDEM1;SETMAR;SUMF1
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	non_actinopterygian	ITPR1	Myiagra_hebetior|GCA_013397015.1|ITPR1.0	Myiagra_hebetior|GCA_013397015.1|ITPR1.0	VWZQ01007131.1	499494	658436	10	ARL8BA;BHLHE40;CNTN4;CRBN;EDEM1;IL5RA;LRRN1;SETMAR;SUMF1;TRNT1
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	non_actinopterygian	ITPR2	Myiagra_hebetior|GCA_013397015.1|ITPR2.0	Myiagra_hebetior|GCA_013397015.1|ITPR2.0	VWZQ01006530.1	363409	582080	8	BHLHE41;FGFR1OP2;INTS13;MED21;PPFIBP1;REP15;SSPN;TM7SF3
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	non_actinopterygian	ITPR3	Myiagra_hebetior|GCA_013397015.1|ITPR3.0	Myiagra_hebetior|GCA_013397015.1|ITPR3.0	VWZQ01007200.1	310561	354898	12	APOBEC2;BAK1;CD300LB;GRM4;IP6K3;LEMD2;MDFI;MLN;NFYA;OARD1;PRA1;TREM2
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	non_actinopterygian	RYR	Myiagra_hebetior|GCA_013397015.1|RYR.0	Myiagra_hebetior|GCA_013397015.1|RYR.0	VWZQ01001806.1	609461	985178	9	ACTN2;B3GALNT2;EDARADD;ERO1B;GNG4;LGALS8;LYST;NID1;TBCE
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	non_actinopterygian	RYR	Myiagra_hebetior|GCA_013397015.1|RYR.1	Myiagra_hebetior|GCA_013397015.1|RYR.1	VWZQ01008955.1	470059	671917	6	AVEN;GREM1;LD;RASGRP1;SCG5;SPRED1
GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes	non_actinopterygian	ITPR2	Thryothorus_ludovicianus|GCA_013397245.1|ITPR2.0	Thryothorus_ludovicianus|GCA_013397245.1|ITPR2.0	VZTB01004788.1	1910	176611	5	BHLHB3;ETFRF1;KRAS;RASSF8;SSPN
GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes	non_actinopterygian	RYR	Thryothorus_ludovicianus|GCA_013397245.1|RYR.0	Thryothorus_ludovicianus|GCA_013397245.1|RYR.0	VZTB01006589.1	395	296542	9	ACTN2;EDARADD;ERO1B;GNG4;GPR137B;HEATR1;LGALS8;LYST;NID1
GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes	non_actinopterygian	ITPR2	Polioptila_caerulea|GCA_013397295.1|ITPR2.0	Polioptila_caerulea|GCA_013397295.1|ITPR2.0	VYXF01001320.1	235431	475463	6	BHLHE41;FGFR1OP2;INTS13;MED21;SSPN;TM7SF3
GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes	non_actinopterygian	RYR	Polioptila_caerulea|GCA_013397295.1|RYR.1	Polioptila_caerulea|GCA_013397295.1|RYR.1	VYXF01009487.1	85514	278560	8	ARHGAP11A;AVEN;FAM98B;GREM1;LD;RASGRP1;SCG5;SPRED1
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	non_actinopterygian	ITPR1	Sinosuthora_webbiana|GCA_013397395.1|ITPR1.0	Sinosuthora_webbiana|GCA_013397395.1|ITPR1.0	VXBN01013252.1	1291350	1443844	10	ARL8B;BHLHE40;CHL1;CNTN4;CRBN;EDEM1;IL5RA;LRRN1;SETMAR;SUMF1
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	non_actinopterygian	ITPR2	Sinosuthora_webbiana|GCA_013397395.1|ITPR2.0	Sinosuthora_webbiana|GCA_013397395.1|ITPR2.0	VXBN01011463.1	166562	407849	6	BHLHE41;FGFR1OP2;INTS13;MED21;SSPN;TM7SF3
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	non_actinopterygian	RYR	Sinosuthora_webbiana|GCA_013397395.1|RYR.0	Sinosuthora_webbiana|GCA_013397395.1|RYR.0	VXBN01012045.1	281508	658308	9	ACTN2;EDARADD;ERO1B;GNG4;GPR137B;HEATR1;LGALS8;LYST;NID1
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	non_actinopterygian	RYR	Sinosuthora_webbiana|GCA_013397395.1|RYR.1	Sinosuthora_webbiana|GCA_013397395.1|RYR.1	VXBN01015030.1	901189	1094514	16	ARHGAP11A;AVEN;CHRM5;EIF2AK4;EMC7;FGL1L;FSIP1;GPR176;GREM1;KATNBL1;LD;RASGRP1;SCG5;SPRED1;SRP14;THBS1
GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	non_actinopterygian	ITPR1	Furnarius_figulus|GCA_013397465.1|ITPR1.0	Furnarius_figulus|GCA_013397465.1|ITPR1.0	VYZD01000015.1	3558831	3709701	12	BHLHE40;CAV3;CNTN4;CRBN;EDEM1;IL5RA;LMCD1;LRRN1;MTR;SETMAR;SUMF1;TRNT1
GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	non_actinopterygian	ITPR2	Furnarius_figulus|GCA_013397465.1|ITPR2.0	Furnarius_figulus|GCA_013397465.1|ITPR2.0	VYZD01000396.1	298467	525932	8	BHLHE41;FGFR1OP2;INTS13;MED21;PPFIBP1;RASSF8;SSPN;TM7SF3
GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	non_actinopterygian	ITPR3	Furnarius_figulus|GCA_013397465.1|ITPR3.0	Furnarius_figulus|GCA_013397465.1|ITPR3.0	VYZD01000217.1	676899	713352	19	APOBEC2;BAK1;CD300LD;FOXP4;GRM4;HMGA1;IP6K3;LEMD2;MDFI;MLN;NFYA;NUDT3;OARD1;PRA1;RPS10;SMIM29;TFEB;TREM2;UQCC2
GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes	non_actinopterygian	ITPR2	Mionectes_macconnelli|GCA_013397495.1|ITPR2.0	Mionectes_macconnelli|GCA_013397495.1|ITPR2.0	VYZC01000147.1	1147216	1384546	15	BHLHE41;CYB5R3;ENDOUA;ETFRF1;FGFR1OP2;GYS2;INTS13;KRAS;LDHB;MED21;PPFIBP1;SPX;SSPN;STK38L;TM7SF3
GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes	non_actinopterygian	RYR	Mionectes_macconnelli|GCA_013397495.1|RYR.1	Mionectes_macconnelli|GCA_013397495.1|RYR.1	VYZC01000019.1	1653182	1869762	17	ARHGAP11A;AVEN;CHRM5;EIF2AK4;EMC7;FAM98B;FGL1L;FSIP1;GPR176;GREM1;KATNBL1;LD;RASGRP1;SCG5;SPRED1;SRP14;THBS1
GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes	non_actinopterygian	RYR	Mionectes_macconnelli|GCA_013397495.1|RYR.0	Mionectes_macconnelli|GCA_013397495.1|RYR.0	VYZC01000047.1	483865	872792	9	ACTN2;B3GALNT2;EDARADD;ERO1B;GNG4;GPR137B;HEATR1;LYST;NID1
GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	non_actinopterygian	ITPR1	Pterocles_burchelli|GCA_013397535.1|ITPR1.0	Pterocles_burchelli|GCA_013397535.1|ITPR1.0	VYZE01000085.1	1051875	1221646	8	ARL8B;BHLHE40;EDEM1;GRM7;LRRN1;SETMAR;SLMAP;SUMF1
GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	non_actinopterygian	ITPR2	Pterocles_burchelli|GCA_013397535.1|ITPR2.0	Pterocles_burchelli|GCA_013397535.1|ITPR2.0	VYZE01000061.1	324147	557096	13	ARNTL2;BHLHE41;CASC1;ETFRF1;FGFR1OP2;GYS2;INTS13;KRAS;MED21;SPX;SSPN;STK38L;TM7SF3
GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	non_actinopterygian	ITPR3	Pterocles_burchelli|GCA_013397535.1|ITPR3.0	Pterocles_burchelli|GCA_013397535.1|ITPR3.0	VYZE01000639.1	21766	63896	9	GRM4;HMGA1;IP6K3;LEMD2;NUDT3;PACSIN1;RPS10;SNRPC;UQCC2
GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	non_actinopterygian	RYR	Pterocles_burchelli|GCA_013397535.1|RYR.0	Pterocles_burchelli|GCA_013397535.1|RYR.0	VYZE01000008.1	59405	339970	7	CHRM3;EXO1;FMN2;GREM2;OPN3;PLD5;RGS7
GCA_013397635.1	Columbina picui	Aves	Columbiformes	non_actinopterygian	ITPR2	Columbina_picui|GCA_013397635.1|ITPR2.0	Columbina_picui|GCA_013397635.1|ITPR2.0	VYZG01000419.1	130253	368840	5	BHLHE41;FGFR1OP2;INTS13;SSPN;TM7SF3
GCA_013397635.1	Columbina picui	Aves	Columbiformes	non_actinopterygian	RYR	Columbina_picui|GCA_013397635.1|RYR.0	Columbina_picui|GCA_013397635.1|RYR.0	VYZG01000063.1	1015244	1404500	7	ACTN2;CHRM3;EDARADD;FMN2;GPR137B;HEATR1;NID1
GCA_013397635.1	Columbina picui	Aves	Columbiformes	non_actinopterygian	RYR	Columbina_picui|GCA_013397635.1|RYR.1	Columbina_picui|GCA_013397635.1|RYR.1	VYZG01000089.1	98286	329833	8	ARHGAP11A;AVEN;FAM98B;GREM1;LD;RASGRP1;SCG5;SPRED1
GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	non_actinopterygian	ITPR2	Aleadryas_rufinucha|GCA_013397815.1|ITPR2.0	Aleadryas_rufinucha|GCA_013397815.1|ITPR2.0	VZTH01019192.1	239755	484630	7	BHLHE41;FGFR1OP2;INTS13;MED21;SSPN;STK38L;TM7SF3
GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	non_actinopterygian	RYR	Aleadryas_rufinucha|GCA_013397815.1|RYR.1	Aleadryas_rufinucha|GCA_013397815.1|RYR.1	VZTH01018405.1	213306	413200	6	AVEN;CHRM5;EMC7;FGL1L;KATNBL1;LD
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	non_actinopterygian	ITPR1	Origma_solitaria|GCA_013397895.1|ITPR1.0	Origma_solitaria|GCA_013397895.1|ITPR1.0	VZRL01005794.1	229952	437130	9	ARL8BA;CNTN4;CRBN;EDEM1;IL5RA;LRRN1;SETMAR;SUMF1;TRNT1
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	non_actinopterygian	ITPR2	Origma_solitaria|GCA_013397895.1|ITPR2.0	Origma_solitaria|GCA_013397895.1|ITPR2.0	VZRL01002161.1	388382	606519	9	CYB5R3;ENDOUA;FGFR1OP2;INTS13;PPFIBP1;REP15;SSPN;STK38L;TM7SF3
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	non_actinopterygian	ITPR3	Origma_solitaria|GCA_013397895.1|ITPR3.0	Origma_solitaria|GCA_013397895.1|ITPR3.0	VZRL01001132.1	236819	265230	6	APOBEC2;BAK1;CD300LD;NFYA;OARD1;TREM2
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	non_actinopterygian	RYR	Origma_solitaria|GCA_013397895.1|RYR.1	Origma_solitaria|GCA_013397895.1|RYR.1	VZRL01002523.1	468171	658861	11	ARHGAP11A;AVEN;CHRM5;EMC7;FGL1L;GREM1;KATNBL1;LD;RASGRP1;SCG5;SPRED1
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	non_actinopterygian	RYR	Origma_solitaria|GCA_013397895.1|RYR.0	Origma_solitaria|GCA_013397895.1|RYR.0	VZRL01003992.1	573360	943975	7	ACTN2;EDARADD;ERO1B;GPR137B;HEATR1;LYST;NID1
