accession	organism	vclass	vorder	group	contig_spans_gene	ITPR1_copies	ITPR2_copies	ITPR3_copies	RYR_copies	ITPR1_contigs	ITPR1_same_contig
GCF_019740435.1	Gambusia affinis	Actinopteri	Cyprinodontiformes	teleost	1	2	1	1	6	NC_057874.1	1
GCF_046128005.1	Genypterus blacodes	Actinopteri	Ophidiiformes	teleost	1	2	1	1	6	NW_027466831.1;NW_027466880.1	0
GCF_951799975.1	Gobius niger	Actinopteri	Gobiiformes	teleost	1	2	1	1	5	NC_136871.1	1
GCA_040091325.1	Goodea atripinnis	Actinopteri	Cyprinodontiformes	teleost	0	0	0	0	1		0
GCF_900634775.2	Gouania willdenowi	Actinopteri	Blenniiformes	teleost	1	2	1	1	6	NC_041048.1	1
GCA_900312595.1	Guentherus altivela	Actinopteri	Ateleopodiformes	teleost	0	0	0	0	0		0
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	teleost	1	2	2	1	4	CM165611.1;CM165617.1	0
GCF_029633855.1	Hoplias malabaricus	Actinopteri	Characiformes	teleost	1	2	1	1	5	NC_089802.1;NC_089804.1	0
GCF_054491055.1	Hypomesus nipponensis	Actinopteri	Osmeriformes	teleost	1	2	1	1	6	NC_140369.1	1
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	teleost	0	0	0	0	0		0
GCF_029633865.1	Lampris incognitus	Actinopteri	Lampriformes	teleost	1	2	1	1	6	NC_079212.1	1
GCA_033238685.1	Lates japonicus	Actinopteri		teleost	1	2	1	3	6	BRZM01000050.1;BRZM01000069.1	0
GCA_051992705.1	Lepidogalaxias salamandroides	Actinopteri	Lepidogalaxiiformes	teleost	0	0	0	0	0		0
GCA_050084785.1	Liparis tanakae	Actinopteri	Perciformes	teleost	1	2	1	1	6	CM114425.1	1
GCF_056507025.1	Lutjanus erythropterus	Actinopteri	Lutjaniformes	teleost	1	2	1	1	6	NC_139318.1	1
GCF_900324485.3	Mastacembelus armatus	Actinopteri	Synbranchiformes	teleost	1	2	1	1	6	NC_046637.1	1
GCF_013368585.1	Megalops cyprinoides	Actinopteri	Elopiformes	teleost	1	2	1	1	5	NC_050588.1;NC_050589.1	0
GCF_963457635.1	Microchirus variegatus	Actinopteri	Pleuronectiformes	teleost	1	2	1	1	6	NC_139805.1;NC_139808.1	0
GCF_021292245.1	Micropterus dolomieu	Actinopteri	Centrarchiformes	teleost	0	2	1	1	6	NC_060167.1	1
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	teleost	1	2	1	1	6	CM051002.1	1
GCF_902150065.1	Myripristis murdjan	Actinopteri	Holocentriformes	teleost	1	2	1	1	6	NC_043984.1	1
GCF_963921795.1	Nannobrachium achirus	Actinopteri	Myctophiformes	teleost	1	2	2	1	6	NC_137815.1	1
GCF_963989245.1	Nansenia antarctica	Actinopteri	Argentiniformes	teleost	1	2	1	1	6	NC_137685.1;NC_137691.1	0
GCF_027579695.1	Neoarius graeffei	Actinopteri	Siluriformes	teleost	1	2	1	1	6	NC_083572.1;NC_083594.1	0
GCA_014281875.1	Nibea albiflora	Actinopteri		teleost	1	2	1	2	6	CM024790.1	1
GCF_043380555.1	Nothobranchius furzeri	Actinopteri	Cyprinodontiformes	teleost	1	2	1	1	6	NC_091743.1	1
GCF_963971535.1	Notolepis coatsorum	Actinopteri	Aulopiformes	teleost	1	2	1	1	5	NC_140170.1	1
GCF_949606895.1	Notothenia rossii	Actinopteri	Perciformes	teleost	1	1	1	1	6	NC_136903.1	0
GCF_048594095.1	Paramormyrops kingsleyae	Actinopteri	Osteoglossiformes	teleost	1	2	1	1	4	NC_132802.1;NC_132804.1	0
GCA_984656905.1	Parequula melbournensis	Actinopteri	Gerreiformes	teleost	1	2	1	1	6	OZ479485.1	1
GCF_042242105.1	Pempheris klunzingeri	Actinopteri	Acropomatiformes	teleost	1	2	1	1	6	NC_092013.1	1
GCF_949152265.1	Phoxinus phoxinus	Actinopteri	Cypriniformes	teleost	1	2	1	1	6	NC_136886.1;NC_136897.1	0
GCA_058707665.1	Platax teira	Actinopteri	Ephippiformes	teleost	1	2	1	1	6	CM178913.1	1
GCA_047511595.1	Polymixia lowei	Actinopteri	Polymixiiformes	teleost	1	2	1	1	6	CM105268.1	1
GCF_964638095.1	Poromitra crassiceps	Actinopteri	Beryciformes	teleost	1	2	1	1	6	NC_139649.1;NC_139650.1	0
GCA_056506795.1	Pristigenys meyeri	Actinopteri	Priacanthiformes	teleost	1	2	1	1	6	CM151773.1	1
GCF_057381845.1	Rhamphochromis longiceps	Actinopteri	Cichliformes	teleost	1	2	1	1	7	NC_140561.1	1
GCF_027409825.1	Scomber japonicus	Actinopteri	Scombriformes	teleost	1	2	1	1	6	NC_070580.1	1
GCF_900880675.2	Sparus aurata	Actinopteri	Spariformes	teleost	1	2	1	1	6	NC_044192.1	1
GCF_902148855.1	Sphaeramia orbicularis	Actinopteri	Kurtiformes	teleost	1	2	1	1	6	NC_043961.1	1
GCA_056824565.1	Stylephorus chordatus	Actinopteri	Stylephoriformes	teleost	1	2	1	1	6	CM166136.1;CM166138.1	0
GCF_901000725.3	Takifugu rubripes	Actinopteri	Tetraodontiformes	teleost	1	2	1	1	6	NC_042303.1	1
GCF_933228915.1	Telmatherina bonti	Actinopteri	Atheriniformes	teleost	1	2	1	1	6	NC_136624.1	1
GCF_902500255.1	Thalassophryne amazonica	Actinopteri	Batrachoidiformes	teleost	1	2	1	1	6	NC_047105.1	1
GCF_045865225.1	Trachurus japonicus	Actinopteri	Carangiformes	teleost	1	2	1	1	6	NC_140911.1	1
GCA_040091335.1	Xenoophorus captivus	Actinopteri	Cyprinodontiformes	teleost	0	0	1	0	1		0
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	Cyprinodontiformes	teleost	0	0	0	1	1		0
GCF_016859285.1	Xiphias gladius	Actinopteri	Istiophoriformes	teleost	1	2	1	1	6	NC_053420.1	1
GCF_960531495.1	Zeus faber	Actinopteri	Zeiformes	teleost	1	2	1	1	6	NC_137192.1	1
