accession	organism	vorder	anchor	anchor_organism	orientation	margin
GCF_011004845.1	Esox lucius	Esociformes	GCF_902362185.1	Chanos chanos	0	0.7909
GCF_011004845.1	Esox lucius	Esociformes	GCF_902167405.1	Gadus morhua	1	0.9449
GCF_013368585.1	Megalops cyprinoides	Elopiformes	GCA_014281875.1	Nibea albiflora	0	0.1141
GCF_013368585.1	Megalops cyprinoides	Elopiformes	GCF_029633855.1	Hoplias malabaricus	1	0.4935
GCF_013368585.1	Megalops cyprinoides	Elopiformes	GCF_041902795.1	Electrophorus electricus	1	0.3025
GCF_013368585.1	Megalops cyprinoides	Elopiformes	GCF_052040795.1	Danio rerio	1	0.3144
GCF_013368585.1	Megalops cyprinoides	Elopiformes	GCF_902362185.1	Chanos chanos	0	0.381
GCF_013368585.1	Megalops cyprinoides	Elopiformes	GCF_902167405.1	Gadus morhua	1	0.3254
GCF_016859285.1	Xiphias gladius	Istiophoriformes	GCA_014281875.1	Nibea albiflora	1	0.2222
GCF_016859285.1	Xiphias gladius	Istiophoriformes	GCF_029633855.1	Hoplias malabaricus	0	0.365
GCF_016859285.1	Xiphias gladius	Istiophoriformes	GCF_041902795.1	Electrophorus electricus	0	0.36
GCF_016859285.1	Xiphias gladius	Istiophoriformes	GCF_052040795.1	Danio rerio	0	0.3269
GCF_016859285.1	Xiphias gladius	Istiophoriformes	GCF_902362185.1	Chanos chanos	1	0.7536
GCF_016859285.1	Xiphias gladius	Istiophoriformes	GCF_902167405.1	Gadus morhua	0	1.0065
GCF_018320785.1	Cheilinus undulatus	Labriformes	GCA_014281875.1	Nibea albiflora	0	0.2555
GCF_018320785.1	Cheilinus undulatus	Labriformes	GCF_029633855.1	Hoplias malabaricus	1	0.3997
GCF_018320785.1	Cheilinus undulatus	Labriformes	GCF_041902795.1	Electrophorus electricus	1	0.3942
GCF_018320785.1	Cheilinus undulatus	Labriformes	GCF_052040795.1	Danio rerio	1	0.36
GCF_018320785.1	Cheilinus undulatus	Labriformes	GCF_902362185.1	Chanos chanos	0	0.7751
GCF_018320785.1	Cheilinus undulatus	Labriformes	GCF_902167405.1	Gadus morhua	1	1.026
GCF_019740435.1	Gambusia affinis	Cyprinodontiformes	GCA_014281875.1	Nibea albiflora	0	0.2198
GCF_019740435.1	Gambusia affinis	Cyprinodontiformes	GCF_029633855.1	Hoplias malabaricus	1	0.1268
GCF_019740435.1	Gambusia affinis	Cyprinodontiformes	GCF_041902795.1	Electrophorus electricus	1	0.1235
GCF_019740435.1	Gambusia affinis	Cyprinodontiformes	GCF_052040795.1	Danio rerio	1	0.0839
GCF_019740435.1	Gambusia affinis	Cyprinodontiformes	GCF_902362185.1	Chanos chanos	0	0.3213
GCF_019740435.1	Gambusia affinis	Cyprinodontiformes	GCF_902167405.1	Gadus morhua	1	0.6667
GCF_021292245.1	Micropterus dolomieu	Centrarchiformes	GCA_014281875.1	Nibea albiflora	1	0.2685
GCF_021292245.1	Micropterus dolomieu	Centrarchiformes	GCF_029633855.1	Hoplias malabaricus	0	0.2857
GCF_021292245.1	Micropterus dolomieu	Centrarchiformes	GCF_041902795.1	Electrophorus electricus	0	0.2792
GCF_021292245.1	Micropterus dolomieu	Centrarchiformes	GCF_052040795.1	Danio rerio	0	0.2351
GCF_021292245.1	Micropterus dolomieu	Centrarchiformes	GCF_902362185.1	Chanos chanos	1	0.7316
GCF_021292245.1	Micropterus dolomieu	Centrarchiformes	GCF_902167405.1	Gadus morhua	0	0.7202
GCF_027409825.1	Scomber japonicus	Scombriformes	GCA_014281875.1	Nibea albiflora	0	0.206
GCF_027409825.1	Scomber japonicus	Scombriformes	GCF_029633855.1	Hoplias malabaricus	1	0.3804
GCF_027409825.1	Scomber japonicus	Scombriformes	GCF_041902795.1	Electrophorus electricus	1	0.375
GCF_027409825.1	Scomber japonicus	Scombriformes	GCF_052040795.1	Danio rerio	1	0.3393
GCF_027409825.1	Scomber japonicus	Scombriformes	GCF_902362185.1	Chanos chanos	0	0.3052
GCF_027409825.1	Scomber japonicus	Scombriformes	GCF_902167405.1	Gadus morhua	1	1.0523
GCF_027579695.1	Neoarius graeffei	Siluriformes	GCA_014281875.1	Nibea albiflora	1	0.2667
GCF_027579695.1	Neoarius graeffei	Siluriformes	GCF_029633855.1	Hoplias malabaricus	0	1.3627
GCF_027579695.1	Neoarius graeffei	Siluriformes	GCF_041902795.1	Electrophorus electricus	0	1.15
GCF_027579695.1	Neoarius graeffei	Siluriformes	GCF_052040795.1	Danio rerio	0	1.1842
GCF_027579695.1	Neoarius graeffei	Siluriformes	GCF_902362185.1	Chanos chanos	1	0.88
GCF_027579695.1	Neoarius graeffei	Siluriformes	GCF_902167405.1	Gadus morhua	0	0.2784
GCF_029633855.1	Hoplias malabaricus	Characiformes	GCA_014281875.1	Nibea albiflora	1	0.2581
GCF_029633855.1	Hoplias malabaricus	Characiformes	GCF_041902795.1	Electrophorus electricus	0	1.6444
GCF_029633855.1	Hoplias malabaricus	Characiformes	GCF_052040795.1	Danio rerio	0	1.5789
GCF_029633855.1	Hoplias malabaricus	Characiformes	GCF_902362185.1	Chanos chanos	1	1.0042
GCF_029633855.1	Hoplias malabaricus	Characiformes	GCF_902167405.1	Gadus morhua	0	0.4311
GCF_029633865.1	Lampris incognitus	Lampriformes	GCA_014281875.1	Nibea albiflora	1	0.2757
GCF_029633865.1	Lampris incognitus	Lampriformes	GCF_029633855.1	Hoplias malabaricus	0	0.2723
GCF_029633865.1	Lampris incognitus	Lampriformes	GCF_041902795.1	Electrophorus electricus	0	0.2692
GCF_029633865.1	Lampris incognitus	Lampriformes	GCF_052040795.1	Danio rerio	0	0.237
GCF_029633865.1	Lampris incognitus	Lampriformes	GCF_902362185.1	Chanos chanos	1	0.8064
GCF_029633865.1	Lampris incognitus	Lampriformes	GCF_902167405.1	Gadus morhua	0	0.8377
GCF_033026475.1	Channa argus	Anabantiformes	GCA_014281875.1	Nibea albiflora	0	0.2869
GCF_033026475.1	Channa argus	Anabantiformes	GCF_029633855.1	Hoplias malabaricus	1	0.3833
GCF_033026475.1	Channa argus	Anabantiformes	GCF_041902795.1	Electrophorus electricus	1	0.3796
GCF_033026475.1	Channa argus	Anabantiformes	GCF_052040795.1	Danio rerio	1	0.3477
GCF_033026475.1	Channa argus	Anabantiformes	GCF_902362185.1	Chanos chanos	0	0.8349
GCF_033026475.1	Channa argus	Anabantiformes	GCF_902167405.1	Gadus morhua	1	1.0936
GCF_033807715.1	Cololabis saira	Beloniformes	GCA_014281875.1	Nibea albiflora	1	0.2369
GCF_033807715.1	Cololabis saira	Beloniformes	GCF_029633855.1	Hoplias malabaricus	0	0.1661
GCF_033807715.1	Cololabis saira	Beloniformes	GCF_041902795.1	Electrophorus electricus	0	0.1607
GCF_033807715.1	Cololabis saira	Beloniformes	GCF_052040795.1	Danio rerio	0	0.117
GCF_033807715.1	Cololabis saira	Beloniformes	GCF_902362185.1	Chanos chanos	1	0.4242
GCF_033807715.1	Cololabis saira	Beloniformes	GCF_902167405.1	Gadus morhua	0	0.7692
GCF_033978785.1	Entelurus aequoreus	Syngnathiformes	GCA_014281875.1	Nibea albiflora	0	0.2619
GCF_033978785.1	Entelurus aequoreus	Syngnathiformes	GCF_029633855.1	Hoplias malabaricus	1	0.3601
GCF_033978785.1	Entelurus aequoreus	Syngnathiformes	GCF_041902795.1	Electrophorus electricus	1	0.3562
GCF_033978785.1	Entelurus aequoreus	Syngnathiformes	GCF_052040795.1	Danio rerio	1	0.3217
GCF_033978785.1	Entelurus aequoreus	Syngnathiformes	GCF_902362185.1	Chanos chanos	0	0.6476
GCF_033978785.1	Entelurus aequoreus	Syngnathiformes	GCF_902167405.1	Gadus morhua	1	0.7246
GCF_034702125.1	Engraulis encrasicolus	Clupeiformes	GCA_014281875.1	Nibea albiflora	1	0.1345
GCF_034702125.1	Engraulis encrasicolus	Clupeiformes	GCF_029633855.1	Hoplias malabaricus	0	0.1414
GCF_034702125.1	Engraulis encrasicolus	Clupeiformes	GCF_041902795.1	Electrophorus electricus	0	0.1386
GCF_034702125.1	Engraulis encrasicolus	Clupeiformes	GCF_052040795.1	Danio rerio	0	0.1407
GCF_034702125.1	Engraulis encrasicolus	Clupeiformes	GCF_902362185.1	Chanos chanos	1	0.4746
GCF_034702125.1	Engraulis encrasicolus	Clupeiformes	GCF_902167405.1	Gadus morhua	0	0.1469
GCF_039877785.1	Chaetodon trifascialis	Chaetodontiformes	GCA_014281875.1	Nibea albiflora	1	0.2884
GCF_039877785.1	Chaetodon trifascialis	Chaetodontiformes	GCF_029633855.1	Hoplias malabaricus	0	0.3843
GCF_039877785.1	Chaetodon trifascialis	Chaetodontiformes	GCF_041902795.1	Electrophorus electricus	0	0.3793
GCF_039877785.1	Chaetodon trifascialis	Chaetodontiformes	GCF_052040795.1	Danio rerio	0	0.3462
GCF_039877785.1	Chaetodon trifascialis	Chaetodontiformes	GCF_902362185.1	Chanos chanos	1	0.8238
GCF_039877785.1	Chaetodon trifascialis	Chaetodontiformes	GCF_902167405.1	Gadus morhua	0	1.204
GCF_040054535.1	Antennarius striatus	Lophiiformes	GCA_014281875.1	Nibea albiflora	1	0.2555
GCF_040054535.1	Antennarius striatus	Lophiiformes	GCF_029633855.1	Hoplias malabaricus	0	0.3997
GCF_040054535.1	Antennarius striatus	Lophiiformes	GCF_041902795.1	Electrophorus electricus	0	0.3942
GCF_040054535.1	Antennarius striatus	Lophiiformes	GCF_052040795.1	Danio rerio	0	0.36
GCF_040054535.1	Antennarius striatus	Lophiiformes	GCF_902362185.1	Chanos chanos	1	0.8687
GCF_040054535.1	Antennarius striatus	Lophiiformes	GCF_902167405.1	Gadus morhua	0	0.6854
GCF_041902795.1	Electrophorus electricus	Gymnotiformes	GCA_014281875.1	Nibea albiflora	1	0.253
GCF_041902795.1	Electrophorus electricus	Gymnotiformes	GCF_029633855.1	Hoplias malabaricus	0	1.6444
GCF_041902795.1	Electrophorus electricus	Gymnotiformes	GCF_052040795.1	Danio rerio	0	1.8359
GCF_041902795.1	Electrophorus electricus	Gymnotiformes	GCF_902362185.1	Chanos chanos	1	1.0061
GCF_041902795.1	Electrophorus electricus	Gymnotiformes	GCF_902167405.1	Gadus morhua	0	0.4271
GCF_042242105.1	Pempheris klunzingeri	Acropomatiformes	GCA_014281875.1	Nibea albiflora	1	0.2074
GCF_042242105.1	Pempheris klunzingeri	Acropomatiformes	GCF_029633855.1	Hoplias malabaricus	0	0.1704
GCF_042242105.1	Pempheris klunzingeri	Acropomatiformes	GCF_041902795.1	Electrophorus electricus	0	0.165
GCF_042242105.1	Pempheris klunzingeri	Acropomatiformes	GCF_052040795.1	Danio rerio	0	0.1217
GCF_042242105.1	Pempheris klunzingeri	Acropomatiformes	GCF_902362185.1	Chanos chanos	1	0.5615
GCF_042242105.1	Pempheris klunzingeri	Acropomatiformes	GCF_902167405.1	Gadus morhua	0	0.7793
GCF_043380555.1	Nothobranchius furzeri	Cyprinodontiformes	GCA_014281875.1	Nibea albiflora	0	0.1895
GCF_043380555.1	Nothobranchius furzeri	Cyprinodontiformes	GCF_029633855.1	Hoplias malabaricus	1	0.1541
GCF_043380555.1	Nothobranchius furzeri	Cyprinodontiformes	GCF_041902795.1	Electrophorus electricus	1	0.151
GCF_043380555.1	Nothobranchius furzeri	Cyprinodontiformes	GCF_052040795.1	Danio rerio	1	0.114
GCF_043380555.1	Nothobranchius furzeri	Cyprinodontiformes	GCF_902362185.1	Chanos chanos	0	0.5154
GCF_043380555.1	Nothobranchius furzeri	Cyprinodontiformes	GCF_902167405.1	Gadus morhua	1	0.7629
GCF_045865225.1	Trachurus japonicus	Carangiformes	GCA_014281875.1	Nibea albiflora	1	0.2943
GCF_045865225.1	Trachurus japonicus	Carangiformes	GCF_029633855.1	Hoplias malabaricus	0	0.3956
GCF_045865225.1	Trachurus japonicus	Carangiformes	GCF_041902795.1	Electrophorus electricus	0	0.3897
GCF_045865225.1	Trachurus japonicus	Carangiformes	GCF_052040795.1	Danio rerio	0	0.3526
GCF_045865225.1	Trachurus japonicus	Carangiformes	GCF_902362185.1	Chanos chanos	1	0.8321
GCF_045865225.1	Trachurus japonicus	Carangiformes	GCF_902167405.1	Gadus morhua	0	1.0502
GCF_046128005.1	Genypterus blacodes	Ophidiiformes	GCA_014281875.1	Nibea albiflora	0	0.1111
GCF_046128005.1	Genypterus blacodes	Ophidiiformes	GCF_029633855.1	Hoplias malabaricus	1	0.2508
GCF_046128005.1	Genypterus blacodes	Ophidiiformes	GCF_041902795.1	Electrophorus electricus	1	0.2436
GCF_046128005.1	Genypterus blacodes	Ophidiiformes	GCF_052040795.1	Danio rerio	1	0.2
GCF_046128005.1	Genypterus blacodes	Ophidiiformes	GCF_902362185.1	Chanos chanos	0	0.167
GCF_046128005.1	Genypterus blacodes	Ophidiiformes	GCF_902167405.1	Gadus morhua	1	0.6133
GCF_048594095.1	Paramormyrops kingsleyae	Osteoglossiformes	GCA_014281875.1	Nibea albiflora	1	0.1174
GCF_048594095.1	Paramormyrops kingsleyae	Osteoglossiformes	GCF_029633855.1	Hoplias malabaricus	0	0.3333
GCF_048594095.1	Paramormyrops kingsleyae	Osteoglossiformes	GCF_041902795.1	Electrophorus electricus	0	0.2161
GCF_048594095.1	Paramormyrops kingsleyae	Osteoglossiformes	GCF_052040795.1	Danio rerio	0	0.2245
GCF_048594095.1	Paramormyrops kingsleyae	Osteoglossiformes	GCF_902362185.1	Chanos chanos	1	0.4226
GCF_048594095.1	Paramormyrops kingsleyae	Osteoglossiformes	GCF_902167405.1	Gadus morhua	0	0.1908
GCF_052040795.1	Danio rerio	Cypriniformes	GCA_014281875.1	Nibea albiflora	1	0.2562
GCF_052040795.1	Danio rerio	Cypriniformes	GCF_029633855.1	Hoplias malabaricus	0	1.5789
GCF_052040795.1	Danio rerio	Cypriniformes	GCF_041902795.1	Electrophorus electricus	0	1.8359
GCF_052040795.1	Danio rerio	Cypriniformes	GCF_902362185.1	Chanos chanos	1	1.1133
GCF_052040795.1	Danio rerio	Cypriniformes	GCF_902167405.1	Gadus morhua	0	0.4023
GCF_054491055.1	Hypomesus nipponensis	Osmeriformes	GCA_014281875.1	Nibea albiflora	1	0.2526
GCF_054491055.1	Hypomesus nipponensis	Osmeriformes	GCF_029633855.1	Hoplias malabaricus	0	0.3942
GCF_054491055.1	Hypomesus nipponensis	Osmeriformes	GCF_041902795.1	Electrophorus electricus	0	0.3892
GCF_054491055.1	Hypomesus nipponensis	Osmeriformes	GCF_052040795.1	Danio rerio	0	0.3569
GCF_054491055.1	Hypomesus nipponensis	Osmeriformes	GCF_902362185.1	Chanos chanos	1	0.8647
GCF_054491055.1	Hypomesus nipponensis	Osmeriformes	GCF_902167405.1	Gadus morhua	0	1.1605
GCF_056507025.1	Lutjanus erythropterus	Lutjaniformes	GCA_014281875.1	Nibea albiflora	0	0.3077
GCF_056507025.1	Lutjanus erythropterus	Lutjaniformes	GCF_029633855.1	Hoplias malabaricus	1	0.2685
GCF_056507025.1	Lutjanus erythropterus	Lutjaniformes	GCF_041902795.1	Electrophorus electricus	1	0.2652
GCF_056507025.1	Lutjanus erythropterus	Lutjaniformes	GCF_052040795.1	Danio rerio	1	0.2308
GCF_056507025.1	Lutjanus erythropterus	Lutjaniformes	GCF_902362185.1	Chanos chanos	0	0.7657
GCF_056507025.1	Lutjanus erythropterus	Lutjaniformes	GCF_902167405.1	Gadus morhua	1	0.9193
GCF_057381845.1	Rhamphochromis longiceps	Cichliformes	GCA_014281875.1	Nibea albiflora	0	0.1326
GCF_057381845.1	Rhamphochromis longiceps	Cichliformes	GCF_029633855.1	Hoplias malabaricus	1	0.1861
GCF_057381845.1	Rhamphochromis longiceps	Cichliformes	GCF_041902795.1	Electrophorus electricus	1	0.1818
GCF_057381845.1	Rhamphochromis longiceps	Cichliformes	GCF_052040795.1	Danio rerio	1	0.1387
GCF_057381845.1	Rhamphochromis longiceps	Cichliformes	GCF_902362185.1	Chanos chanos	0	0.4875
GCF_057381845.1	Rhamphochromis longiceps	Cichliformes	GCF_902167405.1	Gadus morhua	1	0.6115
GCF_900324485.3	Mastacembelus armatus	Synbranchiformes	GCA_014281875.1	Nibea albiflora	0	0.2976
GCF_900324485.3	Mastacembelus armatus	Synbranchiformes	GCF_029633855.1	Hoplias malabaricus	1	0.3502
GCF_900324485.3	Mastacembelus armatus	Synbranchiformes	GCF_041902795.1	Electrophorus electricus	1	0.3462
GCF_900324485.3	Mastacembelus armatus	Synbranchiformes	GCF_052040795.1	Danio rerio	1	0.3109
GCF_900324485.3	Mastacembelus armatus	Synbranchiformes	GCF_902362185.1	Chanos chanos	0	0.7845
GCF_900324485.3	Mastacembelus armatus	Synbranchiformes	GCF_902167405.1	Gadus morhua	1	0.9732
GCF_900634775.2	Gouania willdenowi	Blenniiformes	GCA_014281875.1	Nibea albiflora	1	0.1768
GCF_900634775.2	Gouania willdenowi	Blenniiformes	GCF_029633855.1	Hoplias malabaricus	0	0.1667
GCF_900634775.2	Gouania willdenowi	Blenniiformes	GCF_041902795.1	Electrophorus electricus	0	0.1607
GCF_900634775.2	Gouania willdenowi	Blenniiformes	GCF_052040795.1	Danio rerio	0	0.1146
GCF_900634775.2	Gouania willdenowi	Blenniiformes	GCF_902362185.1	Chanos chanos	1	0.4152
GCF_900634775.2	Gouania willdenowi	Blenniiformes	GCF_902167405.1	Gadus morhua	0	0.6799
GCF_900880675.2	Sparus aurata	Spariformes	GCA_014281875.1	Nibea albiflora	1	0.3077
GCF_900880675.2	Sparus aurata	Spariformes	GCF_029633855.1	Hoplias malabaricus	0	0.3612
GCF_900880675.2	Sparus aurata	Spariformes	GCF_041902795.1	Electrophorus electricus	0	0.3558
GCF_900880675.2	Sparus aurata	Spariformes	GCF_052040795.1	Danio rerio	0	0.32
GCF_900880675.2	Sparus aurata	Spariformes	GCF_902362185.1	Chanos chanos	1	0.7225
GCF_900880675.2	Sparus aurata	Spariformes	GCF_902167405.1	Gadus morhua	0	1.1014
GCF_901000725.3	Takifugu rubripes	Tetraodontiformes	GCA_014281875.1	Nibea albiflora	1	0.2619
GCF_901000725.3	Takifugu rubripes	Tetraodontiformes	GCF_029633855.1	Hoplias malabaricus	0	0.4121
GCF_901000725.3	Takifugu rubripes	Tetraodontiformes	GCF_041902795.1	Electrophorus electricus	0	0.4056
GCF_901000725.3	Takifugu rubripes	Tetraodontiformes	GCF_052040795.1	Danio rerio	0	0.367
GCF_901000725.3	Takifugu rubripes	Tetraodontiformes	GCF_902362185.1	Chanos chanos	1	0.38
GCF_901000725.3	Takifugu rubripes	Tetraodontiformes	GCF_902167405.1	Gadus morhua	0	0.7879
GCF_902148855.1	Sphaeramia orbicularis	Kurtiformes	GCA_014281875.1	Nibea albiflora	0	0.1969
GCF_902148855.1	Sphaeramia orbicularis	Kurtiformes	GCF_029633855.1	Hoplias malabaricus	1	0.2074
GCF_902148855.1	Sphaeramia orbicularis	Kurtiformes	GCF_041902795.1	Electrophorus electricus	1	0.2019
GCF_902148855.1	Sphaeramia orbicularis	Kurtiformes	GCF_052040795.1	Danio rerio	1	0.16
GCF_902148855.1	Sphaeramia orbicularis	Kurtiformes	GCF_902362185.1	Chanos chanos	0	0.5909
GCF_902148855.1	Sphaeramia orbicularis	Kurtiformes	GCF_902167405.1	Gadus morhua	1	0.8173
GCF_902150065.1	Myripristis murdjan	Holocentriformes	GCA_014281875.1	Nibea albiflora	1	0.2943
GCF_902150065.1	Myripristis murdjan	Holocentriformes	GCF_029633855.1	Hoplias malabaricus	0	0.3462
GCF_902150065.1	Myripristis murdjan	Holocentriformes	GCF_041902795.1	Electrophorus electricus	0	0.3426
GCF_902150065.1	Myripristis murdjan	Holocentriformes	GCF_052040795.1	Danio rerio	0	0.3092
GCF_902150065.1	Myripristis murdjan	Holocentriformes	GCF_902362185.1	Chanos chanos	1	0.7823
GCF_902150065.1	Myripristis murdjan	Holocentriformes	GCF_902167405.1	Gadus morhua	0	1.0502
GCF_902167405.1	Gadus morhua	Gadiformes	GCA_014281875.1	Nibea albiflora	1	0.2452
GCF_902167405.1	Gadus morhua	Gadiformes	GCF_029633855.1	Hoplias malabaricus	0	0.4311
GCF_902167405.1	Gadus morhua	Gadiformes	GCF_041902795.1	Electrophorus electricus	0	0.4271
GCF_902167405.1	Gadus morhua	Gadiformes	GCF_052040795.1	Danio rerio	0	0.4023
GCF_902167405.1	Gadus morhua	Gadiformes	GCF_902362185.1	Chanos chanos	1	0.4103
GCF_902362185.1	Chanos chanos	Gonorynchiformes	GCA_014281875.1	Nibea albiflora	0	0.351
GCF_902362185.1	Chanos chanos	Gonorynchiformes	GCF_029633855.1	Hoplias malabaricus	1	1.0042
GCF_902362185.1	Chanos chanos	Gonorynchiformes	GCF_041902795.1	Electrophorus electricus	1	1.0061
GCF_902362185.1	Chanos chanos	Gonorynchiformes	GCF_052040795.1	Danio rerio	1	1.1133
GCF_902362185.1	Chanos chanos	Gonorynchiformes	GCF_902167405.1	Gadus morhua	1	0.4103
GCF_902500255.1	Thalassophryne amazonica	Batrachoidiformes	GCA_014281875.1	Nibea albiflora	1	0.1954
GCF_902500255.1	Thalassophryne amazonica	Batrachoidiformes	GCF_029633855.1	Hoplias malabaricus	0	0.1304
GCF_902500255.1	Thalassophryne amazonica	Batrachoidiformes	GCF_041902795.1	Electrophorus electricus	0	0.1245
GCF_902500255.1	Thalassophryne amazonica	Batrachoidiformes	GCF_052040795.1	Danio rerio	0	0.0769
GCF_902500255.1	Thalassophryne amazonica	Batrachoidiformes	GCF_902362185.1	Chanos chanos	1	0.2692
GCF_902500255.1	Thalassophryne amazonica	Batrachoidiformes	GCF_902167405.1	Gadus morhua	0	0.5334
GCF_933228915.1	Telmatherina bonti	Atheriniformes	GCA_014281875.1	Nibea albiflora	0	0.2467
GCF_933228915.1	Telmatherina bonti	Atheriniformes	GCF_029633855.1	Hoplias malabaricus	1	0.4091
GCF_933228915.1	Telmatherina bonti	Atheriniformes	GCF_041902795.1	Electrophorus electricus	1	0.4032
GCF_933228915.1	Telmatherina bonti	Atheriniformes	GCF_052040795.1	Danio rerio	1	0.369
GCF_933228915.1	Telmatherina bonti	Atheriniformes	GCF_902362185.1	Chanos chanos	0	0.6835
GCF_933228915.1	Telmatherina bonti	Atheriniformes	GCF_902167405.1	Gadus morhua	1	0.9654
GCF_949152265.1	Phoxinus phoxinus	Cypriniformes	GCA_014281875.1	Nibea albiflora	1	0.2562
GCF_949152265.1	Phoxinus phoxinus	Cypriniformes	GCF_029633855.1	Hoplias malabaricus	0	1.6754
GCF_949152265.1	Phoxinus phoxinus	Cypriniformes	GCF_041902795.1	Electrophorus electricus	0	1.6316
GCF_949152265.1	Phoxinus phoxinus	Cypriniformes	GCF_052040795.1	Danio rerio	0	1.7778
GCF_949152265.1	Phoxinus phoxinus	Cypriniformes	GCF_902362185.1	Chanos chanos	1	1.1667
GCF_949152265.1	Phoxinus phoxinus	Cypriniformes	GCF_902167405.1	Gadus morhua	0	0.4023
GCF_949987555.1	Borostomias antarcticus	Stomiiformes	GCA_014281875.1	Nibea albiflora	0	0.2736
GCF_949987555.1	Borostomias antarcticus	Stomiiformes	GCF_029633855.1	Hoplias malabaricus	1	0.4501
GCF_949987555.1	Borostomias antarcticus	Stomiiformes	GCF_041902795.1	Electrophorus electricus	1	0.4444
GCF_949987555.1	Borostomias antarcticus	Stomiiformes	GCF_052040795.1	Danio rerio	1	0.4148
GCF_949987555.1	Borostomias antarcticus	Stomiiformes	GCF_902362185.1	Chanos chanos	0	0.7769
GCF_949987555.1	Borostomias antarcticus	Stomiiformes	GCF_902167405.1	Gadus morhua	1	1.1033
GCF_949987685.1	Ammodytes marinus	Uranoscopiformes	GCA_014281875.1	Nibea albiflora	0	0.2281
GCF_949987685.1	Ammodytes marinus	Uranoscopiformes	GCF_029633855.1	Hoplias malabaricus	1	0.3764
GCF_949987685.1	Ammodytes marinus	Uranoscopiformes	GCF_041902795.1	Electrophorus electricus	1	0.3704
GCF_949987685.1	Ammodytes marinus	Uranoscopiformes	GCF_052040795.1	Danio rerio	1	0.3333
GCF_949987685.1	Ammodytes marinus	Uranoscopiformes	GCF_902362185.1	Chanos chanos	0	0.3452
GCF_949987685.1	Ammodytes marinus	Uranoscopiformes	GCF_902167405.1	Gadus morhua	1	0.979
GCF_951799975.1	Gobius niger	Gobiiformes	GCA_014281875.1	Nibea albiflora	0	0.2976
GCF_951799975.1	Gobius niger	Gobiiformes	GCF_029633855.1	Hoplias malabaricus	1	0.4021
GCF_951799975.1	Gobius niger	Gobiiformes	GCF_041902795.1	Electrophorus electricus	1	0.3956
GCF_951799975.1	Gobius niger	Gobiiformes	GCF_052040795.1	Danio rerio	1	0.3562
GCF_951799975.1	Gobius niger	Gobiiformes	GCF_902362185.1	Chanos chanos	0	0.8368
GCF_951799975.1	Gobius niger	Gobiiformes	GCF_902167405.1	Gadus morhua	1	0.9732
GCF_960531495.1	Zeus faber	Zeiformes	GCA_014281875.1	Nibea albiflora	0	0.1738
GCF_960531495.1	Zeus faber	Zeiformes	GCF_029633855.1	Hoplias malabaricus	1	0.197
GCF_960531495.1	Zeus faber	Zeiformes	GCF_041902795.1	Electrophorus electricus	1	0.191
GCF_960531495.1	Zeus faber	Zeiformes	GCF_052040795.1	Danio rerio	1	0.1458
GCF_960531495.1	Zeus faber	Zeiformes	GCF_902362185.1	Chanos chanos	0	0.4029
GCF_960531495.1	Zeus faber	Zeiformes	GCF_902167405.1	Gadus morhua	1	0.7122
