accession	organism	vclass	vorder	assembly_level	contig_n50	contig_spans_gene	cell	cell_status	slot	locus_idx	locus_clade	assigned_via	contig	start	end	strand	bait	identity	coverage	aligned_aa	q_start	q_end	bait_len	frameshifts	stop_codons	lesions	lesion_density	integrity	family_margin	paralog_margin	contig_edge	longest_n_run	annot_gene	annot_frac_cds	annot_paralog_matches	merged_models	merged_from	is_copy	excluded_reason
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	Scaffold	15248	False	RYR	assembly_gap	cell	3	RYR	primary	KL320477.1	2040	18489	-	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.9715	0.1556	773	3926	4698	4968	0	0	0	0.0	intact	1.0	1.0	True	143		0.0	False	1		False	coverage_below_full
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	Scaffold	15248	False	RYR	assembly_gap	cell	2	RYR	primary	KL332051.1	2241	27149	+	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	0.6357	0.2589	1290	728	2017	4982	0	0	0	0.0	intact	1.0	1.0	True	115		0.0	False	1		False	coverage_below_full
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	Chromosome	7944	False	ITPR1	found_unannotated	cell	0	ITPR1	primary	CM008031.1	28422367	28806490	-	Q14643|ITPR1|Homo_sapiens|ITPR1	0.8879	1.0	2758	1	2758	2758	1	0	1	0.3626	intact	1.0	0.3521	False	7797		0.0	False	1		True	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	Chromosome	7944	False	ITPR2	found_unannotated	cell	0	ITPR2	primary	CM008029.1	46562293	47287741	-	Q14571|ITPR2|Homo_sapiens|ITPR2	0.8296	1.0	2701	1	2701	2701	1	0	1	0.3702	intact	1.0	0.315	False	13045		0.0	False	1		True	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	Chromosome	7944	False	RYR	found_unannotated	cell	1	RYR	primary	CM008011.1	60192955	60333350	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.7407	1.0	5037	1	5037	5037	5	0	5	0.9927	intact	1.0	1.0	False	6450		0.0	False	1		True	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	Chromosome	7944	False	RYR	found_unannotated	cell	2	RYR	primary	CM008019.1	88509295	89000828	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.6313	0.9968	5021	17	5037	5037	2	1	3	0.5975	intact	1.0	1.0	False	8644		0.0	False	1		True	
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	Chromosome	7944	False	RYR	found_unannotated	cell	0	RYR	primary	CM008022.1	12245616	13191845	+	Q92736|RYR2|Homo_sapiens|RYR2	0.8775	0.9974	4954	14	4967	4967	0	1	1	0.2019	intact	1.0	1.0	False	14536		0.0	False	1		True	
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	Scaffold	21257	False	ITPR3	found_annotated	cell	0	ITPR3	primary	KZ509852.1	4513	37856	-	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.8623	0.9801	2611	54	2664	2664	2	1	3	1.149	intact	1.0	0.3829	True	5920	llap_16032	0.722	False	1		True	
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	Scaffold	21257	False	RYR	found_unannotated	cell	0	RYR	primary	KZ505650.1	1556943	1978394	+	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.9845	1.0	4968	1	4968	4968	0	0	0	0.0	intact	1.0	1.0	False	1410		0.0	False	1		True	
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	Scaffold	21257	False	RYR	found_unannotated	cell	1	RYR	primary	KZ505716.1	586247	805857	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.6774	1.0	5037	1	5037	5037	0	0	0	0.0	intact	1.0	1.0	False	1990	llap_3383	0.997	False	1		True	
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	False	ITPR1	assembly_gap	cell	0	ITPR1	primary	PPHD01000413.1	7648	65942	-	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.3516	977	1803	2779	2779	0	0	0	0.0	intact	1.0	0.3007	True	30		0.0	False	1		False	coverage_below_full
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	False	ITPR1	assembly_gap	cell	1	ITPR1	primary	PPHD01008249.1	590	21997	+	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.9989	0.3188	886	81	966	2779	0	0	0	0.0	intact	1.0	1.0	True	1	CIB84_004674	0.914	False	1		False	coverage_below_full
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	False	ITPR2	assembly_gap	cell	1	ITPR2	primary	PPHD01002362.1	4881	19406	+	F1P1X4|ITPR2|Gallus_gallus|ITPR2	0.9837	0.1589	429	1689	2117	2700	0	0	0	0.0	intact	1.0	1.0	True	30		0.0	False	1		False	coverage_below_full
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	False	ITPR2	assembly_gap	cell	0	ITPR2	primary	PPHD01003807.1	6160	29027	-	F1P1X4|ITPR2|Gallus_gallus|ITPR2	0.9	0.2111	570	2115	2684	2700	0	0	0	0.0	intact	1.0	1.0	True	0	CIB84_002931	0.87	False	1		False	coverage_below_full
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	False	ITPR3	assembly_gap	cell	0	ITPR3	primary	PPHD01009884.1	3	19437	-	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.9988	0.6295	1677	31	1707	2664	0	0	0	0.0	intact	1.0	0.3408	True	0	CIB84_005232	1.0	False	1		True	
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	False	ITPR3	assembly_gap	cell	1	ITPR3	primary	PPHD01019520.1	82	6747	+	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.9963	0.2042	544	2121	2664	2664	0	0	0	0.0	intact	1.0	1.0	True	0	CIB84_007851	0.996	False	1		False	coverage_below_full
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	False	RYR	assembly_gap	cell	2	RYR	primary	PPHD01004103.1	719	28757	+	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	0.6254	0.2694	1342	900	2241	4982	0	0	0	0.0	intact	1.0	1.0	True	0		0.0	False	1		False	coverage_below_full
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	False	RYR	assembly_gap	cell	1	RYR	primary	PPHD01004762.1	949	25925	-	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.9832	0.1795	892	3763	4654	4968	0	0	0	0.0	intact	1.0	1.0	True	20		0.0	False	1		False	coverage_below_full
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	False	RYR	assembly_gap	cell	0	RYR	primary	PPHD01005234.1	2410	24777	-	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.9929	0.1985	986	1034	2019	4968	0	0	0	0.0	intact	1.0	1.0	True	37		0.0	False	1		False	coverage_below_full
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	False	RYR	assembly_gap	cell	3	RYR	primary	PPHD01048816.1	168	6558	+	H3BGR5|RYR|Latimeria_chalumnae	0.6774	0.1336	671	3757	4427	5024	0	0	0	0.0	intact	1.0	1.0	True	0		0.0	False	1		False	coverage_below_full
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	Scaffold	27065	False	ITPR1	found_no_annotation	cell	0	ITPR1	primary	QEPC01008366.1	2025790	2509193	-	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.9524	0.9975	2772	8	2779	2779	0	0	0	0.0	intact	1.0	0.3546	False	8743		0.0	False	1		True	
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	Scaffold	27065	False	ITPR2	found_no_annotation	cell	0	ITPR2	primary	QEPC01007142.1	232928	852348	-	F1P1X4|ITPR2|Gallus_gallus|ITPR2	0.9338	1.0	2700	1	2700	2700	0	0	0	0.0	intact	1.0	0.284	False	6734		0.0	False	1		True	
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	Scaffold	27065	False	ITPR3	found_no_annotation	cell	0	ITPR3	primary	QEPC01007384.1	3264626	3429450	+	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.9415	1.0	2664	1	2664	2664	0	0	0	0.0	intact	1.0	0.3593	False	3270		0.0	False	1		True	
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	Scaffold	27065	False	RYR	found_no_annotation	cell	1	RYR	primary	QEPC01001878.1	319223	437986	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.738	0.9968	5021	17	5037	5037	8	0	8	1.5933	lesion_rich	1.0	1.0	False	5740		0.0	False	1		True	
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	Scaffold	27065	False	RYR	found_no_annotation	cell	0	RYR	primary	QEPC01010682.1	4003349	5346596	+	A0A3Q0HBW9|RYR|Alligator_sinensis	0.9493	0.996	4966	21	4986	4986	0	1	1	0.2014	intact	1.0	1.0	False	7930		0.0	False	1		True	
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	Scaffold	27065	False	RYR	found_no_annotation	cell	2	RYR	primary	QEPC01010852.1	1631536	2749155	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.6711	1.0	5037	1	5037	5037	1	0	1	0.1985	intact	1.0	1.0	False	7740		0.0	False	1		True	
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	False	ITPR1	assembly_gap	cell	0	ITPR1	primary	BHFT01002173.1	5172	60614	-	A0A670JBK6|ITPR1|Podarcis_muralis	0.9671	0.5817	1598	94	1691	2747	0	0	0	0.0	intact	1.0	0.309	True	14		0.0	False	1		True	
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	False	ITPR2	assembly_gap	cell	0	ITPR2	primary	BHFT01019722.1	2266	51441	-	A0ABM1LG32|ITPR2|Gekko_japonicus	0.913	0.5616	1517	176	1692	2701	0	0	0	0.0	intact	1.0	0.2833	True	1		0.0	False	1		True	
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	False	ITPR3	assembly_gap	cell	0	ITPR3	primary	BHFT01014849.1	37021	87841	-	A0A6J0TV85|ITPR3|Pogona_vitticeps	0.9385	0.5911	1576	1091	2666	2666	0	0	0	0.0	intact	1.0	0.3441	True	1		0.0	False	1		True	
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	False	RYR	found_no_annotation	cell	1	RYR	primary	BHFT01026245.1	2114	50549	+	A0A3Q0HBW9|RYR|Alligator_sinensis	0.905	0.4308	2148	490	2637	4986	0	0	0	0.0	intact	1.0	1.0	True	1		0.0	False	1		False	coverage_below_full
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	False	RYR	found_no_annotation	cell	3	RYR	primary	BHFT01031326.1	736	43779	-	Q92736|RYR2|Homo_sapiens|RYR2	0.9045	0.2156	1071	2609	3679	4967	0	0	0	0.0	intact	1.0	1.0	True	1		0.0	False	1		False	coverage_below_full
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	False	RYR	found_no_annotation	cell	2	RYR	primary	BHFT01031327.1	6564	41077	+	H3BGR5|RYR|Latimeria_chalumnae	0.7973	0.2422	1217	3808	5024	5024	0	0	0	0.0	intact	1.0	1.0	True	19		0.0	False	1		False	coverage_below_full
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	False	RYR	found_no_annotation	cell	5	RYR	primary	BHFT01036106.1	2172	45179	-	Q92736|RYR2|Homo_sapiens|RYR2	0.8903	0.1572	781	3681	4461	4967	0	0	0	0.0	intact	1.0	1.0	True	0		0.0	False	1		False	coverage_below_full
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	False	RYR	found_no_annotation	cell	4	RYR	primary	BHFT01041112.1	5596	50321	-	Q92736|RYR2|Homo_sapiens|RYR2	0.7173	0.2559	1271	3697	4967	4967	0	0	0	0.0	intact	1.0	1.0	True	1		0.0	False	1		False	coverage_below_full
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	False	RYR	found_no_annotation	cell	0	RYR	primary	BHFT01042859.1	31	83319	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.8504	0.725	3652	181	3832	5037	0	0	0	0.0	intact	1.0	1.0	True	1		0.0	False	1		True	
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	Scaffold	824	False	ITPR1	found_no_annotation	cell	0	ITPR1	primary	SZQC01000012.1	7428581	7607553	+	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.9412	1.0	2779	1	2779	2779	1	0	1	0.3598	intact	1.0	0.3311	False	1462		0.0	False	1		True	
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	Scaffold	824	False	ITPR2	found_no_annotation	cell	0	ITPR2	primary	SZQC01000052.1	75815	345217	-	F1P1X4|ITPR2|Gallus_gallus|ITPR2	0.9404	1.0	2700	1	2700	2700	0	0	0	0.0	intact	1.0	0.3194	False	1685		0.0	False	1		True	
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	Scaffold	824	False	ITPR3	found_no_annotation	cell	0	ITPR3	primary	SZQC01000046.1	3993909	4037271	+	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.9589	1.0	2664	1	2664	2664	0	0	0	0.0	intact	1.0	0.4009	False	850		0.0	False	1		True	
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	Scaffold	824	False	RYR	found_no_annotation	cell	1	RYR	primary	SZQC01000017.1	7191534	7297088	-	A0A3Q0HBW9|RYR|Alligator_sinensis	0.6358	0.5473	2729	2258	4986	4986	1	2	3	1.0993	intact	1.0	1.0	True	2183		0.0	False	1		True	
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	Scaffold	824	False	RYR	found_no_annotation	cell	2	RYR	primary	SZQC01000027.1	6276364	6354250	-	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.9042	0.2816	1399	3570	4968	4968	0	0	0	0.0	intact	1.0	1.0	True	4120		0.0	False	1		False	coverage_below_full
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	Scaffold	824	False	RYR	found_no_annotation	cell	0	RYR	primary	SZQC01000381.1	3437	371350	-	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.9043	0.7081	3518	14	3531	4968	0	2	2	0.5685	intact	1.0	1.0	True	12739		0.0	False	1		True	
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	Scaffold	113766	False	ITPR1	found_no_annotation	cell	0	ITPR1	primary	RWJT01005793.1	19976061	20272933	+	Q14643|ITPR1|Homo_sapiens|ITPR1	0.9797	1.0	2758	1	2758	2758	0	0	0	0.0	intact	1.0	0.326	False	1779		0.0	False	1		True	
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	Scaffold	113766	False	ITPR2	found_no_annotation	cell	0	ITPR2	primary	RWJT01020497.1	5271385	5782005	+	Q14571|ITPR2|Homo_sapiens|ITPR2	0.9594	1.0	2701	1	2701	2701	0	0	0	0.0	intact	1.0	0.3114	False	2004		0.0	False	1		True	
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	Scaffold	113766	False	ITPR3	found_no_annotation	cell	0	ITPR3	primary	RWJT01022005.1	5949234	6016275	+	Q14573|ITPR3|Homo_sapiens|ITPR3	0.9738	1.0	2671	1	2671	2671	0	0	0	0.0	intact	1.0	0.3862	False	250		0.0	False	1		True	
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	Scaffold	113766	False	RYR	found_no_annotation	cell	0	RYR	primary	RWJT01001056.1	140403	872842	+	Q92736|RYR2|Homo_sapiens|RYR2	0.9763	1.0	4967	1	4967	4967	0	0	0	0.0	intact	1.0	1.0	False	2331		0.0	False	1		True	
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	Scaffold	113766	False	RYR	found_no_annotation	cell	2	RYR	primary	RWJT01018246.1	1472992	2023843	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.6653	0.9968	5021	17	5037	5037	0	0	0	0.0	intact	1.0	1.0	False	4037		0.0	False	1		True	
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	Scaffold	113766	False	RYR	found_no_annotation	cell	1	RYR	primary	RWJT01019646.1	7646897	7772846	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.7861	1.0	5037	1	5037	5037	1	0	1	0.1985	intact	1.0	1.0	False	526		0.0	False	1		True	
GCA_008658365.1	Alca torda	Aves	Charadriiformes	Chromosome	18221265	True	ITPR1	found_annotated	cell	0	ITPR1	primary	CM018086.1	14511323	14687739	+	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.9903	1.0	2779	1	2779	2779	0	0	0	0.0	intact	1.0	0.3348	False	0	ITPR1	1.0	True	1		True	
GCA_008658365.1	Alca torda	Aves	Charadriiformes	Chromosome	18221265	True	ITPR2	found_annotated	cell	0	ITPR2	primary	CM018076.1	74630781	74897326	-	A0A672UP22|ITPR2|Strigops_habroptila	0.9772	1.0	2700	1	2700	2700	5	1	6	2.2222	lesion_rich	1.0	0.3171	False	0	ITPR2	1.0	True	1		True	
GCA_008658365.1	Alca torda	Aves	Charadriiformes	Chromosome	18221265	True	ITPR3	found_annotated	cell	0	ITPR3	primary	CM018095.1	3506405	3555552	-	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.9831	1.0	2664	1	2664	2664	15	0	15	5.6306	lesion_rich	1.0	0.3964	False	0	ITPR3	1.0	True	1		True	
GCA_008658365.1	Alca torda	Aves	Charadriiformes	Chromosome	18221265	True	RYR	found_annotated	cell	0	RYR	primary	CM018078.1	42099162	42521409	-	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.9847	1.0	4968	1	4968	4968	0	0	0	0.0	intact	1.0	1.0	False	0	RYR2	1.0	True	1		True	
GCA_008658365.1	Alca torda	Aves	Charadriiformes	Chromosome	18221265	True	RYR	found_annotated	cell	1	RYR	primary	CM018080.1	32535056	32770773	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.6768	1.0	5037	1	5037	5037	1	0	1	0.1985	intact	1.0	1.0	False	0	RYR3	1.0	True	1		True	
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	Chromosome	12039478	True	ITPR1	found_annotated	cell	0	ITPR1	primary	CM020037.1	21025145	21185024	+	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.9888	1.0	2779	1	2779	2779	0	0	0	0.0	intact	1.0	0.3325	False	0	ITPR1	1.0	True	1		True	
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	Chromosome	12039478	True	ITPR2	found_annotated	cell	0	ITPR2	primary	CM020053.1	12089772	12346833	+	A0A672UP22|ITPR2|Strigops_habroptila	0.9767	1.0	2700	1	2700	2700	0	0	0	0.0	intact	1.0	0.3107	False	0	ITPR2	1.0	True	1		True	
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	Chromosome	12039478	True	ITPR3	found_annotated	cell	0	ITPR3	primary	CM020055.1	2991828	3045426	+	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.9865	1.0	2664	1	2664	2664	0	0	0	0.0	intact	1.0	0.3893	False	0	ITPR3	1.0	True	1		True	
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	Chromosome	12039478	True	RYR	found_annotated	cell	0	RYR	primary	CM020031.1	30080173	30383635	+	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.9795	0.993	4933	36	4968	4968	0	0	0	0.0	intact	1.0	1.0	False	0	RYR2	1.0	True	1		True	
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	Chromosome	12039478	True	RYR	found_annotated	cell	1	RYR	primary	CM020042.1	5133878	5346665	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.6738	1.0	5037	1	5037	5037	1	0	1	0.1985	intact	1.0	1.0	False	0	RYR3	0.997	True	1		True	
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	Chromosome	14700712	True	ITPR1	found_annotated	cell	0	ITPR1	primary	CM020224.1	2238597	2413674	-	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.9928	1.0	2779	1	2779	2779	0	0	0	0.0	intact	1.0	0.334	False	0	ITPR1	0.995	True	1		True	
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	Chromosome	14700712	True	ITPR2	found_annotated	cell	0	ITPR2	primary	CM020215.1	76787452	77053252	-	A0A672UP22|ITPR2|Strigops_habroptila	0.9865	1.0	2700	1	2700	2700	3	0	3	1.1111	intact	1.0	0.3227	False	0	ITPR2	1.0	True	1		True	
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	Chromosome	14700712	True	ITPR3	found_annotated	cell	0	ITPR3	primary	CM020239.1	4308884	4357363	+	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.9899	1.0	2664	1	2664	2664	0	0	0	0.0	intact	1.0	0.3919	False	0	ITPR3	1.0	True	1		True	
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	Chromosome	14700712	True	RYR	found_annotated	cell	0	RYR	primary	CM020217.1	43176402	43630802	-	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.9851	1.0	4968	1	4968	4968	0	0	0	0.0	intact	1.0	1.0	False	0	RYR2	1.0	True	1		True	
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	Chromosome	14700712	True	RYR	found_annotated	cell	1	RYR	primary	CM020219.1	36415959	36660665	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.6771	1.0	5037	1	5037	5037	1	0	1	0.1985	intact	1.0	1.0	False	0	RYR3	1.0	True	1		True	
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	Chromosome	268660	True	ITPR1	found_annotated	cell	0	ITPR1	primary	CM021215.1	37515229	37833219	+	Q14643|ITPR1|Homo_sapiens|ITPR1	0.9815	1.0	2758	1	2758	2758	0	0	0	0.0	intact	1.0	0.3218	False	10	G4228_016139	1.0	False	1		True	
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	Chromosome	268660	True	ITPR2	found_annotated	cell	0	ITPR2	primary	CM021213.1	22769371	23329935	+	Q14571|ITPR2|Homo_sapiens|ITPR2	0.9785	1.0	2701	1	2701	2701	0	0	0	0.0	intact	1.0	0.3152	False	400	G4228_014783	1.0	False	1		True	
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	Chromosome	268660	True	ITPR3	found_annotated	cell	0	ITPR3	primary	CM021198.1	7228230	7444914	+	Q14573|ITPR3|Homo_sapiens|ITPR3	0.9715	1.0	2671	1	2671	2671	0	0	0	0.0	intact	1.0	0.3865	False	400	G4228_004757	1.0	False	1		True	
