accession	organism	vclass	vorder	pair	pair_class	n_mapped_a	n_mapped_b	n_links	n_links_2R	n_families	link_symbols
GCF_036417845.1	Apteryx mantelli	Aves	Apterygiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	17	1	1	1	GRM7-GRM4
GCF_036417845.1	Apteryx mantelli	Aves	Apterygiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	17	0	0	0	
GCF_020740795.1	Apus apus	Aves	Apodiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	19	1	0	1	BHLHE40-BHLHE41
GCF_020740795.1	Apus apus	Aves	Apodiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	17	1	1	1	GRM7-GRM4
GCF_020740795.1	Apus apus	Aves	Apodiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	17	0	0	0	
GCF_042186555.1	Aquarana catesbeiana	Amphibia	Anura	ITPR1_vs_ITPR2	ITPR_vs_ITPR	9	12	1	0	1	BHLHE40-BHLHE41
GCF_042186555.1	Aquarana catesbeiana	Amphibia	Anura	ITPR1_vs_ITPR3	ITPR_vs_ITPR	9	16	1	1	1	GRM7-GRM4
GCF_042186555.1	Aquarana catesbeiana	Amphibia	Anura	ITPR2_vs_ITPR3	ITPR_vs_ITPR	12	16	0	0	0	
GCA_013400195.1	Aramus guarauna	Aves	Gruiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	14	9	1	0	1	BHLHE40-BHLHE41
GCA_013400195.1	Aramus guarauna	Aves	Gruiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	14	15	0	0	0	
GCA_013400195.1	Aramus guarauna	Aves	Gruiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	9	15	0	0	0	
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	Gruiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	19	1	0	1	BHLHE40-BHLHE41
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	Gruiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	17	1	1	1	GRM7-GRM4
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	Gruiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	17	0	0	0	
GCF_027579735.1	Bombina bombina	Amphibia	Anura	ITPR1_vs_ITPR2	ITPR_vs_ITPR	13	17	1	0	1	BHLHE40-BHLHE41
GCF_027579735.1	Bombina bombina	Amphibia	Anura	ITPR1_vs_ITPR3	ITPR_vs_ITPR	13	14	1	1	1	GRM7-GRM4
GCF_027579735.1	Bombina bombina	Amphibia	Anura	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	14	0	0	0	
GCF_949987555.1	Borostomias antarcticus	Actinopteri	Stomiiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	23	14	1	0	1	BHLHE40-BHLHE41
GCF_949987555.1	Borostomias antarcticus	Actinopteri	Stomiiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	23	12	0	0	0	
GCF_949987555.1	Borostomias antarcticus	Actinopteri	Stomiiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	14	12	0	0	0	
GCA_013398615.1	Brachypodius melanocephalos	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	13	16	1	0	1	BHLHE40-BHLHE41
GCA_013398615.1	Brachypodius melanocephalos	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	13	15	0	0	0	
GCA_013398615.1	Brachypodius melanocephalos	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	16	15	0	0	0	
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	16	1	0	1	BHLHE40-BHLHE41
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	16	1	1	1	GRM7-GRM4
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	16	16	0	0	0	
GCF_018977255.1	Callorhinchus milii	Chondrichthyes	Chimaeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	10	8	1	0	1	BHLHE40-BHLHE41
GCF_036013445.1	Caloenas nicobarica	Aves	Columbiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	17	1	0	1	BHLHE40-BHLHE41
GCF_036013445.1	Caloenas nicobarica	Aves	Columbiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	17	0	0	0	
GCF_036013445.1	Caloenas nicobarica	Aves	Columbiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	17	0	0	0	
GCF_964195595.1	Calonectris borealis	Aves	Procellariiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	15	19	0	0	0	
GCF_964195595.1	Calonectris borealis	Aves	Procellariiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	15	16	1	1	1	GRM7-GRM4
GCF_964195595.1	Calonectris borealis	Aves	Procellariiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	16	0	0	0	
GCF_003957555.1	Calypte anna	Aves	Apodiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	15	1	0	1	BHLHE40-BHLHE41
GCF_003957555.1	Calypte anna	Aves	Apodiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	15	1	1	1	GRM7-GRM4
GCF_003957555.1	Calypte anna	Aves	Apodiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	15	15	0	0	0	
GCF_907165065.1	Caprimulgus europaeus	Aves	Caprimulgiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	16	1	0	1	BHLHE40-BHLHE41
GCF_907165065.1	Caprimulgus europaeus	Aves	Caprimulgiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	17	1	1	1	GRM7-GRM4
GCF_907165065.1	Caprimulgus europaeus	Aves	Caprimulgiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	16	17	0	0	0	
GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	Lamniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	13	10	1	0	1	BHLHE40-BHLHE41
GCA_013400815.1	Centropus bengalensis	Aves	Cuculiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	8	5	0	0	0	
GCF_039877785.1	Chaetodon trifascialis	Actinopteri	Chaetodontiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	21	11	1	0	1	BHLHE40-BHLHE41
GCF_039877785.1	Chaetodon trifascialis	Actinopteri	Chaetodontiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	21	9	0	0	0	
GCF_039877785.1	Chaetodon trifascialis	Actinopteri	Chaetodontiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	11	9	0	0	0	
GCF_000747805.2	Chaetura pelagica	Aves	Apodiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	8	0	0	0	
GCF_000747805.2	Chaetura pelagica	Aves	Apodiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	15	1	1	1	GRM7-GRM4
GCF_000747805.2	Chaetura pelagica	Aves	Apodiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	8	15	1	1	1	AICDA-APOBEC2
GCF_033026475.1	Channa argus	Actinopteri	Anabantiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	20	13	1	0	1	BHLHE40-BHLHE41
GCF_902362185.1	Chanos chanos	Actinopteri	Gonorynchiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	23	13	1	0	1	BHLHE40-BHLHE41
GCF_902362185.1	Chanos chanos	Actinopteri	Gonorynchiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	23	13	1	0	1	TTLL3-TTLL7
GCF_902362185.1	Chanos chanos	Actinopteri	Gonorynchiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	13	13	0	0	0	
GCF_000708025.1	Charadrius vociferus	Aves	Charadriiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	12	0	0	0	
GCF_000708025.1	Charadrius vociferus	Aves	Charadriiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	15	1	1	1	GRM7-GRM4
GCF_000708025.1	Charadrius vociferus	Aves	Charadriiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	12	15	0	0	0	
GCF_018320785.1	Cheilinus undulatus	Actinopteri	Labriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	20	10	1	0	1	BHLHE40-BHLHE41
GCF_018320785.1	Cheilinus undulatus	Actinopteri	Labriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	20	7	0	0	0	
GCF_018320785.1	Cheilinus undulatus	Actinopteri	Labriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	10	7	0	0	0	
GCF_963514085.1	Chelon labrosus	Actinopteri	Mugiliformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	14	12	1	0	1	BHLHE40-BHLHE41
GCF_047496795.1	Chiloscyllium punctatum	Chondrichthyes	Orectolobiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	12	12	1	0	1	BHLHE40-BHLHE41
GCF_036417535.1	Chlamydotis macqueenii	Aves	Otidiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	18	0	0	0	
GCF_036417535.1	Chlamydotis macqueenii	Aves	Otidiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	16	1	1	1	GRM7-GRM4
GCF_036417535.1	Chlamydotis macqueenii	Aves	Otidiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	16	0	0	0	
GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	8	6	1	0	1	BHLHE40-BHLHE41
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	7	5	0	0	0	
GCF_034638445.1	Ciconia boyciana	Aves	Ciconiiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	19	1	0	1	BHLHE40-BHLHE41
GCF_034638445.1	Ciconia boyciana	Aves	Ciconiiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	14	1	1	1	GRM7-GRM4
GCF_034638445.1	Ciconia boyciana	Aves	Ciconiiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	14	0	0	0	
GCA_013400215.1	Cisticola juncidis	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	8	9	1	0	1	BHLHE40-BHLHE41
GCA_013398175.1	Climacteris rufus	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	8	8	0	0	0	
GCA_013398175.1	Climacteris rufus	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	8	6	0	0	0	
GCA_013398175.1	Climacteris rufus	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	8	6	0	0	0	
GCF_951640355.1	Cnephaeus nilssonii	Mammalia	Chiroptera	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	19	1	0	1	BHLHE40-BHLHE41
GCF_951640355.1	Cnephaeus nilssonii	Mammalia	Chiroptera	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	14	0	0	0	
GCF_951640355.1	Cnephaeus nilssonii	Mammalia	Chiroptera	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	14	0	0	0	
GCF_028858725.1	Colius striatus	Aves	Coliiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	16	1	0	1	BHLHE40-BHLHE41
GCF_028858725.1	Colius striatus	Aves	Coliiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	18	1	1	1	GRM7-GRM4
GCF_028858725.1	Colius striatus	Aves	Coliiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	16	18	0	0	0	
GCF_033807715.1	Cololabis saira	Actinopteri	Beloniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	11	0	0	0	
GCF_033807715.1	Cololabis saira	Actinopteri	Beloniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	9	0	0	0	
GCF_033807715.1	Cololabis saira	Actinopteri	Beloniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	11	9	0	0	0	
GCF_963514075.1	Conger conger	Actinopteri	Anguilliformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	13	5	1	0	1	BHLHE40-BHLHE41
GCF_000691975.1	Corvus brachyrhynchos	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	10	0	0	0	
GCF_000691975.1	Corvus brachyrhynchos	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	15	1	1	1	GRM7-GRM4
GCF_000691975.1	Corvus brachyrhynchos	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	10	15	0	0	0	
GCA_013399495.1	Corythaixoides concolor	Aves	Musophagiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	12	14	0	0	0	
GCF_003668045.3	Cricetulus griseus	Mammalia	Rodentia	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	15	1	0	1	BHLHE40-BHLHE41
GCF_003668045.3	Cricetulus griseus	Mammalia	Rodentia	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	15	1	1	1	GRM7-GRM4
GCF_003668045.3	Cricetulus griseus	Mammalia	Rodentia	ITPR2_vs_ITPR3	ITPR_vs_ITPR	15	15	0	0	0	
GCF_017976375.1	Cuculus canorus	Aves	Cuculiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	17	0	0	0	
GCF_017976375.1	Cuculus canorus	Aves	Cuculiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	13	1	1	1	GRM7-GRM4
GCF_017976375.1	Cuculus canorus	Aves	Cuculiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	13	0	0	0	
GCF_027409185.1	Cynocephalus volans	Mammalia	Dermoptera	ITPR1_vs_ITPR2	ITPR_vs_ITPR	15	19	1	0	1	BHLHE40-BHLHE41
GCF_027409185.1	Cynocephalus volans	Mammalia	Dermoptera	ITPR1_vs_ITPR3	ITPR_vs_ITPR	15	20	1	1	1	GRM7-GRM4
GCF_027409185.1	Cynocephalus volans	Mammalia	Dermoptera	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	20	0	0	0	
GCF_052040795.1	Danio rerio	Actinopteri	Cypriniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	24	14	1	0	1	BHLHE40-BHLHE41
GCF_052040795.1	Danio rerio	Actinopteri	Cypriniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	24	10	0	0	0	
GCF_052040795.1	Danio rerio	Actinopteri	Cypriniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	14	10	0	0	0	
GCF_030445035.2	Dasypus novemcinctus	Mammalia	Cingulata	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	18	1	0	1	BHLHE40-BHLHE41
GCF_030445035.2	Dasypus novemcinctus	Mammalia	Cingulata	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	19	1	1	1	GRM7-GRM4
GCF_030445035.2	Dasypus novemcinctus	Mammalia	Cingulata	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	19	0	0	0	
GCF_020826845.1	Diceros bicornis minor	Mammalia	Perissodactyla	ITPR1_vs_ITPR2	ITPR_vs_ITPR	15	19	1	0	1	BHLHE40-BHLHE41
GCF_020826845.1	Diceros bicornis minor	Mammalia	Perissodactyla	ITPR1_vs_ITPR3	ITPR_vs_ITPR	15	18	1	1	1	GRM7-GRM4
GCF_020826845.1	Diceros bicornis minor	Mammalia	Perissodactyla	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	18	0	0	0	
GCA_048569125.1	Diretmus argenteus	Actinopteri	Trachichthyiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	14	1	0	1	BHLHE40-BHLHE41
GCA_048569125.1	Diretmus argenteus	Actinopteri	Trachichthyiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	9	0	0	0	
GCA_048569125.1	Diretmus argenteus	Actinopteri	Trachichthyiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	14	9	0	0	0	
GCF_036370855.1	Dromaius novaehollandiae	Aves	Casuariiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	14	18	1	0	1	BHLHE40-BHLHE41
GCF_036370855.1	Dromaius novaehollandiae	Aves	Casuariiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	14	14	1	1	1	GRM7-GRM4
GCF_036370855.1	Dromaius novaehollandiae	Aves	Casuariiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	14	0	0	0	
GCF_019393635.1	Dromiciops gliroides	Mammalia	Microbiotheria	ITPR1_vs_ITPR2	ITPR_vs_ITPR	14	15	1	0	1	BHLHE40-BHLHE41
GCF_019393635.1	Dromiciops gliroides	Mammalia	Microbiotheria	ITPR1_vs_ITPR3	ITPR_vs_ITPR	14	16	1	1	1	GRM7-GRM4
GCF_019393635.1	Dromiciops gliroides	Mammalia	Microbiotheria	ITPR2_vs_ITPR3	ITPR_vs_ITPR	15	16	0	0	0	
GCF_014839835.1	Dryobates pubescens	Aves	Piciformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	12	1	0	1	BHLHE40-BHLHE41
GCF_014839835.1	Dryobates pubescens	Aves	Piciformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	17	1	1	1	GRM7-GRM4
GCF_014839835.1	Dryobates pubescens	Aves	Piciformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	12	17	0	0	0	
GCF_000687185.1	Egretta garzetta	Aves	Pelecaniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	12	16	0	0	0	
GCF_000687185.1	Egretta garzetta	Aves	Pelecaniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	12	16	0	0	0	
GCF_000687185.1	Egretta garzetta	Aves	Pelecaniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	16	16	0	0	0	
GCA_013398795.1	Elachura formosa	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	9	12	0	0	0	
GCF_041902795.1	Electrophorus electricus	Actinopteri	Gymnotiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	25	15	1	0	1	BHLHE40-BHLHE41
GCF_041902795.1	Electrophorus electricus	Actinopteri	Gymnotiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	25	11	0	0	0	
GCF_041902795.1	Electrophorus electricus	Actinopteri	Gymnotiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	15	11	0	0	0	
GCF_000299155.1	Elephantulus edwardii	Mammalia	Macroscelidea	ITPR1_vs_ITPR2	ITPR_vs_ITPR	12	8	1	0	1	BHLHE40-BHLHE41
GCF_000299155.1	Elephantulus edwardii	Mammalia	Macroscelidea	ITPR1_vs_ITPR3	ITPR_vs_ITPR	12	14	1	1	1	GRM7-GRM4
GCF_000299155.1	Elephantulus edwardii	Mammalia	Macroscelidea	ITPR2_vs_ITPR3	ITPR_vs_ITPR	8	14	0	0	0	
GCF_024166365.1	Elephas maximus indicus	Mammalia	Proboscidea	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	19	1	0	1	BHLHE40-BHLHE41
GCF_024166365.1	Elephas maximus indicus	Mammalia	Proboscidea	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	19	1	1	1	GRM7-GRM4
GCF_024166365.1	Elephas maximus indicus	Mammalia	Proboscidea	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	19	0	0	0	
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	Anura	ITPR1_vs_ITPR2	ITPR_vs_ITPR	10	9	1	0	1	BHLHE40-BHLHE41
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	Anura	ITPR1_vs_ITPR3	ITPR_vs_ITPR	10	14	1	1	1	GRM7-GRM4
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	Anura	ITPR2_vs_ITPR3	ITPR_vs_ITPR	9	14	0	0	0	
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	9	1	0	1	BHLHE40-BHLHE41
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	12	0	0	0	
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	9	12	0	0	0	
GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	10	1	0	1	BHLHE40-BHLHE41
GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	8	0	0	0	
GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	10	8	0	0	0	
GCF_021613505.1	Equus quagga	Mammalia	Perissodactyla	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	19	1	0	1	BHLHE40-BHLHE41
GCF_021613505.1	Equus quagga	Mammalia	Perissodactyla	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	18	1	1	1	GRM7-GRM4
GCF_021613505.1	Equus quagga	Mammalia	Perissodactyla	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	18	0	0	0	
GCF_900747795.2	Erpetoichthys calabaricus	Cladistia	Polypteriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	13	9	1	0	1	BHLHE40-BHLHE41
GCF_011004845.1	Esox lucius	Actinopteri	Esociformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	20	12	1	0	1	BHLHE40-BHLHE41
GCF_011004845.1	Esox lucius	Actinopteri	Esociformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	20	7	0	0	0	
GCF_011004845.1	Esox lucius	Actinopteri	Esociformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	12	7	0	0	0	
GCF_023634155.1	Falco peregrinus	Aves	Falconiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	17	1	0	1	BHLHE40-BHLHE41
GCF_023634155.1	Falco peregrinus	Aves	Falconiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	17	1	1	1	GRM7-GRM4
GCF_023634155.1	Falco peregrinus	Aves	Falconiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	17	0	0	0	
