accession	organism	vclass	vorder	contig_spans_gene	ITPR1_copies	ITPR2_copies	ITPR3_copies	ITPR_copies	RYR_copies	ITPR_intact	RYR_intact
GCA_013399495.1	Corythaixoides concolor	Aves	Musophagiformes	0	1	1	1	3	1	3	1
GCA_013399565.1	Podilymbus podiceps	Aves	Podicipediformes	0	1	1	1	3	2	3	2
GCA_013399735.1	Tyrannus savana	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013399775.1	Semnornis frantzii	Aves	Piciformes	0	0	0	1	1	0	1	0
GCA_013399795.1	Zosterops hypoxanthus	Aves	Passeriformes	0	1	1	1	3	3	3	3
GCA_013399855.1	Oxyruncus cristatus	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013399895.1	Serilophus lunatus	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013400075.1	Hippolais icterina	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013400195.1	Aramus guarauna	Aves	Gruiformes	0	1	1	1	3	2	3	2
GCA_013400215.1	Cisticola juncidis	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013400415.1	Scytalopus superciliaris	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	0	0	1	1	2	2	2	2
GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	0	1	1	1	3	0	3	0
GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	0	1	1	1	3	0	3	0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	Passeriformes	0	0	0	1	1	0	1	0
GCA_013400655.1	Mystacornis crossleyi	Aves	Passeriformes	0	0	1	0	1	0	1	0
GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	0	0	0	0	0	0	0	0
GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	0	0	0	0	0	0	0	0
GCA_013400735.1	Pomatostomus ruficeps	Aves	Passeriformes	0	0	1	1	2	0	2	0
GCA_013400815.1	Centropus bengalensis	Aves	Cuculiformes	0	1	1	1	3	2	3	2
GCA_013400855.1	Buphagus erythrorhynchus	Aves	Passeriformes	0	0	1	0	1	0	1	0
GCA_013400895.1	Thalassarche chlororhynchos	Aves	Procellariiformes	0	1	0	1	2	0	2	0
GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	0	0	0	1	1	2	1	2
GCA_013400955.1	Drymodes brunneopygia	Aves	Passeriformes	0	1	1	1	3	1	3	1
GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	0	1	1	1	3	2	3	2
GCA_013401035.1	Horornis vulcanius	Aves	Passeriformes	0	0	0	0	0	0	0	0
GCA_013401195.1	Pomatorhinus ruficollis	Aves	Passeriformes	0	0	1	0	1	2	1	2
GCA_013401215.1	Atlantisia rogersi	Aves	Gruiformes	0	1	0	1	2	0	2	0
GCA_013401255.1	Urocolius indicus	Aves	Coliiformes	0	1	1	1	3	2	3	2
GCA_013401295.1	Glareola pratincola	Aves	Charadriiformes	0	1	1	1	3	2	3	2
GCA_013401315.1	Balaeniceps rex	Aves	Pelecaniformes	0	1	0	1	2	0	2	0
GCA_013401355.1	Ceyx cyanopectus	Aves	Coraciiformes	0	0	1	0	1	0	1	0
GCA_014281875.1	Nibea albiflora	Actinopteri		1	2	1	2	5	6	4	6
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	0	0	1	0	1	2	1	2
GCA_014839755.1	Sylvia borin	Aves	Passeriformes	1	1	1	1	3	3	3	3
GCA_015883425.2	Lamprotornis superbus	Aves	Passeriformes	1	1	1	1	3	2	3	2
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	Galaxiiformes	1	1	1	1	3	6	3	6
GCA_018340635.1	Bothrops jararaca	Lepidosauria	Squamata	1	1	0	1	2	1	2	1
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	Anura	1	1	1	1	3	2	1	0
GCA_020745705.1	Hemiprocne comata	Aves	Apodiformes	1	1	1	1	3	2	3	2
GCA_022829145.1	Albula goreensis	Actinopteri	Albuliformes	1	2	1	1	4	5	4	5
GCA_023764695.1	Pygathrix nigripes	Mammalia	Primates	1	1	1	1	3	3	3	2
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	1	2	1	1	4	6	3	1
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	1	2	1	1	4	6	4	6
GCA_028571685.1	Heterohyrax brucei	Mammalia	Hyracoidea	1	1	1	1	3	3	3	3
GCA_029706075.1	Aldrovandia affinis	Actinopteri	Notacanthiformes	1	2	1	1	4	5	4	4
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	Perciformes	1	2	1	1	4	6	3	6
GCA_031835075.1	Saguinus oedipus	Mammalia	Primates	1	1	1	1	3	3	3	3
GCA_032275445.1	Crypturellus soui	Aves	Tinamiformes	0	1	1	1	3	2	3	2
GCA_033238685.1	Lates japonicus	Actinopteri		1	2	1	3	6	6	2	3
GCA_035590135.1	Circaetus pectoralis	Aves	Accipitriformes	0	1	1	1	3	3	3	3
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	1	2	1	1	4	6	4	6
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	0	0	0	1	1	3	1	3
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	0	0	1	0	1	0	1	0
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	0	0	0	0	0	1	0	1
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	0	0	0	0	0	0	0	0
GCA_040091325.1	Goodea atripinnis	Actinopteri	Cyprinodontiformes	0	0	0	0	0	1	0	1
GCA_040091335.1	Xenoophorus captivus	Actinopteri	Cyprinodontiformes	0	0	1	0	1	1	1	1
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	Cyprinodontiformes	0	0	0	1	1	1	1	1
GCA_043380575.1	Atractosteus spatula	Actinopteri	Semionotiformes	1	1	1	1	3	3	3	3
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	Percopsiformes	1	2	1	1	4	6	4	6
GCA_047511595.1	Polymixia lowei	Actinopteri	Polymixiiformes	1	2	1	1	4	6	4	6
GCA_048126345.2	Notoryctes typhlops	Mammalia	Notoryctemorphia	1	1	1	1	3	3	3	3
GCA_048569125.1	Diretmus argenteus	Actinopteri	Trachichthyiformes	1	2	2	1	5	6	5	6
GCA_050084785.1	Liparis tanakae	Actinopteri	Perciformes	1	2	1	1	4	6	4	6
GCA_051992705.1	Lepidogalaxias salamandroides	Actinopteri	Lepidogalaxiiformes	0	0	0	0	0	0	0	0
GCA_054084135.1	Copsychus sechellarum	Aves	Passeriformes	1	1	1	1	3	2	3	2
GCA_054099775.1	Steatornis caripensis	Aves	Caprimulgiformes	1	1	1	1	3	2	3	2
GCA_054644205.1	Lestoros inca	Mammalia	Paucituberculata	1	1	1	1	3	3	3	3
GCA_054883175.1	Datnioides polota	Actinopteri	Lobotiformes	1	2	1	1	4	6	4	6
GCA_054883375.1	Arapaima gigas	Actinopteri	Osteoglossiformes	1	2	1	1	4	4	4	4
GCA_056506795.1	Pristigenys meyeri	Actinopteri	Priacanthiformes	1	2	1	1	4	6	4	6
GCA_056776345.1	Spizella passerina	Aves	Passeriformes	1	1	1	1	3	3	3	3
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	1	2	2	1	5	4	5	4
GCA_056783665.1	Albula glossodonta	Actinopteri	Albuliformes	1	2	1	1	4	5	4	5
GCA_056824565.1	Stylephorus chordatus	Actinopteri	Stylephoriformes	1	2	1	1	4	6	4	6
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	Alepocephaliformes	1	2	1	1	4	6	4	6
GCA_057876775.1	Echinorhinus cookei	Chondrichthyes	Echinorhiniformes	1	1	1	1	3	3	3	3
GCA_058224745.1	Acrocephalus arundinaceus	Aves	Passeriformes	1	1	1	1	3	3	3	3
GCA_058707665.1	Platax teira	Actinopteri	Ephippiformes	1	2	1	1	4	6	4	6
GCA_900312595.1	Guentherus altivela	Actinopteri	Ateleopodiformes	0	0	0	0	0	0	0	0
GCA_951230385.1	Staurois parvus	Amphibia	Anura	1	1	1	1	3	1	2	1
GCA_965364685.1	Capros aper	Actinopteri	Caproiformes	1	2	1	1	4	6	4	6
GCA_980438365.1	Acanthurus tractus	Actinopteri	Acanthuriformes	1	2	1	1	4	6	4	6
GCA_984656905.1	Parequula melbournensis	Actinopteri	Gerreiformes	1	2	1	1	4	6	4	6
GCA_987193245.1	Pontoporia blainvillei	Mammalia	Artiodactyla	1	1	1	1	3	3	3	3
GCF_000001405.40	Homo sapiens	Mammalia	Primates	1	1	1	1	3	3	3	3
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	1	1	1	1	3	3	3	3
GCF_000004195.4	Xenopus tropicalis	Amphibia	Anura	1	1	1	1	3	2	3	2
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	0	1	1	1	3	3	3	3
GCF_000298275.1	Orycteropus afer afer	Mammalia	Tubulidentata	0	1	1	1	3	3	3	3
GCF_000299155.1	Elephantulus edwardii	Mammalia	Macroscelidea	0	1	1	1	3	3	3	3
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	Scandentia	0	1	1	1	3	2	3	2
GCF_000687185.1	Egretta garzetta	Aves	Pelecaniformes	0	1	1	1	3	2	3	2
GCF_000687285.1	Phaethon lepturus	Aves	Phaethontiformes	0	1	0	1	2	1	2	1
GCF_000690535.1	Cariama cristata	Aves	Cariamiformes	0	1	0	1	2	1	2	1
GCF_000690775.1	Eurypyga helias	Aves	Eurypygiformes	0	1	0	1	2	0	2	0
GCF_000690835.1	Fulmarus glacialis	Aves	Procellariiformes	0	1	0	1	2	0	2	0
GCF_000691845.1	Merops nubicus	Aves	Coraciiformes	0	0	0	1	1	2	1	2
GCF_000691975.1	Corvus brachyrhynchos	Aves	Passeriformes	0	1	1	1	3	2	3	2
GCF_000695765.1	Mesitornis unicolor	Aves	Mesitornithiformes	0	1	1	1	3	0	3	0
GCF_000695815.1	Acanthisitta chloris	Aves	Passeriformes	0	1	1	1	3	1	3	1
GCF_000696875.1	Nestor notabilis	Aves	Psittaciformes	0	1	1	1	3	1	3	1
GCF_000698965.1	Struthio camelus australis	Aves	Struthioniformes	0	1	1	1	3	2	3	2
GCF_000699105.1	Pygoscelis adeliae	Aves	Sphenisciformes	0	1	1	1	3	2	3	2
GCF_000699145.1	Aptenodytes forsteri	Aves	Sphenisciformes	0	1	1	1	3	2	3	2
GCF_000699245.1	Pterocles gutturalis	Aves	Pterocliformes	0	1	1	1	3	1	3	1
GCF_000700745.2	Antrostomus carolinensis	Aves	Caprimulgiformes	0	1	0	1	2	0	2	0
GCF_000703405.1	Apaloderma vittatum	Aves	Trogoniformes	0	0	0	1	1	0	1	0
GCF_000705375.1	Tinamus guttatus	Aves	Tinamiformes	0	1	0	1	2	2	2	2
GCF_000708025.1	Charadrius vociferus	Aves	Charadriiformes	0	1	1	1	3	2	3	2
GCF_000710305.1	Buceros rhinoceros silvestris	Aves	Bucerotiformes	0	0	0	1	1	1	1	1
GCF_000747805.2	Chaetura pelagica	Aves	Apodiformes	0	1	1	1	3	2	3	2
GCF_001715985.3	Manacus vitellinus	Aves	Passeriformes	1	1	1	1	3	2	3	2
GCF_003342845.1	Nothoprocta perdicaria	Aves	Tinamiformes	0	1	1	1	3	2	3	2
GCF_003668045.3	Cricetulus griseus	Mammalia	Rodentia	1	1	1	1	3	3	3	3
GCF_003957555.1	Calypte anna	Aves	Apodiformes	1	1	1	1	3	2	3	2
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	Monotremata	1	1	1	1	3	3	3	3
GCF_009764475.1	Pristis pectinata	Chondrichthyes	Rhinopristiformes	1	1	1	1	3	3	3	3
GCF_009769465.1	Tauraco erythrolophus	Aves	Musophagiformes	1	1	1	1	3	2	3	2
GCF_011004845.1	Esox lucius	Actinopteri	Esociformes	1	2	1	1	4	6	4	6
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	Gruiformes	1	1	1	1	3	2	3	2
GCF_013368585.1	Megalops cyprinoides	Actinopteri	Elopiformes	1	2	1	1	4	5	4	4
GCF_013368605.1	Nyctibius grandis	Aves	Nyctibiiformes	1	1	1	1	3	2	3	2
GCF_014839835.1	Dryobates pubescens	Aves	Piciformes	1	1	1	1	3	2	3	2
GCF_016433145.1	Gracilinanus agilis	Mammalia	Didelphimorphia	0	1	1	1	3	3	3	2
GCF_016699485.2	Gallus gallus	Aves	Galliformes	1	1	1	1	3	3	3	3
GCF_016859285.1	Xiphias gladius	Actinopteri	Istiophoriformes	1	2	1	1	4	6	4	6
GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	Lamniformes	1	1	1	1	3	3	3	3
GCF_017654505.1	Polyodon spathula	Actinopteri	Acipenseriformes	1	2	2	2	6	6	6	6
GCF_017976375.1	Cuculus canorus	Aves	Cuculiformes	1	1	1	1	3	3	3	3
GCF_018139145.2	Gymnogyps californianus	Aves	Accipitriformes	1	1	1	1	3	2	3	2
GCF_018320785.1	Cheilinus undulatus	Actinopteri	Labriformes	1	2	1	1	4	6	4	6
GCF_018691265.1	Tyto alba	Aves	Strigiformes	1	1	1	1	3	2	3	2
GCF_018977255.1	Callorhinchus milii	Chondrichthyes	Chimaeriformes	1	1	1	1	3	3	3	3
GCF_019279795.1	Protopterus annectens	Dipnoi	Ceratodontiformes	1	1	1	1	3	3	3	3
GCF_019393635.1	Dromiciops gliroides	Mammalia	Microbiotheria	1	1	1	1	3	3	3	2
GCF_019740435.1	Gambusia affinis	Actinopteri	Cyprinodontiformes	1	2	1	1	4	6	4	6
GCF_020171115.1	Neogale vison	Mammalia	Carnivora	1	1	1	1	3	3	3	3
GCF_020740795.1	Apus apus	Aves	Apodiformes	1	1	1	1	3	2	3	2
GCF_020826845.1	Diceros bicornis minor	Mammalia	Perissodactyla	1	1	1	1	3	3	3	3
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	Squamata	1	1	1	1	3	3	3	2
GCF_021292245.1	Micropterus dolomieu	Actinopteri	Centrarchiformes	0	2	1	1	4	6	4	6
GCF_021613505.1	Equus quagga	Mammalia	Perissodactyla	1	1	1	1	3	3	3	3
GCF_023634155.1	Falco peregrinus	Aves	Falconiformes	1	1	1	1	3	2	3	2
GCF_023851605.1	Tamandua tetradactyla	Mammalia	Pilosa	1	1	1	1	3	3	3	3
GCF_024166365.1	Elephas maximus indicus	Mammalia	Proboscidea	1	1	1	1	3	3	3	3
GCF_025201925.1	Gopherus flavomarginatus	Testudines	Testudines	1	1	1	1	3	3	3	3
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	Squamata	1	1	1	1	3	3	3	3
GCF_027409185.1	Cynocephalus volans	Mammalia	Dermoptera	1	1	1	1	3	3	3	3
GCF_027409825.1	Scomber japonicus	Actinopteri	Scombriformes	1	2	1	1	4	6	4	6
GCF_027579695.1	Neoarius graeffei	Actinopteri	Siluriformes	1	2	1	1	4	6	4	6
GCF_027579735.1	Bombina bombina	Amphibia	Anura	1	1	1	1	3	2	2	2
GCF_027595985.1	Sorex araneus	Mammalia	Eulipotyphla	1	1	1	1	3	3	3	3
GCF_028372415.1	Notamacropus eugenii	Mammalia	Diprotodontia	1	1	1	1	3	3	3	3
GCF_028389875.1	Rhea pennata	Aves	Rheiformes	1	1	1	1	3	3	3	3
GCF_028858725.1	Colius striatus	Aves	Coliiformes	1	1	1	1	3	2	3	2
GCF_029633855.1	Hoplias malabaricus	Actinopteri	Characiformes	1	2	1	1	4	5	4	5
GCF_029633865.1	Lampris incognitus	Actinopteri	Lampriformes	1	2	1	1	4	6	3	6
GCF_030020395.1	Manis pentadactyla	Mammalia	Pholidota	1	1	1	1	3	3	3	3
GCF_030445035.2	Dasypus novemcinctus	Mammalia	Cingulata	1	1	1	1	3	3	3	3
GCF_030463565.1	Pelecanus crispus	Aves	Pelecaniformes	1	1	1	1	3	2	3	2
GCF_030490865.1	Poecile atricapillus	Aves	Passeriformes	1	1	2	1	4	3	4	3
GCF_030867095.1	Alligator mississippiensis	Crocodylia	Crocodylia	1	1	1	1	3	3	3	3
GCF_030867145.1	Opisthocomus hoazin	Aves	Opisthocomiformes	1	1	1	1	3	2	3	2
GCF_030936135.1	Gavia stellata	Aves	Gaviiformes	1	1	1	1	3	3	3	2
GCF_033026475.1	Channa argus	Actinopteri	Anabantiformes	1	2	1	1	4	6	4	6
GCF_033807715.1	Cololabis saira	Actinopteri	Beloniformes	1	2	1	1	4	6	4	6
GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	1	2	1	1	4	7	4	7
GCF_034619465.1	Leptosomus discolor	Aves	Leptosomiformes	1	1	1	1	3	2	3	2
GCF_034638445.1	Ciconia boyciana	Aves	Ciconiiformes	1	1	1	1	3	3	3	3
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	1	2	1	1	4	6	4	6
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	Hexanchiformes	1	1	1	1	3	3	3	3
GCF_035582795.1	Mycteria americana	Aves	Ciconiiformes	1	1	1	1	3	2	3	2
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	Anura	1	1	1	1	3	2	3	2
GCF_036013445.1	Caloenas nicobarica	Aves	Columbiformes	1	1	1	1	3	3	3	3
GCF_036365525.1	Heterodontus francisci	Chondrichthyes	Heterodontiformes	1	1	1	1	3	3	3	3
GCF_036370855.1	Dromaius novaehollandiae	Aves	Casuariiformes	1	1	1	1	3	3	3	3
GCF_036373705.1	Amia ocellicauda	Actinopteri	Amiiformes	1	1	1	1	3	3	3	3
GCF_036417535.1	Chlamydotis macqueenii	Aves	Otidiformes	1	1	1	1	3	2	3	2
GCF_036417845.1	Apteryx mantelli	Aves	Apterygiformes	1	1	1	1	3	3	3	2
GCF_036850765.1	Saccopteryx bilineata	Mammalia	Chiroptera	1	1	1	1	3	3	3	3
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	Torpediniformes	1	1	1	1	3	3	3	3
GCF_037157495.1	Lathamus discolor	Aves	Psittaciformes	1	1	1	1	3	2	3	2
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	Coelacanthiformes	1	1	1	1	3	3	3	3
GCF_037893015.1	Macrotis lagotis	Mammalia	Peramelemorphia	1	1	1	1	3	3	3	3
GCF_039877785.1	Chaetodon trifascialis	Actinopteri	Chaetodontiformes	1	2	1	1	4	6	4	6
GCF_040054535.1	Antennarius striatus	Actinopteri	Lophiiformes	1	2	1	1	4	6	4	6
GCF_040807025.1	Struthio camelus	Aves	Struthioniformes	1	1	1	1	3	3	3	3
GCF_040954835.1	Lepisosteus oculatus	Actinopteri	Semionotiformes	1	1	1	1	3	3	3	3
GCF_041296385.2	Aphelocoma coerulescens	Aves	Passeriformes	1	1	1	1	3	3	3	3
GCF_041902795.1	Electrophorus electricus	Actinopteri	Gymnotiformes	1	2	1	1	4	5	4	5
GCF_042186555.1	Aquarana catesbeiana	Amphibia	Anura	1	1	1	1	3	2	3	2
GCF_042242105.1	Pempheris klunzingeri	Actinopteri	Acropomatiformes	1	2	1	1	4	6	4	6
GCF_043380555.1	Nothobranchius furzeri	Actinopteri	Cyprinodontiformes	1	2	1	1	4	6	4	6
GCF_045865225.1	Trachurus japonicus	Actinopteri	Carangiformes	1	2	1	1	4	6	4	6
GCF_046128005.1	Genypterus blacodes	Actinopteri	Ophidiiformes	1	2	1	1	4	6	4	6
GCF_047370975.1	Nipponia nippon	Aves	Pelecaniformes	1	1	1	1	3	3	3	3
GCF_047496795.1	Chiloscyllium punctatum	Chondrichthyes	Orectolobiformes	1	1	1	1	3	3	3	3
GCF_047496885.1	Scyliorhinus torazame	Chondrichthyes	Carcharhiniformes	1	1	1	1	3	3	3	3
GCF_047663525.1	Anas platyrhynchos	Aves	Anseriformes	1	1	1	1	3	3	3	2
GCF_047716275.1	Strix uralensis	Aves	Strigiformes	1	1	1	1	3	3	3	3
GCF_048418815.1	Hemitrygon akajei	Chondrichthyes	Myliobatiformes	1	1	1	1	3	3	3	3
GCF_048593235.1	Sminthopsis crassicaudata	Mammalia	Dasyuromorphia	1	1	1	1	3	3	3	3
GCF_048594095.1	Paramormyrops kingsleyae	Actinopteri	Osteoglossiformes	1	2	1	1	4	4	4	4
GCF_048934315.1	Petromyzon marinus	Hyperoartia	Petromyzontiformes	1	3	0	0	3	2	3	2
GCF_049350105.2	Macaca mulatta	Mammalia	Primates	1	1	1	1	3	3	3	3
GCF_050624435.1	Tenrec ecaudatus	Mammalia	Afrosoricida	1	1	1	1	3	3	3	3
GCF_052040795.1	Danio rerio	Actinopteri	Cypriniformes	1	2	1	1	4	6	4	6
GCF_052327205.1	Somniosus microcephalus	Chondrichthyes	Squaliformes	1	1	1	1	3	3	3	3
GCF_054371585.1	Giraffa tippelskirchi	Mammalia	Artiodactyla	1	1	1	1	3	3	3	3
GCF_054491055.1	Hypomesus nipponensis	Actinopteri	Osmeriformes	1	2	1	1	4	6	4	6
GCF_056507025.1	Lutjanus erythropterus	Actinopteri	Lutjaniformes	1	2	1	1	4	6	4	6
GCF_057381845.1	Rhamphochromis longiceps	Actinopteri	Cichliformes	1	2	1	1	4	7	4	7
GCF_900324485.3	Mastacembelus armatus	Actinopteri	Synbranchiformes	1	2	1	1	4	6	4	6
GCF_900634775.2	Gouania willdenowi	Actinopteri	Blenniiformes	1	2	1	1	4	6	3	6
GCF_900747795.2	Erpetoichthys calabaricus	Cladistia	Polypteriformes	1	1	1	1	3	3	3	3
GCF_900880675.2	Sparus aurata	Actinopteri	Spariformes	1	2	1	1	4	6	4	6
GCF_901000725.3	Takifugu rubripes	Actinopteri	Tetraodontiformes	1	2	1	1	4	6	3	6
GCF_901001135.2	Rhinatrema bivittatum	Amphibia	Gymnophiona	1	1	1	1	3	3	3	3
GCF_902148855.1	Sphaeramia orbicularis	Actinopteri	Kurtiformes	1	2	1	1	4	6	4	5
GCF_902150065.1	Myripristis murdjan	Actinopteri	Holocentriformes	1	2	1	1	4	6	4	6
GCF_902167405.1	Gadus morhua	Actinopteri	Gadiformes	1	2	1	1	4	6	4	5
