accession	organism	vclass	vorder	assembly_level	contig_n50	contig_spans_gene	cell	n_loci	n_copies	n_intact_copies	n_contigs	same_contig_copies	max_coverage	annot_named	copy_contigs
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	Scaffold	21257	0	RYR	2	2	2	2	0	1.0	1	KZ505650.1;KZ505716.1
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	0	ITPR1	2	0	0	0	0	0.3516	1	
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	0	ITPR2	2	0	0	0	0	0.2111	1	
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	0	ITPR3	2	1	1	1	0	0.6295	2	PPHD01009884.1
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Scaffold	10597	0	RYR	4	0	0	0	0	0.2694	0	
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	Scaffold	27065	0	ITPR1	1	1	1	1	0	0.9975	0	QEPC01008366.1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	Scaffold	27065	0	ITPR2	1	1	1	1	0	1.0	0	QEPC01007142.1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	Scaffold	27065	0	ITPR3	1	1	1	1	0	1.0	0	QEPC01007384.1
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	Scaffold	27065	0	RYR	3	3	2	3	0	1.0	0	QEPC01001878.1;QEPC01010682.1;QEPC01010852.1
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	0	ITPR1	1	1	1	1	0	0.5817	0	BHFT01002173.1
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	0	ITPR2	1	1	1	1	0	0.5616	0	BHFT01019722.1
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	0	ITPR3	1	1	1	1	0	0.5911	0	BHFT01014849.1
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	Scaffold	35581	0	RYR	6	1	1	1	0	0.725	0	BHFT01042859.1
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	Scaffold	824	0	ITPR1	1	1	1	1	0	1.0	0	SZQC01000012.1
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	Scaffold	824	0	ITPR2	1	1	1	1	0	1.0	0	SZQC01000052.1
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	Scaffold	824	0	ITPR3	1	1	1	1	0	1.0	0	SZQC01000046.1
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	Scaffold	824	0	RYR	3	2	2	2	0	0.7081	0	SZQC01000017.1;SZQC01000381.1
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	Scaffold	113766	0	ITPR1	1	1	1	1	0	1.0	0	RWJT01005793.1
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	Scaffold	113766	0	ITPR2	1	1	1	1	0	1.0	0	RWJT01020497.1
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	Scaffold	113766	0	ITPR3	1	1	1	1	0	1.0	0	RWJT01022005.1
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	Scaffold	113766	0	RYR	3	3	3	3	0	1.0	0	RWJT01001056.1;RWJT01018246.1;RWJT01019646.1
GCA_008658365.1	Alca torda	Aves	Charadriiformes	Chromosome	18221265	1	ITPR1	1	1	1	1	0	1.0	1	CM018086.1
GCA_008658365.1	Alca torda	Aves	Charadriiformes	Chromosome	18221265	1	ITPR2	1	1	0	1	0	1.0	1	CM018076.1
GCA_008658365.1	Alca torda	Aves	Charadriiformes	Chromosome	18221265	1	ITPR3	1	1	0	1	0	1.0	1	CM018095.1
GCA_008658365.1	Alca torda	Aves	Charadriiformes	Chromosome	18221265	1	RYR	2	2	2	2	0	1.0	2	CM018078.1;CM018080.1
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	Chromosome	12039478	1	ITPR1	1	1	1	1	0	1.0	1	CM020037.1
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	Chromosome	12039478	1	ITPR2	1	1	1	1	0	1.0	1	CM020053.1
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	Chromosome	12039478	1	ITPR3	1	1	1	1	0	1.0	1	CM020055.1
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	Chromosome	12039478	1	RYR	2	2	2	2	0	1.0	2	CM020031.1;CM020042.1
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	Chromosome	14700712	1	ITPR1	1	1	1	1	0	1.0	1	CM020224.1
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	Chromosome	14700712	1	ITPR2	1	1	1	1	0	1.0	1	CM020215.1
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	Chromosome	14700712	1	ITPR3	1	1	1	1	0	1.0	1	CM020239.1
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	Chromosome	14700712	1	RYR	2	2	2	2	0	1.0	2	CM020217.1;CM020219.1
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	Chromosome	268660	1	ITPR1	1	1	1	1	0	1.0	1	CM021215.1
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	Chromosome	268660	1	ITPR2	1	1	1	1	0	1.0	1	CM021213.1
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	Chromosome	268660	1	ITPR3	1	1	1	1	0	1.0	1	CM021198.1
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	Chromosome	268660	1	RYR	3	3	3	3	0	1.0	3	CM021195.1;CM021203.1;CM021206.1
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	Scaffold	3015437	1	ITPR1	2	2	1	1	1	1.0	1	JAAKFY010000006.1
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	Scaffold	3015437	1	ITPR2	1	1	1	1	0	1.0	0	JAAKFY010000007.1
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	Scaffold	3015437	1	ITPR3	1	1	0	1	0	1.0	0	JAAKFY010000002.1
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	Scaffold	3015437	1	RYR	6	6	1	6	0	1.0	4	JAAKFY010000008.1;JAAKFY010000011.1;JAAKFY010000013.1;JAAKFY010000015.1;JAAKFY010000019.1;JAAKFY010000020.1
GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	Scaffold	99502	0	ITPR1	1	1	1	1	0	1.0	0	VWPW01023980.1
GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	Scaffold	99502	0	ITPR2	1	1	1	1	0	1.0	0	VWPW01014676.1
GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	Scaffold	99502	0	ITPR3	0	0	0	0	0	0.0	0	
GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	Scaffold	99502	0	RYR	2	2	2	2	0	1.0	1	VWPW01021686.1;VWPW01022533.1
GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	Scaffold	47040	0	ITPR1	1	1	1	1	0	1.0	0	VWPV01004098.1
GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	Scaffold	47040	0	ITPR2	0	0	0	0	0	0.0	0	
GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	Scaffold	47040	0	ITPR3	0	0	0	0	0	0.0	0	
GCA_013389885.1	Geococcyx californianus	Aves	Cuculiformes	Scaffold	47040	0	RYR	3	2	2	2	0	0.5779	1	VWPV01009501.1;VWPV01031520.1
GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	Scaffold	8743	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	Scaffold	8743	0	ITPR2	0	0	0	0	0	0.0	0	
GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	Scaffold	8743	0	ITPR3	1	1	1	1	0	1.0	1	WEIS01036230.1
GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	Scaffold	8743	0	RYR	1	1	1	1	0	0.8074	0	WEIS01025216.1
GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	Scaffold	29388	0	ITPR1	1	1	1	1	0	1.0	0	WEIT01025007.1
GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	Scaffold	29388	0	ITPR2	1	1	1	1	0	0.763	0	WEIT01016686.1
GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	Scaffold	29388	0	ITPR3	1	1	1	1	0	1.0	1	WEIT01027115.1
GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	Scaffold	29388	0	RYR	2	0	0	0	0	0.1707	0	
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	Scaffold	39381	0	ITPR1	1	1	1	1	0	1.0	0	WEIW01000372.1
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	Scaffold	39381	0	ITPR2	1	1	1	1	0	1.0	0	WEIW01000437.1
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	Scaffold	39381	0	ITPR3	1	1	1	1	0	0.9337	1	WEIW01003401.1
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	Scaffold	39381	0	RYR	2	2	2	2	0	1.0	1	WEIW01000007.1;WEIW01000336.1
GCA_013390105.1	Tichodroma muraria	Aves	Passeriformes	Scaffold	14901	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013390105.1	Tichodroma muraria	Aves	Passeriformes	Scaffold	14901	0	ITPR2	0	0	0	0	0	0.0	0	
GCA_013390105.1	Tichodroma muraria	Aves	Passeriformes	Scaffold	14901	0	ITPR3	1	1	1	1	0	1.0	1	WAAG01017736.1
GCA_013390105.1	Tichodroma muraria	Aves	Passeriformes	Scaffold	14901	0	RYR	0	0	0	0	0	0.0	0	
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	Scaffold	85461	0	ITPR1	1	1	1	1	0	1.0	0	VWPS01000057.1
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	Scaffold	85461	0	ITPR2	1	1	1	1	0	1.0	0	VWPS01000128.1
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	Scaffold	85461	0	ITPR3	1	1	1	1	0	1.0	1	VWPS01000164.1
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	Scaffold	85461	0	RYR	2	2	2	2	0	1.0	1	VWPS01000022.1;VWPS01000054.1
GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	Scaffold	67220	0	ITPR1	1	1	1	1	0	0.9712	0	VWYW01000920.1
GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	Scaffold	67220	0	ITPR2	1	1	1	1	0	1.0	0	VWYW01000229.1
GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	Scaffold	67220	0	ITPR3	1	1	1	1	0	0.8573	1	VWYW01001199.1
GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	Scaffold	67220	0	RYR	2	2	2	2	0	1.0	1	VWYW01000072.1;VWYW01000101.1
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	Scaffold	77643	0	ITPR1	1	1	1	1	0	0.8395	0	VWYY01001129.1
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	Scaffold	77643	0	ITPR2	1	1	1	1	0	0.9885	0	VWYY01000731.1
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	Scaffold	77643	0	ITPR3	1	1	1	1	0	0.5311	0	VWYY01003676.1
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	Scaffold	77643	0	RYR	2	2	2	2	0	1.0	1	VWYY01000118.1;VWYY01000123.1
GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	Scaffold	26549	0	ITPR1	1	1	1	1	0	0.9971	1	VWZE01010273.1
GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	Scaffold	26549	0	ITPR2	1	1	1	1	0	0.6381	0	VWZE01018369.1
GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	Scaffold	26549	0	ITPR3	1	1	1	1	0	1.0	1	VWZE01023714.1
GCA_013396675.1	Eubucco bourcierii	Aves	Piciformes	Scaffold	26549	0	RYR	3	2	2	2	0	1.0	1	VWZE01005099.1;VWZE01015450.1
GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	Scaffold	36269	0	ITPR1	1	1	1	1	0	0.8178	1	VWZI01023573.1
GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	Scaffold	36269	0	ITPR2	1	1	1	1	0	0.5256	0	VWZI01001715.1
GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	Scaffold	36269	0	ITPR3	1	1	1	1	0	1.0	1	VWZI01004865.1
GCA_013396835.1	Psilopogon haemacephalus	Aves	Piciformes	Scaffold	36269	0	RYR	2	2	2	2	0	1.0	0	VWZI01009657.1;VWZI01019360.1
GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	Scaffold	121572	0	ITPR1	1	1	1	1	0	1.0	0	VZRF01009815.1
GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	Scaffold	121572	0	ITPR2	1	1	1	1	0	1.0	0	VZRF01000017.1
GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	Scaffold	121572	0	ITPR3	1	1	1	1	0	1.0	1	VZRF01014545.1
GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	Scaffold	121572	0	RYR	2	2	2	2	0	1.0	1	VZRF01001132.1;VZRF01009222.1
GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes	Scaffold	70136	0	ITPR1	1	1	1	1	0	0.6715	0	VWZK01014558.1
GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes	Scaffold	70136	0	ITPR2	1	1	1	1	0	0.9885	0	VWZK01012176.1
GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes	Scaffold	70136	0	ITPR3	1	1	1	1	0	1.0	1	VWZK01016629.1
GCA_013396935.1	Baryphthengus martii	Aves	Coraciiformes	Scaffold	70136	0	RYR	7	0	0	0	0	0.4229	0	
GCA_013396975.1	Bucco capensis	Aves	Piciformes	Scaffold	66968	0	ITPR1	1	1	1	1	0	1.0	0	VWZO01019971.1
GCA_013396975.1	Bucco capensis	Aves	Piciformes	Scaffold	66968	0	ITPR2	0	0	0	0	0	0.0	0	
GCA_013396975.1	Bucco capensis	Aves	Piciformes	Scaffold	66968	0	ITPR3	2	1	1	1	0	0.6854	1	VWZO01010546.1
GCA_013396975.1	Bucco capensis	Aves	Piciformes	Scaffold	66968	0	RYR	4	1	1	1	0	0.5366	0	VWZO01001808.1
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	Scaffold	66181	0	ITPR1	1	1	1	1	0	1.0	1	VWZQ01007131.1
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	Scaffold	66181	0	ITPR2	1	1	1	1	0	0.9885	0	VWZQ01006530.1
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	Scaffold	66181	0	ITPR3	1	1	1	1	0	1.0	1	VWZQ01007200.1
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	Scaffold	66181	0	RYR	2	2	2	2	0	1.0	1	VWZQ01001806.1;VWZQ01008955.1
GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes	Scaffold	60402	0	ITPR1	2	1	1	1	0	0.5156	0	VZTB01016242.1
GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes	Scaffold	60402	0	ITPR2	1	1	1	1	0	0.877	0	VZTB01004788.1
GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes	Scaffold	60402	0	ITPR3	2	1	1	1	0	0.6157	0	VZTB01002909.1
GCA_013397245.1	Thryothorus ludovicianus	Aves	Passeriformes	Scaffold	60402	0	RYR	4	2	2	2	0	0.6804	1	VZTB01006589.1;VZTB01009153.1
GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes	Scaffold	50944	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes	Scaffold	50944	0	ITPR2	1	1	1	1	0	1.0	0	VYXF01001320.1
GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes	Scaffold	50944	0	ITPR3	1	1	1	1	0	1.0	1	VYXF01003972.1
GCA_013397295.1	Polioptila caerulea	Aves	Passeriformes	Scaffold	50944	0	RYR	2	2	2	2	0	1.0	1	VYXF01004723.1;VYXF01009487.1
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	Scaffold	78603	0	ITPR1	1	1	1	1	0	1.0	0	VXBN01013252.1
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	Scaffold	78603	0	ITPR2	1	1	1	1	0	1.0	0	VXBN01011463.1
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	Scaffold	78603	0	ITPR3	1	1	1	1	0	0.9652	1	VXBN01011685.1
GCA_013397395.1	Sinosuthora webbiana	Aves	Passeriformes	Scaffold	78603	0	RYR	2	2	2	2	0	1.0	1	VXBN01012045.1;VXBN01015030.1
GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	Scaffold	55547	0	ITPR1	1	1	1	1	0	1.0	1	VYZD01000015.1
GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	Scaffold	55547	0	ITPR2	1	1	1	1	0	1.0	0	VYZD01000396.1
GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	Scaffold	55547	0	ITPR3	1	1	1	1	0	1.0	1	VYZD01000217.1
GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	Scaffold	55547	0	RYR	3	1	1	1	0	0.6228	1	VYZD01002042.1
GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes	Scaffold	72805	0	ITPR1	1	1	1	1	0	0.6189	0	VYZC01000789.1
GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes	Scaffold	72805	0	ITPR2	1	1	1	1	0	1.0	0	VYZC01000147.1
GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes	Scaffold	72805	0	ITPR3	0	0	0	0	0	0.0	0	
GCA_013397495.1	Mionectes macconnelli	Aves	Passeriformes	Scaffold	72805	0	RYR	2	2	2	2	0	1.0	1	VYZC01000019.1;VYZC01000047.1
GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	Scaffold	43196	0	ITPR1	1	1	1	1	0	1.0	0	VYZE01000085.1
GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	Scaffold	43196	0	ITPR2	1	1	1	1	0	0.9885	0	VYZE01000061.1
GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	Scaffold	43196	0	ITPR3	1	1	1	1	0	1.0	1	VYZE01000639.1
GCA_013397535.1	Pterocles burchelli	Aves	Pterocliformes	Scaffold	43196	0	RYR	1	1	1	1	0	0.993	1	VYZE01000008.1
GCA_013397635.1	Columbina picui	Aves	Columbiformes	Scaffold	24994	0	ITPR1	1	1	1	1	0	1.0	1	VYZG01001033.1
GCA_013397635.1	Columbina picui	Aves	Columbiformes	Scaffold	24994	0	ITPR2	1	1	1	1	0	0.9885	0	VYZG01000419.1
GCA_013397635.1	Columbina picui	Aves	Columbiformes	Scaffold	24994	0	ITPR3	0	0	0	0	0	0.0	0	
GCA_013397635.1	Columbina picui	Aves	Columbiformes	Scaffold	24994	0	RYR	2	2	2	2	0	1.0	1	VYZG01000063.1;VYZG01000089.1
GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	Scaffold	90297	0	ITPR1	1	1	1	1	0	1.0	0	VZTH01000998.1
GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	Scaffold	90297	0	ITPR2	1	1	1	1	0	0.9956	0	VZTH01019192.1
GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	Scaffold	90297	0	ITPR3	1	1	1	1	0	0.9652	1	VZTH01008759.1
GCA_013397815.1	Aleadryas rufinucha	Aves	Passeriformes	Scaffold	90297	0	RYR	2	2	2	2	0	1.0	0	VZTH01000269.1;VZTH01018405.1
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	Scaffold	99117	0	ITPR1	1	1	1	1	0	1.0	0	VZRL01005794.1
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	Scaffold	99117	0	ITPR2	1	1	1	1	0	0.9885	0	VZRL01002161.1
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	Scaffold	99117	0	ITPR3	2	1	1	1	0	0.7067	1	VZRL01001132.1
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	Scaffold	99117	0	RYR	2	2	2	2	0	1.0	1	VZRL01002523.1;VZRL01003992.1
GCA_013397955.1	Grantiella picta	Aves	Passeriformes	Scaffold	100624	0	ITPR1	1	1	1	1	0	1.0	0	VZRM01002778.1
GCA_013397955.1	Grantiella picta	Aves	Passeriformes	Scaffold	100624	0	ITPR2	1	1	1	1	0	1.0	0	VZRM01003629.1
GCA_013397955.1	Grantiella picta	Aves	Passeriformes	Scaffold	100624	0	ITPR3	1	1	1	1	0	1.0	1	VZRM01006298.1
GCA_013397955.1	Grantiella picta	Aves	Passeriformes	Scaffold	100624	0	RYR	2	2	2	2	0	1.0	1	VZRM01002603.1;VZRM01007608.1
GCA_013398125.1	Aegotheles bennettii	Aves	Caprimulgiformes	Scaffold	65833	0	ITPR1	1	1	1	1	0	1.0	0	VZRW01010862.1
GCA_013398125.1	Aegotheles bennettii	Aves	Caprimulgiformes	Scaffold	65833	0	ITPR2	1	1	1	1	0	0.5063	0	VZRW01011159.1
GCA_013398125.1	Aegotheles bennettii	Aves	Caprimulgiformes	Scaffold	65833	0	ITPR3	2	1	1	1	0	0.708	1	VZRW01011544.1
GCA_013398125.1	Aegotheles bennettii	Aves	Caprimulgiformes	Scaffold	65833	0	RYR	2	2	2	2	0	0.9764	1	VZRW01002778.1;VZRW01014125.1
GCA_013398155.1	Pedionomus torquatus	Aves	Charadriiformes	Scaffold	36855	0	ITPR1	1	1	1	1	0	1.0	1	VZRU01011476.1
GCA_013398155.1	Pedionomus torquatus	Aves	Charadriiformes	Scaffold	36855	0	ITPR2	1	1	1	1	0	0.9885	0	VZRU01019648.1
GCA_013398155.1	Pedionomus torquatus	Aves	Charadriiformes	Scaffold	36855	0	ITPR3	1	1	1	1	0	0.9887	1	VZRU01018657.1
GCA_013398155.1	Pedionomus torquatus	Aves	Charadriiformes	Scaffold	36855	0	RYR	1	1	1	1	0	0.9974	1	VZRU01009960.1
GCA_013398175.1	Climacteris rufus	Aves	Passeriformes	Scaffold	72434	0	ITPR1	1	1	1	1	0	1.0	1	VZRZ01002771.1
GCA_013398175.1	Climacteris rufus	Aves	Passeriformes	Scaffold	72434	0	ITPR2	1	1	1	1	0	1.0	0	VZRZ01004463.1
GCA_013398175.1	Climacteris rufus	Aves	Passeriformes	Scaffold	72434	0	ITPR3	1	1	1	1	0	1.0	1	VZRZ01005358.1
GCA_013398175.1	Climacteris rufus	Aves	Passeriformes	Scaffold	72434	0	RYR	2	2	2	2	0	1.0	1	VZRZ01002579.1;VZRZ01007597.1
GCA_013398455.1	Loxia curvirostra	Aves	Passeriformes	Scaffold	211346	1	ITPR1	1	1	1	1	0	1.0	0	VZSM01004910.1
GCA_013398455.1	Loxia curvirostra	Aves	Passeriformes	Scaffold	211346	1	ITPR2	1	1	1	1	0	1.0	0	VZSM01004385.1
GCA_013398455.1	Loxia curvirostra	Aves	Passeriformes	Scaffold	211346	1	ITPR3	1	1	1	1	0	1.0	1	VZSM01006023.1
GCA_013398455.1	Loxia curvirostra	Aves	Passeriformes	Scaffold	211346	1	RYR	2	2	2	2	0	1.0	1	VZSM01002731.1;VZSM01006932.1
GCA_013398575.1	Certhia familiaris	Aves	Passeriformes	Scaffold	48850	0	ITPR1	1	1	1	1	0	0.823	1	WBNC01000937.1
GCA_013398575.1	Certhia familiaris	Aves	Passeriformes	Scaffold	48850	0	ITPR2	1	1	1	1	0	0.7848	0	WBNC01001413.1
GCA_013398575.1	Certhia familiaris	Aves	Passeriformes	Scaffold	48850	0	ITPR3	1	1	1	1	0	1.0	1	WBNC01002225.1
GCA_013398575.1	Certhia familiaris	Aves	Passeriformes	Scaffold	48850	0	RYR	2	2	2	2	0	1.0	1	WBNC01000059.1;WBNC01000130.1
GCA_013398615.1	Brachypodius melanocephalos	Aves	Passeriformes	Scaffold	85408	0	ITPR1	1	1	1	1	0	1.0	0	VZSR01001459.1
GCA_013398615.1	Brachypodius melanocephalos	Aves	Passeriformes	Scaffold	85408	0	ITPR2	1	1	1	1	0	1.0	0	VZSR01002340.1
GCA_013398615.1	Brachypodius melanocephalos	Aves	Passeriformes	Scaffold	85408	0	ITPR3	1	1	1	1	0	1.0	1	VZSR01002526.1
GCA_013398615.1	Brachypodius melanocephalos	Aves	Passeriformes	Scaffold	85408	0	RYR	2	2	2	2	0	1.0	1	VZSR01000520.1;VZSR01003807.1
GCA_013398795.1	Elachura formosa	Aves	Passeriformes	Scaffold	43159	0	ITPR1	1	1	1	1	0	1.0	0	WBNG01000009.1
