model_id	accession	organism	vclass	vorder	cell	cell_status	db_status	locus_rank	contig	start	end	strand	length	coverage	identity	family_margin	paralog_margin	frameshifts	stop_codons	bait	assigned_via	annot_gene	annot_family	annot_paralog	sibling_locus_for_annot_paralog	annotated_assembly	contig_spans_gene	profile_call	profile_confidence	profile_evidence	itpr_score	ryr_score	profile_rel_margin	profile_envelope	profile_reason
GCA_011823955.1|RYR|JAAKFY010000013.1:8762014-8874393-	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	found_annotated	annotated_unnamed	1	JAAKFY010000013.1	8762014	8874393	-	5050	0.9992	0.7975	1.0	1.0	6	0	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	primary	F7725_020359			0	Y	1	RYR	high	architecture	731.0	8092.4	0.9097	0.9996	ryr.hmm wins by 7361.4 bits (91.0% of 8092.4) over 4920 profile positions
GCA_011823955.1|RYR|JAAKFY010000020.1:12009470-12064928-	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	found_annotated	genome_only	2	JAAKFY010000020.1	12009470	12064928	-	5012	1.0	0.7939	1.0	1.0	10	0	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	primary				0	Y	1	RYR	high	architecture	723.3	8013.8	0.9097	0.9998	ryr.hmm wins by 7290.5 bits (91.0% of 8013.8) over 4930 profile positions
GCA_011823955.1|RYR|JAAKFY010000015.1:14893862-15017626+	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	found_annotated	annotated_unnamed	3	JAAKFY010000015.1	14893862	15017626	+	4888	1.0	0.6669	1.0	1.0	10	0	Q92736|RYR2|Homo_sapiens|RYR2	primary	F7725_007914			0	Y	1	RYR	high	architecture	705.1	7811.6	0.9097	0.9996	ryr.hmm wins by 7106.5 bits (91.0% of 7811.6) over 4925 profile positions
GCA_011823955.1|RYR|JAAKFY010000019.1:13853216-13935566+	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	found_annotated	genome_only	4	JAAKFY010000019.1	13853216	13935566	+	4929	1.0	0.6456	1.0	1.0	8	0	Q92736|RYR2|Homo_sapiens|RYR2	primary				0	Y	1	RYR	high	architecture	706.3	6990.1	0.899	0.9994	ryr.hmm wins by 6283.8 bits (89.9% of 6990.1) over 4925 profile positions
GCA_011823955.1|RYR|JAAKFY010000011.1:18743167-18859665-	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	found_annotated	annotated_unnamed	5	JAAKFY010000011.1	18743167	18859665	-	4938	1.0	0.6069	1.0	1.0	10	1	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	primary	F7725_019825			0	Y	1	RYR	high	architecture	700.6	7624.7	0.9081	0.9996	ryr.hmm wins by 6924.1 bits (90.8% of 7624.7) over 4925 profile positions
GCA_013389825.1|ITPR1|VWPW01023980.1:74623-225975+	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	ITPR1	found_unannotated	genome_only	0	VWPW01023980.1	74623	225975	+	2779	1.0	0.9867	1.0	0.3377	0	0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	primary				0	Y	0	ITPR	high	architecture	4414.1	429.3	0.9027	0.9942	itpr.hmm wins by 3984.8 bits (90.3% of 4414.1) over 2636 profile positions
GCA_013389825.1|ITPR2|VWPW01014676.1:286425-522703-	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	ITPR2	found_unannotated	genome_only	0	VWPW01014676.1	286425	522703	-	2700	1.0	0.98	1.0	0.3104	0	0	F1P1X4|ITPR2|Gallus_gallus|ITPR2	primary				0	Y	0	ITPR	high	architecture	4281.3	438.9	0.8975	0.9974	itpr.hmm wins by 3842.4 bits (89.8% of 4281.3) over 2636 profile positions
GCA_013389825.1|RYR|VWPW01021686.1:6388-188083-	GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	RYR	found_annotated	genome_only	1	VWPW01021686.1	6388	188083	-	4947	1.0	0.6769	1.0	1.0	0	0	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	primary				0	Y	0	RYR	high	architecture	750.8	8265.1	0.9092	0.9996	ryr.hmm wins by 7514.3 bits (90.9% of 8265.1) over 4925 profile positions
GCA_013389965.1|ITPR3|WEIS01036230.1:1967-48807+	GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	ITPR3	found_annotated	annotated_unnamed	0	WEIS01036230.1	1967	48807	+	2611	1.0	0.9476	1.0	0.3324	0	0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	primary	TODMEX_R03131			0	Y	0	ITPR	high	architecture	3860.6	357.2	0.9075	0.9828	itpr.hmm wins by 3503.4 bits (90.8% of 3860.6) over 2574 profile positions
GCA_013389965.1|RYR|WEIS01025216.1:1-35164-	GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	RYR	found_unannotated	genome_only	0	WEIS01025216.1	1	35164	-	3890	0.8074	0.6968	1.0	1.0	2	0	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	primary				0	Y	0	RYR	high	architecture	251.9	5350.2	0.9529	0.9188	ryr.hmm wins by 5098.3 bits (95.3% of 5350.2) over 3456 profile positions
GCA_013389985.1|ITPR1|WEIT01025007.1:6149-161000+	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	ITPR1	found_unannotated	genome_only	0	WEIT01025007.1	6149	161000	+	2779	1.0	0.9853	1.0	0.3198	0	0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	primary				0	Y	0	ITPR	high	architecture	4404.3	424.3	0.9037	0.9932	itpr.hmm wins by 3980.0 bits (90.4% of 4404.3) over 2636 profile positions
GCA_013389985.1|ITPR2|WEIT01016686.1:1-169312+	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	ITPR2	found_unannotated	genome_only	0	WEIT01016686.1	1	169312	+	2028	0.763	0.9456	1.0	1.0	0	0	A0A672UP22|ITPR2|Strigops_habroptila	primary				0	Y	0	ITPR	high	architecture	2937.0	292.1	0.9005	0.9847	itpr.hmm wins by 2644.9 bits (90.0% of 2937.0) over 1946 profile positions
GCA_013389985.1|ITPR3|WEIT01027115.1:18120-55110+	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	ITPR3	found_annotated	annotated_unnamed	0	WEIT01027115.1	18120	55110	+	2679	1.0	0.9925	1.0	0.3491	0	1	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	primary	DRYGAM_R08247			0	Y	0	ITPR	high	architecture	4019.2	419.4	0.8957	0.9996	itpr.hmm wins by 3599.8 bits (89.6% of 4019.2) over 2633 profile positions
GCA_013389985.1|RYR|WEIT01008220.1:2604-28419+	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	RYR	assembly_gap	genome_only	0	WEIT01008220.1	2604	28419	+	848	0.1707	0.7488	1.0	1.0	0	0	A0A3Q0HBW9|RYR|Alligator_sinensis	primary				0	Y	0	RYR	medium	partial	70.5	1446.6	0.9513	0.9976	ryr.hmm wins by 1376.1 bits (95.1% of 1446.6) over 868 profile positions
GCA_013389985.1|RYR|WEIT01027086.1:2446-38927+	GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	RYR	assembly_gap	genome_only	1	WEIT01027086.1	2446	38927	+	522	0.1035	0.9443	1.0	1.0	0	0	A0A3Q0HBW9|RYR|Alligator_sinensis	primary				0	Y	0	RYR	medium	partial	30.5	938.9	0.9675	0.9368	ryr.hmm wins by 908.4 bits (96.8% of 938.9) over 493 profile positions
GCA_013390065.1|ITPR1|WEIW01000372.1:584206-736259+	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	ITPR1	found_unannotated	genome_only	0	WEIW01000372.1	584206	736259	+	2799	1.0	0.9661	1.0	0.3292	0	0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	primary				0	Y	0	ITPR	high	architecture	4329.9	425.9	0.9016	0.9932	itpr.hmm wins by 3904.0 bits (90.2% of 4329.9) over 2636 profile positions
GCA_013390065.1|ITPR2|WEIW01000437.1:216914-459762-	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	ITPR2	found_unannotated	genome_only	0	WEIW01000437.1	216914	459762	-	2705	1.0	0.9554	1.0	0.3112	0	0	A0A672UP22|ITPR2|Strigops_habroptila	primary				0	Y	0	ITPR	high	architecture	4187.9	443.1	0.8942	0.9974	itpr.hmm wins by 3744.8 bits (89.4% of 4187.9) over 2636 profile positions
GCA_013390065.1|ITPR3|WEIW01003401.1:12699-37703-	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	ITPR3	found_annotated	annotated_unnamed	0	WEIW01003401.1	12699	37703	-	2469	0.9337	0.9224	1.0	1.0	0	0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	primary	CHLHAR_R12659			0	Y	0	ITPR	high	architecture	3371.8	312.7	0.9073	0.9433	itpr.hmm wins by 3059.1 bits (90.7% of 3371.8) over 2257 profile positions
GCA_013390065.1|RYR|WEIW01000007.1:603461-986066-	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	RYR	found_annotated	annotated_unnamed	0	WEIW01000007.1	603461	986066	-	4978	1.0	0.9679	1.0	1.0	0	1	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	primary	CHLHAR_R11689			0	Y	0	RYR	high	architecture	680.1	8349.6	0.9185	0.9998	ryr.hmm wins by 7669.5 bits (91.8% of 8349.6) over 4930 profile positions
GCA_013390065.1|RYR|WEIW01000336.1:3014-195968+	GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	RYR	found_annotated	genome_only	1	WEIW01000336.1	3014	195968	+	4923	1.0	0.6669	1.0	1.0	1	0	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	primary				0	Y	0	RYR	high	architecture	742.7	8054.3	0.9078	0.9768	ryr.hmm wins by 7311.6 bits (90.8% of 8054.3) over 4792 profile positions
GCA_013396355.1|ITPR1|VWPS01000057.1:1454359-1609868-	GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	ITPR1	found_unannotated	genome_only	0	VWPS01000057.1	1454359	1609868	-	2779	1.0	0.9863	1.0	0.3305	0	0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	primary				0	Y	0	ITPR	high	architecture	4404.5	424.3	0.9037	0.9932	itpr.hmm wins by 3980.2 bits (90.4% of 4404.5) over 2636 profile positions
GCA_013396355.1|ITPR2|VWPS01000128.1:596224-815047+	GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	ITPR2	found_unannotated	genome_only	0	VWPS01000128.1	596224	815047	+	2705	1.0	0.9719	1.0	0.3134	0	0	A0A672UP22|ITPR2|Strigops_habroptila	primary				0	Y	0	ITPR	high	architecture	4222.4	445.1	0.8946	0.9904	itpr.hmm wins by 3777.3 bits (89.5% of 4222.4) over 2622 profile positions
GCA_013396355.1|ITPR3|VWPS01000164.1:595136-635528-	GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	ITPR3	found_annotated	annotated_unnamed	0	VWPS01000164.1	595136	635528	-	2670	1.0	0.9931	1.0	0.395	1	0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	primary	MENNOV_R13731			0	Y	0	ITPR	high	architecture	4051.2	410.8	0.8986	0.9996	itpr.hmm wins by 3640.4 bits (89.9% of 4051.2) over 2633 profile positions
GCA_013396355.1|RYR|VWPS01000022.1:4514479-4727368-	GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	RYR	found_annotated	genome_only	1	VWPS01000022.1	4514479	4727368	-	4949	1.0	0.6757	1.0	1.0	0	0	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	primary				0	Y	0	RYR	high	architecture	745.2	8236.5	0.9095	0.9996	ryr.hmm wins by 7491.3 bits (91.0% of 8236.5) over 4925 profile positions
GCA_013396465.1|ITPR1|VWYW01000920.1:2801-137380+	GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	ITPR1	found_unannotated	genome_only	0	VWYW01000920.1	2801	137380	+	2699	0.9712	0.9856	1.0	0.3366	0	0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	primary				0	Y	0	ITPR	high	architecture	4280.9	415.2	0.903	0.9941	itpr.hmm wins by 3865.7 bits (90.3% of 4280.9) over 2558 profile positions
GCA_013396465.1|ITPR2|VWYW01000229.1:449541-677297+	GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	ITPR2	found_unannotated	genome_only	0	VWYW01000229.1	449541	677297	+	2700	1.0	0.9848	1.0	0.3074	0	0	A0A672UP22|ITPR2|Strigops_habroptila	primary				0	Y	0	ITPR	high	architecture	4274.9	439.8	0.8971	0.9974	itpr.hmm wins by 3835.1 bits (89.7% of 4274.9) over 2636 profile positions
GCA_013396465.1|RYR|VWYW01000072.1:911143-1129658-	GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	RYR	found_annotated	genome_only	1	VWYW01000072.1	911143	1129658	-	4919	1.0	0.6559	1.0	1.0	2	0	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	primary				0	Y	0	RYR	high	architecture	709.3	7878.5	0.91	0.9898	ryr.hmm wins by 7169.2 bits (91.0% of 7878.5) over 4856 profile positions
GCA_013396875.1|ITPR1|VZRF01009815.1:164036-324131+	GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	ITPR1	found_unannotated	genome_only	0	VZRF01009815.1	164036	324131	+	2779	1.0	0.9849	1.0	0.3258	0	0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	primary				0	Y	0	ITPR	high	architecture	4403.9	424.3	0.9037	0.9932	itpr.hmm wins by 3979.6 bits (90.4% of 4403.9) over 2636 profile positions
GCA_013396875.1|ITPR2|VZRF01000017.1:33571-274938+	GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	ITPR2	found_unannotated	genome_only	0	VZRF01000017.1	33571	274938	+	2700	1.0	0.9796	1.0	0.3102	0	0	A0A672UP22|ITPR2|Strigops_habroptila	primary				0	Y	0	ITPR	high	architecture	4272.5	443.2	0.8963	0.9974	itpr.hmm wins by 3829.3 bits (89.6% of 4272.5) over 2630 profile positions
GCA_013396875.1|RYR|VZRF01009222.1:594031-799678-	GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	RYR	found_annotated	genome_only	1	VZRF01009222.1	594031	799678	-	4952	1.0	0.6724	1.0	1.0	0	1	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	primary				0	Y	0	RYR	high	architecture	738.5	8209.6	0.91	0.9996	ryr.hmm wins by 7471.1 bits (91.0% of 8209.6) over 4925 profile positions
GCA_013396975.1|ITPR1|VWZO01019971.1:305321-469383-	GCA_013396975.1	Bucco capensis	Aves	Piciformes	ITPR1	found_unannotated	genome_only	0	VWZO01019971.1	305321	469383	-	2780	1.0	0.9867	1.0	0.3235	0	0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	primary				0	Y	0	ITPR	high	architecture	4410.5	431.0	0.9023	0.9942	itpr.hmm wins by 3979.5 bits (90.2% of 4410.5) over 2636 profile positions
GCA_013396975.1|ITPR3|VWZO01013041.1:21178-34387-	GCA_013396975.1	Bucco capensis	Aves	Piciformes	ITPR3	assembly_gap	genome_only	1	VWZO01013041.1	21178	34387	-	780	0.2924	0.9846	1.0	1.0	0	0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	primary				0	Y	0	ITPR	medium	partial	1225.7	231.6	0.811	0.9987	itpr.hmm wins by 994.1 bits (81.1% of 1225.7) over 719 profile positions
GCA_013396975.1|RYR|VWZO01001808.1:57-213887-	GCA_013396975.1	Bucco capensis	Aves	Piciformes	RYR	assembly_gap	genome_only	0	VWZO01001808.1	57	213887	-	2665	0.5366	0.9711	1.0	1.0	1	0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	primary				0	Y	0	RYR	high	architecture	290.4	4510.4	0.9356	0.9996	ryr.hmm wins by 4220.0 bits (93.6% of 4510.4) over 2623 profile positions
GCA_013396975.1|RYR|VWZO01021750.1:85276-188023-	GCA_013396975.1	Bucco capensis	Aves	Piciformes	RYR	assembly_gap	genome_only	1	VWZO01021750.1	85276	188023	-	2304	0.4636	0.9739	1.0	1.0	0	0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	primary				0	Y	0	RYR	medium	partial	461.9	3896.4	0.8815	0.9991	ryr.hmm wins by 3434.5 bits (88.1% of 3896.4) over 2302 profile positions
GCA_013396975.1|RYR|VWZO01002875.1:878-62659+	GCA_013396975.1	Bucco capensis	Aves	Piciformes	RYR	assembly_gap	genome_only	2	VWZO01002875.1	878	62659	+	2052	0.411	0.6816	1.0	1.0	0	0	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	primary				0	Y	0	RYR	medium	partial	181.4	3330.7	0.9455	0.9976	ryr.hmm wins by 3149.3 bits (94.5% of 3330.7) over 2051 profile positions
GCA_013396975.1|RYR|VWZO01015568.1:1351-83337-	GCA_013396975.1	Bucco capensis	Aves	Piciformes	RYR	assembly_gap	genome_only	3	VWZO01015568.1	1351	83337	-	2043	0.4259	0.6611	1.0	1.0	1	0	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	primary				0	Y	0	RYR	medium	partial	180.4	3322.9	0.9457	0.975	ryr.hmm wins by 3142.5 bits (94.6% of 3322.9) over 1997 profile positions
GCA_013397015.1|ITPR1|VWZQ01007131.1:499494-658436+	GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	ITPR1	found_annotated	annotated_unnamed	0	VWZQ01007131.1	499494	658436	+	2779	1.0	0.9845	1.0	0.3283	0	0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	primary	MYIHEB_R06248			0	Y	0	ITPR	high	architecture	4403.7	425.2	0.9034	0.9942	itpr.hmm wins by 3978.5 bits (90.3% of 4403.7) over 2638 profile positions
GCA_013397015.1|ITPR2|VWZQ01006530.1:363409-582080-	GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	ITPR2	found_unannotated	genome_only	0	VWZQ01006530.1	363409	582080	-	2669	0.9885	0.982	1.0	0.3105	0	0	A0A672UP22|ITPR2|Strigops_habroptila	primary				0	Y	0	ITPR	high	architecture	4217.4	441.4	0.8953	0.9974	itpr.hmm wins by 3776.0 bits (89.5% of 4217.4) over 2606 profile positions
