accession	organism	taxid	vclass	vorder	assembly_name	level	refseq_category	annotated	annotation_source	release_date	total_length_bp	scaffold_n50	contig_n50	fasta_gb	est_zip_gb	reasons	notes
GCA_036247105.2	Cirrhinus mrigala	683832	Actinopteri	Cypriniformes	ASM3624710v2	Chromosome	reference genome	Y	GenBank	2024-06-24	1057024841	37322513	3631979	1.06	0.32	zero_hit_proteome	0 ITPR records in UP001529510 (57,290 proteins); absence in a proteome is not gene loss
GCF_052040795.1	Danio rerio	7955	Actinopteri	Cypriniformes	GRCz12ab	Complete Genome	reference genome	Y	RefSeq	2025-08-15	1450693629	59431669	59431669	1.45	0.44	order_rep:Cypriniformes;anchor	best of 247 reference assemblies in Cypriniformes | zebrafish — the teleost 3R case and the S0 PF08709 query
GCF_949152265.1	Phoxinus phoxinus	58324	Actinopteri	Cypriniformes	fPhoPho1.1	Chromosome	reference genome	Y	RefSeq	2023-02-15	950479694	36753459	1988965	0.95	0.29	missing_paralog	2 of 3 expected paralogs (29,140 proteins in the reference proteome)
GCA_040091285.1	Ameca splendens	208324	Actinopteri	Cyprinodontiformes	ASv1.0	Scaffold	reference genome	Y	GenBank	2024-06-07	935215237	17147	16857	0.94	0.28	fragment_only	longest ITPR record 1383 aa, below the family floor of 2,000 aa (12 records)
GCA_036250305.1	Ataeniobius toweri	208326	Actinopteri	Cyprinodontiformes	USTA_Atow_v1.0	Scaffold	reference genome	Y	GenBank	2024-01-29	929852946	16360	16136	0.93	0.28	fragment_only	longest ITPR record 1538 aa, below the family floor of 2,000 aa (14 records)
GCA_036250325.1	Characodon lateralis	208331	Actinopteri	Cyprinodontiformes	USTA_Clat_v1.0	Scaffold	reference genome	Y	GenBank	2024-01-29	925961068	19409	18129	0.93	0.28	fragment_only	longest ITPR record 1508 aa, below the family floor of 2,000 aa (15 records)
GCF_019740435.1	Gambusia affinis	33528	Actinopteri	Cyprinodontiformes	SWU_Gaff_1.0	Chromosome	reference genome	Y	RefSeq	2021-08-25	680149392	29761488	12906370	0.68	0.20	missing_paralog	2 of 3 expected paralogs (19,443 proteins in the reference proteome)
GCA_040091325.1	Goodea atripinnis	208336	Actinopteri	Cyprinodontiformes	Goodea_atripinnis_V.1.0	Scaffold	reference genome	Y	GenBank	2024-06-07	979082110	17645	16062	0.98	0.29	fragment_only	longest ITPR record 740 aa, below the family floor of 2,000 aa (11 records)
GCA_040091305.1	Ilyodon furcidens	33524	Actinopteri	Cyprinodontiformes	Ifv1.0	Scaffold	reference genome	Y	GenBank	2024-06-07	927507663	13511	11867	0.93	0.28	fragment_only	longest ITPR record 1408 aa, below the family floor of 2,000 aa (14 records)
GCF_043380555.1	Nothobranchius furzeri	105023	Actinopteri	Cyprinodontiformes	NfurGRZ-RIMD1	Chromosome	reference genome	Y	RefSeq	2024-10-21	1479182959	76394082	9298000	1.48	0.44	order_rep:Cyprinodontiformes	best of 209 reference assemblies in Cyprinodontiformes
GCA_040091335.1	Xenoophorus captivus	1517983	Actinopteri	Cyprinodontiformes	XC_V1.0	Scaffold	reference genome	Y	GenBank	2024-06-07	970757911	20238	19941	0.97	0.29	fragment_only	longest ITPR record 681 aa, below the family floor of 2,000 aa (14 records)
GCA_040091345.1	Xenotaenia resolanae	208358	Actinopteri	Cyprinodontiformes	Xenotaenia_resolanae_V1.0	Scaffold	reference genome	Y	GenBank	2024-06-07	958301961	16140	15690	0.96	0.29	fragment_only	longest ITPR record 1012 aa, below the family floor of 2,000 aa (12 records)
GCF_013368585.1	Megalops cyprinoides	118141	Actinopteri	Elopiformes	fMegCyp1.pri	Chromosome	reference genome	Y	RefSeq	2020-06-23	959241634	38251172	26850664	0.96	0.29	order_rep:Elopiformes	best of 2 reference assemblies in Elopiformes
GCA_058707665.1	Platax teira	334891	Actinopteri	Ephippiformes	ASM5870766v1	Complete Genome	reference genome	N	GenBank	2026-07-01	693711880	30140486	30140486	0.69	0.21	order_rep:Ephippiformes	best of 2 reference assemblies in Ephippiformes
GCF_011004845.1	Esox lucius	8010	Actinopteri	Esociformes	fEsoLuc1.pri	Chromosome	reference genome	Y	RefSeq	2020-03-05	918731919	37473588	22630263	0.92	0.28	order_rep:Esociformes	best of 8 reference assemblies in Esociformes
GCF_902167405.1	Gadus morhua	8049	Actinopteri	Gadiformes	gadMor3.0	Chromosome	reference genome	Y	RefSeq	2019-07-16	669949713	28732775	1015663	0.67	0.20	order_rep:Gadiformes	best of 54 reference assemblies in Gadiformes
GCA_027704905.1	Muraenolepis orangiensis	630683	Actinopteri	Gadiformes	KU_S4	Chromosome	reference genome	Y	GenBank	2023-01-13	893743365	30072179	636888	0.89	0.27	fragment_only	longest ITPR record 1904 aa, below the family floor of 2,000 aa (6 records)
GCA_017639675.1	Aplochiton taeniatus	946358	Actinopteri	Galaxiiformes	fAplTae1.pri	Chromosome	reference genome	Y	GenBank	2021-03-30	461946147	20392628	956540	0.46	0.14	order_rep:Galaxiiformes	best of 10 reference assemblies in Galaxiiformes
GCA_984656905.1	Parequula melbournensis	548269	Actinopteri	Gerreiformes	Parequula melbournensis_haplotype_1_assembly	Chromosome	reference genome	N	GenBank	2026-06-22	602936613	25456707	5643520	0.60	0.18	order_rep:Gerreiformes	best of 4 reference assemblies in Gerreiformes
GCF_951799975.1	Gobius niger	85417	Actinopteri	Gobiiformes	fGobNig1.1	Chromosome	reference genome	Y	RefSeq	2023-05-27	870555617	36708673	3365000	0.87	0.26	order_rep:Gobiiformes	best of 61 reference assemblies in Gobiiformes
GCF_902362185.1	Chanos chanos	29144	Actinopteri	Gonorynchiformes	fChaCha1.1	Chromosome	reference genome	Y	RefSeq	2019-08-14	656912816	50300218	23134051	0.66	0.20	order_rep:Gonorynchiformes	best of 2 reference assemblies in Gonorynchiformes
GCF_041902795.1	Electrophorus electricus	8005	Actinopteri	Gymnotiformes	ASM4190279v1	Chromosome	reference genome	Y	RefSeq	2024-09-12	833427914	30383234	22449376	0.83	0.25	order_rep:Gymnotiformes	best of 8 reference assemblies in Gymnotiformes
GCA_056783565.1	Hiodon alosoides	54904	Actinopteri	Hiodontiformes	fHioAlo1.hap1	Chromosome	reference genome	Y	GenBank	2026-04-16	850967845	31452048	15034530	0.85	0.26	order_rep:Hiodontiformes	best of 2 reference assemblies in Hiodontiformes
GCF_902150065.1	Myripristis murdjan	586833	Actinopteri	Holocentriformes	fMyrMur1.1	Chromosome	reference genome	Y	RefSeq	2019-07-03	835254674	34950760	14475636	0.84	0.25	order_rep:Holocentriformes	best of 7 reference assemblies in Holocentriformes
GCF_016859285.1	Xiphias gladius	8245	Actinopteri	Istiophoriformes	ASM1685928v1	Chromosome	reference genome	Y	RefSeq	2021-02-12	691763775	29220096	5252707	0.69	0.21	order_rep:Istiophoriformes	best of 2 reference assemblies in Istiophoriformes
GCF_902148855.1	Sphaeramia orbicularis	375764	Actinopteri	Kurtiformes	fSphaOr1.1	Chromosome	reference genome	Y	RefSeq	2019-07-03	1342662642	57165184	2360121	1.34	0.40	order_rep:Kurtiformes	best of 25 reference assemblies in Kurtiformes
GCF_018320785.1	Cheilinus undulatus	241271	Actinopteri	Labriformes	ASM1832078v1	Chromosome	reference genome	Y	RefSeq	2021-05-12	1173455521	51466935	16477222	1.17	0.35	order_rep:Labriformes	best of 41 reference assemblies in Labriformes
GCF_029633865.1	Lampris incognitus	2546036	Actinopteri	Lampriformes	fLamInc1.hap2	Chromosome	reference genome	Y	RefSeq	2023-04-13	1482357630	62607046	917127	1.48	0.44	order_rep:Lampriformes	best of 5 reference assemblies in Lampriformes
GCA_051992705.1	Lepidogalaxias salamandroides	89578	Actinopteri	Lepidogalaxiiformes	ASM5199270v1	Scaffold	reference genome	N	GenBank	2025-08-13	490871167	5066	1446	0.49	0.15	order_rep:Lepidogalaxiiformes	best of 1 reference assemblies in Lepidogalaxiiformes
GCA_054883175.1	Datnioides polota	428446	Actinopteri	Lobotiformes	fDatPol1.hap2	Chromosome	reference genome	N	GenBank	2026-01-30	577847626	25727267	16887846	0.58	0.17	order_rep:Lobotiformes	best of 3 reference assemblies in Lobotiformes
GCF_040054535.1	Antennarius striatus	241820	Actinopteri	Lophiiformes	ASM4005453v1	Chromosome	reference genome	Y	RefSeq	2024-06-04	548561997	23897462	21047747	0.55	0.16	order_rep:Lophiiformes	best of 6 reference assemblies in Lophiiformes
GCF_056507025.1	Lutjanus erythropterus	211835	Actinopteri	Lutjaniformes	fLutEry1.hap2	Chromosome	reference genome	Y	RefSeq	2026-04-01	970019684	41775750	37725332	0.97	0.29	order_rep:Lutjaniformes	best of 27 reference assemblies in Lutjaniformes
GCF_963514085.1	Chelon labrosus	48171	Actinopteri	Mugiliformes	fCheLab1.1	Chromosome	reference genome	Y	RefSeq	2023-09-29	717403240	30303911	2544200	0.72	0.22	order_rep:Mugiliformes	best of 6 reference assemblies in Mugiliformes
GCF_963921795.1	Nannobrachium achirus	473322	Actinopteri	Myctophiformes	fNanAch1.1	Chromosome	reference genome	Y	RefSeq	2024-02-09	1658830932	66219085	1305851	1.66	0.50	order_rep:Myctophiformes	best of 9 reference assemblies in Myctophiformes
GCA_029706075.1	Aldrovandia affinis	143900	Actinopteri	Notacanthiformes	AAFF_1.1	Scaffold	reference genome	Y	GenBank	2023-04-12	1228814362	3835462	2000165	1.23	0.37	order_rep:Notacanthiformes	best of 5 reference assemblies in Notacanthiformes
GCF_046128005.1	Genypterus blacodes	154954	Actinopteri	Ophidiiformes	CSIRO-AGI_Gbla_v1	Contig	reference genome	Y	RefSeq	2024-12-17	463765610	4774482	4774482	0.46	0.14	order_rep:Ophidiiformes	best of 6 reference assemblies in Ophidiiformes
GCF_054491055.1	Hypomesus nipponensis	182223	Actinopteri	Osmeriformes	ASM5449105v1	Complete Genome	reference genome	Y	RefSeq	2026-01-14	526314162	20232928	20232928	0.53	0.16	order_rep:Osmeriformes	best of 24 reference assemblies in Osmeriformes
GCA_054883375.1	Arapaima gigas	113544	Actinopteri	Osteoglossiformes	ASM5488337v1	Complete Genome	reference genome	N	GenBank	2026-01-30	667947082	27159801	27159801	0.67	0.20	missing_paralog	2 of 3 expected paralogs (24,438 proteins in the reference proteome)
GCF_048594095.1	Paramormyrops kingsleyae	1676925	Actinopteri	Osteoglossiformes	PKINGS_0.4	Chromosome	reference genome	Y	RefSeq	2025-03-17	933939706	35261244	10969524	0.93	0.28	order_rep:Osteoglossiformes	best of 64 reference assemblies in Osteoglossiformes
GCA_023974075.1	Chaenocephalus aceratus	36190	Actinopteri	Perciformes	KU_Ca_2.0	Chromosome	reference genome	Y	GenBank	2022-06-29	1065596499	33456537	1500626	1.07	0.32	fragment_only	longest ITPR record 1965 aa, below the family floor of 2,000 aa (5 records)
GCA_031216635.1	Dissostichus eleginoides	100907	Actinopteri	Perciformes	KU_De_1.0	Chromosome	reference genome	Y	GenBank	2023-09-08	844744120	36024567	4228958	0.84	0.25	fragment_only	longest ITPR record 1274 aa, below the family floor of 2,000 aa (7 records)
GCA_011823955.1	Dissostichus mawsoni	36200	Actinopteri	Perciformes	KU_Dm_1.0	Scaffold	reference genome	Y	GenBank	2020-04-01	926363279	36983948	3015437	0.93	0.28	missing_paralog;fragment_only	1 of 3 expected paralogs (29,104 proteins in the reference proteome) | longest ITPR record 1961 aa, below the family floor of 2,000 aa (1 records)
GCA_050084785.1	Liparis tanakae	230148	Actinopteri	Perciformes	ASM5008478v1	Chromosome	reference genome	N	GenBank	2025-05-01	574413635	24637528	1346787	0.57	0.17	fragment_only	longest ITPR record 988 aa, below the family floor of 2,000 aa (17 records)
GCF_949606895.1	Notothenia rossii	101497	Actinopteri	Perciformes	fNotRos5.1	Chromosome	reference genome	Y	RefSeq	2023-03-11	1042884354	89684120	383412	1.04	0.31	order_rep:Perciformes	best of 313 reference assemblies in Perciformes
GCA_046255725.1	Amblyopsis spelaea	1195602	Actinopteri	Percopsiformes	fAmbSpe1.hap2	Chromosome	reference genome	N	GenBank	2024-12-23	865090090	32392405	3811240	0.87	0.26	order_rep:Percopsiformes	best of 12 reference assemblies in Percopsiformes
GCF_963457635.1	Microchirus variegatus	90074	Actinopteri	Pleuronectiformes	fMicVar1.1	Chromosome	reference genome	Y	RefSeq	2023-09-20	724676885	29835075	2444644	0.72	0.22	order_rep:Pleuronectiformes	best of 38 reference assemblies in Pleuronectiformes
GCA_047511595.1	Polymixia lowei	143326	Actinopteri	Polymixiiformes	fPolLow2.hap2	Chromosome	reference genome	N	GenBank	2025-02-10	671709512	28700045	1880763	0.67	0.20	order_rep:Polymixiiformes	best of 2 reference assemblies in Polymixiiformes
GCA_056506795.1	Pristigenys meyeri	1609310	Actinopteri	Priacanthiformes	fPriMey1.hap2	Chromosome	reference genome	N	GenBank	2026-04-01	839101591	36857215	32736534	0.84	0.25	order_rep:Priacanthiformes	best of 3 reference assemblies in Priacanthiformes
GCF_965601325.1	Salmo salar	8030	Actinopteri	Salmoniformes	fSalSal1	Chromosome	reference genome	Y	RefSeq	2025-07-07	2825041709	99640797	90035114	2.83	0.85	order_rep:Salmoniformes	best of 27 reference assemblies in Salmoniformes
GCF_027409825.1	Scomber japonicus	13676	Actinopteri	Scombriformes	fScoJap1.pri	Chromosome	reference genome	Y	RefSeq	2022-12-28	828681152	34636535	4898551	0.83	0.25	order_rep:Scombriformes	best of 30 reference assemblies in Scombriformes
GCA_043380575.1	Atractosteus spatula	7917	Actinopteri	Semionotiformes	ASPAv1	Chromosome	reference genome	N	GenBank	2024-10-21	1045212796	56827445	15716625	1.05	0.31	missing_paralog	2 of 3 expected paralogs (14,758 proteins in the reference proteome)
GCF_040954835.1	Lepisosteus oculatus	7918	Actinopteri	Semionotiformes	fLepOcu1.hap2	Chromosome	reference genome	Y	RefSeq	2024-08-01	1200589847	47769348	20019514	1.20	0.36	order_rep:Semionotiformes	best of 4 reference assemblies in Semionotiformes
GCF_027579695.1	Neoarius graeffei	443677	Actinopteri	Siluriformes	fNeoGra1.pri	Chromosome	reference genome	Y	RefSeq	2023-01-09	2341916362	83992109	14859289	2.34	0.70	order_rep:Siluriformes	best of 246 reference assemblies in Siluriformes
GCF_900880675.2	Sparus aurata	8175	Actinopteri	Spariformes	fSpaAur1.2	Chromosome	reference genome	Y	RefSeq	2021-04-24	833578411	35791275	2862625	0.83	0.25	order_rep:Spariformes	best of 26 reference assemblies in Spariformes
GCF_949987555.1	Borostomias antarcticus	473354	Actinopteri	Stomiiformes	fBorAnt1.1	Chromosome	reference genome	Y	RefSeq	2023-05-03	909231230	27266006	959230	0.91	0.27	order_rep:Stomiiformes	best of 2 reference assemblies in Stomiiformes
GCA_056824565.1	Stylephorus chordatus	409996	Actinopteri	Stylephoriformes	fStyCho2.hap2	Chromosome	reference genome	N	GenBank	2026-04-21	1138063058	79700676	850304	1.14	0.34	order_rep:Stylephoriformes	best of 1 reference assemblies in Stylephoriformes
GCF_900324485.3	Mastacembelus armatus	205130	Actinopteri	Synbranchiformes	fMasArm1.3	Chromosome	reference genome	Y	RefSeq	2021-04-24	591935101	25090313	8014513	0.59	0.18	order_rep:Synbranchiformes	best of 2 reference assemblies in Synbranchiformes
GCF_033978785.1	Entelurus aequoreus	161455	Actinopteri	Syngnathiformes	RoL_Eaeq_v1.1	Chromosome	reference genome	Y	RefSeq	2023-12-01	1892198045	75786231	2039131	1.89	0.57	order_rep:Syngnathiformes	best of 55 reference assemblies in Syngnathiformes
GCF_901000725.3	Takifugu rubripes	31033	Actinopteri	Tetraodontiformes	fTakRub1.3	Chromosome	reference genome	Y	RefSeq	2021-04-24	384110215	16705553	3136617	0.38	0.12	order_rep:Tetraodontiformes	best of 30 reference assemblies in Tetraodontiformes
GCA_048569125.1	Diretmus argenteus	88682	Actinopteri	Trachichthyiformes	fDirArg3.hap1	Chromosome	reference genome	Y	GenBank	2025-03-13	1517026147	41803795	542425	1.52	0.46	order_rep:Trachichthyiformes	best of 7 reference assemblies in Trachichthyiformes
GCF_949987685.1	Ammodytes marinus	146480	Actinopteri	Uranoscopiformes	fAmmMar1.1	Chromosome	reference genome	Y	RefSeq	2023-05-03	777819083	31846471	2041615	0.78	0.23	order_rep:Uranoscopiformes	best of 5 reference assemblies in Uranoscopiformes
GCF_960531495.1	Zeus faber	64108	Actinopteri	Zeiformes	fZeuFab8.1	Chromosome	reference genome	Y	RefSeq	2023-07-26	804715226	34476449	1449431	0.80	0.24	order_rep:Zeiformes	best of 3 reference assemblies in Zeiformes
GCF_042186555.1	Aquarana catesbeiana	8400	Amphibia	Anura	ASM4218655v1	Chromosome	reference genome	Y	RefSeq	2024-09-24	6377618952	691824178	3396515	6.38	1.91	fragment_only	longest ITPR record 600 aa, below the family floor of 2,000 aa (7 records)
GCF_027579735.1	Bombina bombina	8345	Amphibia	Anura	aBomBom1.pri	Chromosome	reference genome	Y	RefSeq	2023-01-09	10019663791	1241340601	3759931	10.02	3.01	order_rep:Anura	best of 196 reference assemblies in Anura
GCF_035609145.1	Eleutherodactylus coqui	57060	Amphibia	Anura	aEleCoq1.hap1	Chromosome	reference genome	Y	RefSeq	2024-01-12	3371297528	277440397	10388966	3.37	1.01	fragment_only	longest ITPR record 1552 aa, below the family floor of 2,000 aa (6 records)
GCA_019447015.1	Hymenochirus boettgeri	247094	Amphibia	Anura	UCB_Hboe_1.0	Chromosome	reference genome	Y	GenBank	2021-08-05	3210867089	293320900	783846	3.21	0.96	fragment_only	longest ITPR record 1993 aa, below the family floor of 2,000 aa (9 records)
GCA_951230385.1	Staurois parvus	386267	Amphibia	Anura	Staurois_parvus_genomeassembly_1.0.embl	Scaffold	reference genome	Y	GenBank	2023-05-08	3982222951	627725	611229	3.98	1.19	fragment_only	longest ITPR record 1225 aa, below the family floor of 2,000 aa (5 records)
GCF_000004195.4	Xenopus tropicalis	8364	Amphibia	Anura	UCB_Xtro_10.0	Chromosome	reference genome	Y	RefSeq	2019-11-14	1451283599	153961319	14634335	1.45	0.44	anchor	Xenopus tropicalis — the tetrapod outgroup to amniotes
GCF_964261635.1	Lissotriton helveticus	256425	Amphibia	Caudata	aLisHel1.1	Chromosome	reference genome	Y	RefSeq	2024-10-17	23170028842	2132484007	7795245	23.17	6.95	order_rep:Caudata	best of 64 reference assemblies in Caudata
GCF_901001135.2	Rhinatrema bivittatum	194408	Amphibia	Gymnophiona	aRhiBiv1.2	Chromosome	reference genome	Y	RefSeq	2021-04-24	5319222779	486875112	3216284	5.32	1.60	order_rep:Gymnophiona	best of 5 reference assemblies in Gymnophiona
GCA_000699945.1	Cathartes aura	43455	Aves	Accipitriformes	ASM69994v1	Scaffold	reference genome	Y	GenBank	2014-06-11	1152571117	36359	15248	1.15	0.35	missing_paralog;fragment_only	1 of 3 expected paralogs (7,760 proteins in the reference proteome) | longest ITPR record 285 aa, below the family floor of 2,000 aa (1 records)
GCA_035590135.1	Circaetus pectoralis	321084	Aves	Accipitriformes	ASM3559013v1	Scaffold	reference genome	N	GenBank	2024-01-11	1196886597	36419590	43929	1.20	0.36	missing_paralog;fragment_only	2 of 3 expected paralogs (14,132 proteins in the reference proteome) | longest ITPR record 288 aa, below the family floor of 2,000 aa (2 records)
GCF_018139145.2	Gymnogyps californianus	33616	Aves	Accipitriformes	ASM1813914v2	Chromosome	reference genome	Y	RefSeq	2022-09-01	1240248578	85355094	17075888	1.24	0.37	order_rep:Accipitriformes	best of 157 reference assemblies in Accipitriformes
GCF_947461875.1	Haliaeetus albicilla	8969	Aves	Accipitriformes	bHalAlb1.1	Chromosome	reference genome	Y	RefSeq	2022-12-06	1320298205	44398590	4576000	1.32	0.40	missing_paralog;fragment_only	2 of 3 expected paralogs (15,042 proteins in the reference proteome) | longest ITPR record 288 aa, below the family floor of 2,000 aa (2 records)
GCF_047663525.1	Anas platyrhynchos	8839	Aves	Anseriformes	IASCAAS_PekinDuck_T2T	Complete Genome	reference genome	Y	RefSeq	2025-02-12	1261969826	80154792	80154792	1.26	0.38	order_rep:Anseriformes;missing_paralog	best of 143 reference assemblies in Anseriformes | 2 of 3 expected paralogs (16,592 proteins in the reference proteome)
GCF_020740795.1	Apus apus	8895	Aves	Apodiformes	bApuApu2.pri.cur	Chromosome	reference genome	Y	RefSeq	2021-11-04	1100361224	115508478	25561769	1.10	0.33	order_rep:Apodiformes	best of 23 reference assemblies in Apodiformes
GCF_003957555.1	Calypte anna	9244	Aves	Apodiformes	bCalAnn1_v1.p	Chromosome	reference genome	Y	RefSeq	2019-05-16	1059687259	74081004	14522327	1.06	0.32	missing_paralog	2 of 3 expected paralogs (13,267 proteins in the reference proteome)
GCF_000747805.2	Chaetura pelagica	8897	Aves	Apodiformes	ChaPel_1.1	Scaffold	reference genome	Y	RefSeq	2014-09-04	1118724105	3841852	30767	1.12	0.34	zero_hit_proteome	0 ITPR records in UP000031515 (3,162 proteins); absence in a proteome is not gene loss
