accession	label	kind	call	group	paralog	species	kingdom	phylum	length	source	in_alphafold	afdb_status	model_accession	afdb_entry	model_length	model_coverage	is_canonical	afdb_version	seq_version_date	error
A0A067C0I0	SPRG_22304	uniprot	ITPR	SAR	SPRG_22304	Saprolegnia parasitica (strain CBS 223.65)		Oomycota	2700	InterPro	0	absent			0	0.0				404
A0A067C1N9	SPRG_14004	uniprot	ITPR	SAR	SPRG_14004	Saprolegnia parasitica (strain CBS 223.65)		Oomycota	2168	InterPro	0	absent			0	0.0				404
A0A067C7T7	SPRG_12592	uniprot	ITPR	SAR	SPRG_12592	Saprolegnia parasitica (strain CBS 223.65)		Oomycota	2775	InterPro	0	absent			0	0.0				404
A0A067CH94	SPRG_04940	uniprot	ITPR	Eukaryota (other)	SPRG_04940	Saprolegnia parasitica (strain CBS 223.65)			351	S20 sweep		full	A0A067CH94	AF-A0A067CH94-F1	351	1.0	1	6	2014-09-03	
A0A067CP00	SPRG_03410	uniprot	ITPR	SAR	SPRG_03410	Saprolegnia parasitica (strain CBS 223.65)		Oomycota	1873	InterPro	0	absent			0	0.0				404
A0A067CP85	SPRG_02777	uniprot	ITPR	Eukaryota (other)	SPRG_02777	Saprolegnia parasitica (strain CBS 223.65)			1062	S20 sweep		full	A0A067CP85	AF-A0A067CP85-F1	1062	1.0	1	6	2014-09-03	
A0A067CSU7	SPRG_04939	uniprot	ITPR	SAR	SPRG_04939	Saprolegnia parasitica (strain CBS 223.65)		Oomycota	1905	InterPro	0	absent			0	0.0				404
A0A067CXU1	SPRG_00157	uniprot	ITPR	Eukaryota (other)	SPRG_00157	Saprolegnia parasitica (strain CBS 223.65)			515	S20 sweep		full	A0A067CXU1	AF-A0A067CXU1-F1	515	1.0	1	6	2014-09-03	
A0A067CZC0	SPRG_00668	uniprot	ITPR	SAR	SPRG_00668	Saprolegnia parasitica (strain CBS 223.65)		Oomycota	2875	InterPro	0	absent			0	0.0				404
A0A067CZJ8	SPRG_03409	uniprot	ITPR	SAR	SPRG_03409	Saprolegnia parasitica (strain CBS 223.65)		Oomycota	1070	InterPro	1	full	A0A067CZJ8	AF-A0A067CZJ8-F1	1070	1.0	1	6	2014-09-03	
A0A074Z731	T265_14735	uniprot	ITPR	Metazoa (non-vertebrate)	T265_14735	Opisthorchis viverrini (Southeast Asian liver fluke)	Metazoa	Platyhelminthes	2826	InterPro	0	absent			0	0.0				404
A0A077YYA4	TTRE_0000103301	uniprot	ITPR	Metazoa (non-vertebrate)	TTRE_0000103301	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	Metazoa	Nematoda	2639	InterPro	1	full	A0A077YYA4	AF-A0A077YYA4-F1	2639	1.0	1	6	2014-10-29	
A0A077ZVT6	Contig10331.g11023	uniprot	ITPR	SAR	Contig10331.g11023	Stylonychia lemnae (Ciliate)		Ciliophora	3398	InterPro	0	absent			0	0.0				404
A0A077ZYI0	Contig4758.g5084	uniprot	ITPR	SAR	Contig4758.g5084	Stylonychia lemnae (Ciliate)		Ciliophora	2799	InterPro	0	absent			0	0.0				404
A0A078A1U0	Contig1440.g1580	uniprot	ITPR	SAR	Contig1440.g1580	Stylonychia lemnae (Ciliate)		Ciliophora	3530	InterPro	0	absent			0	0.0				404
A0A078A4T9	Contig15245.g16249	uniprot	ITPR	SAR	Contig15245.g16249	Stylonychia lemnae (Ciliate)		Ciliophora	2116	InterPro	0	absent			0	0.0				404
A0A078A8I0	Contig9742.g10423	uniprot	ITPR	SAR	Contig9742.g10423	Stylonychia lemnae (Ciliate)		Ciliophora	2894	InterPro	0	absent			0	0.0				404
A0A078ASZ8	Contig10368.g11065	uniprot	ITPR	SAR	Contig10368.g11065	Stylonychia lemnae (Ciliate)		Ciliophora	2773	InterPro	0	absent			0	0.0				404
A0A084W6J0	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Metazoa (non-vertebrate)		Anopheles sinensis (Mosquito)	Metazoa	Arthropoda	2987	InterPro	0	absent			0	0.0				404
A0A087UUA1	X975_03092	uniprot	ITPR	Eukaryota (other)	X975_03092	Stegodyphus mimosarum			325	S20 sweep		full	A0A087UUA1	AF-A0A087UUA1-F1	325	1.0	1	6	2014-10-29	
A0A087UUA3	X975_03094	uniprot	ITPR	Metazoa (non-vertebrate)	X975_03094	Stegodyphus mimosarum (African social velvet spider)	Metazoa	Arthropoda	290	InterPro	1	full	A0A087UUA3	AF-A0A087UUA3-F1	290	1.0	1	6	2014-10-29	
A0A087UUA7	X975_03098	uniprot	ITPR	Metazoa (non-vertebrate)	X975_03098	Stegodyphus mimosarum (African social velvet spider)	Metazoa	Arthropoda	264	InterPro	1	full	A0A087UUA7	AF-A0A087UUA7-F1	264	1.0	1	6	2014-10-29	
A0A087UUA8	X975_03099	uniprot	ITPR	Eukaryota (other)	X975_03099	Stegodyphus mimosarum			323	S20 sweep		full	A0A087UUA8	AF-A0A087UUA8-F1	323	1.0	1	6	2014-10-29	
A0A087VQE3	N312_09773	uniprot	ITPR	Vertebrata	N312_09773	Balearica regulorum gibbericeps (East African grey crowned-crane)	Metazoa	Chordata	1637	InterPro	0	absent			0	0.0				404
A0A087XJU3	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Poecilia formosa (Amazon molly) (Limia formosa)	Metazoa	Chordata	2426	InterPro	0	absent			0	0.0				404
A0A087XPK2	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Poecilia formosa (Amazon molly) (Limia formosa)	Metazoa	Chordata	2693	InterPro	0	absent			0	0.0				404
A0A087Y2Z5	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Poecilia formosa (Amazon molly) (Limia formosa)	Metazoa	Chordata	1517	InterPro	0	absent			0	0.0				404
A0A087YDC8	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Poecilia formosa (Amazon molly) (Limia formosa)	Metazoa	Chordata	2684	InterPro	0	absent			0	0.0				404
A0A090KQI1	SRAE_X000152300	uniprot	ITPR	Metazoa (non-vertebrate)	SRAE_X000152300	Strongyloides ratti (Parasitic roundworm)	Metazoa	Nematoda	2979	InterPro	0	absent			0	0.0				404
A0A091CU82	H920_17057	uniprot	ITPR	Vertebrata	H920_17057	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	Metazoa	Chordata	2857	InterPro	0	absent			0	0.0				404
A0A091CUD0	H920_15467	uniprot	ITPR	Vertebrata	H920_15467	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	Metazoa	Chordata	2613	InterPro	0	absent			0	0.0				404
A0A091DZN5	H920_02006	uniprot	ITPR	Vertebrata	H920_02006	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	Metazoa	Chordata	2780	InterPro	0	absent			0	0.0				404
A0A091F903	N302_05177	uniprot	ITPR	Vertebrata	N302_05177	Corvus brachyrhynchos (American crow)	Metazoa	Chordata	2663	InterPro	0	absent			0	0.0				404
A0A091H544	N320_02922	uniprot	ITPR	Vertebrata	N320_02922	Buceros rhinoceros silvestris	Metazoa	Chordata	285	InterPro	1	full	A0A091H544	AF-A0A091H544-F1	285	1.0	1	6	2014-11-26	
A0A091HBJ0	N320_00704	uniprot	ITPR	Vertebrata	N320_00704	Buceros rhinoceros silvestris	Metazoa	Chordata	272	InterPro	1	full	A0A091HBJ0	AF-A0A091HBJ0-F1	272	1.0	1	6	2014-11-26	
A0A091HSL2	N300_07903	uniprot	ITPR	Vertebrata	N300_07903	Calypte anna (Anna's hummingbird) (Archilochus anna)	Metazoa	Chordata	2675	InterPro	0	absent			0	0.0				404
A0A091IH39	N300_04391	uniprot	ITPR	Vertebrata	N300_04391	Calypte anna (Anna's hummingbird) (Archilochus anna)	Metazoa	Chordata	2706	InterPro	0	absent			0	0.0				404
A0A091IQT4	Z169_15590	uniprot	ITPR	Vertebrata	Z169_15590	Egretta garzetta (Little egret)	Metazoa	Chordata	2655	InterPro	0	absent			0	0.0				404
A0A091JMH3	Z169_04880	uniprot	ITPR	Vertebrata	Z169_04880	Egretta garzetta (Little egret)	Metazoa	Chordata	2722	InterPro	0	absent			0	0.0				404
A0A091JXL0	N325_08962	uniprot	ITPR	Vertebrata	N325_08962	Colius striatus (Speckled mousebird)	Metazoa	Chordata	285	InterPro	1	full	A0A091JXL0	AF-A0A091JXL0-F1	285	1.0	1	6	2014-11-26	
A0A091KHQ0	N324_08499	uniprot	ITPR	Vertebrata	N324_08499	Chlamydotis macqueenii (Macqueen's bustard)	Metazoa	Chordata	2688	InterPro	0	absent			0	0.0				404
A0A091KRZ0	N324_12012	uniprot	ITPR	Vertebrata	N324_12012	Chlamydotis macqueenii (Macqueen's bustard)	Metazoa	Chordata	1640	InterPro	0	absent			0	0.0				404
A0A091KSB7	N325_09998	uniprot	ITPR	Vertebrata	N325_09998	Colius striatus	Metazoa	Chordata	210	HMM		full	A0A091KSB7	AF-A0A091KSB7-F1	210	1.0	1	6	2014-11-26	
A0A091LX29	N322_07258	uniprot	ITPR	Vertebrata	N322_07258	Cariama cristata (Red-legged seriema)	Metazoa	Chordata	285	InterPro	1	full	A0A091LX29	AF-A0A091LX29-F1	285	1.0	1	6	2014-11-26	
A0A091MA22	N323_04027	uniprot	ITPR	Vertebrata	N323_04027	Cathartes aura (Turkey vulture) (Vultur aura)	Metazoa	Chordata	285	InterPro	1	full	A0A091MA22	AF-A0A091MA22-F1	285	1.0	1	6	2014-11-26	
A0A091NMI7	N311_11994	uniprot	ITPR	Vertebrata	N311_11994	Apaloderma vittatum	Metazoa	Chordata	209	HMM		full	A0A091NMI7	AF-A0A091NMI7-F1	209	1.0	1	6	2014-11-26	
A0A091NN28	N311_00832	uniprot	ITPR	Vertebrata	N311_00832	Apaloderma vittatum (Bar-tailed trogon)	Metazoa	Chordata	285	InterPro	1	full	A0A091NN28	AF-A0A091NN28-F1	285	1.0	1	6	2014-11-26	
A0A091P2X3	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Haliaeetus albicilla (White-tailed sea-eagle) (Falco albicilla)	Metazoa	Chordata	285	InterPro	1	full	A0A091P2X3	AF-A0A091P2X3-F1	285	1.0	1	6	2014-11-26	
A0A091Q5I4	N330_12371	uniprot	ITPR	Vertebrata	N330_12371	Leptosomus discolor (Madagascar cuckoo roller) (Cuculus discolor)	Metazoa	Chordata	285	InterPro	1	full	A0A091Q5I4	AF-A0A091Q5I4-F1	285	1.0	1	6	2014-11-26	
A0A091R4W2	N331_01437	uniprot	ITPR	Vertebrata	N331_01437	Merops nubicus (Northern carmine bee-eater)	Metazoa	Chordata	285	InterPro	1	full	A0A091R4W2	AF-A0A091R4W2-F1	285	1.0	1	6	2014-11-26	
A0A091R7I3	N331_12848	uniprot	ITPR	Vertebrata	N331_12848	Merops nubicus (Northern carmine bee-eater)	Metazoa	Chordata	270	InterPro	1	full	A0A091R7I3	AF-A0A091R7I3-F1	270	1.0	1	6	2014-11-26	
A0A091RIJ3	N332_06129	uniprot	ITPR	Vertebrata	N332_06129	Mesitornis unicolor (brown roatelo)	Metazoa	Chordata	1637	InterPro	0	absent			0	0.0				404
A0A091S5A7	N333_13397	uniprot	ITPR	Vertebrata	N333_13397	Nestor notabilis (Kea)	Metazoa	Chordata	2753	InterPro	0	absent			0	0.0				404
A0A091SNX7	N334_10088	uniprot	ITPR	Vertebrata	N334_10088	Pelecanus crispus (Dalmatian pelican)	Metazoa	Chordata	1650	InterPro	0	absent			0	0.0				404
A0A091SSE1	N333_10795	uniprot	ITPR	Vertebrata	N333_10795	Nestor notabilis (Kea)	Metazoa	Chordata	1637	InterPro	0	absent			0	0.0				404
A0A091T6B2	N335_00772	uniprot	ITPR	Vertebrata	N335_00772	Phaethon lepturus (White-tailed tropicbird)	Metazoa	Chordata	285	InterPro	1	full	A0A091T6B2	AF-A0A091T6B2-F1	285	1.0	1	6	2014-11-26	
A0A091UC05	N337_01214	uniprot	ITPR	Vertebrata	N337_01214	Phoenicopterus ruber ruber	Metazoa	Chordata	285	InterPro	1	full	A0A091UC05	AF-A0A091UC05-F1	285	1.0	1	6	2014-11-26	
A0A091UFQ9	N335_05706	uniprot	ITPR	Vertebrata	N335_05706	Phaethon lepturus (White-tailed tropicbird)	Metazoa	Chordata	1687	InterPro	0	absent			0	0.0				404
A0A091VJR8	N306_02092	uniprot	ITPR	Vertebrata	N306_02092	Opisthocomus hoazin (Hoatzin) (Phasianus hoazin)	Metazoa	Chordata	2719	InterPro	0	absent			0	0.0				404
A0A093C928	N340_07123	uniprot	ITPR	Vertebrata	N340_07123	Tauraco erythrolophus (Red-crested turaco)	Metazoa	Chordata	1639	InterPro	0	absent			0	0.0				404
A0A093CSX7	N339_06013	uniprot	ITPR	Vertebrata	N339_06013	Pterocles gutturalis (yellow-throated sandgrouse)	Metazoa	Chordata	1637	InterPro	0	absent			0	0.0				404
A0A093F7F8	N341_10661	uniprot	ITPR	Vertebrata	N341_10661	Tyto alba (Barn owl)	Metazoa	Chordata	285	InterPro	1	full	A0A093F7F8	AF-A0A093F7F8-F1	285	1.0	1	6	2014-11-26	
A0A093HD50	N308_11477	uniprot	ITPR	Vertebrata	N308_11477	Struthio camelus australis	Metazoa	Chordata	2724	InterPro	0	absent			0	0.0				404
A0A093HHZ5	N328_02970	uniprot	ITPR	Vertebrata	N328_02970	Gavia stellata (Red-throated diver) (Colymbus stellatus)	Metazoa	Chordata	1637	InterPro	0	absent			0	0.0				404
A0A093I0L3	N308_15494	uniprot	ITPR	Vertebrata	N308_15494	Struthio camelus australis	Metazoa	Chordata	1971	InterPro	0	absent			0	0.0				404
A0A093IXR1	N307_03960	uniprot	ITPR	Vertebrata	N307_03960	Dryobates pubescens (Downy woodpecker) (Picoides pubescens)	Metazoa	Chordata	2648	InterPro	0	absent			0	0.0				404
A0A093L8T0	N327_03509	uniprot	ITPR	Vertebrata	N327_03509	Fulmarus glacialis (Northern fulmar)	Metazoa	Chordata	285	InterPro	1	full	A0A093L8T0	AF-A0A093L8T0-F1	285	1.0	1	6	2014-11-26	
A0A093P5H9	AS28_04633	uniprot	ITPR	Vertebrata	AS28_04633	Pygoscelis adeliae (Adelie penguin)	Metazoa	Chordata	2701	InterPro	0	absent			0	0.0				404
A0A093PTB1	N305_00438	uniprot	ITPR	Vertebrata	N305_00438	Manacus vitellinus (golden-collared manakin)	Metazoa	Chordata	2658	InterPro	0	absent			0	0.0				404
A0A093Q1S2	N305_14736	uniprot	ITPR	Vertebrata	N305_14736	Manacus vitellinus (golden-collared manakin)	Metazoa	Chordata	2743	InterPro	0	absent			0	0.0				404
A0A094L751	N338_04650	uniprot	ITPR	Vertebrata	N338_04650	Podiceps cristatus (Great crested grebe)	Metazoa	Chordata	285	InterPro	1	full	A0A094L751	AF-A0A094L751-F1	285	1.0	1	6	2014-11-26	
A0A094NB13	N321_03161	uniprot	ITPR	Vertebrata	N321_03161	Antrostomus carolinensis (Chuck-will's-widow) (Caprimulgus carolinensis)	Metazoa	Chordata	285	InterPro	1	full	A0A094NB13	AF-A0A094NB13-F1	285	1.0	1	6	2014-11-26	
A0A096LQ05	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Poecilia formosa (Amazon molly) (Limia formosa)	Metazoa	Chordata	2719	InterPro	0	absent			0	0.0				404
A0A096LTL1	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Poecilia formosa (Amazon molly) (Limia formosa)	Metazoa	Chordata	2692	InterPro	0	absent			0	0.0				404
A0A096LXQ1	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Poecilia formosa (Amazon molly) (Limia formosa)	Metazoa	Chordata	2680	InterPro	0	absent			0	0.0				404
A0A096MV95	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Papio anubis (Olive baboon)	Metazoa	Chordata	2738	InterPro	0	absent			0	0.0				404
A0A096NBX6	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Papio anubis (Olive baboon)	Metazoa	Chordata	2705	InterPro	0	absent			0	0.0				404
A0A096NHJ8	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Papio anubis (Olive baboon)	Metazoa	Chordata	2671	InterPro	0	absent			0	0.0				404
A0A096NHK1	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Papio anubis (Olive baboon)	Metazoa	Chordata	2618	InterPro	0	absent			0	0.0				404
A0A097P7A8	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Metazoa (non-vertebrate)		Tribolium castaneum (Red flour beetle)	Metazoa	Arthropoda	2724	InterPro	0	absent			0	0.0				404
A0A099ZEM9	N309_03231	uniprot	ITPR	Vertebrata	N309_03231	Tinamus guttatus (White-throated tinamou)	Metazoa	Chordata	270	InterPro	1	full	A0A099ZEM9	AF-A0A099ZEM9-F1	270	1.0	1	6	2015-01-07	
A0A099ZQL4	N309_07625	uniprot	ITPR	Vertebrata	N309_07625	Tinamus guttatus (White-throated tinamou)	Metazoa	Chordata	285	InterPro	1	full	A0A099ZQL4	AF-A0A099ZQL4-F1	285	1.0	1	6	2015-01-07	
A0A0A0MY31	Itpr1	uniprot	ITPR	Vertebrata	Itpr1	Rattus norvegicus (Rat)	Metazoa	Chordata	2738	InterPro	0	absent			0	0.0				404
A0A0B1S7M8	OESDEN_20427	uniprot	ITPR	Metazoa (non-vertebrate)	OESDEN_20427	Oesophagostomum dentatum (Nodular worm)	Metazoa	Nematoda	579	InterPro	1	full	A0A0B1S7M8	AF-A0A0B1S7M8-F1	579	1.0	1	6	2015-03-04	
A0A0B1SS08	OESDEN_13605	uniprot	ITPR	Metazoa (non-vertebrate)	OESDEN_13605	Oesophagostomum dentatum (Nodular worm)	Metazoa	Nematoda	625	InterPro	1	full	A0A0B1SS08	AF-A0A0B1SS08-F1	625	1.0	1	6	2015-03-04	
A0A0B2VE71	ITPR1	uniprot	ITPR	Metazoa (non-vertebrate)	ITPR1	Toxocara canis (Canine roundworm)	Metazoa	Nematoda	3051	InterPro	0	absent			0	0.0				404
A0A0B7N6H0	PARPA_04387.1	uniprot	ITPR	Eukaryota (other)	PARPA_04387.1	Parasitella parasitica			253	S20 sweep		full	A0A0B7N6H0	AF-A0A0B7N6H0-F1	253	1.0	1	6	2015-04-01	
A0A0C2D0C6	ANCDUO_14355	uniprot	ITPR	Metazoa (non-vertebrate)	ANCDUO_14355	Ancylostoma duodenale	Metazoa	Nematoda	563	InterPro	1	full	A0A0C2D0C6	AF-A0A0C2D0C6-F1	563	1.0	1	6	2015-04-01	
A0A0C2FRG6	ANCDUO_18746	uniprot	ITPR	Eukaryota (other)	ANCDUO_18746	Ancylostoma duodenale			259	S20 sweep		full	A0A0C2FRG6	AF-A0A0C2FRG6-F1	259	1.0	1	6	2015-04-01	
A0A0C2GGK8	ANCDUO_09455	uniprot	ITPR	Metazoa (non-vertebrate)	ANCDUO_09455	Ancylostoma duodenale	Metazoa	Nematoda	512	InterPro	1	full	A0A0C2GGK8	AF-A0A0C2GGK8-F1	512	1.0	1	6	2015-04-01	
A0A0C2GMK5	ANCDUO_09506	uniprot	ITPR	Eukaryota (other)	ANCDUO_09506	Ancylostoma duodenale			1003	S20 sweep		full	A0A0C2GMK5	AF-A0A0C2GMK5-F1	1003	1.0	1	6	2015-04-01	
A0A0C2JV03	RF11_09831	uniprot	ITPR	Eukaryota (other)	RF11_09831	Thelohanellus kitauei			227	S20 sweep		full	A0A0C2JV03	AF-A0A0C2JV03-F1	227	1.0	1	6	2015-04-01	
A0A0C9M4R7	MAM1_0060c03786	uniprot	ITPR	Fungi	MAM1_0060c03786	Mucor ambiguus	Fungi	Mucoromycota	2599	InterPro	0	absent			0	0.0				404
A0A0C9RIJ7	Itpr	uniprot	ITPR	Metazoa (non-vertebrate)	Itpr	Fopius arisanus	Metazoa	Arthropoda	2725	InterPro	0	absent			0	0.0				404
A0A0D2UGF9	CAOG_004826	uniprot	ITPR	Eukaryota (other)	CAOG_004826	Capsaspora owczarzaki (strain ATCC 30864)			3232	InterPro	0	absent			0	0.0				404
A0A0D2X364	CAOG_009776	uniprot	ITPR	Eukaryota (other)	CAOG_009776	Capsaspora owczarzaki (strain ATCC 30864)			2653	InterPro	0	absent			0	0.0				404
A0A0D3HYU0	Inositol 1,4,5-trisphosphate/ryanodine r	uniprot	ITPR	Eukaryota (other)		Emiliania huxleyi (strain CCMP1516)		Haptophyta	236	InterPro	1	full	A0A0D3HYU0	AF-A0A0D3HYU0-F1	236	1.0	1	6	2025-02-05	
A0A0D3IFT4	PH domain-containing protein	uniprot	ITPR	Eukaryota (other)		Emiliania huxleyi (strain CCMP1516)		Haptophyta	1615	InterPro	0	absent			0	0.0				404
A0A0D3J326	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Eukaryota (other)		Emiliania huxleyi (strain CCMP1516)		Haptophyta	2712	InterPro	0	absent			0	0.0				404
A0A0D3JYL6	Inositol 1,4,5-trisphosphate/ryanodine r	uniprot	ITPR	Eukaryota (other)		Emiliania huxleyi (strain CCMP1516)		Haptophyta	305	InterPro	1	full	A0A0D3JYL6	AF-A0A0D3JYL6-F1	305	1.0	1	6	2025-02-05	
A0A0D6M9A4	ANCCEY_00150	uniprot	ITPR	Metazoa (non-vertebrate)	ANCCEY_00150	Ancylostoma ceylanicum	Metazoa	Nematoda	668	InterPro	1	full	A0A0D6M9A4	AF-A0A0D6M9A4-F1	668	1.0	1	6	2015-05-27	
A0A0D6M9D8	ANCCEY_00151	uniprot	ITPR	Eukaryota (other)	ANCCEY_00151	Ancylostoma ceylanicum			293	S20 sweep		full	A0A0D6M9D8	AF-A0A0D6M9D8-F1	293	1.0	1	6	2015-05-27	
A0A0D6MBX8	ANCCEY_00152	uniprot	ITPR	Metazoa (non-vertebrate)	ANCCEY_00152	Ancylostoma ceylanicum	Metazoa	Nematoda	1418	InterPro	0	absent			0	0.0				404
A0A0D8XX81	DICVIV_04618	uniprot	ITPR	Metazoa (non-vertebrate)	DICVIV_04618	Dictyocaulus viviparus (Bovine lungworm)	Metazoa	Nematoda	1970	InterPro	0	absent			0	0.0				404
A0A0D8XZF2	DICVIV_04617	uniprot	ITPR	Metazoa (non-vertebrate)	DICVIV_04617	Dictyocaulus viviparus (Bovine lungworm)	Metazoa	Nematoda	828	InterPro	1	full	A0A0D8XZF2	AF-A0A0D8XZF2-F1	828	1.0	1	6	2015-05-27	
A0A0D9R5R7	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Chlorocebus sabaeus (Green monkey) (Simia sabaea)	Metazoa	Chordata	2700	InterPro	0	absent			0	0.0				404
A0A0D9RBA7	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Chlorocebus sabaeus (Green monkey) (Simia sabaea)	Metazoa	Chordata	2671	InterPro	0	absent			0	0.0				404
A0A0D9REW6	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Chlorocebus sabaeus (Green monkey) (Simia sabaea)	Metazoa	Chordata	2758	InterPro	0	absent			0	0.0				404
A0A0F7ZAC3	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Vertebrata		Crotalus adamanteus (Eastern diamondback rattlesnake)	Metazoa	Chordata	2666	InterPro	0	absent			0	0.0				404
A0A0G2K260	Itpr2	uniprot	ITPR	Vertebrata	Itpr2	Rattus norvegicus (Rat)	Metazoa	Chordata	2670	InterPro	1	partial	A0A0G2K260	AF-A0A0G2K260-F1	490	0.1835	1	6	2022-05-25	
A0A0G2K9N6	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Rattus norvegicus (Rat)	Metazoa	Chordata	2649	InterPro	0	absent			0	0.0				404
A0A0G2KAH9	Itpr1	uniprot	ITPR	Vertebrata	Itpr1	Rattus norvegicus (Rat)	Metazoa	Chordata	2574	InterPro	0	absent			0	0.0				404
A0A0H5S2G8	bma-itr-1	uniprot	ITPR	Metazoa (non-vertebrate)	bma-itr-1	Brugia malayi (Filarial nematode worm)	Metazoa	Nematoda	2850	InterPro	0	absent			0	0.0				404
A0A0J7KNH3	RF55_8299	uniprot	ITPR	Metazoa (non-vertebrate)	RF55_8299	Lasius niger (Black garden ant)	Metazoa	Arthropoda	1026	InterPro	1	full	A0A0J7KNH3	AF-A0A0J7KNH3-F1	1026	1.0	1	6	2015-10-14	
A0A0J7NVA4	RF55_3398	uniprot	ITPR	Metazoa (non-vertebrate)	RF55_3398	Lasius niger (Black garden ant)	Metazoa	Arthropoda	1489	InterPro	0	absent			0	0.0				404
