id	accession	paralog	group	reference	ref_symbol	align_identity	pfam	label	shared_class	ref_start	ref_end	ref_span	model_start	model_end	n_residues	placed	mean_plddt	median_plddt	frac_ge_70	frac_ge_90	note
model_A0AAE0F2K9	AF-A0AAE0F2K9-F1	CYMTET_42485	Viridiplantae	Q14573	ITPR3	0.3447	PF08454	RIH-associated	shared	1867	1973	107			41	0					only 41/107 reference residues aligned
model_A0AAE0F2K9	AF-A0AAE0F2K9-F1	CYMTET_42485	Viridiplantae	Q14573	ITPR3	0.3447	PF00520	Ion_trans pore	generic	2240	2527	288			82	0					only 82/288 reference residues aligned
model_A0AAE0F2K9	AF-A0AAE0F2K9-F1	CYMTET_42485	Viridiplantae	Q14573		0.3447	-	outside annotated domains	none						839	1	64.95	71.5	0.5209	0.0703	
model_A0AAN0K328	AF-A0AAN0K328-F1		Eukaryota (other)	Q14573	ITPR3	0.3221	PF08709	IP$_3$-binding core (β-trefoil)	shared	3	229	227			27	0					only 27/227 reference residues aligned
model_A0AAN0K328	AF-A0AAN0K328-F1		Eukaryota (other)	Q14573	ITPR3	0.3221	PF02815	MIR	shared	234	431	198			35	0					only 35/198 reference residues aligned
model_A0AAN0K328	AF-A0AAN0K328-F1		Eukaryota (other)	Q14573	ITPR3	0.3221	PF01365	RIH	shared	474	670	197			58	0					only 58/197 reference residues aligned
model_A0AAN0K328	AF-A0AAN0K328-F1		Eukaryota (other)	Q14573	ITPR3	0.3221	PF01365	RIH	shared	1188	1327	140			28	0					only 28/140 reference residues aligned
model_A0AAN0K328	AF-A0AAN0K328-F1		Eukaryota (other)	Q14573	ITPR3	0.3221	PF08454	RIH-associated	shared	1867	1973	107	566	659	82	1	80.98	86.19	0.8293	0.1707	
model_A0AAN0K328	AF-A0AAN0K328-F1		Eukaryota (other)	Q14573	ITPR3	0.3221	PF00520	Ion_trans pore	generic	2240	2527	288	934	1184	221	1	82.13	86.56	0.8507	0.276	
model_A0AAN0K328	AF-A0AAN0K328-F1		Eukaryota (other)	Q14573		0.3221	-	outside annotated domains	none						971	1	69.97	74.44	0.6045	0.0989	
model_G0QNB9	AF-G0QNB9-F1	IMG5_057070	SAR	Q14643	ITPR1	0.3174	PF08709	IP$_3$-binding core (β-trefoil)	shared	5	229	225	82	330	210	1	83.82	90.0	0.8524	0.5048	
model_G0QNB9	AF-G0QNB9-F1	IMG5_057070	SAR	Q14643	ITPR1	0.3174	PF02815	MIR	shared	233	432	200			77	0					only 77/200 reference residues aligned
model_G0QNB9	AF-G0QNB9-F1	IMG5_057070	SAR	Q14643	ITPR1	0.3174	PF01365	RIH	shared	474	670	197			75	0					only 75/197 reference residues aligned
model_G0QNB9	AF-G0QNB9-F1	IMG5_057070	SAR	Q14643	ITPR1	0.3174	PF01365	RIH	shared	1204	1352	149			83	0					only 83/149 reference residues aligned
model_G0QNB9	AF-G0QNB9-F1	IMG5_057070	SAR	Q14643	ITPR1	0.3174	PF08454	RIH-associated	shared	1971	2077	107			51	0					only 51/107 reference residues aligned
model_G0QNB9	AF-G0QNB9-F1	IMG5_057070	SAR	Q14643	ITPR1	0.3174	PF00520	Ion_trans pore	generic	2363	2608	246			99	0					only 99/246 reference residues aligned
model_G0QNB9	AF-G0QNB9-F1	IMG5_057070	SAR	Q14643		0.3174	-	outside annotated domains	none						1063	1	56.16	49.97	0.2992	0.032	
model_P11881	AF-P11881-8-F1	ITPR1	ITPR1	Q14643	ITPR1	0.9889	PF08709	IP$_3$-binding core (β-trefoil)	shared	5	229	225	5	229	225	1	84.48	86.25	0.9556	0.1244	
model_P11881	AF-P11881-8-F1	ITPR1	ITPR1	Q14643	ITPR1	0.9889	PF02815	MIR	shared	233	432	200	233	417	185	1	80.08	83.06	0.8703	0.0432	
model_P11881	AF-P11881-8-F1	ITPR1	ITPR1	Q14643	ITPR1	0.9889	PF01365	RIH	shared	474	670	197	459	655	197	1	78.82	79.81	0.8782	0.0051	
model_P11881	AF-P11881-8-F1	ITPR1	ITPR1	Q14643	ITPR1	0.9889	PF01365	RIH	shared	1204	1352	149	1179	1327	149	1	79.14	80.56	0.9329	0.0	
model_P11881	AF-P11881-8-F1	ITPR1	ITPR1	Q14643	ITPR1	0.9889	PF08454	RIH-associated	shared	1971	2077	107	1907	2013	107	1	81.57	83.56	0.8785	0.0841	
model_P11881	AF-P11881-8-F1	ITPR1	ITPR1	Q14643	ITPR1	0.9889	PF00520	Ion_trans pore	generic	2363	2608	246	2299	2544	246	1	70.11	79.09	0.7033	0.0	
model_P11881	AF-P11881-8-F1	ITPR1	ITPR1	Q14643		0.9889	-	outside annotated domains	none						1585	1	69.41	77.62	0.6732	0.0032	
model_P70227	AF-P70227-F1	ITPR3	ITPR3	Q14573	ITPR3	0.9536	PF08709	IP$_3$-binding core (β-trefoil)	shared	3	229	227	3	229	227	1	83.84	86.19	0.9427	0.1542	
model_P70227	AF-P70227-F1	ITPR3	ITPR3	Q14573	ITPR3	0.9536	PF02815	MIR	shared	234	431	198	234	431	198	1	76.18	81.44	0.8434	0.0253	
model_P70227	AF-P70227-F1	ITPR3	ITPR3	Q14573	ITPR3	0.9536	PF01365	RIH	shared	474	670	197	474	670	197	1	80.57	81.81	0.9289	0.0305	
model_P70227	AF-P70227-F1	ITPR3	ITPR3	Q14573	ITPR3	0.9536	PF01365	RIH	shared	1188	1327	140	1188	1327	140	1	80.64	82.06	0.9286	0.0	
model_P70227	AF-P70227-F1	ITPR3	ITPR3	Q14573	ITPR3	0.9536	PF08454	RIH-associated	shared	1867	1973	107	1866	1972	107	1	86.41	88.0	0.9813	0.3364	
model_P70227	AF-P70227-F1	ITPR3	ITPR3	Q14573	ITPR3	0.9536	PF00520	Ion_trans pore	generic	2240	2527	288	2239	2526	288	1	72.16	79.72	0.7049	0.0	
model_P70227	AF-P70227-F1	ITPR3	ITPR3	Q14573		0.9536	-	outside annotated domains	none						1513	1	71.29	80.81	0.7032	0.0278	
model_Q14573	AF-Q14573-F1	ITPR3	ITPR3	Q14573	ITPR3	1.0	PF08709	IP$_3$-binding core (β-trefoil)	shared	3	229	227	3	229	227	1	84.23	86.44	0.9427	0.1806	
model_Q14573	AF-Q14573-F1	ITPR3	ITPR3	Q14573	ITPR3	1.0	PF02815	MIR	shared	234	431	198	234	431	198	1	76.26	81.44	0.7828	0.0101	
model_Q14573	AF-Q14573-F1	ITPR3	ITPR3	Q14573	ITPR3	1.0	PF01365	RIH	shared	474	670	197	474	670	197	1	79.43	80.69	0.8782	0.0355	
model_Q14573	AF-Q14573-F1	ITPR3	ITPR3	Q14573	ITPR3	1.0	PF01365	RIH	shared	1188	1327	140	1188	1327	140	1	80.97	82.56	0.95	0.0	
model_Q14573	AF-Q14573-F1	ITPR3	ITPR3	Q14573	ITPR3	1.0	PF08454	RIH-associated	shared	1867	1973	107	1867	1973	107	1	80.56	83.5	0.8692	0.1121	
model_Q14573	AF-Q14573-F1	ITPR3	ITPR3	Q14573	ITPR3	1.0	PF00520	Ion_trans pore	generic	2240	2527	288	2240	2527	288	1	66.48	71.5	0.5278	0.0	
model_Q14573	AF-Q14573-F1	ITPR3	ITPR3	Q14573		1.0	-	outside annotated domains	none						1514	1	70.74	79.28	0.6962	0.0059	
model_Q14643	AF-Q14643-4-F1	ITPR1	ITPR1	Q14643	ITPR1	1.0	PF08709	IP$_3$-binding core (β-trefoil)	shared	5	229	225	5	229	225	1	84.13	85.75	0.9556	0.1022	
model_Q14643	AF-Q14643-4-F1	ITPR1	ITPR1	Q14643	ITPR1	1.0	PF02815	MIR	shared	233	432	200	233	417	185	1	79.45	82.19	0.8595	0.0216	
model_Q14643	AF-Q14643-4-F1	ITPR1	ITPR1	Q14643	ITPR1	1.0	PF01365	RIH	shared	474	670	197	459	655	197	1	78.86	79.81	0.8832	0.0051	
model_Q14643	AF-Q14643-4-F1	ITPR1	ITPR1	Q14643	ITPR1	1.0	PF01365	RIH	shared	1204	1352	149	1180	1328	149	1	79.14	80.62	0.8993	0.0	
model_Q14643	AF-Q14643-4-F1	ITPR1	ITPR1	Q14643	ITPR1	1.0	PF08454	RIH-associated	shared	1971	2077	107	1908	2014	107	1	81.93	84.19	0.8785	0.1028	
model_Q14643	AF-Q14643-4-F1	ITPR1	ITPR1	Q14643	ITPR1	1.0	PF00520	Ion_trans pore	generic	2363	2608	246	2300	2545	246	1	70.27	79.38	0.6992	0.0	
model_Q14643	AF-Q14643-4-F1	ITPR1	ITPR1	Q14643		1.0	-	outside annotated domains	none						1586	1	69.59	77.81	0.6734	0.0044	
model_Q63269	AF-Q63269-F1	ITPR3	ITPR3	Q14573	ITPR3	0.9528	PF08709	IP$_3$-binding core (β-trefoil)	shared	3	229	227	3	229	227	1	83.91	86.44	0.9427	0.1718	
model_Q63269	AF-Q63269-F1	ITPR3	ITPR3	Q14573	ITPR3	0.9528	PF02815	MIR	shared	234	431	198	234	431	198	1	76.48	81.28	0.8384	0.0455	
model_Q63269	AF-Q63269-F1	ITPR3	ITPR3	Q14573	ITPR3	0.9528	PF01365	RIH	shared	474	670	197	474	670	197	1	80.81	82.19	0.9289	0.0406	
model_Q63269	AF-Q63269-F1	ITPR3	ITPR3	Q14573	ITPR3	0.9528	PF01365	RIH	shared	1188	1327	140	1188	1327	140	1	79.67	80.72	0.9214	0.0	
model_Q63269	AF-Q63269-F1	ITPR3	ITPR3	Q14573	ITPR3	0.9528	PF08454	RIH-associated	shared	1867	1973	107	1866	1972	107	1	85.64	87.19	0.9813	0.3084	
model_Q63269	AF-Q63269-F1	ITPR3	ITPR3	Q14573	ITPR3	0.9528	PF00520	Ion_trans pore	generic	2240	2527	288	2239	2526	288	1	72.25	79.62	0.6979	0.0	
model_Q63269	AF-Q63269-F1	ITPR3	ITPR3	Q14573		0.9528	-	outside annotated domains	none						1513	1	71.24	80.56	0.7046	0.0264	
model_Q8WSR4	AF-Q8WSR4-F1		invert_metazoa	Q14643	ITPR1	0.713	PF08709	IP$_3$-binding core (β-trefoil)	shared	5	229	225	5	229	225	1	84.26	86.06	0.9511	0.1556	
model_Q8WSR4	AF-Q8WSR4-F1		invert_metazoa	Q14643	ITPR1	0.713	PF02815	MIR	shared	233	432	200	233	418	186	1	81.86	83.12	0.9194	0.1075	
model_Q8WSR4	AF-Q8WSR4-F1		invert_metazoa	Q14643	ITPR1	0.713	PF01365	RIH	shared	474	670	197	459	655	197	1	79.83	80.62	0.9086	0.0305	
model_Q8WSR4	AF-Q8WSR4-F1		invert_metazoa	Q14643	ITPR1	0.713	PF01365	RIH	shared	1204	1352	149	1174	1322	149	1	78.55	79.81	0.8859	0.0	
model_Q8WSR4	AF-Q8WSR4-F1		invert_metazoa	Q14643	ITPR1	0.713	PF08454	RIH-associated	shared	1971	2077	107	1899	2005	107	1	82.07	84.75	0.8879	0.1121	
model_Q8WSR4	AF-Q8WSR4-F1		invert_metazoa	Q14643	ITPR1	0.713	PF00520	Ion_trans pore	generic	2363	2608	246	2296	2551	237	1	70.73	78.69	0.6962	0.0	
model_Q8WSR4	AF-Q8WSR4-F1		invert_metazoa	Q14643		0.713	-	outside annotated domains	none						1597	1	67.92	75.69	0.613	0.0063	
model_Q9Y0A1	AF-Q9Y0A1-5-F1		invert_metazoa	Q14643	ITPR1	0.4494	PF08709	IP$_3$-binding core (β-trefoil)	shared	5	229	225	23	271	225	1	84.7	87.75	0.9244	0.3156	
model_Q9Y0A1	AF-Q9Y0A1-5-F1		invert_metazoa	Q14643	ITPR1	0.4494	PF02815	MIR	shared	233	432	200	275	502	188	1	78.21	85.38	0.8138	0.2606	
model_Q9Y0A1	AF-Q9Y0A1-5-F1		invert_metazoa	Q14643	ITPR1	0.4494	PF01365	RIH	shared	474	670	197	545	746	195	1	82.94	85.12	0.9128	0.1282	
model_Q9Y0A1	AF-Q9Y0A1-5-F1		invert_metazoa	Q14643	ITPR1	0.4494	PF01365	RIH	shared	1204	1352	149	1280	1434	147	1	87.32	88.25	1.0	0.3673	
model_Q9Y0A1	AF-Q9Y0A1-5-F1		invert_metazoa	Q14643	ITPR1	0.4494	PF08454	RIH-associated	shared	1971	2077	107			12	0					only 12/107 reference residues aligned
model_Q9Y0A1	AF-Q9Y0A1-5-F1		invert_metazoa	Q14643	ITPR1	0.4494	PF00520	Ion_trans pore	generic	2363	2608	246			19	0					only 19/246 reference residues aligned
model_Q9Y0A1	AF-Q9Y0A1-5-F1		invert_metazoa	Q14643		0.4494	-	outside annotated domains	none						958	1	73.85	83.19	0.7129	0.166	
model_Q9Z329	AF-Q9Z329-3-F1	ITPR2	ITPR2	Q14571	ITPR2	0.958	PF08709	IP$_3$-binding core (β-trefoil)	shared	5	227	223	5	194	190	1	80.0	82.72	0.8842	0.0632	
model_Q9Z329	AF-Q9Z329-3-F1	ITPR2	ITPR2	Q14571	ITPR2	0.958	PF02815	MIR	shared	232	431	200	199	398	200	1	77.43	83.38	0.825	0.135	
model_Q9Z329	AF-Q9Z329-3-F1	ITPR2	ITPR2	Q14571	ITPR2	0.958	PF01365	RIH	shared	473	670	198	440	637	198	1	80.86	81.72	0.9394	0.0808	
model_Q9Z329	AF-Q9Z329-3-F1	ITPR2	ITPR2	Q14571	ITPR2	0.958	PF01365	RIH	shared	1194	1344	151	1161	1311	151	1	84.35	86.06	0.9669	0.1325	
model_Q9Z329	AF-Q9Z329-3-F1	ITPR2	ITPR2	Q14571	ITPR2	0.958	PF08454	RIH-associated	shared	1915	2021	107	1882	1988	107	1	85.21	87.69	0.9159	0.3645	
model_Q9Z329	AF-Q9Z329-3-F1	ITPR2	ITPR2	Q14571	ITPR2	0.958	PF00520	Ion_trans pore	generic	2265	2551	287	2232	2518	287	1	71.01	78.62	0.7352	0.0035	
model_Q9Z329	AF-Q9Z329-3-F1	ITPR2	ITPR2	Q14571		0.958	-	outside annotated domains	none						1535	1	70.27	80.81	0.6977	0.0495	
