accession	label	kind	call	group	paralog	species	kingdom	phylum	length	source	in_alphafold	afdb_status	model_accession	afdb_entry	model_length	model_coverage	is_canonical	afdb_version	seq_version_date	error
A0AC58JVG8	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8	uniprot	ITPR	ITPR1	ITPR1	Danio rerio (Zebrafish) (Brachydanio rerio)	Metazoa	Chordata	2668	InterPro		absent			0	0.0				404
A0ACC2TPX2	fungi_Entomophthora_muscae_A0ACC2TPX2	uniprot	ITPR	Fungi		Entomophthora muscae	Fungi	Entomophthoromycota	2567	InterPro		absent			0	0.0				404
A0ACF8YJ40	invert_metazoa_Mnemiopsis_leidyi_Sea_walnut_Warty_com_A0ACF8YJ40	uniprot	ITPR	invert_metazoa		Mnemiopsis leidyi (Sea walnut) (Warty comb jellyfish)	Metazoa	Ctenophora	2716	InterPro		absent			0	0.0				404
A0ACM8BRT5	vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8BRT5	uniprot	ITPR	vertebrate_basal		Petromyzon marinus (Sea lamprey)	Metazoa	Chordata	2737	InterPro		absent			0	0.0				404
A0ACM8C056	vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8C056	uniprot	ITPR	vertebrate_basal		Petromyzon marinus (Sea lamprey)	Metazoa	Chordata	2773	InterPro		absent			0	0.0				404
A0ACM8C709	invert_metazoa_Saccoglossus_kowalevskii_Acorn_worm_A0ACM8C709	uniprot	ITPR	invert_metazoa		Saccoglossus kowalevskii (Acorn worm)	Metazoa	Hemichordata	2596	InterPro		absent			0	0.0				404
B3RUD1	invert_metazoa_Trichoplax_adhaerens_Trichoplax_reptan_B3RUD1	uniprot	ITPR	invert_metazoa		Trichoplax adhaerens (Trichoplax reptans)	Metazoa	Placozoa	2486	InterPro		absent			0	0.0				404
D8UKJ4	plant_Volvox_carteri_f._nagariensis_D8UKJ4	uniprot	ITPR	plant		Volvox carteri f. nagariensis	Viridiplantae	Chlorophyta	3167	InterPro		absent			0	0.0				404
F1P1X4	ITPR2_Gallus_gallus_Chicken_F1P1X4	uniprot	ITPR	ITPR2	ITPR2	Gallus gallus (Chicken)	Metazoa	Chordata	2700	InterPro		absent			0	0.0				404
GCA_001642005.1|copy1|LWCA01000495.1:548-21435	invert_metazoa_Intoshia_linei_GCA_001642005.1_copy1_548	other	ITPR	invert_metazoa		Intoshia linei	Metazoa	Orthonectida	1571	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_001970955.1|copy1|MPUH01000666.1:8516-32703	protist_Stentor_coeruleus_GCA_001970955.1_copy1_8516	other	ITPR	protist		Stentor coeruleus		Ciliophora	2518	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_001970955.1|copy2|MPUH01000256.1:370-61003	protist_Stentor_coeruleus_GCA_001970955.1_copy2_370	other	ITPR	protist		Stentor coeruleus		Ciliophora	2574	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_001970955.1|copy3|MPUH01000014.1:5764-73754	protist_Stentor_coeruleus_GCA_001970955.1_copy3_5764	other	ITPR	protist		Stentor coeruleus		Ciliophora	2578	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_001970955.1|copy5|MPUH01000387.1:35430-43250	protist_Stentor_coeruleus_GCA_001970955.1_copy5_35430	other	ITPR	protist		Stentor coeruleus		Ciliophora	2606	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_002269645.1|copy10|NIVC01000024.1:370736-419134	invert_metazoa_Macrostomum_lignano_GCA_002269645.1_copy10_370736	other	ITPR	invert_metazoa		Macrostomum lignano	Metazoa	Platyhelminthes	2796	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_002269645.1|copy2|NIVC01003713.1:9986-44829	invert_metazoa_Macrostomum_lignano_GCA_002269645.1_copy2_9986	other	ITPR	invert_metazoa		Macrostomum lignano	Metazoa	Platyhelminthes	2808	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_002269645.1|copy5|NIVC01000023.1:191213-317060	invert_metazoa_Macrostomum_lignano_GCA_002269645.1_copy5_191213	other	ITPR	invert_metazoa		Macrostomum lignano	Metazoa	Platyhelminthes	2740	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_002269645.1|copy8|NIVC01002299.1:50053-107851	invert_metazoa_Macrostomum_lignano_GCA_002269645.1_copy8_50053	other	ITPR	invert_metazoa		Macrostomum lignano	Metazoa	Platyhelminthes	2740	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_003113815.1|ITPR3|QEPC01007384.1:3264626-3429450+	ITPR3_Sphenodon_punctatus_GCA_003113815.1_ITPR3_3264626	other	ITPR	ITPR3	ITPR3	Sphenodon punctatus	Metazoa	Chordata	2667	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCA_007760645.1|ITPR3|RWJT01022005.1:5949234-6016275+	ITPR3_Sousa_chinensis_GCA_007760645.1_ITPR3_5949234	other	ITPR	ITPR3	ITPR3	Sousa chinensis	Metazoa	Chordata	2672	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCA_011109175.1|copy1|RDEW01000002.1:1388155-1683411	invert_metazoa_Dicyema_japonicum_GCA_011109175.1_copy1_1388155	other	ITPR	invert_metazoa		Dicyema japonicum	Metazoa	Dicyemida	2660	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_014281875.1|ITPR2|CM024800.1:12447838-12500306-	ITPR2_Nibea_albiflora_GCA_014281875.1_ITPR2_12447838	other	ITPR	ITPR2	ITPR2	Nibea albiflora	Metazoa	Chordata	2673	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCA_019447015.1|ITPR3|CM033470.1:126480658-127318646+	ITPR3_Hymenochirus_boettgeri_GCA_019447015.1_ITPR3_126480658	other	ITPR	ITPR3	ITPR3	Hymenochirus boettgeri	Metazoa	Chordata	2666	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCA_020696425.1|copy1|JAGUQM010000094.1:85472-94980	protist_Vermamoeba_vermiformis_GCA_020696425.1_copy1_85472	other	ITPR	protist		Vermamoeba vermiformis		Tubulinea	2530	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_028023455.1|copy1|JAQFVV010000038.1:8600421-9493919	invert_metazoa_Epiperipatus_broadwayi_GCA_028023455.1_copy1_8600421	other	ITPR	invert_metazoa		Epiperipatus broadwayi	Metazoa	Onychophora	2571	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_030141605.1|copy1|JAQGDQ010000251.1:290621-325953	invert_metazoa_Tubiluchus_corallicola_GCA_030141605.1_copy1_290621	other	ITPR	invert_metazoa		Tubiluchus corallicola	Metazoa	Priapulida	1924	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_031835075.1|ITPR3|CM063172.1:43596197-43906199+	ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197	other	ITPR	ITPR3	ITPR3	Saguinus oedipus	Metazoa	Chordata	2672	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCA_036172245.1|copy1|JAYWIR010000015.1:155838-467760	invert_metazoa_Raillietiella_orientalis_GCA_036172245.1_copy1_155838	other	ITPR	invert_metazoa		Raillietiella orientalis	Metazoa	Arthropoda	2754	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_047495785.1|copy1|JBLDXI010000002.1:1478289-1681700	invert_metazoa_Lepidodermella_squamata_GCA_047495785.1_copy1_1478289	other	ITPR	invert_metazoa		Lepidodermella squamata	Metazoa	Gastrotricha	2750	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_051530055.1|copy1|CM121342.1:5945861-6356314	invert_metazoa_Neoechinorhynchus_agilis_GCA_051530055.1_copy1_5945861	other	ITPR	invert_metazoa		Neoechinorhynchus agilis	Metazoa	Acanthocephala	1562	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_054084135.1|ITPR3|CM133804.1:2574051-2620493+	ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051	other	ITPR	ITPR3	ITPR3	Copsychus sechellarum	Metazoa	Chordata	2671	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCA_055505105.1|copy2|CM145307.1:18943062-19100975	invert_metazoa_Phoronis_australis_GCA_055505105.1_copy2_18943062	other	ITPR	invert_metazoa		Phoronis australis	Metazoa	Phoronida	2769	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_056776345.1|ITPR3|CM165329.1:2783550-2828148+	ITPR3_Spizella_passerina_GCA_056776345.1_ITPR3_2783550	other	ITPR	ITPR3	ITPR3	Spizella passerina	Metazoa	Chordata	2671	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCA_057876775.1|ITPR2|CM174645.1:17288896-17593392+	ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896	other	ITPR	ITPR2	ITPR2	Echinorhinus cookei	Metazoa	Chordata	2704	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCA_057876775.1|ITPR3|CM174648.1:46076206-46431389-	ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206	other	ITPR	ITPR3	ITPR3	Echinorhinus cookei	Metazoa	Chordata	2633	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCA_904063045.1|copy1|CAJFCJ010000020.1:1267705-1610699	invert_metazoa_Dimorphilus_gyrociliatus_GCA_904063045.1_copy1_1267705	other	ITPR	invert_metazoa		Dimorphilus gyrociliatus	Metazoa	Annelida	2609	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_904063045.1|copy2|CAJFCJ010000001.1:131952-609201	invert_metazoa_Dimorphilus_gyrociliatus_GCA_904063045.1_copy2_131952	other	ITPR	invert_metazoa		Dimorphilus gyrociliatus	Metazoa	Annelida	2499	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_904063045.1|copy4|CAJFCJ010000003.1:2597059-2851898	invert_metazoa_Dimorphilus_gyrociliatus_GCA_904063045.1_copy4_2597059	other	ITPR	invert_metazoa		Dimorphilus gyrociliatus	Metazoa	Annelida	2759	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_904063045.1|copy5|CAJFCJ010000007.1:3583648-3595592	invert_metazoa_Dimorphilus_gyrociliatus_GCA_904063045.1_copy5_3583648	other	ITPR	invert_metazoa		Dimorphilus gyrociliatus	Metazoa	Annelida	2579	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_965153355.1|copy1|OZ231133.1:35611522-36440834	invert_metazoa_Flaccisagitta_enflata_GCA_965153355.1_copy1_35611522	other	ITPR	invert_metazoa		Flaccisagitta enflata	Metazoa	Chaetognatha	2591	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCA_976986565.1|copy1|OZ335996.1:11909076-12015791	invert_metazoa_Gordionus_wolterstorffii_GCA_976986565.1_copy1_11909076	other	ITPR	invert_metazoa		Gordionus wolterstorffii	Metazoa	Nematomorpha	2634	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCF_000186865.1|copy2|NW_008705608.1:139898-148273	protist_Aureococcus_anophagefferens_GCF_000186865.1_copy2_139898	other	ITPR	protist		Aureococcus anophagefferens			2494	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCF_037176945.1|ITPR1|NC_088152.1:35775795-36028576+	vertebrate_basal_Latimeria_chalumnae_GCF_037176945.1_ITPR1_35775795	other	ITPR	vertebrate_basal		Latimeria chalumnae	Metazoa	Chordata	2730	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCF_052327205.1|ITPR1|NC_140997.1:147905519-148503708+	ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519	other	ITPR	ITPR1	ITPR1	Somniosus microcephalus	Metazoa	Chordata	2752	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCF_963678975.1|copy2|NC_089275.1:7972063-8334879	invert_metazoa_Dysidea_avara_GCF_963678975.1_copy2_7972063	other	ITPR	invert_metazoa		Dysidea avara	Metazoa	Porifera	2471	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCF_963678975.1|copy5|NC_089281.1:27474136-27791181	invert_metazoa_Dysidea_avara_GCF_963678975.1_copy5_27474136	other	ITPR	invert_metazoa		Dysidea avara	Metazoa	Porifera	2584	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCF_963678975.1|copy6|NC_089278.1:5305343-5331583	invert_metazoa_Dysidea_avara_GCF_963678975.1_copy6_5305343	other	ITPR	invert_metazoa		Dysidea avara	Metazoa	Porifera	2434	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCF_963678975.1|copy7|NC_089273.1:13836631-14196065	invert_metazoa_Dysidea_avara_GCF_963678975.1_copy7_13836631	other	ITPR	invert_metazoa		Dysidea avara	Metazoa	Porifera	2608	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
GCF_964187855.1|ITPR1|NC_136261.1:297520938-297891384-	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_297520938	other	ITPR	vertebrate_basal		Myxine glutinosa	Metazoa	Chordata	2737	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCF_964187855.1|ITPR1|NC_136264.1:122839381-123519227-	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_122839381	other	ITPR	vertebrate_basal		Myxine glutinosa	Metazoa	Chordata	2730	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCF_964187855.1|ITPR1|NC_136272.1:86116883-86302368-	vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_86116883	other	ITPR	vertebrate_basal		Myxine glutinosa	Metazoa	Chordata	2710	S5_genome		not_applicable			0	0.0				accession is not a UniProt accession
GCF_964194025.1|copy1|NC_134474.1:11915090-12088704	invert_metazoa_Convolutriloba_macropyga_GCF_964194025.1_copy1_11915090	other	ITPR	invert_metazoa		Convolutriloba macropyga	Metazoa	Xenacoelomorpha	2960	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
