ref_id	pmid	doi	year	journal	authors	title	role
R22	26458101	10.1038/nature15249	2015	Nature	Fan G, Baker ML, Wang Z, Baker MR, Sinyagovskiy PA, Chiu W, Ludtke SJ, Serysheva II	Gating machinery of InsP3R channels revealed by electron cryomicroscopy	primary
R23	30470765	10.1038/s41422-018-0108-5	2018	Cell Res	Fan G, Baker MR, Wang Z, Seryshev AB, Ludtke SJ, Baker ML, Serysheva II	Cryo-EM reveals ligand induced allostery underlying InsP3R channel gating	primary
R24	30013099	10.1038/s41594-018-0089-6	2018	Nat Struct Mol Biol	Paknejad N, Hite RK	Structural basis for the regulation of inositol trisphosphate receptors by Ca2+ and IP3	primary
R25	34035440	10.1038/s42003-021-02156-4	2021	Commun Biol	Baker MR, Fan G, Seryshev AB, Agosto MA, Baker ML, Serysheva II	Cryo-EM structure of type 1 IP3R channel in a lipid bilayer	primary
R26	25470061	10.1038/nature13950	2015	Nature	Zalk R, Clarke OB, des Georges A, Grassucci RA, Reiken S, Mancia F, Hendrickson WA, Frank J, Marks AR	Structure of a mammalian ryanodine receptor	primary
R27	25517095	10.1038/nature14063	2015	Nature	Yan Z, Bai X, Yan C, Wu J, Li Z, Xie T, Peng W, Yin C, Li X, Scheres SHW, Shi Y, Yan N	Structure of the rabbit ryanodine receptor RyR1 at near-atomic resolution	primary
R28	25470059	10.1038/nature13916	2015	Nature	Efremov RG, Leitner A, Aebersold R, Raunser S	Architecture and conformational switch mechanism of the ryanodine receptor	primary
R29	1648733	10.1073/pnas.88.14.6244	1991	Proc Natl Acad Sci USA	Nakagawa T, Okano H, Furuichi T, Aruga J, Mikoshiba K	The subtypes of the mouse inositol 1,4,5-trisphosphate receptor are expressed in a tissue-specific and developmentally specific manner	primary
R30	1849282	10.1073/pnas.88.7.2951	1991	Proc Natl Acad Sci USA	Danoff SK, Ferris CD, Donath C, Fischer GA, Munemitsu S, Ullrich A, Snyder SH, Ross CA	Inositol 1,4,5-trisphosphate receptors: distinct neuronal and nonneuronal forms derived by alternative splicing differ in phosphorylation	primary
R31	7500840	10.1016/0169-328x(95)00194-w	1995	Brain Res Mol Brain Res	Nucifora FC, Li SH, Danoff S, Ullrich A, Ross CA	Molecular cloning of a cDNA for the human inositol 1,4,5-trisphosphate receptor type 1, and the identification of a third alternatively spliced variant	primary
R32	1374893	10.1073/pnas.89.10.4265	1992	Proc Natl Acad Sci USA	Ross CA, Danoff SK, Schell MJ, Snyder SH, Ullrich A	Three additional inositol 1,4,5-trisphosphate receptors: molecular cloning and differential localization in brain and peripheral tissues	primary
R33	10668562	10.1054/ceca.1999.0034	1999	Cell Calcium	Taylor CW, Genazzani AA, Morris SA	Expression of inositol trisphosphate receptors	review
R34	31790953	10.1016/j.ceca.2019.102132	2020	Cell Calcium	Mangla A, Guerra MT, Nathanson MH	Type 3 inositol 1,4,5-trisphosphate receptor: A calcium channel for all seasons	review
R35	21680871	10.1093/molbev/msr149	2012	Mol Biol Evol	Cai X, Clapham DE	Ancestral Ca2+ signaling machinery in early animal and fungal evolution	primary
R36	22022573	10.1371/journal.pone.0026218	2011	PLoS One	Prole DL, Taylor CW	Identification of intracellular and plasma membrane calcium channel homologues in pathogenic parasites	primary
R37	22453942	10.1007/978-94-007-2888-2_7	2012	Adv Exp Med Biol	Mackrill JJ	Ryanodine receptor calcium release channels: an evolutionary perspective	review
R38	17590087	10.1371/journal.pgen.0030108	2007	PLoS Genet	van de Leemput J, Chandran J, Knight MA, Holtzclaw LA, Scholz S, Cookson MR, Houlden H, Gwinn-Hardy K, Fung HC, Lin X, Hernandez D, Simon-Sanchez J, Wood NW, Giunti P, Rafferty I, Hardy J, Storey E, Gardner RJ, Forrest SM, Fisher EM, Russell JT, Cai H, Singleton AB	Deletion at ITPR1 underlies ataxia in mice and spinocerebellar ataxia 15 in humans	primary
R39	18579805	10.1212/01.wnl.0000311912.05593.1e	2008	Neurology	Hara K, Shiga A, Nozaki H, Mitsui J, Takahashi Y, Ishiguro H, Yomono H, Kurisaki H, Goto J, Ikeuchi T, Tsuji S, Nishizawa M, Onodera O	Total deletion and a missense mutation of ITPR1 in Japanese SCA15 families	primary
R40	21555639	10.1001/archneurol.2011.81	2011	Arch Neurol	Marelli C, van de Leemput J, Johnson JO, Tison F, Thauvin-Robinet C, Picard F, Tranchant C, Hernandez DG, Huttin B, Boulliat J, Sangla I, Marescaux C, Brique S, Dollfus H, Arepalli S, Benatru I, Ollagnon E, Forlani S, Hardy J, Stevanin G, Durr A, Singleton A, Brice A	SCA15 due to large ITPR1 deletions in a cohort of 333 white families with dominant ataxia	primary
R41	22986007	10.1186/1750-1172-7-67	2012	Orphanet J Rare Dis	Huang L, Chardon JW, Carter MT, Friend KL, Dudding TE, Schwartzentruber J, Zou R, Schofield PW, Douglas S, Bulman DE, Boycott KM	Missense mutations in ITPR1 cause autosomal dominant congenital nonprogressive spinocerebellar ataxia	primary
R42	28659154	10.1186/s13023-017-0672-7	2017	Orphanet J Rare Dis	Zambonin JL, Bellomo A, Ben-Pazi H, Everman DB, Frazer LM, Geraghty MT, Harper AD, Jones JR, Kamien B, Kernohan K, Koenig MK, Lines MA, Palmer EE, Richardson R, Segel R, Tarnopolsky M, Vanstone JR, Gunay-Aygun M, Boycott KM	Spinocerebellar ataxia type 29 due to mutations in ITPR1: a case series and review of this emerging congenital ataxia	primary
R43	27108797	10.1016/j.ajhg.2016.03.004	2016	Am J Hum Genet	Gerber S, Alzayady KJ, Burglen L, Bremond-Gignac D, Marchesin V, Roche O, Rio M, Funalot B, Calmon R, Durr A, Gil-da-Silva-Lopes VL, Ribeiro Bittar MF, Orssaud C, Heron B, Ayoub E, Berquin P, Bahi-Buisson N, Bole C, Masson C, Munnich A, Simons M, Delous M, Dollfus H, Boddaert N, Lyonnet S, Kaplan J, Calvas P, Yule DI, Rozet JM, Fares Taie L	Recessive and Dominant De Novo ITPR1 Mutations Cause Gillespie Syndrome	primary
R44	27108798	10.1016/j.ajhg.2016.03.018	2016	Am J Hum Genet	McEntagart M, Williamson KA, Rainger JK, Wheeler A, Seawright A, De Baere E, Verdin H, Bergendahl LT, Quigley A, Rainger J, Dixit A, Sarkar A, Lopez Laso E, Sanchez-Carpintero R, Barrio J, Bitoun P, Prieur F, Brooks AS, Ansari M, Stewart H, Kilic E, Guven Y, Tolmie J, Freed JJ, Chandna A, Hurst JA, Fitzpatrick DR	A Restricted Repertoire of De Novo Mutations in ITPR1 Cause Gillespie Syndrome with Evidence for Dominant-Negative Effect	primary
R45	25329695	10.1172/JCI78173	2014	J Clin Invest	Klar J, Hisatsune C, Baig SM, Tariq M, Johansson AC, Rasool M, Malik NA, Ameur A, Sugiura K, Feuk L, Mikoshiba K, Dahl N	Abolished InsP3R2 function inhibits sweat secretion in both humans and mice	primary
R46	32949214	10.1002/acn3.51151	2020	Ann Clin Transl Neurol	Ronkko J, Molchanova S, Revah-Politi A, Pereira EM, Auranen M, Toppila J, Kvist J, Ludwig A, Neumann J, Bultynck G, Humblet-Baron S, Liston A, Paetau A, Rivera C, Harms MB, Isohanni P, Tyynismaa H, Ylikallio E	Dominant mutations in ITPR3 cause Charcot-Marie-Tooth disease	primary
R47	38938188	10.1093/brain/awae178	2025	Brain	Beijer D, Dohrn MF, Rebelo A, Danzi MC, Grosz BR, Ellis M, Kumar KR, Vucic S, Vais H, Weissenrieder JS, Lunko O, Foskett JK, Bultynck G, Ylikallio E, Tyynismaa H, Zuchner S	A recurrent missense variant in ITPR3 causes demyelinating Charcot-Marie-Tooth with variable severity	primary
R48	39270020	10.1084/jem.20232178	2024	J Exp Med	Molitor A, Lederle A, Radosavljevic M, Sapuru V, Zavorka Thomas ME, Yang J, Shirin M, Collin-Bund V, Jerabkova-Roda K, Hirschler A, Apithy MJ, Salmeron A, Carapito C, Isidor B, Molitor G, Miao Y, Hite RK, Bahram S, Carapito R	A pleiotropic recurrent dominant ITPR3 variant causes a complex multisystemic disease	primary
R49	39804930	10.1242/dmm.052078	2025	Dis Model Mech	Hytonen MK, Ronkko J, Hundi S, Jokinen TS, Suonto E, Teravainen E, Donner J, La Rovere R, Bultynck G, Ylikallio E, Tyynismaa H, Lohi H	IP3 receptor depletion in a spontaneous canine model of Charcot-Marie-Tooth disease 1J with amelogenesis imperfecta	primary
R50	30745293	10.1101/cshperspect.a035063	2019	Cold Spring Harb Perspect Biol	Prole DL, Taylor CW	Structure and Function of IP3 Receptors	review
R51	39287469	10.1111/ene.16466	2024	Eur J Neurol	Cabello-Murgui J, Jimenez-Jimenez J, Vilchez JJ, Azorin I, Marti-Martinez P, Millet E, Lupo V, Sevilla T, Siverez-Domenech M, Espinos C, Frasquet M	ITPR3-associated neuropathy: Report of a further family with adult onset intermediate Charcot-Marie-Tooth disease	primary
R52	3040730	10.1016/s0021-9258(18)45326-4	1987	J Biol Chem	Worley PF, Baraban JM, Supattapone S, Wilson VS, Snyder SH	Characterization of inositol trisphosphate receptor binding in brain. Regulation by pH and calcium	primary
R53	3027583	10.1038/325159a0	1987	Nature	Worley PF, Baraban JM, Colvin JS, Snyder SH	Inositol trisphosphate receptor localization in brain: variable stoichiometry with protein kinase C	primary
R54	6089758	10.1042/bj2220195	1984	Biochem J	Berridge MJ, Heslop JP, Irvine RF, Brown KD	Inositol trisphosphate formation and calcium mobilization in Swiss 3T3 cells in response to platelet-derived growth factor	primary
R55	3141586	10.1111/j.1471-4159.1988.tb01151.x	1988	J Neurochem	Maeda N, Niinobe M, Nakahira K, Mikoshiba K	Purification and characterization of P400 protein, a glycoprotein characteristic of Purkinje cell, from mouse cerebellum	primary
R56	2156261	10.1073/pnas.87.6.2132	1990	Proc Natl Acad Sci USA	Chadwick CC, Saito A, Fleischer S	Isolation and characterization of the inositol trisphosphate receptor from smooth muscle	primary
R57	21892169	10.1038/nsmb.2112	2011	Nat Struct Mol Biol	Lin CC, Baek K, Lu Z	Apo and InsP₃-bound crystal structures of the ligand-binding domain of an InsP₃ receptor	primary
R58	22286060	10.1038/nature10751	2012	Nature	Seo MD, Velamakanni S, Ishiyama N, Stathopulos PB, Rossi AM, Khan SA, Dale P, Li C, Ames JB, Ikura M, Taylor CW	Structural and functional conservation of key domains in InsP3 and ryanodine receptors	primary
R59	35301323	10.1038/s41467-022-29073-2	2022	Nat Commun	Schmitz EA, Takahashi H, Karakas E	Structural basis for activation and gating of IP3 receptors	primary
R60	36376291	10.1038/s41467-022-34574-1	2022	Nat Commun	Fan G, Baker MR, Terry LE, Arige V, Chen M, Seryshev AB, Baker ML, Ludtke SJ, Yule DI, Serysheva II	Conformational motions and ligand-binding underlying gating and regulation in IP3R channel	primary
R61	36122240	10.1073/pnas.2209267119	2022	Proc Natl Acad Sci USA	Arige V, Terry LE, Wagner LE, Malik S, Baker MR, Fan G, Joseph SK, Serysheva II, Yule DI	Functional determination of calcium-binding sites required for the activation of inositol 1,4,5-trisphosphate receptors	primary
R62	12714606	10.1074/jbc.c300148200	2003	J Biol Chem	Serysheva II, Bare DJ, Ludtke SJ, Kettlun CS, Chiu W, Mignery GA	Structure of the type 1 inositol 1,4,5-trisphosphate receptor revealed by electron cryomicroscopy	primary
R63	28618351	10.1016/j.sbi.2017.05.014	2017	Curr Opin Struct Biol	Baker MR, Fan G, Serysheva II	Structure of IP3R channel: high-resolution insights from cryo-EM	review
R64	7876825	10.1085/jgp.104.5.821	1994	J Gen Physiol	Bezprozvanny I, Ehrlich BE	Inositol (1,4,5)-trisphosphate (InsP3)-gated Ca channels from cerebellum: conduction properties for divalent cations and regulation by intraluminal calcium	primary
R65	9490868	10.1111/j.1469-7793.1998.407bw.x	1998	J Physiol	Hirose K, Kadowaki S, Iino M	Allosteric regulation by cytoplasmic Ca2+ and IP3 of the gating of IP3 receptors in permeabilized guinea-pig vascular smooth muscle cells	primary
R66	14581584	10.1085/jgp.200308809	2003	J Gen Physiol	Mak DO, McBride SM, Foskett JK	Spontaneous channel activity of the inositol 1,4,5-trisphosphate (InsP3) receptor (InsP3R). Application of allosteric modeling to calcium and InsP3 regulation of InsP3R single-channel gating	primary
R67	9675184	10.1016/s0006-3495(98)77572-1	1998	Biophys J	Ramos-Franco J, Fill M, Mignery GA	Isoform-specific function of single inositol 1,4,5-trisphosphate receptor channels	primary
R68	26976600	10.1073/pnas.1517935113	2016	Proc Natl Acad Sci USA	Yang J, Vais H, Gu W, Foskett JK	Biphasic regulation of InsP3 receptor gating by dual Ca2+ release channel BH3-like domains mediates Bcl-xL control of cell viability	primary
R69	1857419	10.1038/352241a0	1991	Nature	Missiaen L, Taylor CW, Berridge MJ	Spontaneous calcium release from inositol trisphosphate-sensitive calcium stores	primary
R70	11331355	10.1085/jgp.117.5.447	2001	J Gen Physiol	Mak DO, McBride S, Foskett JK	ATP regulation of recombinant type 3 inositol 1,4,5-trisphosphate receptor gating	primary
R71	1848697	10.1073/pnas.88.6.2232	1991	Proc Natl Acad Sci USA	Ferris CD, Huganir RL, Bredt DS, Cameron AM, Snyder SH	Inositol trisphosphate receptor: phosphorylation by protein kinase C and calcium calmodulin-dependent protein kinases in reconstituted lipid vesicles	primary
R72	8132598	10.1016/s0021-9258(17)37024-2	1994	J Biol Chem	Komalavilas P, Lincoln TM	Phosphorylation of the inositol 1,4,5-trisphosphate receptor by cyclic GMP-dependent protein kinase	primary
R73	19706527	10.1073/pnas.0907555106	2009	Proc Natl Acad Sci USA	Rong YP, Bultynck G, Aromolaran AS, Zhong F, Parys JB, De Smedt H, Mignery GA, Roderick HL, Bootman MD, Distelhorst CW	The BH4 domain of Bcl-2 inhibits ER calcium release and apoptosis by binding the regulatory and coupling domain of the IP3 receptor	primary
R74	18657507	10.1016/j.molcel.2008.06.014	2008	Mol Cell	Rong YP, Aromolaran AS, Bultynck G, Zhong F, Li X, McColl K, Matsuyama S, Herlitze S, Roderick HL, Bootman MD, Mignery GA, Parys JB, De Smedt H, Distelhorst CW	Targeting Bcl-2-IP3 receptor interaction to reverse Bcl-2's inhibition of apoptotic calcium signals	primary
R75	21818117	10.1038/cdd.2011.97	2012	Cell Death Differ	Monaco G, Decrock E, Akl H, Ponsaerts R, Vervliet T, Luyten T, De Maeyer M, Missiaen L, Distelhorst CW, De Smedt H, Parys JB, Leybaert L, Bultynck G	Selective regulation of IP3-receptor-mediated Ca2+ signaling and apoptosis by the BH4 domain of Bcl-2 versus Bcl-Xl	primary
R76	20189983	10.1074/jbc.m109.096040	2010	J Biol Chem	Eckenrode EF, Yang J, Velmurugan GV, Foskett JK, White C	Apoptosis protection by Mcl-1 and Bcl-2 modulation of inositol 1,4,5-trisphosphate receptor-dependent Ca2+ signaling	primary
R77	30989245	10.1007/s00018-019-03091-8	2019	Cell Mol Life Sci	Ivanova H, Wagner LE, Tanimura A, Vandermarliere E, Luyten T, Welkenhuyzen K, Alzayady KJ, Wang L, Hamada K, Mikoshiba K, De Smedt H, Martens L, Yule DI, Parys JB, Bultynck G	Bcl-2 and IP3 compete for the ligand-binding domain of IP3Rs modulating Ca2+ signaling output	primary
R78	31501195	10.1101/cshperspect.a035089	2020	Cold Spring Harb Perspect Biol	Ivanova H, Vervliet T, Monaco G, Terry LE, Rosa N, Baker MR, Parys JB, Serysheva II, Yule DI, Bultynck G	Bcl-2-Protein Family as Modulators of IP3 Receptors and Other Organellar Ca2+ Channels	review
R79	16793548	10.1016/j.molcel.2006.05.017	2006	Mol Cell	Ando H, Mizutani A, Kiefer H, Tsuzurugi D, Michikawa T, Mikoshiba K	IRBIT suppresses IP3 receptor activity by competing with IP3 for the common binding site on the IP3 receptor	primary
R80	12032348	10.1073/pnas.102006299	2002	Proc Natl Acad Sci USA	Yang J, McBride S, Mak DO, Vardi N, Palczewski K, Haeseleer F, Foskett JK	Identification of a family of calcium sensors as protein ligands of inositol trisphosphate receptor Ca(2+) release channels	primary
R81	15710625	10.1074/jbc.m414212200	2005	J Biol Chem	Bare DJ, Kettlun CS, Liang M, Bers DM, Mignery GA	Cardiac type 2 inositol 1,4,5-trisphosphate receptor: interaction and modulation by calcium/calmodulin-dependent protein kinase II	primary
R82	10220512	10.1016/s0016-5085(99)70023-5	1999	Gastroenterology	Wojcikiewicz RJ, Ernst SA, Yule DI	Secretagogues cause ubiquitination and down-regulation of inositol 1, 4,5-trisphosphate receptors in rat pancreatic acinar cells	primary
R83	25882839	10.1074/jbc.m115.655043	2015	J Biol Chem	Wright FA, Lu JP, Sliter DA, Dupré N, Rouleau GA, Wojcikiewicz RJ	A Point Mutation in the Ubiquitin Ligase RNF170 That Causes Autosomal Dominant Sensory Ataxia Destabilizes the Protein and Impairs Inositol 1,4,5-Trisphosphate Receptor-mediated Ca2+ Signaling	primary
R84	18579078	10.1016/j.neuron.2008.04.015	2008	Neuron	Cheung KH, Shineman D, Müller M, Cárdenas C, Mei L, Yang J, Tomita T, Iwatsubo T, Lee VM, Foskett JK	Mechanism of Ca2+ disruption in Alzheimer's disease by presenilin regulation of InsP3 receptor channel gating	primary
R85	1411526	10.1126/science.1411526	1992	Science	Boitano S, Dirksen ER, Sanderson MJ	Intercellular propagation of calcium waves mediated by inositol trisphosphate	primary
R86	8395347	10.1016/0092-8674(93)90513-p	1993	Cell	Thorn P, Lawrie AM, Smith PM, Gallacher DV, Petersen OH	Local and global cytosolic Ca2+ oscillations in exocrine cells evoked by agonists and inositol trisphosphate	primary
R87	2304911	10.1073/pnas.87.4.1461	1990	Proc Natl Acad Sci USA	Goldbeter A, Dupont G, Berridge MJ	Minimal model for signal-induced Ca2+ oscillations and for their frequency encoding through protein phosphorylation	primary
R88	1329108	10.1073/pnas.89.20.9895	1992	Proc Natl Acad Sci USA	De Young GW, Keizer J	A single-pool inositol 1,4,5-trisphosphate-receptor-based model for agonist-stimulated oscillations in Ca2+ concentration	primary
R89	2498663	10.1038/339317a0	1989	Nature	Wakui M, Potter BV, Petersen OH	Pulsatile intracellular calcium release does not depend on fluctuations in inositol trisphosphate concentration	primary
R90	1986413	10.1126/science.1986413	1991	Science	Harootunian AT, Kao JP, Paranjape S, Tsien RY	Generation of calcium oscillations in fibroblasts by positive feedback between calcium and IP3	primary
R91	8779726	10.1038/383089a0	1996	Nature	Kawabata S, Tsutsumi R, Kohara A, Yamaguchi T, Nakanishi S, Okada M	Control of calcium oscillations by phosphorylation of metabotropic glutamate receptors	primary
R92	29138405	10.1038/s41467-017-01644-8	2017	Nat Commun	Thillaiappan NB, Chavda AP, Tovey SC, Prole DL, Taylor CW	Ca2+ signals initiate at immobile IP3 receptors adjacent to ER-plasma membrane junctions	primary
R93	30540949	10.1016/j.celrep.2018.11.064	2018	Cell Rep	Atakpa P, Thillaiappan NB, Mataragka S, Prole DL, Taylor CW	IP3 Receptors Preferentially Associate with ER-Lysosome Contact Sites and Selectively Deliver Ca2+ to Lysosomes	primary
R94	19556461	10.1126/science.1175088	2009	Science	Kornmann B, Currie E, Collins SR, Schuldiner M, Nunnari J, Weissman JS, Walter P	An ER-mitochondria tethering complex revealed by a synthetic biology screen	primary
R95	25419710	10.1038/nm.3735	2014	Nat Med	Arruda AP, Pers BM, Parlakgül G, Güney E, Inouye K, Hotamisligil GS	Chronic enrichment of hepatic endoplasmic reticulum-mitochondria contact leads to mitochondrial dysfunction in obesity	primary
R96	29097544	10.1126/science.aan6009	2017	Science	Hirabayashi Y, Kwon SK, Paek H, Pernice WM, Paul MA, Lee J, Erfani P, Raczkowski A, Petrey DS, Pon LA, Polleux F	ER-mitochondria tethering by PDZD8 regulates Ca2+ dynamics in mammalian neurons	primary
R97	8662540	10.1126/science.273.5274.503	1996	Science	Khan AA, Soloski MJ, Sharp AH, Schilling G, Sabatini DM, Li SH, Ross CA, Snyder SH	Lymphocyte apoptosis: mediation by increased type 3 inositol 1,4,5-trisphosphate receptor	primary
R98	9154798	10.1128/mcb.17.6.3005	1997	Mol Cell Biol	Jayaraman T, Marks AR	T cells deficient in inositol 1,4,5-trisphosphate receptor are resistant to apoptosis	primary
R99	23852728	10.1073/pnas.1302455110	2013	Proc Natl Acad Sci USA	Betz C, Stracka D, Prescianotto-Baschong C, Frieden M, Demaurex N, Hall MN	Feature Article: mTOR complex 2-Akt signaling at mitochondria-associated endoplasmic reticulum membranes (MAM) regulates mitochondrial physiology	primary
R100	8389956	10.1016/0169-328x(93)90004-9	1993	Brain Res Mol Brain Res	Schell MJ, Danoff SK, Ross CA	Inositol (1,4,5)-trisphosphate receptor: characterization of neuron-specific alternative splicing in rat brain and peripheral tissues	primary
R101	10064596	10.1093/emboj/18.5.1303	1999	EMBO J	Miyakawa T, Maeda A, Yamazawa T, Hirose K, Kurosaki T, Iino M	Encoding of Ca2+ signals by differential expression of IP3 receptor subtypes	primary
R102	9188472	10.1074/jbc.272.25.15765	1997	J Biol Chem	Lee MG, Xu X, Zeng W, Diaz J, Wojcikiewicz RJ, Kuo TH, Wuytack F, Racymaekers L, Muallem S	Polarized expression of Ca2+ channels in pancreatic and salivary gland cells. Correlation with initiation and propagation of [Ca2+]i waves	primary
R103	10096607	10.1002/(sici)1096-9861(19990405)406:23.0.co;2-7	1999	J Comp Neurol	Sharp AH, Nucifora FC, Blondel O, Sheppard CA, Zhang C, Snyder SH, Russell JT, Ryugo DK, Ross CA	Differential cellular expression of isoforms of inositol 1,4,5-triphosphate receptors in neurons and glia in brain	primary
R104	7860772	10.1172/jci117739	1995	J Clin Invest	Go LO, Moschella MC, Watras J, Handa KK, Fyfe BS, Marks AR	Differential regulation of two types of intracellular calcium release channels during end-stage heart failure	primary
R105	9295347	10.1074/jbc.272.38.23961	1997	J Biol Chem	Perez PJ, Ramos-Franco J, Fill M, Mignery GA	Identification and functional reconstitution of the type 2 inositol 1,4,5-trisphosphate receptor from ventricular cardiac myocytes	primary
R106	8387895	10.1016/0092-8674(93)90142-d	1993	Cell	Kume S, Muto A, Aruga J, Nakagawa T, Michikawa T, Michikawa T, Furuichi T, Nakade S, Okano H, Mikoshiba K	The Xenopus IP3 receptor: structure, function, and localization in oocytes and eggs	primary
R107	23729741	10.1242/jcs.127449	2013	J Cell Sci	Plattner H, Verkhratsky A	Ca2+ signalling early in evolution--all but primitive	review
R108	25601027	10.1016/j.ceca.2014.12.002	2015	Cell Calcium	Plattner H	Molecular aspects of calcium signalling at the crossroads of unikont and bikont eukaryote evolution--the ciliated protozoan Paramecium in focus	review
R109	25591931	10.1016/j.ceca.2014.12.005	2015	Cell Calcium	Patel S, Cai X	Evolution of acidic Ca²⁺ stores and their resident Ca²⁺-permeable channels	review
R110	9273145	10.1016/s0960-9822(06)00221-1	1997	Curr Biol	Venkatesh K, Hasan G	Disruption of the IP3 receptor gene of Drosophila affects larval metamorphosis and ecdysone release	primary
R111	15020420	10.1534/genetics.166.1.225	2004	Genetics	Joshi R, Venkatesh K, Srinivas R, Nair S, Hasan G	Genetic dissection of itpr gene function reveals a vital requirement in aminergic cells of Drosophila larvae	primary
