accession	gene	length_aa	status	protein_name
A0AC58GMX6	ryr1a	5062	unreviewed	Ryanodine receptor 1 isoform X6
A0AC58GMY3	ryr1a	5061	unreviewed	Ryanodine receptor 1 isoform X7
A0AC58GMZ8	ryr1a	5056	unreviewed	Ryanodine receptor 1 isoform X8
A0A8M6YTI2	ryr1b	5109	unreviewed	Ryanodine receptor 1
A0AC58HUA4	ryr1b	5104	unreviewed	Ryanodine receptor 1
A0AC58HUA7	ryr1b	5103	unreviewed	Ryanodine receptor 1
A0AC58HUC9	ryr1b	5103	unreviewed	Ryanodine receptor 1
A0AC58HUC3	ryr1b	5102	unreviewed	Ryanodine receptor 1
A0AC58HUA9	ryr1b	5099	unreviewed	Ryanodine receptor 1
A0AC58HU98	ryr1b	5098	unreviewed	Ryanodine receptor 1
A0AC58HUA1	ryr1b	5098	unreviewed	Ryanodine receptor 1
A0AC58HUB0	ryr1b	5097	unreviewed	Ryanodine receptor 1
A0AC58HUB1	ryr1b	5093	unreviewed	Ryanodine receptor 1
A0AC58HUB3	ryr1b	5093	unreviewed	Ryanodine receptor 1
A0AC58HUB6	ryr1b	5092	unreviewed	Ryanodine receptor 1
A0AC58HUB9	ryr1b	5089	unreviewed	Ryanodine receptor 1
A0AC58HUB5	ryr1b	5088	unreviewed	Ryanodine receptor 1
A0AC58HUC2	ryr1b	5087	unreviewed	Ryanodine receptor 1
A0AC58HUB7	ryr1b	5084	unreviewed	Ryanodine receptor 1
A0AC58HUF2	ryr1b	5083	unreviewed	Ryanodine receptor 1
A0AC58HUC4	ryr1b	5083	unreviewed	Ryanodine receptor 1
A0AC58HUD7	ryr1b	5082	unreviewed	Ryanodine receptor 1
A0AC58HUC1	ryr1b	5078	unreviewed	Ryanodine receptor 1
A0AC58HUC6	ryr1b	5078	unreviewed	Ryanodine receptor 1
A0AC58HUC0	ryr1b	5077	unreviewed	Ryanodine receptor 1
A6P4B8	ryr1b	5076	unreviewed	Ryanodine receptor 1
A0AC58HUC8	ryr1b	5076	unreviewed	Ryanodine receptor 1
A0A8M1NEG1	ryr1b	5076	unreviewed	Ryanodine receptor 1b
A0AC58HUC7	ryr1b	5072	unreviewed	Ryanodine receptor 1
A0AC58HUD1	ryr1b	5071	unreviewed	Ryanodine receptor 1
A0AC58GZ77	ryr2a	4961	unreviewed	Ryanodine receptor 2 isoform X1
A0AC58GZ81	ryr2a	4955	unreviewed	Ryanodine receptor 2 isoform X2
A0AC58GZ87	ryr2a	4954	unreviewed	Ryanodine receptor 2 isoform X3
A0AC58GZ91	ryr2a	4949	unreviewed	Ryanodine receptor 2 isoform X4
A0AC58GZA8	ryr2a	4948	unreviewed	Ryanodine receptor 2 isoform X5
A0AC58GZ86	ryr2a	4943	unreviewed	Ryanodine receptor 2 isoform X6
A0AB32T6W5	ryr2b	4881	unreviewed	Ryanodine receptor 2
A0A8M3ALN1	ryr3	4863	unreviewed	Ryanodine receptor 3 isoform X1
A0AB32TAU4	ryr3	4861	unreviewed	Ryanodine receptor 3 isoform X2
A0A8M3AWD0	ryr3	4857	unreviewed	Ryanodine receptor 3 isoform X3
A0A8M3ATC3	ryr3	4856	unreviewed	Ryanodine receptor 3 isoform X4
