claim	label
ITPR2 clade incl. unlabelled tips	ITPR2_Mus_musculus_Mouse_Q9Z329
ITPR2 clade incl. unlabelled tips	ITPR2_Nibea_albiflora_GCA_014281875.1_ITPR2_12447838
ITPR2 clade incl. unlabelled tips	ITPR2_Rattus_norvegicus_Rat_P29995
ITPR2 clade incl. unlabelled tips	ITPR2_Strigops_habroptila_Kakapo_A0A672UP22
ITPR2 clade incl. unlabelled tips	ITPR2_Xenopus_tropicalis_Western_clawed_frog_A0A6I8RGU0
ITPR2 clade incl. unlabelled tips	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JQ24
ITPR2 clade incl. unlabelled tips	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3
ITPR3 clade incl. unlabelled tips	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9
ITPR3 clade incl. unlabelled tips	ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7
ITPR3 clade incl. unlabelled tips	ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051
ITPR3 clade incl. unlabelled tips	ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266
ITPR3 clade incl. unlabelled tips	ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206
ITPR3 clade incl. unlabelled tips	ITPR3_Gallus_gallus_Chicken_A0A8V1ACE6
ITPR3 clade incl. unlabelled tips	ITPR3_Homo_sapiens_Human_Q14573
ITPR3 clade incl. unlabelled tips	ITPR3_Hymenochirus_boettgeri_GCA_019447015.1_ITPR3_126480658
ITPR3 clade incl. unlabelled tips	ITPR3_Latimeria_chalumnae_Coelacanth_H3B932
ITPR3 clade incl. unlabelled tips	ITPR3_Mus_musculus_Mouse_P70227
ITPR3 clade incl. unlabelled tips	ITPR3_Nothobranchius_furzeri_Turquoise_killi_A0A8C6KWV8
ITPR3 clade incl. unlabelled tips	ITPR3_Pogona_vitticeps_central_bearded_drago_A0A6J0TV85
ITPR3 clade incl. unlabelled tips	ITPR3_Rattus_norvegicus_Rat_Q63269
ITPR3 clade incl. unlabelled tips	ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197
ITPR3 clade incl. unlabelled tips	ITPR3_Sousa_chinensis_GCA_007760645.1_ITPR3_5949234
ITPR3 clade incl. unlabelled tips	ITPR3_Sphenodon_punctatus_GCA_003113815.1_ITPR3_3264626
ITPR3 clade incl. unlabelled tips	ITPR3_Spizella_passerina_GCA_056776345.1_ITPR3_2783550
ITPR3 clade incl. unlabelled tips	ITPR3_Xenopus_tropicalis_Western_clawed_frog_A0A8J0SYK9
ITPR3 clade incl. unlabelled tips	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401S8Q3
ITPR1 + ITPR2	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0
ITPR1 + ITPR2	ITPR1_Bos_taurus_Bovine_Q9TU34
ITPR1 + ITPR2	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0
ITPR1 + ITPR2	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7
ITPR1 + ITPR2	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0
ITPR1 + ITPR2	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288
ITPR1 + ITPR2	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8
ITPR1 + ITPR2	ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0
ITPR1 + ITPR2	ITPR1_Homo_sapiens_Human_Q14643
ITPR1 + ITPR2	ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5
ITPR1 + ITPR2	ITPR1_Mus_musculus_Mouse_P11881
ITPR1 + ITPR2	ITPR1_Podarcis_muralis_Wall_lizard_Lacerta_m_A0A670JBK6
ITPR1 + ITPR2	ITPR1_Salarias_fasciatus_Jewelled_blenny_Ble_A0A672IUQ7
ITPR1 + ITPR2	ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519
ITPR1 + ITPR2	ITPR1_Xenopus_tropicalis_Western_clawed_frog_A0A8J0T3U5
ITPR1 + ITPR2	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1
ITPR1 + ITPR2	ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3
ITPR1 + ITPR2	ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896
ITPR1 + ITPR2	ITPR2_Gallus_gallus_Chicken_F1P1X4
ITPR1 + ITPR2	ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32
ITPR1 + ITPR2	ITPR2_Homo_sapiens_Human_Q14571
ITPR1 + ITPR2	ITPR2_Mus_musculus_Mouse_Q9Z329
ITPR1 + ITPR2	ITPR2_Nibea_albiflora_GCA_014281875.1_ITPR2_12447838
ITPR1 + ITPR2	ITPR2_Rattus_norvegicus_Rat_P29995
ITPR1 + ITPR2	ITPR2_Strigops_habroptila_Kakapo_A0A672UP22
ITPR1 + ITPR2	ITPR2_Xenopus_tropicalis_Western_clawed_frog_A0A6I8RGU0
ITPR1 + ITPR2	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0
ITPR1 + ITPR2	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0
ITPR1 + ITPR2	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JQ24
ITPR1 + ITPR2	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3
ITPR1 + ITPR2	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401SQC9
ITPR1 + ITPR2	vertebrate_basal_Latimeria_chalumnae_GCF_037176945.1_ITPR1_35775795
ITPR1 + ITPR3	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0
ITPR1 + ITPR3	ITPR1_Bos_taurus_Bovine_Q9TU34
ITPR1 + ITPR3	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0
ITPR1 + ITPR3	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7
ITPR1 + ITPR3	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0
ITPR1 + ITPR3	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288
ITPR1 + ITPR3	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8
ITPR1 + ITPR3	ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0
ITPR1 + ITPR3	ITPR1_Homo_sapiens_Human_Q14643
ITPR1 + ITPR3	ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5
ITPR1 + ITPR3	ITPR1_Mus_musculus_Mouse_P11881
ITPR1 + ITPR3	ITPR1_Podarcis_muralis_Wall_lizard_Lacerta_m_A0A670JBK6
ITPR1 + ITPR3	ITPR1_Salarias_fasciatus_Jewelled_blenny_Ble_A0A672IUQ7
ITPR1 + ITPR3	ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519
ITPR1 + ITPR3	ITPR1_Xenopus_tropicalis_Western_clawed_frog_A0A8J0T3U5
ITPR1 + ITPR3	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9
ITPR1 + ITPR3	ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7
ITPR1 + ITPR3	ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051
ITPR1 + ITPR3	ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266
ITPR1 + ITPR3	ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206
ITPR1 + ITPR3	ITPR3_Gallus_gallus_Chicken_A0A8V1ACE6
ITPR1 + ITPR3	ITPR3_Homo_sapiens_Human_Q14573
ITPR1 + ITPR3	ITPR3_Hymenochirus_boettgeri_GCA_019447015.1_ITPR3_126480658
ITPR1 + ITPR3	ITPR3_Latimeria_chalumnae_Coelacanth_H3B932
ITPR1 + ITPR3	ITPR3_Mus_musculus_Mouse_P70227
ITPR1 + ITPR3	ITPR3_Nothobranchius_furzeri_Turquoise_killi_A0A8C6KWV8
ITPR1 + ITPR3	ITPR3_Pogona_vitticeps_central_bearded_drago_A0A6J0TV85
ITPR1 + ITPR3	ITPR3_Rattus_norvegicus_Rat_Q63269
ITPR1 + ITPR3	ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197
ITPR1 + ITPR3	ITPR3_Sousa_chinensis_GCA_007760645.1_ITPR3_5949234
ITPR1 + ITPR3	ITPR3_Sphenodon_punctatus_GCA_003113815.1_ITPR3_3264626
ITPR1 + ITPR3	ITPR3_Spizella_passerina_GCA_056776345.1_ITPR3_2783550
ITPR1 + ITPR3	ITPR3_Xenopus_tropicalis_Western_clawed_frog_A0A8J0SYK9
ITPR1 + ITPR3	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0
ITPR1 + ITPR3	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0
ITPR1 + ITPR3	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401S8Q3
ITPR1 + ITPR3	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401SQC9
ITPR1 + ITPR3	vertebrate_basal_Latimeria_chalumnae_GCF_037176945.1_ITPR1_35775795
ITPR2 + ITPR3	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1
ITPR2 + ITPR3	ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3
ITPR2 + ITPR3	ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896
ITPR2 + ITPR3	ITPR2_Gallus_gallus_Chicken_F1P1X4
ITPR2 + ITPR3	ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32
ITPR2 + ITPR3	ITPR2_Homo_sapiens_Human_Q14571
ITPR2 + ITPR3	ITPR2_Mus_musculus_Mouse_Q9Z329
ITPR2 + ITPR3	ITPR2_Nibea_albiflora_GCA_014281875.1_ITPR2_12447838
ITPR2 + ITPR3	ITPR2_Rattus_norvegicus_Rat_P29995
ITPR2 + ITPR3	ITPR2_Strigops_habroptila_Kakapo_A0A672UP22
ITPR2 + ITPR3	ITPR2_Xenopus_tropicalis_Western_clawed_frog_A0A6I8RGU0
ITPR2 + ITPR3	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9
ITPR2 + ITPR3	ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7
ITPR2 + ITPR3	ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051
ITPR2 + ITPR3	ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266
ITPR2 + ITPR3	ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206
ITPR2 + ITPR3	ITPR3_Gallus_gallus_Chicken_A0A8V1ACE6
ITPR2 + ITPR3	ITPR3_Homo_sapiens_Human_Q14573
ITPR2 + ITPR3	ITPR3_Hymenochirus_boettgeri_GCA_019447015.1_ITPR3_126480658
ITPR2 + ITPR3	ITPR3_Latimeria_chalumnae_Coelacanth_H3B932
ITPR2 + ITPR3	ITPR3_Mus_musculus_Mouse_P70227
ITPR2 + ITPR3	ITPR3_Nothobranchius_furzeri_Turquoise_killi_A0A8C6KWV8
ITPR2 + ITPR3	ITPR3_Pogona_vitticeps_central_bearded_drago_A0A6J0TV85
ITPR2 + ITPR3	ITPR3_Rattus_norvegicus_Rat_Q63269
ITPR2 + ITPR3	ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197
ITPR2 + ITPR3	ITPR3_Sousa_chinensis_GCA_007760645.1_ITPR3_5949234
ITPR2 + ITPR3	ITPR3_Sphenodon_punctatus_GCA_003113815.1_ITPR3_3264626
ITPR2 + ITPR3	ITPR3_Spizella_passerina_GCA_056776345.1_ITPR3_2783550
ITPR2 + ITPR3	ITPR3_Xenopus_tropicalis_Western_clawed_frog_A0A8J0SYK9
ITPR2 + ITPR3	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JQ24
ITPR2 + ITPR3	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3
ITPR2 + ITPR3	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401S8Q3
all three paralogs	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0
all three paralogs	ITPR1_Bos_taurus_Bovine_Q9TU34
all three paralogs	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0
all three paralogs	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7
all three paralogs	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0
all three paralogs	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288
all three paralogs	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8
all three paralogs	ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0
all three paralogs	ITPR1_Homo_sapiens_Human_Q14643
all three paralogs	ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5
all three paralogs	ITPR1_Mus_musculus_Mouse_P11881
all three paralogs	ITPR1_Podarcis_muralis_Wall_lizard_Lacerta_m_A0A670JBK6
all three paralogs	ITPR1_Salarias_fasciatus_Jewelled_blenny_Ble_A0A672IUQ7
all three paralogs	ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519
all three paralogs	ITPR1_Xenopus_tropicalis_Western_clawed_frog_A0A8J0T3U5
all three paralogs	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1
all three paralogs	ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3
all three paralogs	ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896
all three paralogs	ITPR2_Gallus_gallus_Chicken_F1P1X4
all three paralogs	ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32
all three paralogs	ITPR2_Homo_sapiens_Human_Q14571
all three paralogs	ITPR2_Mus_musculus_Mouse_Q9Z329
all three paralogs	ITPR2_Nibea_albiflora_GCA_014281875.1_ITPR2_12447838
all three paralogs	ITPR2_Rattus_norvegicus_Rat_P29995
all three paralogs	ITPR2_Strigops_habroptila_Kakapo_A0A672UP22
all three paralogs	ITPR2_Xenopus_tropicalis_Western_clawed_frog_A0A6I8RGU0
all three paralogs	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9
all three paralogs	ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7
all three paralogs	ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051
all three paralogs	ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266
all three paralogs	ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206
all three paralogs	ITPR3_Gallus_gallus_Chicken_A0A8V1ACE6
all three paralogs	ITPR3_Homo_sapiens_Human_Q14573
all three paralogs	ITPR3_Hymenochirus_boettgeri_GCA_019447015.1_ITPR3_126480658
all three paralogs	ITPR3_Latimeria_chalumnae_Coelacanth_H3B932
all three paralogs	ITPR3_Mus_musculus_Mouse_P70227
all three paralogs	ITPR3_Nothobranchius_furzeri_Turquoise_killi_A0A8C6KWV8
all three paralogs	ITPR3_Pogona_vitticeps_central_bearded_drago_A0A6J0TV85
all three paralogs	ITPR3_Rattus_norvegicus_Rat_Q63269
all three paralogs	ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197
all three paralogs	ITPR3_Sousa_chinensis_GCA_007760645.1_ITPR3_5949234
all three paralogs	ITPR3_Sphenodon_punctatus_GCA_003113815.1_ITPR3_3264626
all three paralogs	ITPR3_Spizella_passerina_GCA_056776345.1_ITPR3_2783550
all three paralogs	ITPR3_Xenopus_tropicalis_Western_clawed_frog_A0A8J0SYK9
all three paralogs	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0
all three paralogs	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0
all three paralogs	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JQ24
all three paralogs	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3
all three paralogs	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401S8Q3
all three paralogs	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401SQC9
all three paralogs	vertebrate_basal_Latimeria_chalumnae_GCF_037176945.1_ITPR1_35775795
vertebrate ITPRs (incl. unassigned)	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0
vertebrate ITPRs (incl. unassigned)	ITPR1_Bos_taurus_Bovine_Q9TU34
vertebrate ITPRs (incl. unassigned)	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0
vertebrate ITPRs (incl. unassigned)	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7
vertebrate ITPRs (incl. unassigned)	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0
vertebrate ITPRs (incl. unassigned)	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288
vertebrate ITPRs (incl. unassigned)	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8
vertebrate ITPRs (incl. unassigned)	ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0
vertebrate ITPRs (incl. unassigned)	ITPR1_Homo_sapiens_Human_Q14643
vertebrate ITPRs (incl. unassigned)	ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5
vertebrate ITPRs (incl. unassigned)	ITPR1_Mus_musculus_Mouse_P11881
vertebrate ITPRs (incl. unassigned)	ITPR1_Podarcis_muralis_Wall_lizard_Lacerta_m_A0A670JBK6
vertebrate ITPRs (incl. unassigned)	ITPR1_Salarias_fasciatus_Jewelled_blenny_Ble_A0A672IUQ7
vertebrate ITPRs (incl. unassigned)	ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519
vertebrate ITPRs (incl. unassigned)	ITPR1_Xenopus_tropicalis_Western_clawed_frog_A0A8J0T3U5
vertebrate ITPRs (incl. unassigned)	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1
vertebrate ITPRs (incl. unassigned)	ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3
vertebrate ITPRs (incl. unassigned)	ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896
vertebrate ITPRs (incl. unassigned)	ITPR2_Gallus_gallus_Chicken_F1P1X4
vertebrate ITPRs (incl. unassigned)	ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32
vertebrate ITPRs (incl. unassigned)	ITPR2_Homo_sapiens_Human_Q14571
vertebrate ITPRs (incl. unassigned)	ITPR2_Mus_musculus_Mouse_Q9Z329
vertebrate ITPRs (incl. unassigned)	ITPR2_Nibea_albiflora_GCA_014281875.1_ITPR2_12447838
vertebrate ITPRs (incl. unassigned)	ITPR2_Rattus_norvegicus_Rat_P29995
vertebrate ITPRs (incl. unassigned)	ITPR2_Strigops_habroptila_Kakapo_A0A672UP22
vertebrate ITPRs (incl. unassigned)	ITPR2_Xenopus_tropicalis_Western_clawed_frog_A0A6I8RGU0
vertebrate ITPRs (incl. unassigned)	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9
vertebrate ITPRs (incl. unassigned)	ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7
vertebrate ITPRs (incl. unassigned)	ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051
vertebrate ITPRs (incl. unassigned)	ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266
vertebrate ITPRs (incl. unassigned)	ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206
vertebrate ITPRs (incl. unassigned)	ITPR3_Gallus_gallus_Chicken_A0A8V1ACE6
vertebrate ITPRs (incl. unassigned)	ITPR3_Homo_sapiens_Human_Q14573
vertebrate ITPRs (incl. unassigned)	ITPR3_Hymenochirus_boettgeri_GCA_019447015.1_ITPR3_126480658
vertebrate ITPRs (incl. unassigned)	ITPR3_Latimeria_chalumnae_Coelacanth_H3B932
vertebrate ITPRs (incl. unassigned)	ITPR3_Mus_musculus_Mouse_P70227
vertebrate ITPRs (incl. unassigned)	ITPR3_Nothobranchius_furzeri_Turquoise_killi_A0A8C6KWV8
vertebrate ITPRs (incl. unassigned)	ITPR3_Pogona_vitticeps_central_bearded_drago_A0A6J0TV85
vertebrate ITPRs (incl. unassigned)	ITPR3_Rattus_norvegicus_Rat_Q63269
vertebrate ITPRs (incl. unassigned)	ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197
vertebrate ITPRs (incl. unassigned)	ITPR3_Sousa_chinensis_GCA_007760645.1_ITPR3_5949234
vertebrate ITPRs (incl. unassigned)	ITPR3_Sphenodon_punctatus_GCA_003113815.1_ITPR3_3264626
