accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name
A0A091E152	unassigned	none	module	ryr.hmm matched only 84 profile positions (< 200) — a shared module, not a family assignment	0.0	33.2	33.2	1.0		2.3e-06	2.3e-06	0.0	0.017	0	84	0.137	629	H920_01543	Fukomys damarensis	885580	0	Set1/Ash2 histone methyltransferase complex subunit ASH2
A0A091E4N7	unassigned	none	module	ryr.hmm matched only 133 profile positions (< 200) — a shared module, not a family assignment	0.0	31.7	31.7	1.0		6.9e-06	6.9e-06	0.0	0.027	0	133	0.235	565	N302_03445	Corvus brachyrhynchos	85066	0	Set1/Ash2 histone methyltransferase complex subunit ASH2 (Fragment)
A0A091EDT5	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	56.9	56.9	1.0		1.8e-13	1.8e-13	0.0	0.015	0	74	0.878	148	N302_00065	Corvus brachyrhynchos	85066	0	Calmodulin (Fragment)
A0A091EE52	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	52.9	52.9	1.0		2.7e-12	2.7e-12	0.0	0.012	0	59	0.785	149	N302_04489	Corvus brachyrhynchos	85066	0	Calmodulin, striated muscle
A0A091EGG2	unassigned	none	module	ryr.hmm matched only 69 profile positions (< 200) — a shared module, not a family assignment	0.0	50.8	50.8	1.0		1.2e-11	1.2e-11	0.0	0.014	0	69	0.872	149	H920_04105	Fukomys damarensis	885580	0	Calmodulin-like protein 3
A0A091EGU9	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	34.4	34.4	1.0		1.1e-06	1.1e-06	0.0	0.011	0	54	0.752	145	N302_01213	Corvus brachyrhynchos	85066	0	Calcium-binding protein 4 (Fragment)
A0A091EIU4	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	46.6	46.6	1.0		2.1e-10	2.1e-10	0.0	0.011	0	54	0.689	167	N302_15472	Corvus brachyrhynchos	85066	0	Calcium-binding protein 1
A0A091ELT2	unassigned	none	module	itpr.hmm matched only 32 profile positions (< 200) — a shared module, not a family assignment	35.2	0.0	35.2	1.0	1.1e-06		1.1e-06	0.012	0.0	32	0	0.372	86	H920_02005	Fukomys damarensis	885580	0	Inositol 1,4,5-trisphosphate receptor type 2
A0A091ENX8	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	50.2	50.2	1.0		1.8e-11	1.8e-11	0.0	0.011	0	54	0.804	138	N302_03878	Corvus brachyrhynchos	85066	0	Calcium-binding protein 1 (Fragment)
A0A091EW40	unassigned	none	module	ryr.hmm matched only 69 profile positions (< 200) — a shared module, not a family assignment	0.0	113.4	113.4	1.0		1.7e-30	1.7e-30	0.0	0.014	0	69	0.986	73	N302_14464	Corvus brachyrhynchos	85066	0	Ryanodine receptor 2 (Fragment)
A0A091F2H6	unassigned	none	module	ryr.hmm matched only 123 profile positions (< 200) — a shared module, not a family assignment	0.0	38.0	38.0	1.0		8.4e-08	8.4e-08	0.0	0.025	0	123	0.225	542	N302_06959	Corvus brachyrhynchos	85066	0	Ran-binding protein 10 (Fragment)
A0A091F545	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	37.7	37.7	1.0		1.1e-07	1.1e-07	0.0	0.019	0	94	0.176	541	N302_10652	Corvus brachyrhynchos	85066	0	Ran-binding protein 9 (Fragment)
A0A091F5E5	unassigned	none	module	ryr.hmm matched only 89 profile positions (< 200) — a shared module, not a family assignment	0.0	108.3	108.3	1.0		5.7e-29	5.7e-29	0.0	0.018	0	89	0.429	205	N302_00485	Corvus brachyrhynchos	85066	0	Ryanodine receptor 1 (Fragment)
A0A091F7J2	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	57.1	57.1	1.0		1.5e-13	1.5e-13	0.0	0.015	0	74	0.935	139	N302_06872	Corvus brachyrhynchos	85066	0	Calmodulin (Fragment)
A0A091F7K4	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	40.9	326.1	285.2	0.8746	2.1e-08	1.4e-94	1.4e-94	0.027	0.035	72	173	0.989	175	N302_15621	Corvus brachyrhynchos	85066	0	Ryanodine receptor 2 (Fragment)
A0A091F7X9	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	35.0	35.0	1.0		7.1e-07	7.1e-07	0.0	0.012	0	59	0.708	161	N302_10111	Corvus brachyrhynchos	85066	0	Troponin C, slow skeletal and cardiac muscles
A0A091F8R5	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	130.3	256.2	125.9	0.4914	2.4e-35	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	N302_15622	Corvus brachyrhynchos	85066	0	Ryanodine receptor 2 (Fragment)
A0A091F903	ITPR	high	architecture	itpr.hmm wins by 3409.9 bits (88.4% of 3855.0) over 2499 profile positions	3855.0	445.1	3409.9	0.8845	0	1.9e-130	0	0.931	0.27	2499	1331	0.975	2663	N302_05177	Corvus brachyrhynchos	85066	0	Inositol 1,4,5-trisphosphate receptor (Fragment)
A0A091F9N2	unassigned	none	module	ryr.hmm matched only 89 profile positions (< 200) — a shared module, not a family assignment	0.0	53.0	53.0	1.0		2.6e-12	2.6e-12	0.0	0.018	0	89	0.117	738	N302_01893	Corvus brachyrhynchos	85066	0	ATP-dependent RNA helicase (Fragment)
