Proteome Id	Organism	Organism Id	Protein count
UP000694407	Marmota marmota marmota (Alpine marmot)	9994	27309
UP000694409	Serinus canaria (Island canary) (Fringilla canaria)	9135	23421
UP000694412	Coturnix japonica (Japanese quail) (Coturnix coturnix japonica)	93934	27309
UP000694414	Prolemur simus (Greater bamboo lemur) (Hapalemur simus)	1328070	37838
UP000694417	Urocitellus parryii (Arctic ground squirrel) (Spermophilus parryii)	9999	29187
UP000694426	Anser brachyrhynchus (Pink-footed goose)	132585	26558
UP000694540	Catagonus wagneri (Chacoan peccary)	51154	29374
UP000694544	Moschus moschiferus (Siberian musk deer) (Moschus sibiricus)	68415	32989
UP000694547	Peromyscus maniculatus bairdii (Prairie deer mouse)	230844	28057
UP000694554	Phocoena sinus (Vaquita)	42100	31318
UP000694561	Monodon monoceros (Narwhal) (Ceratodon monodon)	40151	30226
UP000694564	Sciurus vulgaris (Eurasian red squirrel)	55149	33006
UP000805418	Canis lupus familiaris (Dog) (Canis familiaris)	9615	43615
UP001501940	Amphiprion ocellaris (Clown anemonefish)	80972	69194
UP000000539	Gallus gallus (Chicken)	9031	43712
UP000000715	Mustela putorius furo (European domestic ferret) (Mustela furo)	9669	46261
UP000001038	Oryzias latipes (Japanese rice fish) (Japanese killifish)	8090	36128
UP000001519	Gorilla gorilla gorilla (Western lowland gorilla)	9595	44723
UP000001645	Meleagris gallopavo (Wild turkey)	9103	28235
UP000001646	Anolis carolinensis (Green anole) (American chameleon)	28377	32752
UP000002277	Pan troglodytes (Chimpanzee)	9598	48769
UP000002280	Monodelphis domestica (Gray short-tailed opossum)	13616	36220
UP000002281	Equus caballus (Horse)	9796	69432
UP000002852	Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus)	8083	35279
UP000005207	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	8128	74622
UP000005226	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	31033	51079
UP000006718	Macaca mulatta (Rhesus macaque)	9544	44389
UP000007303	Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	99883	23074
UP000007635	Gasterosteus aculeatus aculeatus (three-spined stickleback)	481459	61640
UP000008143	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	8364	37711
UP000008225	Callithrix jacchus (White-tufted-ear marmoset) (Simia Jacchus)	9483	48338
UP000008672	Latimeria chalumnae (Coelacanth)	7897	23431
UP000010552	Pteropus alecto (Black flying fox)	9402	19520
UP000010556	Myotis davidii (David's myotis) (Vespertilio davidii)	225400	15446
UP000011518	Tupaia chinensis (Chinese tree shrew) (Tupaia belangeri chinensis)	246437	20824
UP000016665	Ficedula albicollis (Collared flycatcher) (Muscicapa albicollis)	59894	28852
UP000016666	Anas platyrhynchos platyrhynchos (Northern mallard)	8840	27053
UP000018467	Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	7994	39383
UP000018468	Lepisosteus oculatus (Spotted gar)	7918	22463
UP000018936	Ophiophagus hannah (King cobra) (Naja hannah)	8665	18387
UP000028760	Poecilia formosa (Amazon molly) (Limia formosa)	48698	30440
UP000028761	Papio anubis (Olive baboon)	9555	43406
UP000028990	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	885580	20405
UP000031443	Chelonia mydas (Green sea-turtle) (Chelonia agassizi)	8469	18960
UP000031515	Chaetura pelagica (Chimney swift) (Hirundo pelagica)	8897	3162
UP000050525	Alligator mississippiensis (American alligator)	8496	31974
UP000051836	Amazona aestiva (Blue-fronted Amazon parrot)	12930	16092
UP000052967	Merops nubicus (Northern carmine bee-eater)	57421	7657
UP000052976	Corvus brachyrhynchos (American crow)	85066	13621
UP000052978	Myotis brandtii (Brandt's bat)	109478	19243
UP000053001	Leptosomus discolor (Madagascar cuckoo roller) (Cuculus discolor)	188344	9574
UP000053119	Egretta garzetta (Little egret)	188379	13489
UP000053149	Pterocles gutturalis (yellow-throated sandgrouse)	240206	11309
UP000053238	Phalacrocorax carbo (Great cormorant) (Pelecanus carbo)	9209	8990
UP000053258	Manacus vitellinus (golden-collared manakin)	328815	12707
UP000053283	Nipponia nippon (Crested ibis) (Ibis nippon)	128390	14132
UP000053286	Aptenodytes forsteri (Emperor penguin)	9233	13704
UP000053309	Balearica regulorum gibbericeps (East African grey crowned-crane)	100784	8821
UP000053330	Chlamydotis macqueenii (Macqueen's bustard)	187382	8277
UP000053369	Mesitornis unicolor (brown roatelo)	54374	9395
UP000053537	Acanthisitta chloris (rifleman)	57068	9650
UP000053584	Struthio camelus australis	441894	13815
UP000053605	Opisthocomus hoazin (Hoatzin) (Phasianus hoazin)	30419	12773
UP000053615	Colius striatus (Speckled mousebird)	57412	7080
UP000053620	Antrostomus carolinensis (Chuck-will's-widow) (Caprimulgus carolinensis)	279965	8957
UP000053638	Phaethon lepturus (White-tailed tropicbird)	97097	9152
UP000053641	Tinamus guttatus (White-throated tinamou)	94827	13379
UP000053661	Tauraco erythrolophus (Red-crested turaco)	121530	10099
UP000053700	Phoenicopterus ruber ruber	9218	8220
UP000053745	Cathartes aura (Turkey vulture) (Vultur aura)	43455	7760
UP000053760	Cuculus canorus (Common cuckoo)	55661	13582
UP000053806	Fulmarus glacialis (Northern fulmar)	30455	8115
UP000053840	Nestor notabilis (Kea)	176057	9137
UP000053854	Podiceps cristatus (Great crested grebe)	345573	7899
UP000053858	Charadrius vociferus (Killdeer) (Aegialitis vocifera)	50402	14257
UP000053872	Columba livia (Rock dove)	8932	17309
UP000053875	Dryobates pubescens (Downy woodpecker) (Picoides pubescens)	118200	13097
UP000054064	Buceros rhinoceros silvestris	175836	10603
UP000054081	Pygoscelis adeliae (Adelie penguin)	9238	12848
UP000054116	Cariama cristata (Red-legged seriema)	54380	8694
UP000054150	Pelecanus crispus (Dalmatian pelican)	36300	8686
UP000054190	Tyto alba (Barn owl)	56313	9263
UP000054232	Eurypyga helias (Sunbittern) (Ardea helias)	54383	7979
UP000054244	Apaloderma vittatum (Bar-tailed trogon)	57397	7903
UP000054308	Calypte anna (Anna's hummingbird) (Archilochus anna)	9244	13267
UP000054313	Gavia stellata (Red-throated diver) (Colymbus stellatus)	37040	7730
UP000081671	Dipodomys ordii (Ord's kangaroo rat)	10020	26496
UP000092124	Neotoma lepida (Desert woodrat)	56216	24274
UP000186698	Xenopus laevis (African clawed frog)	8355	62027
UP000189704	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	1868482	30230
UP000189705	Alligator sinensis (Chinese alligator)	38654	34855
UP000190648	Patagioenas fasciata monilis	372326	24737
UP000192220	Austrofundulus limnaeus (Annual killifish)	52670	32322
UP000197619	Lonchura striata (white-rumped munia)	40157	15252
UP000198323	Callipepla squamata (Scaled quail)	9009	16973
UP000221080	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	7998	42996
UP000228934	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	8400	25491
UP000233020	Aotus nancymaae (Ma's night monkey)	37293	41725
UP000233060	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	9531	45022
UP000233080	Colobus angolensis palliatus (Peters' Angolan colobus)	336983	40241
UP000233100	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	9541	50204
UP000233120	Macaca nemestrina (Pig-tailed macaque)	9545	45001
UP000233140	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	9568	40661
UP000233160	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	379532	32113
UP000233180	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	61621	42660
UP000233200	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	61622	44576
UP000233220	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	39432	39640
UP000233556	Limosa lapponica baueri	1758121	22950
UP000237246	Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica)	9083	17669
UP000240080	Pan paniscus (Pygmy chimpanzee) (Bonobo)	9597	42996
UP000242450	Cervus elaphus hippelaphus (Central European red deer)	46360	19232
UP000242638	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	33943
UP000245320	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	9739	50385
UP000245340	Odobenus rosmarus divergens (Pacific walrus)	9708	25136
UP000245341	Leptonychotes weddellii (Weddell seal) (Otaria weddellii)	9713	34127
UP000246464	Scophthalmus maximus (Turbot) (Psetta maxima)	52904	24929
UP000248480	Trichechus manatus latirostris (Florida manatee)	127582	31514
UP000248481	Neomonachus schauinslandi (Hawaiian monk seal) (Monachus schauinslandi)	29088	31927
UP000248482	Enhydra lutris kenyoni (northern sea otter)	391180	32812
UP000248483	Delphinapterus leucas (Beluga whale)	9749	40685
UP000248484	Physeter macrocephalus (Sperm whale) (Physeter catodon)	9755	42599
UP000250572	Gambusia affinis (Western mosquitofish) (Heterandria affinis)	33528	19443
UP000252040	Neophocaena asiaeorientalis asiaeorientalis (Yangtze finless porpoise) (Neophocaena phocaenoides subsp. asiaeorientalis)	1706337	32061
UP000257200	Acanthochromis polyacanthus (spiny chromis)	80966	33479
UP000261340	Amphilophus citrinellus (Midas cichlid) (Cichlasoma citrinellum)	61819	31741
UP000261360	Seriola lalandi dorsalis	1841481	33056
UP000261380	Xiphophorus couchianus (Monterrey platyfish)	32473	28020
UP000261420	Seriola dumerili (Greater amberjack) (Caranx dumerili)	41447	32409
UP000261480	Poecilia mexicana	48701	33125
UP000261500	Poecilia latipinna (sailfin molly)	48699	30911
UP000261520	Periophthalmus magnuspinnatus	409849	30051
UP000261540	Paramormyrops kingsleyae	1676925	39949
UP000261560	Oryzias melastigma (Marine medaka)	30732	34855
UP000261580	Neolamprologus brichardi (Fairy cichlid) (Lamprologus brichardi)	32507	31886
UP000261600	Monopterus albus (Asian swamp eel) (Muraena alba)	43700	32112
UP000261620	Mola mola (Ocean sunfish) (Tetraodon mola)	94237	28962
UP000261640	Mastacembelus armatus (zig-zag eel)	205130	59113
UP000261660	Labrus bergylta (ballan wrasse)	56723	37792
UP000261680	Ursus maritimus (Polar bear) (Thalarctos maritimus)	29073	34868
UP000264800	Kryptolebias marmoratus (Mangrove killifish) (Rivulus marmoratus)	37003	29685
UP000264820	Hippocampus comes (Tiger tail seahorse)	109280	27735
UP000264840	Haplochromis burtoni (Burton's mouthbrooder) (Chromis burtoni)	8153	34332
UP000265000	Fundulus heteroclitus (Killifish) (Mummichog)	8078	33571
UP000265020	Cyprinodon variegatus (Sheepshead minnow)	28743	31881
UP000265040	Anabas testudineus (Climbing perch) (Anthias testudineus)	64144	64128
UP000265080	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	33681
UP000265100	Astatotilapia calliptera (Eastern river bream) (Chromis callipterus)	8154	74908
UP000265120	Cynoglossus semilaevis (Tongue sole)	244447	32408
UP000265140	Esox lucius (Northern pike)	8010	74441
UP000265160	Maylandia zebra (zebra mbuna)	106582	37294
UP000265300	Lipotes vexillifer (Yangtze river dolphin)	118797	24991
UP000269221	Hirundo rustica rustica	333673	34534
UP000269945	Gulo gulo (Wolverine) (Gluton)	48420	19667
UP000276834	Chloebia gouldiae (Gouldian finch) (Erythrura gouldiae)	44316	18274
UP000281406	Anabarilius grahami (Kanglang fish) (Barilius grahami)	495550	23663
UP000283210	Oryzias javanicus (Javanese ricefish) (Aplocheilus javanicus)	123683	21400
UP000286641	Callorhinus ursinus (Northern fur seal)	34884	45213
UP000287033	Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	137246	33497
UP000288216	Scyliorhinus torazame (Cloudy catshark) (Catulus torazame)	75743	27602
UP000289886	Acipenser ruthenus (Sterlet sturgeon) (Huso ruthenus)	7906	22004
UP000290572	Labeo rohita (Indian major carp) (Cyprinus rohita)	84645	32379
UP000291020	Gopherus agassizii (Agassiz's desert tortoise)	38772	31812
UP000291022	Ursus americanus (American black bear) (Euarctos americanus)	9643	32512
UP000295070	Perca flavescens (American yellow perch) (Morone flavescens)	8167	21644
UP000296049	Anas platyrhynchos (Mallard) (Anas boschas)	8839	16592
UP000297703	Platysternon megacephalum (big-headed turtle)	55544	21371
UP000298787	Collichthys lucidus (Big head croaker) (Sciaena lucida)	240159	27208
UP000299084	Camelus dromedarius (Dromedary) (Arabian camel)	9838	31080
UP000314980	Lates calcarifer (Barramundi) (Holocentrus calcarifer)	8187	57546
UP000314981	Bos indicus x Bos taurus (Hybrid cattle)	30522	42150
UP000314982	Hucho hucho (huchen)	62062	90501
UP000314983	Electrophorus electricus (Electric eel) (Gymnotus electricus)	8005	52901
UP000314986	Callorhinchus milii (Ghost shark)	7868	49246
UP000314987	Vombatus ursinus (Common wombat)	29139	31139
UP000316079	Danionella cerebrum	2873325	32815
UP000319801	Bagarius yarrelli (Goonch) (Bagrus yarrelli)	175774	17117
UP000322234	Bos mutus (wild yak)	72004	21168
UP000324632	Triplophysa tibetana	1572043	23866
UP000326062	Muntiacus reevesi (Reeves' muntjac) (Cervus reevesi)	9886	25423
UP000326458	Muntiacus muntjak (Barking deer) (Indian muntjac)	9888	24841
UP000327468	Pangasianodon hypophthalmus (Striped catfish) (Helicophagus hypophthalmus)	310915	21221
UP000327493	Etheostoma spectabile (orangethroat darter)	54343	18371
UP000335636	Marmota monax (Woodchuck)	9995	39793
UP000386466	Lynx pardinus (Iberian lynx) (Felis pardina)	191816	30929
UP000424527	Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea)	215358	23960
UP000437017	Balaenoptera physalus (Fin whale) (Balaena physalus)	9770	19643
UP000465112	Perca fluviatilis (European perch)	8168	24246
UP000472241	Lynx canadensis (Canada lynx) (Felis canadensis)	61383	35025
UP000472260	Sinocyclocheilus anshuiensis	1608454	100275
UP000472261	Phasianus colchicus (Common pheasant)	9054	25507
UP000472262	Sinocyclocheilus grahami (Dianchi golden-line fish) (Barbus grahami)	75366	102126
UP000472263	Myripristis murdjan (pinecone soldierfish)	586833	55953
UP000472264	Echeneis naucrates (Live sharksucker)	173247	54685
UP000472265	Sparus aurata (Gilthead sea bream)	8175	69199
UP000472267	Salarias fasciatus (Jewelled blenny) (Blennius fasciatus)	181472	55738
UP000472268	Suricata suricatta (Meerkat)	37032	37195
UP000472269	Athene cunicularia (Burrowing owl) (Speotyto cunicularia)	194338	22627
UP000472270	Sinocyclocheilus rhinocerous	307959	97522
UP000472271	Sphaeramia orbicularis (orbiculate cardinalfish)	375764	57747
UP000472272	Podarcis muralis (Wall lizard) (Lacerta muralis)	64176	36445
UP000472273	Pseudonaja textilis (Eastern brown snake)	8673	27546
UP000472274	Terrapene triunguis (Three-toed box turtle)	2587831	31610
UP000472276	Oreochromis aureus (Israeli tilapia) (Chromis aureus)	47969	47152
UP000472277	Salmo trutta (Brown trout)	8032	114756
UP000475037	Crocuta crocuta (Spotted hyena)	9678	16983
UP000503349	Channa argus (Northern snakehead) (Ophicephalus argus)	215402	22264
UP000504602	Geospiza fortis (Medium ground-finch)	48883	19288
UP000504611	Notothenia coriiceps (black rockcod)	8208	29852
UP000504612	Notechis scutatus (mainland tiger snake)	8663	26669
UP000504617	Thamnophis sirtalis	35019	22845
UP000504623	Chrysochloris asiatica (Cape golden mole)	185453	24871
UP000504624	Lepidothrix coronata (blue-crowned manakin)	321398	28808
UP000504627	Pipra filicauda (Wire-tailed manakin)	649802	29367
UP000504628	Phyllostomus discolor (pale spear-nosed bat)	89673	38708
UP000504630	Cottoperca gobio (Frogmouth) (Aphritis gobio)	56716	32803
UP000504632	Chanos chanos (Milkfish) (Mugil chanos)	29144	28969
UP000504639	Aythya fuligula (Tufted duck) (Anas fuligula)	219594	23986
UP000504640	Sapajus apella (Brown-capped capuchin) (Cebus apella)	9515	49214
UP000515126	Mus caroli (Ryukyu mouse) (Ricefield mouse)	10089	38135
UP000515129	Carassius auratus (Goldfish)	7957	82898
UP000515131	Puma concolor (Mountain lion) (Felis concolor)	9696	22782
UP000515140	Phascolarctos cinereus (Koala)	38626	37507
UP000515145	Parambassis ranga (Indian glassy fish)	210632	35462
UP000515150	Betta splendens (Siamese fighting fish)	158456	43456
UP000515152	Clupea harengus (Atlantic herring)	7950	40751
UP000515156	Microcaecilia unicolor	1415580	30222
UP000515159	Geotrypetes seraphini (Gaboon caecilian) (Caecilia seraphini)	260995	38603
UP000515161	Gymnodraco acuticeps (Antarctic dragonfish)	8218	39778
UP000515165	Zalophus californianus (California sealion)	9704	47365
UP000515202	Pteropus vampyrus (Large flying fox)	132908	34712
UP000515203	Octodon degus (Degu) (Sciurus degus)	10160	35368
UP000515208	Bison bison bison (North American plains bison)	43346	29505
UP000516260	Takifugu bimaculatus	433685	19991
UP000516988	Steatornis caripensis (Oilbird)	48435	14501
UP000517678	Cnemophilus loriae (Loria's bird-of-paradise)	254448	14099
UP000517892	Centropus unirufus	1118519	13993
UP000518266	Dissostichus mawsoni (Antarctic cod)	36200	29104
UP000518305	Hemiprocne comata	243314	13784
UP000518911	Atlantisia rogersi (Inaccessible Island rail)	2478892	13649
UP000519115	Spizaetus tyrannus (black hawk-eagle)	252798	14343
UP000519225	Pluvianellus socialis (Magellanic plover)	227228	14306
UP000519239	Ceuthmochares aereus	1961834	12202
UP000519684	Catharus fuscescens (Veery) (Turdus fuscescens)	159581	13906
UP000520463	Formicarius rufipectus	1118560	13577
UP000520535	Brachypteracias leptosomus (short-legged ground-roller)	135165	13408
UP000520962	Piprites chloris (Wing-barred manakin)	114369	14125
UP000521322	Dasyornis broadbenti (rufous bristle-bird)	243059	14364
UP000521525	Agelaius phoeniceus (Red-winged blackbird) (Oriolus phoeniceus)	39638	14089
UP000521578	Menura novaehollandiae (superb lyrebird)	47692	14416
UP000522270	Pterocles burchelli	2585816	13839
UP000522331	Leucopsar rothschildi (Bali myna) (Rothschild's mynah)	127929	13433
UP000522663	Odontophorus gujanensis (marbled wood quail)	886794	13809
UP000523146	Toxostoma redivivum (California thrasher)	99882	14127
UP000523279	Dicaeum eximium	667154	13622
UP000524007	Leiothrix lutea (Red-billed leiothrix) (Sylvia lutea)	36275	13253
UP000524187	Casuarius casuarius (Southern cassowary) (Struthio casuarius)	8787	13719
UP000524451	Cettia cetti	68486	14828
UP000524542	Urocynchramus pylzowi	571890	13671
UP000524558	Chroicocephalus maculipennis (Brown-hooded gull) (Larus maculipennis)	287016	13922
UP000525089	Pachyramphus minor	369605	13717
UP000525158	Smutsornis africanus (Double-banded courser) (Rhinoptilus africanus)	240209	13665
UP000525205	Cochlearius cochlearius (Boat-billed heron)	110676	14058
UP000525319	Drymodes brunneopygia	626378	13533
UP000525416	Rynchops niger (Black skimmer)	227184	14305
UP000525565	Asarcornis scutulata	75869	14696
UP000525714	Mionectes macconnelli (McConnell's flycatcher)	254557	14138
UP000526602	Orthonyx spaldingii (Chowchilla)	38397	14263
UP000526889	Edolisoma coerulescens	2585810	13645
UP000526942	Corythaixoides concolor (Grey go-away-bird)	103956	14210
UP000527178	Hippolais icterina (icterine warbler)	68497	13629
UP000527232	Oceanodroma tethys (Wedge-rumped storm-petrel) (Hydrobates tethys)	79633	13990
UP000527355	Myotis myotis (Greater mouse-eared bat) (Vespertilio myotis)	51298	45799
UP000528411	Balaeniceps rex (Shoebill)	33584	12216
UP000528690	Anhinga rufa (African darter)	317792	10475
UP000529728	Regulus satrapa (Golden-crowned kinglet)	13245	12984
UP000529852	Furnarius figulus	463165	13848
UP000529965	Erithacus rubecula (European robin)	37610	13660
UP000530263	Columbina picui (Picui ground-dove)	115618	12280
UP000530962	Irena cyanogastra (Philippine fairy-bluebird)	175120	14199
UP000531151	Geococcyx californianus (Greater roadrunner) (Saurothera californiana)	8947	13463
UP000531168	Amazona guildingii	175529	14181
UP000531559	Nothocercus julius	2585813	13353
UP000531938	Nothoprocta ornata	83376	13721
UP000532252	Motacilla alba (White wagtail) (Pied wagtail)	45807	13502
UP000532437	Erythrocercus mccallii	107208	14010
UP000532545	Bombycilla garrulus (Bohemian waxwing) (Lanius garrulus)	125297	13775
UP000532908	Stercorarius parasiticus (Parasitic jaeger) (Arctic skua)	54059	13851
UP000533896	Lophotis ruficrista	172689	13899
UP000533954	Eudromia elegans (Elegant crested-tinamou)	8805	13636
UP000534107	Bucco capensis (collared puffbird)	135168	14383
UP000534407	Oriolus oriolus (Eurasian golden oriole) (Coracias oriolus)	181099	13920
UP000534426	Crypturellus undulatus	48396	14020
UP000534626	Falcunculus frontatus (Eastern shriketit)	254539	14436
UP000534634	Illadopsis cleaveri (blackcap illadopsis)	201329	13397
UP000534930	Myiagra hebetior	381031	13880
UP000535403	Calonectris borealis (Cory's shearwater)	1323832	14417
UP000535478	Uria aalge (Common mure) (Colymbus aalge)	13746	14163
UP000535705	Pycnonotus jocosus (Red-whiskered bulbul) (Lanius jocosus)	182897	13881
UP000536033	Alca torda (Razorbill)	28689	13958
UP000536092	Certhia brachydactyla (short-toed tree-creeper)	73330	13859
UP000536260	Syrrhaptes paradoxus (Pallas's sandgrouse)	302527	13505
UP000536381	Semnornis frantzii	91796	10801
UP000537039	Ciconia maguari	52777	13285
UP000537234	Dicrurus megarhynchus	450177	14215
UP000537522	Chauna torquata (Southern screamer)	30388	13466
UP000537747	Mystacornis crossleyi	98133	10563
UP000537779	Tyrannus savana (Fork-tailed flycatcher) (Muscivora tyrannus)	137541	13553
UP000538472	Nyctibius bracteatus (Rufous potoo)	48426	13937
UP000538515	Sylvia borin (Garden warbler) (Motacilla borin)	73324	13496
UP000538725	Melanocharis versteri (Fan-tailed berrypecker)	254552	13955
UP000538817	Nothoprocta pentlandii	2585814	13401
UP000539032	Scopus umbretta (Hammerkop)	33581	12270
UP000539599	Sagittarius serpentarius (Secretary bird)	56258	12811
UP000539920	Ploceus nigricollis	441696	13506
UP000540071	Poecile atricapillus (Black-capped chickadee) (Parus atricapillus)	48891	14163
UP000540089	Rissa tridactyla (Black-legged kittiwake) (Larus tridactyla)	75485	14770
UP000540150	Eulacestoma nigropectus (wattled ploughbill)	461239	14287
UP000540762	Brachypodius melanocephalos (black-headed bulbul)	3235156	12859
UP000540952	Tachuris rubrigastra	495162	14316
UP000541181	Chunga burmeisteri (Black-legged seriema)	1352770	14396
UP000541249	Eurystomus gularis	325343	13936
UP000541332	Pampusana beccarii (Western bronze ground-dove)	2953425	14573
UP000541605	Chaetorhynchus papuensis (pygmy drongo)	254446	14303
UP000541811	Arenaria interpres (Ruddy turnstone) (Tringa interpres)	54971	13845
UP000542358	Oreocharis arfaki (tit berrypecker)	979223	13980
UP000542434	Ciccaba nigrolineata	1118524	13820
UP000542689	Ifrita kowaldi (blue-capped ifrita)	461245	14004
UP000543364	Cephalopterus ornatus (Amazonian umbrellabird)	114276	13893
UP000544127	Upupa epops (Eurasian hoopoe)	57439	13728
UP000545329	Erpornis zantholeuca	1112836	13291
UP000545332	Crypturellus soui	458187	14071
UP000545435	Rostratula benghalensis (greater painted-snipe)	118793	14195
UP000545574	Panurus biarmicus (Bearded tit)	181101	12783
UP000546235	Caloenas nicobarica (Nicobar pigeon)	187106	14055
UP000546986	Cisticola juncidis	52622	13372
UP000547499	Lanius ludovicianus (Loggerhead shrike)	28713	13675
UP000547721	Ptilorrhoa leucosticta	449384	13491
UP000548317	Struthidea cinerea	181839	14122
UP000549091	Nesospiza acunhae	381881	14047
UP000549157	Zosterops hypoxanthus	2485327	13698
UP000549499	Crotophaga sulcirostris (Groove-billed ani)	33598	13847
UP000549775	Acrocephalus arundinaceus (Great reed-warbler)	39621	13628
UP000550059	Setophaga kirtlandii (Kirtland's warbler) (Dendroica kirtlandii)	298831	13871
UP000550086	Jacana jacana (Wattled jacana) (Parra jacana)	54508	13209
UP000550309	Onychorhynchus coronatus (Royal flycatcher)	360224	14340
UP000550660	Trogon melanurus (Black-tailed trogon)	56311	14123
UP000550707	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	27622	53557
UP000551127	Bucorvus abyssinicus (Northern ground-hornbill) (Abyssinian ground-hornbill)	153643	14386
UP000551443	Xiphorhynchus elegans (elegant woodcreeper)	269412	13517
UP000551758	Diceros bicornis minor (South-central black rhinoceros)	77932	19602
UP000551823	Nyctiprogne leucopyga	382315	13366
UP000552319	Quiscalus mexicanus (Great-tailed grackle) (Cassidix mexicanus)	64278	13590
UP000553648	Serilophus lunatus (silver-breasted broadbill)	239386	14091
UP000553798	Prunella fulvescens (Brown accentor)	670355	13347
UP000553862	Molothrus ater (Brown-headed cowbird)	84834	15960
UP000554720	Anthoscopus minutus (Southern penduline-tit)	156561	13552
UP000555275	Podilymbus podiceps (Pied-billed grebe)	9252	14192
UP000555367	Pelecanoides urinatrix (Common diving petrel) (Procellaria urinatrix)	37079	14741
UP000555649	Herpetotheres cachinnans (Laughing falcon) (Falco cachinnans)	56343	14321
UP000556165	Phaetusa simplex (large-billed tern)	297813	13248
UP000556200	Neopipo cinnamomea	456388	13978
UP000556761	Thalassarche chlororhynchos (Atlantic yellow-nosed albatross) (Diomedea chlororhynchos)	54017	11811
UP000557196	Aleadryas rufinucha (rufous-naped whistler)	461220	13884
UP000557230	Indicator maculatus (spotted honeyguide)	545262	13941
UP000557268	Hylia prasina (green hylia)	208073	13444
UP000557271	Chionis minor (Black-faced sheathbill)	227182	14280
UP000557315	Daphoenositta chrysoptera (varied sittella)	254528	13857
