upid	organism	taxid	group	kingdom	phylum	class	order	n_itpr	accession	protein_count	seq_length	n_pi_plc	n_plc_x	n_plc_y	plc_status	core_n_ref	core_n_covered	core_coverage	core_identity	pore_n_ref	pore_n_covered	pore_coverage	pore_identity	delta_core_minus_pore	in_test	drop_reason
UP000015102	Megaselia scalaris (Humpbacked fly) (Phora scalaris)	36166	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	4	T1GHV6	11463	1081	0	1	1	absent	304	0	0.0		238	0	0.0			False	core coverage below 0.5
UP000015103	Rhodnius prolixus (Triatomid bug)	13249	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hemiptera	1	T1HK15	14974	2715	3	4	4	present	304	293	0.9638	0.5973	238	238	1.0	0.6303	-0.033	True	
UP000015104	Tetranychus urticae (Two-spotted spider mite)	32264	metazoa_nonvert	Metazoa	Arthropoda	Arachnida	Trombidiformes	1	T1KF94	17526	2754	6	6	6	present	304	272	0.8947	0.4081	238	233	0.979	0.4678	-0.0597	True	
UP000019118	Dendroctonus ponderosae (Mountain pine beetle)	77166	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Coleoptera	1	A0AAR5PI72	17726	2716	7	7	8	present	304	287	0.9441	0.5784	238	238	1.0	0.6218	-0.0434	True	
UP000024404	Onchocerca volvulus	6282	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A8R1TU45	12223	2870	7	8	7	present	304	280	0.9211	0.4214	238	238	1.0	0.4916	-0.0702	True	
UP000024635	Ancylostoma ceylanicum	53326	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	2	A0A016VX80	65375	2012	4	6	6	present	304	299	0.9836	0.4348	238	6	0.0252	0.8333		False	pore coverage below 0.5
UP000025227	Haemonchus contortus (Barber pole worm)	6289	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A7I4YKH1	20964	2834	5	5	5	present	304	301	0.9901	0.4219	238	238	1.0	0.4874	-0.0655	True	
UP000030665	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	36087	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Trichinellida	1	A0A077YYA4	9624	2639	3	3	3	present	304	295	0.9704	0.4475	238	162	0.6807	0.5864	-0.1389	True	
UP000030746	Lottia gigantea (Giant owl limpet)	225164	metazoa_nonvert	Metazoa	Mollusca	Gastropoda		4	V4BA02	23675	1271	5	6	6	present	304	0	0.0		238	238	1.0	0.6218		False	core coverage below 0.5
UP000030765	Anopheles sinensis (Mosquito)	74873	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A084W6J0	19343	2987	4	4	4	present	304	293	0.9638	0.5563	238	238	1.0	0.6092	-0.0529	True	
UP000031036	Toxocara canis (Canine roundworm)	6265	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A0B2VE71	18499	3051	8	10	9	present	304	291	0.9572	0.4227	238	230	0.9664	0.5435	-0.1208	True	
UP000035642	Angiostrongylus cantonensis (Rat lungworm)	6313	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	5	A0A158PCK9	14504	567	1	5	3	present	304	103	0.3388	0.4757	238	0	0.0			False	core coverage below 0.5
UP000035680	Strongyloides venezuelensis (Threadworm)	75913	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A0K0EWY3	16624	2987	7	7	7	present	304	302	0.9934	0.3974	238	236	0.9916	0.5212	-0.1238	True	
UP000035681	Strongyloides stercoralis (Threadworm)	6248	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A913HZP3	15552	2976	9	9	9	present	304	299	0.9836	0.3946	238	235	0.9874	0.5064	-0.1118	True	
UP000035682	Strongyloides ratti (Parasitic roundworm)	34506	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A090KQI1	12456	2979	7	7	7	present	304	298	0.9803	0.4027	238	237	0.9958	0.5021	-0.0994	True	
UP000036403	Lasius niger (Black garden ant)	67767	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	2	A0A0J7NVA4	18044	1489	3	4	4	present	304	291	0.9572	0.5945	238	0	0.0			False	pore coverage below 0.5
UP000037069	Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)	7375	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A0L0CKU0	14353	2810	2	3	2	present	304	302	0.9934	0.5762	238	238	1.0	0.6303	-0.0541	True	
UP000037510	Operophtera brumata (Winter moth) (Phalaena brumata)	104452	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Lepidoptera	1	A0A0L7LRU7	16814	784	2	5	4	present	304	192	0.6316	0.5625	238	0	0.0			False	pore coverage below 0.5
UP000038045	Parastrongyloides trichosuri (Possum-specific nematode worm)	131310	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A0N4ZIS5	14892	2933	7	7	7	present	304	302	0.9934	0.3907	238	238	1.0	0.4874	-0.0967	True	
UP000046392	Strongyloides papillosus (Intestinal threadworm)	174720	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A0N5C5P1	18232	2898	7	7	7	present	304	302	0.9934	0.3874	238	237	0.9958	0.4979	-0.1105	True	
UP000046393	Syphacia muris	451379	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A158R5B0	11114	2880	6	8	7	present	304	302	0.9934	0.4106	238	237	0.9958	0.4852	-0.0746	True	
UP000046395	Trichuris muris (Mouse whipworm)	70415	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Trichinellida	1	A0A5S6QTU2	13960	2668	3	3	3	present	304	298	0.9803	0.443	238	238	1.0	0.4706	-0.0276	True	
UP000050640	Elaeophora elaphi	1147741	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A158Q836	10407	2839	7	7	7	present	304	292	0.9605	0.4281	238	238	1.0	0.5084	-0.0803	True	
UP000050741	Globodera pallida (Potato cyst nematode worm) (Heterodera pallida)	36090	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A183CC87	16295	3298	5	5	6	present	304	298	0.9803	0.4295	238	233	0.979	0.5279	-0.0984	True	
UP000050792	Schistosoma rodhaini	6188	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Strigeidida	1	A0AA85FYS4	19435	2938	2	2	2	present	304	286	0.9408	0.4056	238	238	1.0	0.458	-0.0524	True	
UP000050794	Toxocara canis (Canine roundworm)	6265	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	2	A0A183UJY7	20249	1662	7	9	9	present	304	0	0.0		238	221	0.9286	0.5294		False	core coverage below 0.5
UP000050795	Trichobilharzia regenti (Nasal bird schistosome)	157069	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Strigeidida	5	A0AA85ITV4	20231	3002	1	2	1	present	304	276	0.9079	0.4167	238	228	0.958	0.4868	-0.0701	True	
UP000051574	Oryctes borbonicus	1629725	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Coleoptera	1	A0A0T6ATW9	8820	2034	3	4	4	present	304	0	0.0		238	238	1.0	0.6008		False	core coverage below 0.5
UP000053097	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	2015173	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A026VT77	16497	2719	5	5	5	present	304	291	0.9572	0.5945	238	238	1.0	0.6261	-0.0316	True	
UP000053105	Melipona quadrifasciata	166423	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A0N0BFT7	14253	2689	4	4	4	present	304	192	0.6316	0.6302	238	224	0.9412	0.5938	0.0364	True	
UP000053240	Papilio machaon (Old World swallowtail butterfly)	76193	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Lepidoptera	1	A0A0N1IGP3	15461	2911	4	4	4	present	304	237	0.7796	0.5823	238	237	0.9958	0.5738	0.0085	True	
UP000053268	Papilio xuthus (Asian swallowtail butterfly)	66420	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Lepidoptera	2	A0A0N1PF50	15265	2362	3	4	5	present	304	171	0.5625	0.5205	238	237	0.9958	0.5738	-0.0533	True	
UP000053660	Oesophagostomum dentatum (Nodular worm)	61180	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	2	A0A0B1S7M8	25133	579	2	7	5	present	304	301	0.9901	0.4252	238	0	0.0			False	pore coverage below 0.5
UP000053676	Necator americanus (Human hookworm)	51031	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	3	W2SI90	19125	1488	2	5	2	present	304	295	0.9704	0.4305	238	2	0.0084	1.0		False	pore coverage below 0.5
UP000053766	Dictyocaulus viviparus (Bovine lungworm)	29172	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	2	A0A0D8XX81	14161	1970	2	5	5	present	304	278	0.9145	0.4245	238	0	0.0			False	pore coverage below 0.5
UP000053825	Habropoda laboriosa	597456	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A0L7R9I1	12781	2988	5	5	5	present	304	291	0.9572	0.6082	238	238	1.0	0.6092	-0.001	True	
UP000054047	Ancylostoma duodenale	51022	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	4	A0A0C2GMK5	27403	1003	1	5	5	present	304	0	0.0		238	238	1.0	0.5		False	core coverage below 0.5
UP000054324	Opisthorchis viverrini (Southeast Asian liver fluke)	6198	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Opisthorchiida	1	A0A074Z731	16307	2826	2	2	2	present	304	277	0.9112	0.4368	238	237	0.9958	0.4304	0.0064	True	
UP000054359	Stegodyphus mimosarum (African social velvet spider)	407821	metazoa_nonvert	Metazoa	Arthropoda	Arachnida	Araneae	4	A0A087UUA3	27009	290	4	8	10	present	304	0	0.0		238	0	0.0			False	core coverage below 0.5
UP000054495	Ancylostoma ceylanicum	53326	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	3	A0A0D6MBX8	15861	1418	4	5	5	present	304	301	0.9901	0.4352	238	0	0.0			False	pore coverage below 0.5
UP000054630	Trichinella nelsoni	6336	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Trichinellida	1	A0A0V0SN43	16597	2735	5	5	5	present	304	301	0.9901	0.4219	238	235	0.9874	0.4681	-0.0462	True	
UP000054653	Trichinella britovi (Parasitic roundworm)	45882	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Trichinellida	1	A0A0V1CWN1	19931	2701	4	4	4	present	304	301	0.9901	0.4219	238	235	0.9874	0.4426	-0.0207	True	
UP000054721	Trichinella nativa	6335	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Trichinellida	1	A0A0V1LAA3	16771	2706	5	5	5	present	304	301	0.9901	0.4219	238	235	0.9874	0.4426	-0.0207	True	
UP000054776	Trichinella spiralis (Trichina worm)	6334	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Trichinellida	1	A0A0V1C2W0	18572	2753	5	5	5	present	304	301	0.9901	0.4219	238	235	0.9874	0.4638	-0.0419	True	
UP000054783	Trichinella patagoniensis	990121	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Trichinellida	1	A0A0V1A3Q0	18337	2706	5	5	5	present	304	301	0.9901	0.4219	238	235	0.9874	0.4426	-0.0207	True	
UP000054805	Trichinella pseudospiralis (Parasitic roundworm)	6337	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Trichinellida	1	A0A0V1IZL4	16171	2748	5	5	5	present	304	301	0.9901	0.4252	238	235	0.9874	0.4638	-0.0386	True	
UP000054843	Trichinella papuae	268474	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Trichinellida	1	A0A0V1MT52	15285	2721	5	5	5	present	304	299	0.9836	0.4381	238	235	0.9874	0.4468	-0.0087	True	
UP000054995	Trichinella pseudospiralis (Parasitic roundworm)	6337	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Trichinellida	1	A0A0V1FR27	14319	2747	5	5	5	present	304	301	0.9901	0.4252	238	235	0.9874	0.4638	-0.0386	True	
UP000055024	Trichinella zimbabwensis	268475	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Trichinellida	1	A0A0V1HGL2	18195	2707	4	4	4	present	304	276	0.9079	0.4275	238	235	0.9874	0.4723	-0.0448	True	
UP000055048	Trichinella murrelli	144512	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Trichinellida	1	A0A0V0U3U1	17983	2695	4	4	4	present	304	301	0.9901	0.4219	238	235	0.9874	0.4426	-0.0207	True	
UP000069272	Anopheles albimanus (New world malaria mosquito)	7167	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A182FDY1	12489	3200	3	3	3	present	304	291	0.9572	0.5773	238	238	1.0	0.6134	-0.0361	True	
UP000070412	Sarcoptes scabiei (Itch mite) (Acarus scabiei)	52283	metazoa_nonvert	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	1	A0A834RG89	9161	3237	5	6	5	present	304	290	0.9539	0.5586	238	238	1.0	0.6429	-0.0843	True	
UP000075809	Mycetomoellerius zeteki	64791	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A151WNH1	14302	3266	4	5	4	present	304	291	0.9572	0.6048	238	238	1.0	0.6261	-0.0213	True	
UP000075840	Anopheles arabiensis (Mosquito)	7173	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A182I460	13818	3096	4	4	4	present	304	291	0.9572	0.5704	238	238	1.0	0.6092	-0.0388	True	
UP000075880	Anopheles atroparvus (European mosquito)	41427	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0AAG5DBZ0	15529	3028	4	4	4	present	304	291	0.9572	0.5704	238	238	1.0	0.6092	-0.0388	True	
UP000075881	Anopheles christyi	43041	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	2	A0A182K7K4	10929	2054	3	3	4	present	304	0	0.0		238	238	1.0	0.6092		False	core coverage below 0.5
UP000075883	Anopheles culicifacies	139723	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A182MHW8	14342	3012	3	5	4	present	304	291	0.9572	0.5773	238	238	1.0	0.605	-0.0277	True	
UP000075884	Anopheles dirus	7168	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A182NJ16	13101	3155	4	4	4	present	304	291	0.9572	0.5808	238	238	1.0	0.605	-0.0242	True	
UP000075885	Anopheles epiroticus	199890	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	2	A0A182PPG3	11991	2373	4	4	4	present	304	0	0.0		238	238	1.0	0.6092		False	core coverage below 0.5
UP000075886	Anopheles farauti	69004	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A182Q3P2	13014	3134	4	4	4	present	304	291	0.9572	0.5704	238	237	0.9958	0.6076	-0.0372	True	
UP000075901	Anopheles maculatus	74869	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	4	A0A182S998	14865	564	2	4	4	present	304	293	0.9638	0.5631	238	0	0.0			False	pore coverage below 0.5
