group	upid	organism	taxid	protein_count	n_plc_x_only_domain	n_plc_y_only_domain	n_pi_plc	plc_status
vertebrata	UP000054116	Cariama cristata (Red-legged seriema)	54380	8694	10	11	10	present
vertebrata	UP000054150	Pelecanus crispus (Dalmatian pelican)	36300	8686	11	12	11	present
vertebrata	UP000054190	Tyto alba (Barn owl)	56313	9263	8	10	8	present
vertebrata	UP000054232	Eurypyga helias (Sunbittern) (Ardea helias)	54383	7979	8	11	8	present
vertebrata	UP000054244	Apaloderma vittatum (Bar-tailed trogon)	57397	7903	8	8	8	present
vertebrata	UP000054308	Calypte anna (Anna's hummingbird) (Archilochus anna)	9244	13267	11	11	10	present
vertebrata	UP000054313	Gavia stellata (Red-throated diver) (Colymbus stellatus)	37040	7730	7	9	7	present
vertebrata	UP000081671	Dipodomys ordii (Ord's kangaroo rat)	10020	26496	15	14	14	present
vertebrata	UP000092124	Neotoma lepida (Desert woodrat)	56216	24274	14	14	11	present
vertebrata	UP000186698	Xenopus laevis (African clawed frog)	8355	62027	32	32	32	present
vertebrata	UP000189704	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	1868482	30230	15	15	15	present
vertebrata	UP000189705	Alligator sinensis (Chinese alligator)	38654	34855	16	16	16	present
vertebrata	UP000190648	Patagioenas fasciata monilis	372326	24737	16	16	16	present
vertebrata	UP000192220	Austrofundulus limnaeus (Annual killifish)	52670	32322	24	23	22	present
vertebrata	UP000197619	Lonchura striata (white-rumped munia)	40157	15252	16	16	16	present
vertebrata	UP000198323	Callipepla squamata (Scaled quail)	9009	16973	16	16	15	present
vertebrata	UP000221080	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	7998	42996	20	20	20	present
vertebrata	UP000228934	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	8400	25491	6	9	5	present
vertebrata	UP000233020	Aotus nancymaae (Ma's night monkey)	37293	41725	15	15	15	present
vertebrata	UP000233060	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	9531	45022	15	15	15	present
vertebrata	UP000233080	Colobus angolensis palliatus (Peters' Angolan colobus)	336983	40241	15	15	15	present
vertebrata	UP000233100	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	9541	50204	16	16	16	present
vertebrata	UP000233120	Macaca nemestrina (Pig-tailed macaque)	9545	45001	15	15	15	present
vertebrata	UP000233140	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	9568	40661	15	15	15	present
vertebrata	UP000233160	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	379532	32113	15	15	15	present
vertebrata	UP000233180	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	61621	42660	15	15	15	present
vertebrata	UP000233200	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	61622	44576	15	15	15	present
vertebrata	UP000233220	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	39432	39640	15	15	15	present
vertebrata	UP000233556	Limosa lapponica baueri	1758121	22950	13	10	10	present
vertebrata	UP000237246	Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica)	9083	17669	10	9	7	present
vertebrata	UP000240080	Pan paniscus (Pygmy chimpanzee) (Bonobo)	9597	42996	15	15	15	present
vertebrata	UP000242450	Cervus elaphus hippelaphus (Central European red deer)	46360	19232	10	11	9	present
vertebrata	UP000242638	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	33943	24	23	23	present
vertebrata	UP000245320	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	9739	50385	15	15	15	present
vertebrata	UP000245340	Odobenus rosmarus divergens (Pacific walrus)	9708	25136	14	14	14	present
vertebrata	UP000245341	Leptonychotes weddellii (Weddell seal) (Otaria weddellii)	9713	34127	16	15	11	present
vertebrata	UP000246464	Scophthalmus maximus (Turbot) (Psetta maxima)	52904	24929	23	22	22	present
vertebrata	UP000248480	Trichechus manatus latirostris (Florida manatee)	127582	31514	15	15	15	present
vertebrata	UP000248481	Neomonachus schauinslandi (Hawaiian monk seal) (Monachus schauinslandi)	29088	31927	15	15	15	present
vertebrata	UP000248482	Enhydra lutris kenyoni (northern sea otter)	391180	32812	15	15	15	present
vertebrata	UP000248483	Delphinapterus leucas (Beluga whale)	9749	40685	15	15	15	present
vertebrata	UP000248484	Physeter macrocephalus (Sperm whale) (Physeter catodon)	9755	42599	15	15	15	present
vertebrata	UP000250572	Gambusia affinis (Western mosquitofish) (Heterandria affinis)	33528	19443	22	20	17	present
vertebrata	UP000252040	Neophocaena asiaeorientalis asiaeorientalis (Yangtze finless porpoise) (Neophocaena phocaenoides subsp. asiaeorientalis)	1706337	32061	15	15	15	present
vertebrata	UP000257200	Acanthochromis polyacanthus (spiny chromis)	80966	33479	25	23	21	present
vertebrata	UP000261340	Amphilophus citrinellus (Midas cichlid) (Cichlasoma citrinellum)	61819	31741	24	23	23	present
vertebrata	UP000261360	Seriola lalandi dorsalis	1841481	33056	24	22	22	present
vertebrata	UP000261380	Xiphophorus couchianus (Monterrey platyfish)	32473	28020	19	18	16	present
vertebrata	UP000261420	Seriola dumerili (Greater amberjack) (Caranx dumerili)	41447	32409	25	23	23	present
vertebrata	UP000261480	Poecilia mexicana	48701	33125	25	22	21	present
vertebrata	UP000261500	Poecilia latipinna (sailfin molly)	48699	30911	26	24	24	present
vertebrata	UP000261520	Periophthalmus magnuspinnatus	409849	30051	18	14	14	present
vertebrata	UP000261540	Paramormyrops kingsleyae	1676925	39949	25	22	22	present
vertebrata	UP000261560	Oryzias melastigma (Marine medaka)	30732	34855	25	23	23	present
vertebrata	UP000261580	Neolamprologus brichardi (Fairy cichlid) (Lamprologus brichardi)	32507	31886	23	20	18	present
vertebrata	UP000261600	Monopterus albus (Asian swamp eel) (Muraena alba)	43700	32112	24	22	21	present
vertebrata	UP000261620	Mola mola (Ocean sunfish) (Tetraodon mola)	94237	28962	23	23	22	present
vertebrata	UP000261640	Mastacembelus armatus (zig-zag eel)	205130	59113	25	23	23	present
vertebrata	UP000261660	Labrus bergylta (ballan wrasse)	56723	37792	23	22	22	present
vertebrata	UP000261680	Ursus maritimus (Polar bear) (Thalarctos maritimus)	29073	34868	15	15	15	present
vertebrata	UP000264800	Kryptolebias marmoratus (Mangrove killifish) (Rivulus marmoratus)	37003	29685	25	23	23	present
vertebrata	UP000264820	Hippocampus comes (Tiger tail seahorse)	109280	27735	23	22	21	present
vertebrata	UP000264840	Haplochromis burtoni (Burton's mouthbrooder) (Chromis burtoni)	8153	34332	22	21	21	present
vertebrata	UP000265000	Fundulus heteroclitus (Killifish) (Mummichog)	8078	33571	20	20	19	present
vertebrata	UP000265020	Cyprinodon variegatus (Sheepshead minnow)	28743	31881	24	23	23	present
vertebrata	UP000265040	Anabas testudineus (Climbing perch) (Anthias testudineus)	64144	64128	23	22	22	present
vertebrata	UP000265080	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	33681	22	22	20	present
vertebrata	UP000265100	Astatotilapia calliptera (Eastern river bream) (Chromis callipterus)	8154	74908	24	23	22	present
vertebrata	UP000265120	Cynoglossus semilaevis (Tongue sole)	244447	32408	26	22	22	present
vertebrata	UP000265140	Esox lucius (Northern pike)	8010	74441	28	24	24	present
vertebrata	UP000265160	Maylandia zebra (zebra mbuna)	106582	37294	24	22	21	present
vertebrata	UP000265300	Lipotes vexillifer (Yangtze river dolphin)	118797	24991	15	15	15	present
vertebrata	UP000269221	Hirundo rustica rustica	333673	34534	19	19	18	present
vertebrata	UP000269945	Gulo gulo (Wolverine) (Gluton)	48420	19667	0	0	0	absent
vertebrata	UP000276834	Chloebia gouldiae (Gouldian finch) (Erythrura gouldiae)	44316	18274	16	16	16	present
vertebrata	UP000281406	Anabarilius grahami (Kanglang fish) (Barilius grahami)	495550	23663	20	16	15	present
vertebrata	UP000283210	Oryzias javanicus (Javanese ricefish) (Aplocheilus javanicus)	123683	21400	21	20	20	present
vertebrata	UP000286641	Callorhinus ursinus (Northern fur seal)	34884	45213	15	15	15	present
vertebrata	UP000287033	Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	137246	33497	18	17	14	present
vertebrata	UP000288216	Scyliorhinus torazame (Cloudy catshark) (Catulus torazame)	75743	27602	17	16	12	present
vertebrata	UP000289886	Acipenser ruthenus (Sterlet sturgeon) (Huso ruthenus)	7906	22004	23	23	19	present
vertebrata	UP000290572	Labeo rohita (Indian major carp) (Cyprinus rohita)	84645	32379	23	22	19	present
vertebrata	UP000291020	Gopherus agassizii (Agassiz's desert tortoise)	38772	31812	15	15	15	present
vertebrata	UP000291022	Ursus americanus (American black bear) (Euarctos americanus)	9643	32512	13	15	13	present
vertebrata	UP000295070	Perca flavescens (American yellow perch) (Morone flavescens)	8167	21644	24	19	18	present
vertebrata	UP000296049	Anas platyrhynchos (Mallard) (Anas boschas)	8839	16592	9	9	9	present
vertebrata	UP000297703	Platysternon megacephalum (big-headed turtle)	55544	21371	16	16	15	present
vertebrata	UP000298787	Collichthys lucidus (Big head croaker) (Sciaena lucida)	240159	27208	30	28	28	present
vertebrata	UP000299084	Camelus dromedarius (Dromedary) (Arabian camel)	9838	31080	13	12	11	present
vertebrata	UP000314980	Lates calcarifer (Barramundi) (Holocentrus calcarifer)	8187	57546	24	21	21	present
vertebrata	UP000314981	Bos indicus x Bos taurus (Hybrid cattle)	30522	42150	15	15	15	present
vertebrata	UP000314982	Hucho hucho (huchen)	62062	90501	42	41	37	present
vertebrata	UP000314983	Electrophorus electricus (Electric eel) (Gymnotus electricus)	8005	52901	20	19	19	present
vertebrata	UP000314986	Callorhinchus milii (Ghost shark)	7868	49246	17	14	13	present
vertebrata	UP000314987	Vombatus ursinus (Common wombat)	29139	31139	15	15	15	present
vertebrata	UP000316079	Danionella cerebrum	2873325	32815	21	20	19	present
vertebrata	UP000319801	Bagarius yarrelli (Goonch) (Bagrus yarrelli)	175774	17117	20	20	18	present
vertebrata	UP000322234	Bos mutus (wild yak)	72004	21168	15	15	15	present
vertebrata	UP000324632	Triplophysa tibetana	1572043	23866	23	19	19	present
vertebrata	UP000326062	Muntiacus reevesi (Reeves' muntjac) (Cervus reevesi)	9886	25423	15	15	15	present
vertebrata	UP000326458	Muntiacus muntjak (Barking deer) (Indian muntjac)	9888	24841	15	15	15	present
vertebrata	UP000327468	Pangasianodon hypophthalmus (Striped catfish) (Helicophagus hypophthalmus)	310915	21221	21	20	20	present
vertebrata	UP000327493	Etheostoma spectabile (orangethroat darter)	54343	18371	20	20	17	present
vertebrata	UP000335636	Marmota monax (Woodchuck)	9995	39793	14	12	11	present
vertebrata	UP000386466	Lynx pardinus (Iberian lynx) (Felis pardina)	191816	30929	15	14	14	present
vertebrata	UP000424527	Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea)	215358	23960	24	22	21	present
vertebrata	UP000437017	Balaenoptera physalus (Fin whale) (Balaena physalus)	9770	19643	13	14	13	present
vertebrata	UP000465112	Perca fluviatilis (European perch)	8168	24246	23	21	21	present
vertebrata	UP000472241	Lynx canadensis (Canada lynx) (Felis canadensis)	61383	35025	13	13	13	present
vertebrata	UP000472260	Sinocyclocheilus anshuiensis	1608454	100275	47	41	40	present
vertebrata	UP000472261	Phasianus colchicus (Common pheasant)	9054	25507	15	15	15	present
vertebrata	UP000472262	Sinocyclocheilus grahami (Dianchi golden-line fish) (Barbus grahami)	75366	102126	42	34	34	present
vertebrata	UP000472263	Myripristis murdjan (pinecone soldierfish)	586833	55953	24	22	21	present
vertebrata	UP000472264	Echeneis naucrates (Live sharksucker)	173247	54685	24	23	23	present
vertebrata	UP000472265	Sparus aurata (Gilthead sea bream)	8175	69199	24	23	23	present
vertebrata	UP000472267	Salarias fasciatus (Jewelled blenny) (Blennius fasciatus)	181472	55738	24	23	23	present
vertebrata	UP000472268	Suricata suricatta (Meerkat)	37032	37195	15	15	15	present
vertebrata	UP000472269	Athene cunicularia (Burrowing owl) (Speotyto cunicularia)	194338	22627	15	15	15	present
vertebrata	UP000472270	Sinocyclocheilus rhinocerous	307959	97522	44	37	36	present
vertebrata	UP000472271	Sphaeramia orbicularis (orbiculate cardinalfish)	375764	57747	23	20	20	present
vertebrata	UP000472272	Podarcis muralis (Wall lizard) (Lacerta muralis)	64176	36445	18	18	18	present
vertebrata	UP000472273	Pseudonaja textilis (Eastern brown snake)	8673	27546	19	18	17	present
vertebrata	UP000472274	Terrapene triunguis (Three-toed box turtle)	2587831	31610	18	18	18	present
vertebrata	UP000472276	Oreochromis aureus (Israeli tilapia) (Chromis aureus)	47969	47152	24	22	22	present
vertebrata	UP000472277	Salmo trutta (Brown trout)	8032	114756	42	40	39	present
vertebrata	UP000475037	Crocuta crocuta (Spotted hyena)	9678	16983	11	11	11	present
vertebrata	UP000503349	Channa argus (Northern snakehead) (Ophicephalus argus)	215402	22264	19	16	16	present
vertebrata	UP000504602	Geospiza fortis (Medium ground-finch)	48883	19288	16	16	16	present
vertebrata	UP000504611	Notothenia coriiceps (black rockcod)	8208	29852	23	19	16	present
vertebrata	UP000504612	Notechis scutatus (mainland tiger snake)	8663	26669	18	18	14	present
vertebrata	UP000504617	Thamnophis sirtalis	35019	22845	16	15	14	present
vertebrata	UP000504623	Chrysochloris asiatica (Cape golden mole)	185453	24871	15	15	15	present
vertebrata	UP000504624	Lepidothrix coronata (blue-crowned manakin)	321398	28808	16	16	16	present
vertebrata	UP000504627	Pipra filicauda (Wire-tailed manakin)	649802	29367	16	17	16	present
vertebrata	UP000504628	Phyllostomus discolor (pale spear-nosed bat)	89673	38708	16	15	15	present
vertebrata	UP000504630	Cottoperca gobio (Frogmouth) (Aphritis gobio)	56716	32803	23	21	21	present
vertebrata	UP000504632	Chanos chanos (Milkfish) (Mugil chanos)	29144	28969	27	23	23	present
vertebrata	UP000504639	Aythya fuligula (Tufted duck) (Anas fuligula)	219594	23986	16	16	16	present
vertebrata	UP000504640	Sapajus apella (Brown-capped capuchin) (Cebus apella)	9515	49214	15	15	15	present
vertebrata	UP000515126	Mus caroli (Ryukyu mouse) (Ricefield mouse)	10089	38135	15	15	15	present
vertebrata	UP000515129	Carassius auratus (Goldfish)	7957	82898	45	40	40	present
vertebrata	UP000515131	Puma concolor (Mountain lion) (Felis concolor)	9696	22782	14	14	13	present
vertebrata	UP000515140	Phascolarctos cinereus (Koala)	38626	37507	15	15	15	present
vertebrata	UP000515145	Parambassis ranga (Indian glassy fish)	210632	35462	25	23	23	present
vertebrata	UP000515150	Betta splendens (Siamese fighting fish)	158456	43456	27	23	23	present
vertebrata	UP000515152	Clupea harengus (Atlantic herring)	7950	40751	28	27	26	present
vertebrata	UP000515156	Microcaecilia unicolor	1415580	30222	23	19	18	present
vertebrata	UP000515159	Geotrypetes seraphini (Gaboon caecilian) (Caecilia seraphini)	260995	38603	19	17	17	present
vertebrata	UP000515161	Gymnodraco acuticeps (Antarctic dragonfish)	8218	39778	26	23	23	present
vertebrata	UP000515165	Zalophus californianus (California sealion)	9704	47365	15	15	15	present
vertebrata	UP000515202	Pteropus vampyrus (Large flying fox)	132908	34712	15	15	14	present
vertebrata	UP000515203	Octodon degus (Degu) (Sciurus degus)	10160	35368	16	15	15	present
vertebrata	UP000515208	Bison bison bison (North American plains bison)	43346	29505	15	15	15	present
vertebrata	UP000516260	Takifugu bimaculatus	433685	19991	20	20	16	present
vertebrata	UP000516988	Steatornis caripensis (Oilbird)	48435	14501	14	13	13	present
vertebrata	UP000517678	Cnemophilus loriae (Loria's bird-of-paradise)	254448	14099	15	14	14	present
vertebrata	UP000517892	Centropus unirufus	1118519	13993	15	15	14	present
vertebrata	UP000518266	Dissostichus mawsoni (Antarctic cod)	36200	29104	20	19	15	present
vertebrata	UP000518305	Hemiprocne comata	243314	13784	13	12	12	present
vertebrata	UP000518911	Atlantisia rogersi (Inaccessible Island rail)	2478892	13649	9	9	8	present
vertebrata	UP000519115	Spizaetus tyrannus (black hawk-eagle)	252798	14343	13	12	12	present
vertebrata	UP000519225	Pluvianellus socialis (Magellanic plover)	227228	14306	14	13	13	present
vertebrata	UP000519239	Ceuthmochares aereus	1961834	12202	13	11	11	present
vertebrata	UP000519684	Catharus fuscescens (Veery) (Turdus fuscescens)	159581	13906	13	12	11	present
vertebrata	UP000520463	Formicarius rufipectus	1118560	13577	14	13	13	present
vertebrata	UP000520535	Brachypteracias leptosomus (short-legged ground-roller)	135165	13408	13	10	10	present
vertebrata	UP000520962	Piprites chloris (Wing-barred manakin)	114369	14125	13	13	13	present
