tip	group	paralog	species	taxid	kingdom	phylum	core_n_ref	core_n_covered	core_coverage	core_identity	pore_n_ref	pore_n_covered	pore_coverage	pore_identity	delta_core_minus_pore	in_test	drop_reason	plc_upid	n_pi_plc	plc_status	stratum
ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519	ITPR1	ITPR1	Somniosus microcephalus		Metazoa	Chordata	304	303	0.9967	0.6865	238	224	0.9412	0.5134	0.1731	True				no_reference_proteome	vertebrate_itpr
ITPR1_Xenopus_tropicalis_Western_clawed_frog_A0A8J0T3U5	ITPR1	ITPR1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	8364	Metazoa	Chordata	304	303	0.9967	0.6469	238	238	1.0	0.7101	-0.0632	True		UP000008143	16	present	vertebrate_itpr
ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1	ITPR2	ITPR2	Astatotilapia calliptera (Eastern river bream) (Chromis callipterus)	8154	Metazoa	Chordata	304	302	0.9934	0.6788	238	238	1.0	0.7101	-0.0313	True		UP000265100	22	present	vertebrate_itpr
ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3	ITPR2	ITPR2	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	Metazoa	Chordata	304	302	0.9934	0.6589	238	238	1.0	0.7101	-0.0512	True		UP000000437	21	present	vertebrate_itpr
ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896	ITPR2	ITPR2	Echinorhinus cookei		Metazoa	Chordata	304	302	0.9934	0.7517	238	238	1.0	0.7773	-0.0256	True				no_reference_proteome	vertebrate_itpr
ITPR2_Gallus_gallus_Chicken_F1P1X4	ITPR2	ITPR2	Gallus gallus (Chicken)	9031	Metazoa	Chordata	304	303	0.9967	0.7426	238	238	1.0	0.7731	-0.0305	True		UP000000539	16	present	vertebrate_itpr
ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32	ITPR2	ITPR2	Gekko japonicus (Schlegel's Japanese gecko)	146911	Metazoa	Chordata	304	303	0.9967	0.7096	238	238	1.0	0.7689	-0.0593	True		UP000694871	17	present	vertebrate_itpr
ITPR2_Homo_sapiens_Human_Q14571	ITPR2	ITPR2	Homo sapiens (Human)	9606	Metazoa	Chordata	304	303	0.9967	0.7393	238	238	1.0	0.7689	-0.0296	True		UP000005640	15	present	vertebrate_itpr
ITPR2_Mus_musculus_Mouse_Q9Z329	ITPR2	ITPR2	Mus musculus (Mouse)	10090	Metazoa	Chordata	304	303	0.9967	0.7327	238	238	1.0	0.7689	-0.0362	True		UP000000589	15	present	vertebrate_itpr
ITPR2_Nibea_albiflora_GCA_014281875.1_ITPR2_12447838	ITPR2	ITPR2	Nibea albiflora		Metazoa	Chordata	304	302	0.9934	0.7219	238	238	1.0	0.7059	0.016	True		UP000805704	6	present	vertebrate_itpr
ITPR2_Rattus_norvegicus_Rat_P29995	ITPR2	ITPR2	Rattus norvegicus (Rat)	10116	Metazoa	Chordata	304	303	0.9967	0.7294	238	238	1.0	0.7689	-0.0395	True		UP000002494	15	present	vertebrate_itpr
ITPR2_Strigops_habroptila_Kakapo_A0A672UP22	ITPR2	ITPR2	Strigops habroptila (Kakapo)	2489341	Metazoa	Chordata	304	302	0.9934	0.7384	238	238	1.0	0.7689	-0.0305	True		UP000472266	16	present	vertebrate_itpr
ITPR2_Xenopus_tropicalis_Western_clawed_frog_A0A6I8RGU0	ITPR2	ITPR2	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	8364	Metazoa	Chordata	304	302	0.9934	0.7384	238	238	1.0	0.7689	-0.0305	True		UP000008143	16	present	vertebrate_itpr
ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9	ITPR3	ITPR3	Athene cunicularia (Burrowing owl) (Speotyto cunicularia)	194338	Metazoa	Chordata	304	304	1.0	0.9046	238	238	1.0	0.958	-0.0534	True		UP000472269	15	present	vertebrate_itpr
ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7	ITPR3	ITPR3	Callorhinchus milii (Ghost shark)	7868	Metazoa	Chordata	304	296	0.9737	0.8311	238	238	1.0	0.8445	-0.0134	True		UP000314986	13	present	vertebrate_itpr
ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051	ITPR3	ITPR3	Copsychus sechellarum		Metazoa	Chordata	304	304	1.0	0.9276	238	238	1.0	0.9538	-0.0262	True		UP000659062	13	present	vertebrate_itpr
ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266	ITPR3	ITPR3	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	Metazoa	Chordata	304	299	0.9836	0.8027	238	238	1.0	0.7983	0.0044	True		UP000000437	21	present	vertebrate_itpr
ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206	ITPR3	ITPR3	Echinorhinus cookei		Metazoa	Chordata	304	301	0.9901	0.814	238	238	1.0	0.8487	-0.0347	True				no_reference_proteome	vertebrate_itpr
ITPR3_Gallus_gallus_Chicken_A0A8V1ACE6	ITPR3	ITPR3	Gallus gallus (Chicken)	9031	Metazoa	Chordata	304	304	1.0	0.9276	238	238	1.0	0.958	-0.0304	True		UP000000539	16	present	vertebrate_itpr
ITPR3_Hymenochirus_boettgeri_GCA_019447015.1_ITPR3_126480658	ITPR3	ITPR3	Hymenochirus boettgeri		Metazoa	Chordata	304	304	1.0	0.8947	238	238	1.0	0.916	-0.0213	True		UP000812440	16	present	vertebrate_itpr
ITPR3_Latimeria_chalumnae_Coelacanth_H3B932	ITPR3	ITPR3	Latimeria chalumnae (Coelacanth)	7897	Metazoa	Chordata	304	302	0.9934	0.7152	238	238	1.0	0.9076	-0.1924	True		UP000008672	17	present	vertebrate_itpr
ITPR3_Mus_musculus_Mouse_P70227	ITPR3	ITPR3	Mus musculus (Mouse)	10090	Metazoa	Chordata	304	304	1.0	0.9737	238	238	1.0	0.9958	-0.0221	True		UP000000589	15	present	vertebrate_itpr
ITPR3_Nothobranchius_furzeri_Turquoise_killi_A0A8C6KWV8	ITPR3	ITPR3	Nothobranchius furzeri (Turquoise killifish)	105023	Metazoa	Chordata	304	302	0.9934	0.8079	238	237	0.9958	0.8439	-0.036	True		UP000694548	22	present	vertebrate_itpr
ITPR3_Pogona_vitticeps_central_bearded_drago_A0A6J0TV85	ITPR3	ITPR3	Pogona vitticeps (central bearded dragon)	103695	Metazoa	Chordata	304	302	0.9934	0.904	238	238	1.0	0.9244	-0.0204	True		UP001652642	18	present	vertebrate_itpr
ITPR3_Rattus_norvegicus_Rat_Q63269	ITPR3	ITPR3	Rattus norvegicus (Rat)	10116	Metazoa	Chordata	304	304	1.0	0.9638	238	238	1.0	0.9874	-0.0236	True		UP000002494	15	present	vertebrate_itpr
ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197	ITPR3	ITPR3	Saguinus oedipus		Metazoa	Chordata	304	304	1.0	0.9836	238	238	1.0	0.9916	-0.008	True		UP001266305	4	present	vertebrate_itpr
ITPR3_Sousa_chinensis_GCA_007760645.1_ITPR3_5949234	ITPR3	ITPR3	Sousa chinensis		Metazoa	Chordata	304	304	1.0	0.977	238	238	1.0	1.0	-0.023	True		UP000295264	2	present	vertebrate_itpr
ITPR3_Sphenodon_punctatus_GCA_003113815.1_ITPR3_3264626	ITPR3	ITPR3	Sphenodon punctatus		Metazoa	Chordata	304	304	1.0	0.9243	238	238	1.0	0.9202	0.0041	True		UP000694392	15	present	vertebrate_itpr
ITPR3_Spizella_passerina_GCA_056776345.1_ITPR3_2783550	ITPR3	ITPR3	Spizella passerina		Metazoa	Chordata	304	304	1.0	0.9276	238	238	1.0	0.9538	-0.0262	True		UP000618746	3	present	vertebrate_itpr
ITPR3_Xenopus_tropicalis_Western_clawed_frog_A0A8J0SYK9	ITPR3	ITPR3	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	8364	Metazoa	Chordata	304	304	1.0	0.875	238	238	1.0	0.9202	-0.0452	True		UP000008143	16	present	vertebrate_itpr
vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0	vertebrate_basal		Callorhinchus milii (Ghost shark)	7868	Metazoa	Chordata	304	303	0.9967	0.6898	238	238	1.0	0.7227	-0.0329	True		UP000314986	13	present	vertebrate_itpr
vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0	vertebrate_basal		Callorhinchus milii (Ghost shark)	7868	Metazoa	Chordata	304	303	0.9967	0.6898	238	238	1.0	0.7227	-0.0329	True		UP000314986	13	present	vertebrate_itpr
vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JQ24	vertebrate_basal		Callorhinchus milii (Ghost shark)	7868	Metazoa	Chordata	304	303	0.9967	0.7228	238	238	1.0	0.7563	-0.0335	True		UP000314986	13	present	vertebrate_itpr
vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401SQC9	vertebrate_basal		Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	137246	Metazoa	Chordata	304	303	0.9967	0.6964	238	238	1.0	0.7269	-0.0305	True		UP000287033	14	present	vertebrate_itpr
vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401S8Q3	vertebrate_basal		Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	137246	Metazoa	Chordata	304	303	0.9967	0.8053	238	238	1.0	0.8403	-0.035	True		UP000287033	14	present	vertebrate_itpr
vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3	vertebrate_basal		Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	137246	Metazoa	Chordata	304	100	0.3289	0.69	238	137	0.5756	0.6277		False	module coverage below 0.50	UP000287033	14	present	vertebrate_itpr
vertebrate_basal_Latimeria_chalumnae_GCF_037176945.1_ITPR1_35775795	vertebrate_basal		Latimeria chalumnae		Metazoa	Chordata	304	303	0.9967	0.6898	238	238	1.0	0.7143	-0.0245	True		UP000008672	17	present	vertebrate_itpr
vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_86116883	vertebrate_basal		Myxine glutinosa		Metazoa	Chordata	304	296	0.9737	0.6149	238	238	1.0	0.6765	-0.0616	True				no_reference_proteome	vertebrate_itpr
vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_122839381	vertebrate_basal		Myxine glutinosa		Metazoa	Chordata	304	294	0.9671	0.6224	238	238	1.0	0.6933	-0.0709	True				no_reference_proteome	vertebrate_itpr
vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_297520938	vertebrate_basal		Myxine glutinosa		Metazoa	Chordata	304	303	0.9967	0.67	238	238	1.0	0.6891	-0.0191	True				no_reference_proteome	vertebrate_itpr
vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0AAJ7U4X1	vertebrate_basal		Petromyzon marinus (Sea lamprey)	7757	Metazoa	Chordata	304	303	0.9967	0.6766	238	238	1.0	0.7143	-0.0377	True		UP001735300	16	present	vertebrate_itpr
vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8BRT5	vertebrate_basal		Petromyzon marinus (Sea lamprey)	7757	Metazoa	Chordata	304	303	0.9967	0.6634	238	238	1.0	0.7143	-0.0509	True		UP001735300	16	present	vertebrate_itpr
vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8C056	vertebrate_basal		Petromyzon marinus (Sea lamprey)	7757	Metazoa	Chordata	304	303	0.9967	0.6403	238	238	1.0	0.6639	-0.0236	True		UP001735300	16	present	vertebrate_itpr
invert_metazoa_Actinia_tenebrosa_Australian_red_warat_A0A6P8IUM8	invert_metazoa		Actinia tenebrosa (Australian red waratah sea anemone)	6105	Metazoa	Cnidaria	304	290	0.9539	0.6621	238	238	1.0	0.6303	0.0318	True		UP000515163	9	present	nonvert_itpr_plc_present
invert_metazoa_Amphimedon_queenslandica_Sponge_A0AAN0JIF7	invert_metazoa		Amphimedon queenslandica (Sponge)	400682	Metazoa	Porifera	304	292	0.9605	0.5	238	228	0.958	0.4693	0.0307	True		UP000007879	4	present	nonvert_itpr_plc_present
invert_metazoa_Araneus_ventricosus_Orbweaver_spider_E_A0A4Y2F2N2	invert_metazoa		Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	182803	Metazoa	Arthropoda	304	292	0.9605	0.6164	238	238	1.0	0.6218	-0.0054	True		UP000499080	7	present	nonvert_itpr_plc_present
invert_metazoa_Brachionus_calyciflorus_A0A813MP72	invert_metazoa		Brachionus calyciflorus	104777	Metazoa	Rotifera	304	291	0.9572	0.5395	238	238	1.0	0.6176	-0.0781	True		UP000663879	4	present	nonvert_itpr_plc_present
invert_metazoa_Branchiostoma_lanceolatum_Common_lance_A0A8K0A0Y4	invert_metazoa	ITPR1	Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum)	7740	Metazoa	Chordata	304	292	0.9605	0.6404	238	238	1.0	0.6092	0.0312	True		UP000838412	8	present	nonvert_itpr_plc_present
invert_metazoa_Bugula_neritina_Brown_bryozoan_Sertula_A0A7J7J401	invert_metazoa		Bugula neritina (Brown bryozoan) (Sertularia neritina)	10212	Metazoa	Bryozoa	304	0	0.0		238	202	0.8487	0.2673		False	module coverage below 0.50	UP000593567	3	present	nonvert_itpr_plc_present
invert_metazoa_Caenorhabditis_elegans_Q9Y0A1	invert_metazoa		Caenorhabditis elegans	6239	Metazoa	Nematoda	304	294	0.9671	0.4082	238	238	1.0	0.4874	-0.0792	True		UP000001940	6	present	nonvert_itpr_plc_present
invert_metazoa_Capitella_teleta_Polychaete_worm_R7TPX0	invert_metazoa		Capitella teleta (Polychaete worm)	283909	Metazoa	Annelida	304	292	0.9605	0.6199	238	238	1.0	0.6471	-0.0272	True		UP000014760	9	present	nonvert_itpr_plc_present
invert_metazoa_Convolutriloba_macropyga_GCF_964194025.1_copy1_11915090	invert_metazoa		Convolutriloba macropyga		Metazoa	Xenacoelomorpha	304	291	0.9572	0.4742	238	237	0.9958	0.6118	-0.1376	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Dicyema_japonicum_GCA_011109175.1_copy1_1388155	invert_metazoa		Dicyema japonicum		Metazoa	Dicyemida	304	280	0.9211	0.4571	238	236	0.9916	0.5254	-0.0683	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Dimorphilus_gyrociliatus_GCA_904063045.1_copy4_2597059	invert_metazoa		Dimorphilus gyrociliatus		Metazoa	Annelida	304	233	0.7664	0.2232	238	199	0.8361	0.2864	-0.0632	True		UP000549394	6	present	nonvert_itpr_plc_present
invert_metazoa_Dimorphilus_gyrociliatus_GCA_904063045.1_copy1_1267705	invert_metazoa		Dimorphilus gyrociliatus		Metazoa	Annelida	304	288	0.9474	0.566	238	238	1.0	0.5924	-0.0264	True		UP000549394	6	present	nonvert_itpr_plc_present
invert_metazoa_Dimorphilus_gyrociliatus_GCA_904063045.1_copy5_3583648	invert_metazoa		Dimorphilus gyrociliatus		Metazoa	Annelida	304	229	0.7533	0.2445	238	203	0.8529	0.2709	-0.0264	True		UP000549394	6	present	nonvert_itpr_plc_present
invert_metazoa_Dimorphilus_gyrociliatus_GCA_904063045.1_copy2_131952	invert_metazoa		Dimorphilus gyrociliatus		Metazoa	Annelida	304	231	0.7599	0.1905	238	199	0.8361	0.2814	-0.0909	True		UP000549394	6	present	nonvert_itpr_plc_present
invert_metazoa_Drosophila_melanogaster_Fruit_fly_P29993	invert_metazoa		Drosophila melanogaster (Fruit fly)	7227	Metazoa	Arthropoda	304	304	1.0	0.5296	238	238	1.0	0.6218	-0.0922	True		UP000000803	3	present	nonvert_itpr_plc_present
invert_metazoa_Dugesia_japonica_Planarian_R9S1J3	invert_metazoa		Dugesia japonica (Planarian)	6161	Metazoa	Platyhelminthes	304	287	0.9441	0.5017	238	236	0.9916	0.5127	-0.011	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Dysidea_avara_GCF_963678975.1_copy7_13836631	invert_metazoa		Dysidea avara		Metazoa	Porifera	304	246	0.8092	0.2073	238	203	0.8529	0.3399	-0.1326	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Dysidea_avara_GCF_963678975.1_copy5_27474136	invert_metazoa		Dysidea avara		Metazoa	Porifera	304	223	0.7336	0.2287	238	204	0.8571	0.3039	-0.0752	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Dysidea_avara_GCF_963678975.1_copy2_7972063	invert_metazoa		Dysidea avara		Metazoa	Porifera	304	220	0.7237	0.2182	238	204	0.8571	0.299	-0.0808	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Dysidea_avara_GCF_963678975.1_copy6_5305343	invert_metazoa		Dysidea avara		Metazoa	Porifera	304	244	0.8026	0.2213	238	203	0.8529	0.3153	-0.094	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Epiperipatus_broadwayi_GCA_028023455.1_copy1_8600421	invert_metazoa		Epiperipatus broadwayi		Metazoa	Onychophora	304	292	0.9605	0.6301	238	238	1.0	0.6681	-0.038	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Fasciola_hepatica_Liver_fluke_A0A4E0RYC0	invert_metazoa		Fasciola hepatica (Liver fluke)	6192	Metazoa	Platyhelminthes	304	285	0.9375	0.3614	238	232	0.9748	0.4828	-0.1214	True		UP000230066	1	present	nonvert_itpr_plc_present
invert_metazoa_Flaccisagitta_enflata_GCA_965153355.1_copy1_35611522	invert_metazoa		Flaccisagitta enflata		Metazoa	Chaetognatha	304	288	0.9474	0.5625	238	216	0.9076	0.3704	0.1921	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Gordionus_wolterstorffii_GCA_976986565.1_copy1_11909076	invert_metazoa		Gordionus wolterstorffii		Metazoa	Nematomorpha	304	290	0.9539	0.5172	238	238	1.0	0.5756	-0.0584	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Hirondellea_gigas_A0A6A7G5P7	invert_metazoa		Hirondellea gigas	1518452	Metazoa	Arthropoda	304	290	0.9539	0.5517	238	237	0.9958	0.5612	-0.0095	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Hypsibius_exemplaris_Freshwater_tardig_A0A1W0X7L5	invert_metazoa		Hypsibius exemplaris (Freshwater tardigrade)	2072580	Metazoa	Tardigrada	304	287	0.9441	0.4495	238	238	1.0	0.542	-0.0925	True		UP000192578	9	present	nonvert_itpr_plc_present
invert_metazoa_Intoshia_linei_GCA_001642005.1_copy1_548	invert_metazoa		Intoshia linei		Metazoa	Orthonectida	304	225	0.7401	0.2133	238	0	0.0			False	module coverage below 0.50	UP000078046	2	present	nonvert_itpr_plc_present
invert_metazoa_Lepidodermella_squamata_GCA_047495785.1_copy1_1478289	invert_metazoa		Lepidodermella squamata		Metazoa	Gastrotricha	304	241	0.7928	0.1909	238	204	0.8571	0.2745	-0.0836	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Limulus_polyphemus_Atlantic_horseshoe__A0ABM1SEU6	invert_metazoa		Limulus polyphemus (Atlantic horseshoe crab)	6850	Metazoa	Arthropoda	304	292	0.9605	0.589	238	238	1.0	0.605	-0.016	True		UP000694941	9	present	nonvert_itpr_plc_present
invert_metazoa_Lingula_anatina_Brachiopod_Lingula_ung_A0A1S3JYY5	invert_metazoa		Lingula anatina (Brachiopod) (Lingula unguis)	7574	Metazoa	Brachiopoda	304	292	0.9605	0.6096	238	126	0.5294	0.5873	0.0223	True		UP000085678	6	present	nonvert_itpr_plc_present
invert_metazoa_Littorina_saxatilis_A0AAN9BAK1	invert_metazoa		Littorina saxatilis	31220	Metazoa	Mollusca	304	292	0.9605	0.5582	238	238	1.0	0.6303	-0.0721	True		UP001374579	3	present	nonvert_itpr_plc_present
invert_metazoa_Macrostomum_lignano_GCA_002269645.1_copy10_370736	invert_metazoa		Macrostomum lignano		Metazoa	Platyhelminthes	304	247	0.8125	0.2105	238	203	0.8529	0.2463	-0.0358	True		UP000095280	14	present	nonvert_itpr_plc_present
invert_metazoa_Macrostomum_lignano_GCA_002269645.1_copy8_50053	invert_metazoa		Macrostomum lignano		Metazoa	Platyhelminthes	304	246	0.8092	0.2073	238	203	0.8529	0.2512	-0.0439	True		UP000095280	14	present	nonvert_itpr_plc_present
invert_metazoa_Macrostomum_lignano_GCA_002269645.1_copy5_191213	invert_metazoa		Macrostomum lignano		Metazoa	Platyhelminthes	304	246	0.8092	0.1951	238	203	0.8529	0.2315	-0.0364	True		UP000095280	14	present	nonvert_itpr_plc_present
invert_metazoa_Macrostomum_lignano_GCA_002269645.1_copy2_9986	invert_metazoa		Macrostomum lignano		Metazoa	Platyhelminthes	304	293	0.9638	0.5119	238	238	1.0	0.5966	-0.0847	True		UP000095280	14	present	nonvert_itpr_plc_present
invert_metazoa_Mnemiopsis_leidyi_Sea_walnut_Warty_com_A0ACF8YJ40	invert_metazoa		Mnemiopsis leidyi (Sea walnut) (Warty comb jellyfish)	27923	Metazoa	Ctenophora	304	286	0.9408	0.5315	238	235	0.9874	0.5489	-0.0174	True		UP001729289	4	present	nonvert_itpr_plc_present
invert_metazoa_Mytilus_coruscus_Sea_mussel_A0A6J7ZY28	invert_metazoa		Mytilus coruscus (Sea mussel)	42192	Metazoa	Mollusca	304	243	0.7993	0.2099	238	204	0.8571	0.3039	-0.094	True		UP000507470	5	present	nonvert_itpr_plc_present
invert_metazoa_Neoechinorhynchus_agilis_GCA_051530055.1_copy1_5945861	invert_metazoa		Neoechinorhynchus agilis		Metazoa	Acanthocephala	304	0	0.0		238	220	0.9244	0.5227		False	module coverage below 0.50			no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Patiria_pectinifera_Starfish_Asterina__Q8WSR4	invert_metazoa		Patiria pectinifera (Starfish) (Asterina pectinifera)	7594	Metazoa	Echinodermata	304	291	0.9572	0.6014	238	238	1.0	0.5924	0.009	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Phallusia_mammillata_A0A6F9DES0	invert_metazoa	ITPR2	Phallusia mammillata	59560	Metazoa	Chordata	304	292	0.9605	0.5993	238	235	0.9874	0.583	0.0163	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Phoronis_australis_GCA_055505105.1_copy2_18943062	invert_metazoa		Phoronis australis		Metazoa	Phoronida	304	255	0.8388	0.2078	238	203	0.8529	0.2906	-0.0828	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Raillietiella_orientalis_GCA_036172245.1_copy1_155838	invert_metazoa		Raillietiella orientalis		Metazoa	Arthropoda	304	284	0.9342	0.5739	238	238	1.0	0.5672	0.0067	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Saccoglossus_kowalevskii_Acorn_worm_A0ACM8C709	invert_metazoa		Saccoglossus kowalevskii (Acorn worm)	10224	Metazoa	Hemichordata	304	247	0.8125	0.2146	238	200	0.8403	0.29	-0.0754	True		UP000694865	6	present	nonvert_itpr_plc_present
invert_metazoa_Trichinella_britovi_Parasitic_roundwor_A0A0V1CUW8	invert_metazoa		Trichinella britovi (Parasitic roundworm)	45882	Metazoa	Nematoda	304	298	0.9803	0.4262	238	238	1.0	0.437	-0.0108	True		UP000054653	4	present	nonvert_itpr_plc_present
invert_metazoa_Trichoplax_adhaerens_Trichoplax_reptan_B3RUD1	invert_metazoa		Trichoplax adhaerens (Trichoplax reptans)	10228	Metazoa	Placozoa	304	218	0.7171	0.2018	238	168	0.7059	0.3036	-0.1018	True		UP000009022	2	present	nonvert_itpr_plc_present
