accession	organism	vclass	vorder	cell	cell_status	contig	start	end	strand	span	mp_id	bait	coverage	identity	frameshifts	stop_codons	cds_bp	contig_spans_gene	contig_n50	headroom	assembly_level	n_genes_longer	annot_max_gene_span	annot_median_gene_span	loss	best_frac_cds	sum_frac_cds	n_fragments	fragment_names	control_strength	eligible	failed_rule	mode	reasons
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	ITPR3	assembly_gap	BMBG01002764.1	584	8493	-	7910	MP000126	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0.4052	0.9935	0	0	0	False	104200	13.17	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	ITPR1	assembly_gap	JMFS01131396.1	4289	29317	+	25029	MP000006	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.3343	0.9925	0	0	0	False	17412	0.7	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_035590135.1	Circaetus pectoralis	Aves	Accipitriformes	ITPR1	found_no_annotation	JAVJGK010000037.1	22503218	22677482	+	174265	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9924	0	0	0	False	43929	0.25	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	ITPR3	assembly_gap	VYZR01384315.1	48	3294	+	3247	MP000132	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0.1734	0.9914	0	0	1389	False	3531	1.09	Scaffold	4015	151862	2576	1.0	0.0	0	0		0	False	E2		missing_paralog;fragment_only
GCA_023764695.1	Pygathrix nigripes	Mammalia	Primates	ITPR2	found_no_annotation	JAKFHG010002414.1	4762166	5264209	-	502044	MP000008	Q14571|ITPR2|Homo_sapiens|ITPR2	1.0	0.9907	0	0	0	True	14260291	28.4	Contig	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	ITPR3	found_no_annotation	KL257532.1	5164	25874	-	20711	MP000028	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.8239	0.9903	1	0	0	False	17412	0.84	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_020745705.1	Hemiprocne comata	Aves	Apodiformes	ITPR1	found_no_annotation	CM036595.1	1594094	1761091	-	166998	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9899	0	0	0	True	20531774	122.95	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog
GCA_035590135.1	Circaetus pectoralis	Aves	Accipitriformes	ITPR3	found_no_annotation	JAVJGK010000054.1	4301525	4433301	+	131777	MP000018	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	1.0	0.9899	0	0	0	False	43929	0.33	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_035590135.1	Circaetus pectoralis	Aves	Accipitriformes	ITPR2	found_no_annotation	JAVJGK010000024.1	9316934	9550864	+	233931	MP000053	A0A672UP22|ITPR2|Strigops_habroptila	0.9885	0.9884	0	0	0	False	43929	0.19	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_020745705.1	Hemiprocne comata	Aves	Apodiformes	ITPR3	found_no_annotation	CM036610.1	3733306	3778594	+	45289	MP000018	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	1.0	0.9865	3	0	0	True	20531774	453.35	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog
GCA_058224745.1	Acrocephalus arundinaceus	Aves	Passeriformes	ITPR1	found_no_annotation	JAWJJZ010000016.1	1675723	1837979	-	162257	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9842	0	0	0	True	14738253	90.83	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog
GCA_056776345.1	Spizella passerina	Aves	Passeriformes	ITPR1	found_no_annotation	CM165312.1	1479442	1642629	-	163188	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9827	0	0	0	True	5055426	30.98	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	ITPR2	assembly_gap	BMBG01010180.1	580	85803	+	85224	MP000123	A0A672UP22|ITPR2|Strigops_habroptila	0.5363	0.982	0	0	0	False	104200	1.22	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_058224745.1	Acrocephalus arundinaceus	Aves	Passeriformes	ITPR2	found_no_annotation	JAWJJZ010000027.1	4353432	4598699	+	245268	MP000052	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9819	0	0	0	True	14738253	60.09	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog
GCA_056776345.1	Spizella passerina	Aves	Passeriformes	ITPR2	found_no_annotation	CM165302.1	60789482	61029824	+	240343	MP000053	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9807	0	0	0	True	5055426	21.03	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	ITPR3	assembly_gap	VYZS01345020.1	186	2499	+	2314	MP000107	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0.1345	0.9805	0	0	1077	False	7054	3.05	Scaffold	4590	107222	2511	1.0	0.0	0	0		0	False	E2		fragment_only
GCA_032275445.1	Crypturellus soui	Aves	Tinamiformes	ITPR2	found_no_annotation	JAUBNY010001198.1	778048	1011670	-	233623	MP000010	F1P1X4|ITPR2|Gallus_gallus|ITPR2	1.0	0.9804	0	0	0	False	10551	0.05	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_054084135.1	Copsychus sechellarum	Aves	Passeriformes	ITPR2	found_no_annotation	CM133781.1	7006064	7244922	-	238859	MP000049	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9804	0	0	0	True	12529446	52.46	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	ITPR1	found_no_annotation	RWJT01005793.1	19976061	20272933	+	296873	MP000001	Q14643|ITPR1|Homo_sapiens|ITPR1	1.0	0.9797	0	0	0	False	113766	0.38	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		zero_hit_proteome
GCA_020745705.1	Hemiprocne comata	Aves	Apodiformes	ITPR2	found_no_annotation	CM036586.1	74637542	74907438	-	269897	MP000051	A0A672UP22|ITPR2|Strigops_habroptila	1.0	0.9793	1	0	0	True	20531774	76.07	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog
GCA_987193245.1	Pontoporia blainvillei	Mammalia	Artiodactyla	ITPR1	found_no_annotation	OZ497764.1	11854234	12150846	-	296613	MP000001	Q14643|ITPR1|Homo_sapiens|ITPR1	1.0	0.9786	0	0	0	True	20985247	70.75	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_054084135.1	Copsychus sechellarum	Aves	Passeriformes	ITPR1	found_no_annotation	CM133787.1	719788	872802	-	153015	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9773	0	0	0	True	12529446	81.88	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_013401215.1	Atlantisia rogersi	Aves	Gruiformes	ITPR2	assembly_gap	VZUJ01043570.1	22103	70139	+	48037	MP000071	A0A672UP22|ITPR2|Strigops_habroptila	0.2878	0.9768	0	0	2328	False	36139	0.75	Scaffold	413	209549	3814	1.0	0.0	0	0		0	False	E2		fragment_only
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	ITPR1	assembly_gap	BMBG01009250.1	1421	60530	+	59110	MP000013	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.4959	0.9753	0	0	0	False	104200	1.76	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	ITPR3	found_no_annotation	RWJT01022005.1	5949234	6016275	+	67042	MP000016	Q14573|ITPR3|Homo_sapiens|ITPR3	1.0	0.9738	0	0	0	False	113766	1.7	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		zero_hit_proteome
GCA_023764695.1	Pygathrix nigripes	Mammalia	Primates	ITPR3	found_no_annotation	JAKFHG010000745.1	6393425	6667410	-	273986	MP000016	Q14573|ITPR3|Homo_sapiens|ITPR3	1.0	0.9731	3	0	0	True	14260291	52.05	Contig	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_048126345.2	Notoryctes typhlops	Mammalia	Notoryctemorphia	ITPR1	found_no_annotation	CM138677.1	50121107	50500875	+	379769	MP000002	P11881|Itpr1|Mus_musculus|ITPR1	1.0	0.972	0	0	0	True	84282059	221.93	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Notoryctemorphia
GCA_032275445.1	Crypturellus soui	Aves	Tinamiformes	ITPR1	found_no_annotation	JAUBNY010000656.1	1626283	1774703	-	148421	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9719	0	0	0	False	10551	0.07	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_054644205.1	Lestoros inca	Mammalia	Paucituberculata	ITPR1	found_no_annotation	CM138377.1	57584267	57984765	+	400499	MP000002	P11881|Itpr1|Mus_musculus|ITPR1	1.0	0.9705	0	0	0	True	11940304	29.81	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Paucituberculata
GCA_987193245.1	Pontoporia blainvillei	Mammalia	Artiodactyla	ITPR2	found_no_annotation	OZ497766.1	21546786	22221471	-	674686	MP000008	Q14571|ITPR2|Homo_sapiens|ITPR2	1.0	0.9693	0	0	0	True	20985247	31.1	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_987193245.1	Pontoporia blainvillei	Mammalia	Artiodactyla	ITPR3	found_no_annotation	OZ497764.1	73318721	73464417	+	145697	MP000016	Q14573|ITPR3|Homo_sapiens|ITPR3	1.0	0.9682	0	0	0	True	20985247	144.03	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_018340635.1	Bothrops jararaca	Lepidosauria	Squamata	ITPR1	found_no_annotation	JAGTXL010001321.1	22586	206370	-	183785	MP000045	A0A670JBK6|ITPR1|Podarcis_muralis	0.9701	0.9678	1	1	0	True	162550	0.88	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		zero_hit_proteome
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	ITPR1	assembly_gap	BHFT01002173.1	5172	60614	-	55443	MP000083	A0A670JBK6|ITPR1|Podarcis_muralis	0.5817	0.9671	0	0	0	False	35581	0.64	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_054883175.1	Datnioides polota	Actinopteri	Lobotiformes	ITPR1	found_no_annotation	CM142224.1	15032217	15096538	+	64322	MP000085	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9659	0	0	0	True	16887846	262.55	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Lobotiformes
GCA_032275445.1	Crypturellus soui	Aves	Tinamiformes	ITPR3	found_no_annotation	JAUBNY010000997.1	1486226	1530593	-	44368	MP000018	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	1.0	0.9654	0	0	0	False	10551	0.24	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_980438365.1	Acanthurus tractus	Actinopteri	Acanthuriformes	ITPR1	found_no_annotation	OZ413072.1	45109048	45185631	+	76584	MP000087	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9618	0	0	0	True	31041855	405.33	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Acanthuriformes
GCA_058707665.1	Platax teira	Actinopteri	Ephippiformes	ITPR1	found_no_annotation	CM178913.1	20118134	20188697	-	70564	MP000084	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9612	0	0	0	True	30140486	427.14	Complete Genome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Ephippiformes
GCA_984656905.1	Parequula melbournensis	Actinopteri	Gerreiformes	ITPR1	found_no_annotation	OZ479485.1	15934113	15995040	-	60928	MP000083	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9601	0	0	0	True	5643520	92.63	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Gerreiformes
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	ITPR2	found_no_annotation	RWJT01020497.1	5271385	5782005	+	510621	MP000008	Q14571|ITPR2|Homo_sapiens|ITPR2	1.0	0.9594	0	0	0	False	113766	0.22	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		zero_hit_proteome
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	ITPR3	found_no_annotation	SZQC01000046.1	3993909	4037271	+	43363	MP000018	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	1.0	0.9589	0	0	0	False	824	0.02	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Dinornithiformes
GCA_056506795.1	Pristigenys meyeri	Actinopteri	Priacanthiformes	ITPR1	found_no_annotation	CM151773.1	17713753	17789314	+	75562	MP000085	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9584	0	0	0	True	32736534	433.24	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Priacanthiformes
GCA_965364685.1	Capros aper	Actinopteri	Caproiformes	ITPR1	found_no_annotation	OZ263291.1	16334443	16404305	+	69863	MP000083	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9556	0	0	0	True	12853060	183.98	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Caproiformes
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	ITPR2	fragment	KL263936.1	21481	98516	+	77036	MP000062	A0A672UP22|ITPR2|Strigops_habroptila	0.387	0.9542	0	0	0	False	17412	0.23	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	ITPR1	found_no_annotation	QEPC01008366.1	2025790	2509193	-	483404	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.9975	0.9524	0	0	0	False	27065	0.06	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Sphenodontia
GCA_054644205.1	Lestoros inca	Mammalia	Paucituberculata	ITPR2	found_no_annotation	CM138381.1	149448649	150015784	+	567136	MP000008	Q14571|ITPR2|Homo_sapiens|ITPR2	1.0	0.95	0	0	0	True	11940304	21.05	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Paucituberculata
GCA_018340635.1	Bothrops jararaca	Lepidosauria	Squamata	ITPR3	found_no_annotation	JAGTXL010020449.1	70587	183394	+	112808	MP000048	A0A6J0TV85|ITPR3|Pogona_vitticeps	1.0	0.9468	0	0	0	True	162550	1.44	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		zero_hit_proteome
GCA_048126345.2	Notoryctes typhlops	Mammalia	Notoryctemorphia	ITPR2	found_no_annotation	CM138672.1	150602152	151157455	-	555304	MP000008	Q14571|ITPR2|Homo_sapiens|ITPR2	1.0	0.9467	0	0	0	True	84282059	151.78	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Notoryctemorphia
GCA_047511595.1	Polymixia lowei	Actinopteri	Polymixiiformes	ITPR1	found_no_annotation	CM105268.1	9821515	9890693	-	69179	MP000083	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9458	0	0	0	True	1880763	27.19	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Polymixiiformes
GCA_050084785.1	Liparis tanakae	Actinopteri	Perciformes	ITPR1	found_no_annotation	CM114425.1	14184100	14242029	-	57930	MP000083	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9435	0	0	0	True	1346787	23.25	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	ITPR3	found_no_annotation	QEPC01007384.1	3264626	3429450	+	164825	MP000017	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	1.0	0.9415	0	0	0	False	27065	0.16	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Sphenodontia
GCA_056824565.1	Stylephorus chordatus	Actinopteri	Stylephoriformes	ITPR1	found_no_annotation	CM166136.1	39889510	39963978	-	74469	MP000085	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9414	0	0	0	True	850304	11.42	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Stylephoriformes
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	ITPR1	found_no_annotation	SZQC01000012.1	7428581	7607553	+	178973	MP000003	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1.0	0.9412	1	0	0	False	824	0.0	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Dinornithiformes
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	ITPR2	found_no_annotation	SZQC01000052.1	75815	345217	-	269403	MP000010	F1P1X4|ITPR2|Gallus_gallus|ITPR2	1.0	0.9404	0	0	0	False	824	0.0	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Dinornithiformes
GCA_048126345.2	Notoryctes typhlops	Mammalia	Notoryctemorphia	ITPR3	found_no_annotation	CM138675.1	291060903	291188597	-	127695	MP000016	Q14573|ITPR3|Homo_sapiens|ITPR3	1.0	0.9394	0	0	0	True	84282059	660.03	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Notoryctemorphia
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	Percopsiformes	ITPR1	found_no_annotation	CM101355.1	14756846	14831818	-	74973	MP000088	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9386	0	0	0	True	3811240	50.83	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Percopsiformes
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	ITPR3	assembly_gap	BHFT01014849.1	37021	87841	-	50821	MP000086	A0A6J0TV85|ITPR3|Pogona_vitticeps	0.5911	0.9385	0	0	0	False	35581	0.7	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_054644205.1	Lestoros inca	Mammalia	Paucituberculata	ITPR3	found_no_annotation	CM138380.1	321595379	321733705	-	138327	MP000016	Q14573|ITPR3|Homo_sapiens|ITPR3	1.0	0.9371	0	0	0	True	11940304	86.32	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Paucituberculata
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	ITPR2	found_no_annotation	QEPC01007142.1	232928	852348	-	619421	MP000010	F1P1X4|ITPR2|Gallus_gallus|ITPR2	1.0	0.9338	0	0	0	False	27065	0.04	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Sphenodontia
GCA_900312595.1	Guentherus altivela	Actinopteri	Ateleopodiformes	ITPR1	assembly_gap	OMOX01061562.1	2630	7250	+	4621	MP000061	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.1739	0.9289	0	0	0	False	2928	0.63	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Ateleopodiformes
GCA_054883175.1	Datnioides polota	Actinopteri	Lobotiformes	ITPR3	found_no_annotation	CM142235.1	24888910	24944358	-	55449	MP000088	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	1.0	0.9131	0	0	0	True	16887846	304.57	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Lobotiformes
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	ITPR2	assembly_gap	BHFT01019722.1	2266	51441	-	49176	MP000084	A0ABM1LG32|ITPR2|Gekko_japonicus	0.5616	0.913	0	0	0	False	35581	0.72	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	Cyprinodontiformes	ITPR1	assembly_gap	JAHRIM010090959.1	4623	22566	-	17944	MP000115	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.4967	0.9116	0	0	4176	False	15690	0.87	Scaffold	683	133354	2959	1.0	0.0	0	0		0	False	E2		fragment_only
GCA_058707665.1	Platax teira	Actinopteri	Ephippiformes	ITPR3	found_no_annotation	CM178919.1	29583496	29650575	-	67080	MP000087	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	1.0	0.9105	0	0	0	True	30140486	449.32	Complete Genome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Ephippiformes
GCA_056783665.1	Albula glossodonta	Actinopteri	Albuliformes	ITPR1	found_no_annotation	CM165714.1	15922669	16042057	+	119389	MP000077	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9103	0	0	0	True	36502201	305.74	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_056506795.1	Pristigenys meyeri	Actinopteri	Priacanthiformes	ITPR3	found_no_annotation	CM151778.1	2490296	2574844	+	84549	MP000088	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	1.0	0.91	0	0	0	True	32736534	387.19	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Priacanthiformes
GCA_054883375.1	Arapaima gigas	Actinopteri	Osteoglossiformes	ITPR1	found_no_annotation	CM142465.1	765235	860826	-	95592	MP000076	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.909	0	0	0	True	27159801	284.12	Complete Genome	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog
GCA_984656905.1	Parequula melbournensis	Actinopteri	Gerreiformes	ITPR3	found_no_annotation	OZ479491.1	1234302	1262953	+	28652	MP000086	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	1.0	0.9076	0	0	0	True	5643520	196.97	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Gerreiformes
GCA_980438365.1	Acanthurus tractus	Actinopteri	Acanthuriformes	ITPR3	found_no_annotation	OZ413082.1	29815115	29857799	-	42685	MP000090	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	1.0	0.9056	0	0	0	True	31041855	727.23	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Acanthuriformes
GCA_051992705.1	Lepidogalaxias salamandroides	Actinopteri	Lepidogalaxiiformes	ITPR1	assembly_gap	JBNTSJ010246917.1	178	11819	+	11642	MP000098	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.4312	0.9055	0	0	0	False	1446	0.12	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		order_rep:Lepidogalaxiiformes
GCA_043380575.1	Atractosteus spatula	Actinopteri	Semionotiformes	ITPR1	found_no_annotation	CM092437.1	12011053	12141957	+	130905	MP000053	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9042	0	0	0	True	15716625	120.06	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog
