case_id	accession	cell	intron_index	start	end	length	class	left_models	right_models	donor	acceptor	splice_class
case_b	GCA_031216635.1	ITPR3	14	8183758	8183868	111	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	15	8183965	8184522	558	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	16	8184634	8185075	442	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	17	8185277	8186043	767	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	18	8186263	8187582	1320	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	19	8187743	8188336	594	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	20	8188513	8189073	561	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	21	8189168	8189438	271	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	22	8189548	8189642	95	unannotated			GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	23	8189792	8190451	660	model_to_gap		gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	24	8190634	8191585	952	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	25	8191707	8191913	207	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	26	8192040	8192232	193	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	27	8192359	8192970	612	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	28	8193107	8193954	848	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	29	8194071	8194968	898	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	30	8195170	8195934	765	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	31	8196058	8196917	860	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	32	8197038	8198233	1196	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	33	8198309	8200191	1883	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	34	8200360	8201543	1184	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	35	8201710	8201898	189	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	36	8201954	8202293	340	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	37	8202415	8202724	310	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	38	8202934	8203425	492	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	39	8203571	8203678	108	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	40	8203824	8212246	8423	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	41	8212499	8213368	870	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	42	8213485	8214434	950	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	43	8214511	8215161	651	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	44	8215282	8215368	87	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	45	8215542	8216273	732	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	46	8216439	8216525	87	within_one_model	gene-KUDE01_018466	gene-KUDE01_018466	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	47	8216668	8217043	376	between_models	gene-KUDE01_018466	gene-KUDE01_017523	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	48	8217205	8217425	221	within_one_model	gene-KUDE01_017523	gene-KUDE01_017523	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	49	8217526	8218003	478	within_one_model	gene-KUDE01_017523	gene-KUDE01_017523	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	50	8218144	8218322	179	within_one_model	gene-KUDE01_017523	gene-KUDE01_017523	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	51	8218367	8218795	429	within_one_model	gene-KUDE01_017523	gene-KUDE01_017523	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	52	8218892	8219071	180	within_one_model	gene-KUDE01_017523	gene-KUDE01_017523	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	53	8219219	8219750	532	within_one_model	gene-KUDE01_017523	gene-KUDE01_017523	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	54	8219835	8219935	101	within_one_model	gene-KUDE01_017523	gene-KUDE01_017523	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	55	8220035	8220923	889	within_one_model	gene-KUDE01_017523	gene-KUDE01_017523	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	56	8221083	8224401	3319	within_one_model	gene-KUDE01_017523	gene-KUDE01_017523	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	57	8224489	8225457	969	within_one_model	gene-KUDE01_017523	gene-KUDE01_017523	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	58	8225580	8229124	3545	between_models	gene-KUDE01_017523	gene-KUDE01_018062	GT	AG	canonical
case_b	GCA_031216635.1	ITPR3	59	8229196	8242004	12809	within_one_model	gene-KUDE01_018062	gene-KUDE01_018062	GT	AG	canonical
