case_id	accession	cell	exon_index	start	end	length	q_start	q_end	aln_identity	phase	class	annot_gene	annot_gene_id	annot_biotype	annot_pseudo	annot_cds_overlap_bp	annot_cds_overlap_frac
case_b	GCA_031216635.1	ITPR3	14	8216526	8216667	142	469	516	0.8936	1	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	142	1.0
case_b	GCA_031216635.1	ITPR3	15	8216274	8216438	165	517	571	0.8545	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	165	1.0
case_b	GCA_031216635.1	ITPR3	16	8215369	8215541	173	572	628	0.9828	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	173	1.0
case_b	GCA_031216635.1	ITPR3	17	8215162	8215281	120	629	668	0.975	1	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	120	1.0
case_b	GCA_031216635.1	ITPR3	18	8214435	8214510	76	669	696	0.7037	1	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	76	1.0
case_b	GCA_031216635.1	ITPR3	19	8213369	8213484	116	697	734	0.8205	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	116	1.0
case_b	GCA_031216635.1	ITPR3	20	8212247	8212498	252	735	818	0.9643	1	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	252	1.0
case_b	GCA_031216635.1	ITPR3	21	8203679	8203823	145	819	867	0.9167	1	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	145	1.0
case_b	GCA_031216635.1	ITPR3	22	8203426	8203570	145	868	915	0.8367	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	145	1.0
case_b	GCA_031216635.1	ITPR3	23	8202725	8202933	209	916	983	0.6957	2	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	209	1.0
case_b	GCA_031216635.1	ITPR3	24	8202294	8202414	121	984	1023	0.9268	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	121	1.0
case_b	GCA_031216635.1	ITPR3	25	8201899	8201953	55	1024	1041	0.8889	2	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	55	1.0
case_b	GCA_031216635.1	ITPR3	26	8201544	8201709	166	1042	1097	0.9636	1	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	112	0.6747
case_b	GCA_031216635.1	ITPR3	27	8200192	8200359	168	1098	1146	0.75	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	168	1.0
case_b	GCA_031216635.1	ITPR3	28	8198234	8198308	75	1147	1170	0.72	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	75	1.0
case_b	GCA_031216635.1	ITPR3	29	8196918	8197037	120	1171	1210	0.95	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	120	1.0
case_b	GCA_031216635.1	ITPR3	30	8195935	8196057	123	1211	1251	0.8537	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	123	1.0
case_b	GCA_031216635.1	ITPR3	31	8194969	8195169	201	1252	1318	0.9701	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	201	1.0
case_b	GCA_031216635.1	ITPR3	32	8193955	8194070	116	1319	1356	0.8462	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	116	1.0
case_b	GCA_031216635.1	ITPR3	33	8192971	8193106	136	1357	1402	0.9556	1	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	136	1.0
case_b	GCA_031216635.1	ITPR3	34	8192233	8192358	126	1403	1444	0.9524	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	126	1.0
case_b	GCA_031216635.1	ITPR3	35	8191914	8192039	126	1445	1486	0.9048	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	126	1.0
case_b	GCA_031216635.1	ITPR3	36	8191586	8191706	121	1487	1526	0.9512	0	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	87	0.719
case_b	GCA_031216635.1	ITPR3	37	8190452	8190633	182	1527	1587	0.7	2	in_annotated_cds	KUDE01_018466	gene-KUDE01_018466	protein_coding	0	182	1.0
case_b	GCA_031216635.1	ITPR3	38	8189643	8189791	149	1588	1636	0.96	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	39	8189439	8189547	109	1637	1673	0.9167	1	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	40	8189074	8189167	94	1674	1704	0.8438	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	41	8188337	8188512	176	1705	1763	0.9138	2	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	42	8187583	8187742	160	1764	1816	0.9074	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	43	8186044	8186262	219	1817	1882	0.6221	2	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	44	8185076	8185276	201	1883	1949	0.9701	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	45	8184523	8184633	111	1950	1986	0.973	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	46	8183869	8183964	96	1987	2018	0.9688	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	47	8183656	8183757	102	2019	2052	0.7647	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	48	8182941	8183024	84	2053	2080	0.8571	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	49	8182184	8182294	111	2081	2117	0.8378	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	50	8181399	8181591	193	2118	2181	0.9692	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	51	8181041	8181160	120	2182	2220	0.9	2	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	52	8179410	8179585	176	2221	2278	0.8793	2	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	53	8178796	8178960	165	2279	2333	0.9818	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	54	8178178	8178364	187	2334	2395	0.8889	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	55	8177569	8177673	105	2396	2429	0.5556	2	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	56	8177368	8177486	119	2430	2469	0.8718	2	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	57	8176820	8176985	166	2470	2524	0.9821	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	58	8176100	8176260	161	2525	2578	1.0	2	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	59	8175044	8175205	162	2579	2632	0.8704	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	60	8174094	8174210	117	2633	2670	0.7368	0	intergenic				0	0	0.0
