accession	organism	annotated	n_protein_coding	median_gene_span	p90_gene_span	max_gene_span	n_itpr_loci	n_found_annotated
GCF_000690535.1	Cariama cristata	Y	14999	10123	42981	296503	2	2
GCF_000690775.1	Eurypyga helias	Y	14721	9167	39234	345645	2	2
GCF_000690835.1	Fulmarus glacialis	Y	15108	10118	41252	306834	3	1
GCF_000691845.1	Merops nubicus	Y	14559	8943	40304	361734	3	1
GCF_000691975.1	Corvus brachyrhynchos	Y	14927	14370	78222	1563774	3	4
GCF_000695765.1	Mesitornis unicolor	Y	15561	8825	37512	310634	3	2
GCF_000695815.1	Acanthisitta chloris	Y	15052	9062	42160	416581	3	3
GCF_000696875.1	Nestor notabilis	Y	14740	9939	45062	363023	3	2
GCF_000698965.1	Struthio camelus australis	Y	14590	17214	91606	1258879	3	4
GCF_000699105.1	Pygoscelis adeliae	Y	13747	16332	84895	1204567	3	4
GCF_000699145.1	Aptenodytes forsteri	Y	14550	15508	83236	1345565	3	4
GCF_000699245.1	Pterocles gutturalis	Y	14859	9372	39754	402189	3	3
GCF_000700745.2	Antrostomus carolinensis	Y	15278	9098	38398	356022	2	2
GCF_000703405.1	Apaloderma vittatum	Y	14307	9833	42153	322697	1	1
GCF_000705375.1	Tinamus guttatus	Y	15723	10845	52322	661347	2	2
GCF_000708025.1	Charadrius vociferus	Y	14465	14030	78228	1016474	3	4
GCF_000710305.1	Buceros rhinoceros silvestris	Y	14401	9800	42734	295565	1	2
GCF_000747805.2	Chaetura pelagica	Y	14101	13655	73709	1070131	3	4
GCF_001715985.3	Manacus vitellinus	Y	14489	14277	77352	1012766	3	4
GCF_003342845.1	Nothoprocta perdicaria	Y	15074	12292	66745	826423	3	4
GCF_003668045.3	Cricetulus griseus	Y	21841	13813	94765	1968760	3	4
GCF_003957555.1	Calypte anna	Y	14711	14631	83337	1021610	3	4
GCF_004115215.2	Ornithorhynchus anatinus	Y	18152	18631	114792	1878609	3	4
GCF_009764475.1	Pristis pectinata	Y	17434	34910	158473	2402828	3	4
GCF_009769465.1	Tauraco erythrolophus	Y	15707	13203	83109	1221578	3	4
GCF_011004845.1	Esox lucius	Y	24647	10009	50685	1152720	3	4
GCF_011004875.1	Balearica regulorum gibbericeps	Y	16191	15629	99218	1320554	3	4
GCF_013368585.1	Megalops cyprinoides	Y	25356	9736	49390	618578	3	4
GCF_013368605.1	Nyctibius grandis	Y	15872	14848	90355	1374504	3	4
GCF_014839835.1	Dryobates pubescens	Y	15338	14675	90059	1125431	3	4
GCF_016433145.1	Gracilinanus agilis	Y	21142	16722	131473	2270665	3	4
GCF_016699485.2	Gallus gallus	Y	18024	11986	80630	1287844	3	4
GCF_016859285.1	Xiphias gladius	Y	21362	9577	45337	1168582	3	4
GCF_017639515.1	Carcharodon carcharias	Y	19440	41626	222939	2752121	3	4
GCF_017654505.1	Polyodon spathula	Y	30722	11626	61819	879666	3	4
GCF_017976375.1	Cuculus canorus	Y	16774	15990	91030	1341795	3	4
GCF_018139145.2	Gymnogyps californianus	Y	15144	15400	91369	1343363	3	4
GCF_018320785.1	Cheilinus undulatus	Y	23316	13043	70986	1185173	3	4
GCF_018691265.1	Tyto alba	Y	16229	15587	92844	1435480	3	4
GCF_018977255.1	Callorhinchus milii	Y	17194	14381	70149	1038598	3	4
GCF_019279795.1	Protopterus annectens	Y	22039	423565	1850609	17083451	3	4
GCF_019393635.1	Dromiciops gliroides	Y	21870	20272	150874	2803489	3	4
GCF_019740435.1	Gambusia affinis	Y	23148	9175	44758	746427	3	4
GCF_020171115.1	Neogale vison	Y	20422	16741	122107	2250073	3	4
GCF_020740795.1	Apus apus	Y	14765	16313	96643	1111126	3	4
GCF_020826845.1	Diceros bicornis minor	Y	21434	16668	121574	1867373	3	4
GCF_021028975.2	Sphaerodactylus townsendi	Y	18976	21702	106747	1608225	3	4
GCF_021292245.1	Micropterus dolomieu	Y	24663	9131	45882	1205200	3	4
GCF_021613505.1	Equus quagga	Y	21070	16984	119009	2273580	3	4
GCF_023634155.1	Falco peregrinus	Y	16083	15874	94611	1203943	3	4
GCF_023851605.1	Tamandua tetradactyla	Y	21002	20838	162061	2428671	3	4
GCF_024166365.1	Elephas maximus indicus	Y	21809	18567	149714	2492337	3	4
GCF_025201925.1	Gopherus flavomarginatus	Y	20882	22614	157782	2697109	3	4
GCF_027244095.1	Hemicordylus capensis	Y	21239	24942	132293	2371016	3	4
GCF_027409185.1	Cynocephalus volans	Y	21694	14732	111620	2107999	3	4
GCF_027409825.1	Scomber japonicus	Y	23573	7761	40483	592634	3	4
GCF_027579695.1	Neoarius graeffei	Y	24873	22564	119226	1522149	3	4
GCF_027579735.1	Bombina bombina	Y	22468	72683	425359	4487195	3	4
GCF_027595985.1	Sorex araneus	Y	20687	14723	110983	2715231	3	4
GCF_028372415.1	Notamacropus eugenii	Y	21604	22758	154806	3393579	3	4
GCF_028389875.1	Rhea pennata	Y	16410	14844	86699	1388408	3	4
GCF_028858725.1	Colius striatus	Y	15621	14920	86706	1234970	3	4
GCF_029633855.1	Hoplias malabaricus	Y	26286	10660	51703	1000902	3	4
GCF_029633865.1	Lampris incognitus	Y	20934	14737	74746	1391372	3	4
GCF_030020395.1	Manis pentadactyla	Y	21077	17225	131639	2193636	3	4
GCF_030445035.2	Dasypus novemcinctus	Y	21697	18602	144251	2676723	3	4
GCF_030463565.1	Pelecanus crispus	Y	16064	13250	82111	1399804	3	4
GCF_030490865.1	Poecile atricapillus	Y	17743	13877	80016	1141085	3	4
GCF_030867095.1	Alligator mississippiensis	Y	20269	18908	131975	2292800	3	4
GCF_030867145.1	Opisthocomus hoazin	Y	16456	15727	96470	1446905	3	4
GCF_030936135.1	Gavia stellata	Y	16399	12919	78299	1305306	3	4
GCF_033026475.1	Channa argus	Y	23346	8273	38902	628821	3	4
GCF_033807715.1	Cololabis saira	Y	23923	12289	60203	966013	3	4
GCF_033978785.1	Entelurus aequoreus	Y	25442	21172	106191	1271581	3	4
GCF_034619465.1	Leptosomus discolor	Y	16216	12219	76395	1303251	3	4
GCF_034638445.1	Ciconia boyciana	Y	16546	15418	91630	1308402	3	4
GCF_034702125.1	Engraulis encrasicolus	Y	27663	11956	69745	1011609	3	4
GCF_035084215.1	Heptranchias perlo	Y	21852	31041	168534	2273142	3	4
GCF_035582795.1	Mycteria americana	Y	16519	15110	93504	1314206	3	4
GCF_035609145.1	Eleutherodactylus coqui	Y	21776	27058	138901	2524637	3	4
GCF_036013445.1	Caloenas nicobarica	Y	17126	12850	80551	1281342	3	4
GCF_036365525.1	Heterodontus francisci	Y	22886	37462	221031	2863484	3	4
GCF_036370855.1	Dromaius novaehollandiae	Y	17857	15448	94924	1579923	3	4
GCF_036373705.1	Amia ocellicauda	Y	20681	10183	54771	764316	3	4
GCF_036417535.1	Chlamydotis macqueenii	Y	16567	14013	87060	1302935	3	4
GCF_036417845.1	Apteryx mantelli	Y	17430	14130	86512	1279784	3	4
GCF_036850765.1	Saccopteryx bilineata	Y	19291	21237	139191	2510439	3	4
GCF_036971445.1	Narcine bancroftii	Y	18559	41712	193907	4541667	3	4
GCF_037157495.1	Lathamus discolor	Y	16234	14818	88096	1176091	3	4
GCF_037176945.1	Latimeria chalumnae	Y	19735	32255	164326	2325549	3	4
GCF_037893015.1	Macrotis lagotis	Y	21156	23103	156907	3314517	3	4
GCF_039877785.1	Chaetodon trifascialis	Y	22038	8019	42943	636019	3	4
GCF_040054535.1	Antennarius striatus	Y	21475	7373	34869	593489	3	4
GCF_040807025.1	Struthio camelus	Y	17572	16839	101427	1498714	3	4
GCF_040954835.1	Lepisosteus oculatus	Y	20652	12925	68148	1399044	3	4
GCF_041296385.2	Aphelocoma coerulescens	Y	17513	13214	80378	1310258	3	4
GCF_041902795.1	Electrophorus electricus	Y	23920	8079	36727	722044	3	4
GCF_042186555.1	Aquarana catesbeiana	Y	24438	46212	246767	3871666	3	3
GCF_042242105.1	Pempheris klunzingeri	Y	21964	7612	38070	553579	3	4
GCF_043380555.1	Nothobranchius furzeri	Y	24412	10160	61171	970727	3	4
GCF_045865225.1	Trachurus japonicus	Y	26570	8184	45745	1046957	3	4
GCF_046128005.1	Genypterus blacodes	Y	21926	5960	27822	380406	3	4
GCF_047370975.1	Nipponia nippon	Y	17865	14760	91685	1359349	3	4
GCF_047496795.1	Chiloscyllium punctatum	Y	19909	42737	212816	2790214	3	4
GCF_047496885.1	Scyliorhinus torazame	Y	23012	56051	298678	4064875	3	4
GCF_047663525.1	Anas platyrhynchos	Y	17676	13377	85949	1639674	3	4
GCF_047716275.1	Strix uralensis	Y	16684	15053	90833	1283073	3	4
GCF_048418815.1	Hemitrygon akajei	Y	21646	40763	204024	2964155	3	4
GCF_048593235.1	Sminthopsis crassicaudata	Y	19709	23465	155657	3351339	3	4
GCF_048594095.1	Paramormyrops kingsleyae	Y	24872	10017	45228	589098	3	4
GCF_048934315.1	Petromyzon marinus	Y	22381	19033	73585	859832	1	2
GCF_049350105.2	Macaca mulatta	Y	21513	21979	145846	2485711	3	4
GCF_050624435.1	Tenrec ecaudatus	Y	21285	15259	121989	2300776	3	4
GCF_052040795.1	Danio rerio	Y	28415	14990	94749	2560186	3	4
GCF_052327205.1	Somniosus microcephalus	Y	24829	39331	222321	3852991	3	4
GCF_054371585.1	Giraffa tippelskirchi	Y	22705	17581	137724	2308738	3	4
GCF_054491055.1	Hypomesus nipponensis	Y	24171	6107	29445	442500	3	4
GCF_056507025.1	Lutjanus erythropterus	Y	24436	9691	53672	884227	3	4
GCF_057381845.1	Rhamphochromis longiceps	Y	28950	8012	42489	850360	3	4
GCF_900324485.3	Mastacembelus armatus	Y	22289	7403	36221	1077549	3	4
GCF_900634775.2	Gouania willdenowi	Y	23032	11462	53903	1189405	3	4
GCF_900747795.2	Erpetoichthys calabaricus	Y	22075	37383	217115	5922889	3	4
GCF_900880675.2	Sparus aurata	Y	25763	8775	45662	1044539	3	4
GCF_901000725.3	Takifugu rubripes	Y	22090	5529	24281	1118483	3	4
GCF_901001135.2	Rhinatrema bivittatum	Y	21544	50795	324051	4035193	3	4
GCF_902148855.1	Sphaeramia orbicularis	Y	24204	12532	65216	1359089	3	4
GCF_902150065.1	Myripristis murdjan	Y	23480	10119	49447	1044768	3	4
GCF_902167405.1	Gadus morhua	Y	23528	8225	36932	993561	3	4
GCF_902362185.1	Chanos chanos	Y	23253	6888	32939	704547	3	4
GCF_902500255.1	Thalassophryne amazonica	Y	22351	25043	139110	3434143	3	4
GCF_907165065.1	Caprimulgus europaeus	Y	15555	14226	82178	1231223	3	4
GCF_933228915.1	Telmatherina bonti	Y	20420	10099	54140	685025	3	4
GCF_947461875.1	Haliaeetus albicilla	Y	17123	14774	93314	1354570	3	4
GCF_949152265.1	Phoxinus phoxinus	Y	26412	10459	53967	978518	3	4
GCF_949606895.1	Notothenia rossii	Y	29256	8813	46949	1042014	3	4
GCF_949987555.1	Borostomias antarcticus	Y	22180	8048	39035	605137	3	4
GCF_949987685.1	Ammodytes marinus	Y	22585	9213	44255	671945	3	4
GCF_951640355.1	Cnephaeus nilssonii	Y	19697	16772	111383	2362317	3	4
GCF_951799975.1	Gobius niger	Y	22652	8366	50436	1481628	3	4
GCF_960531495.1	Zeus faber	Y	20540	9576	45525	677945	3	4
GCF_963457635.1	Microchirus variegatus	Y	20585	7871	39727	516891	3	4
GCF_963514005.1	Raja brachyura	Y	18971	31856	159948	2030282	3	4
GCF_963514075.1	Conger conger	Y	26618	11194	53364	883637	3	4
GCF_963514085.1	Chelon labrosus	Y	23960	7628	36109	633819	3	4
GCF_963921795.1	Nannobrachium achirus	Y	27827	10863	66505	1346377	3	4
GCF_963921805.1	Phalacrocorax carbo	Y	16906	14942	92206	1419204	3	4
GCF_963971535.1	Notolepis coatsorum	Y	0	0	0	0	3	0
GCF_963989245.1	Nansenia antarctica	Y	25145	8324	41371	646007	3	4
GCF_964187855.1	Myxine glutinosa	Y	18316	40742	178687	1962167	1	2
GCF_964195595.1	Calonectris borealis	Y	17007	14861	87950	1348716	3	4
GCF_964237555.1	Oryctolagus cuniculus	Y	21895	17598	135249	2389242	3	4
GCF_964237585.1	Gallinula chloropus	Y	16675	11759	73332	1290802	3	4
GCF_964261635.1	Lissotriton helveticus	Y	26911	134953	702094	12633448	3	4
GCF_964289735.1	Phaethon aethereus	Y	15424	12559	81688	1339794	3	4
GCF_964417175.1	Larus argentatus	Y	17601	15737	92867	1702750	3	4
GCF_964638095.1	Poromitra crassiceps	Y	26116	12881	67977	1167224	3	4
GCF_965183815.1	Platalea leucorodia	Y	17249	13849	83582	1359850	3	4
GCF_965601325.1	Salmo salar	Y	42774	13167	76992	1296826	3	4
GCF_965638725.1	Aptenodytes patagonicus	Y	15928	16418	99303	1394632	3	4
