label	accession	rule	cell	group	paralog	paralog_raw	paralog_source	family_call	species	taxon_id	band	census_group	kingdom	phylum	class	order	length	n_itpr_arch	fragment	reviewed	protein_existence	profile_confidence	itpr_score	ryr_score	rel_margin	source	db_status	genome_accession	copy_index	copy_number	shape_note	decided_by	runner_up	n_candidates	seq_store	seq_length	x_count
ITPR1_Mus_musculus_Mouse_P11881	P11881	R1	ITPR1@mammalia	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Mus musculus (Mouse)	10090	mammalia	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	2749	5		1	Evidence at protein level	high	4442.8	434.4	0.9022	InterPro						is_bait	Q9TU34	394	s2_seeded	2749	0
ITPR1_Podarcis_muralis_Wall_lizard_Lacerta_m_A0A670JBK6	A0A670JBK6	R1	ITPR1@reptilia	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Podarcis muralis (Wall lizard) (Lacerta muralis)	64176	reptilia	Vertebrata	Metazoa	Chordata	Lepidosauria	Squamata	2747	5		0	Inferred from homology	high	4401.1	430.4	0.9022	InterPro						is_bait	A0A803TVR0	76	s2_seeded	2747	0
ITPR1_Salarias_fasciatus_Jewelled_blenny_Ble_A0A672IUQ7	A0A672IUQ7	R1	ITPR1@actinopteri	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Salarias fasciatus (Jewelled blenny) (Blennius fasciatus)	181472	actinopteri	Vertebrata	Metazoa	Chordata	Actinopteri	Blenniiformes	2748	5		0	Inferred from homology	high	4340.9	416.7	0.904	InterPro						is_bait	A0A673C036	471	s2_seeded	2748	0
ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519	GCF_052327205.1|ITPR1|NC_140997.1:147905519-148503708+	R1	ITPR1@chondrichthyes	ITPR1	ITPR1	ITPR1	s5_cell	ITPR	Somniosus microcephalus		chondrichthyes	Vertebrata	Metazoa	Chordata	Chondrichthyes	Squaliformes	2752					high	4155.5	391.2	0.9059	S5_genome	annotated_unnamed	GCF_052327205.1	ITPR1			length_fit	GCA_057876775.1|ITPR1|CM174640.1:74134923-75004540-	3	s5_models	2752	3
ITPR1_Xenopus_tropicalis_Western_clawed_frog_A0A8J0T3U5	A0A8J0T3U5	R1	ITPR1@amphibia	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	8364	amphibia	Vertebrata	Metazoa	Chordata	Amphibia	Anura	2743	5		0	Inferred from homology	high	4365.5	422.2	0.9033	InterPro						is_bait	A0A8J0SCQ7	30	s2_seeded	2743	0
ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1	A0AAX7UHL1	R1	ITPR2@actinopteri	ITPR2	ITPR2	ITPR2	gene_symbol	ITPR	Astatotilapia calliptera (Eastern river bream) (Chromis callipterus)	8154	actinopteri	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	2701	5		0	Inferred from homology	high	3931.5	443.5	0.8872	InterPro						is_bait	W5UEV5	276	s2_seeded	2701	0
ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3	A0A8M9PQQ3	R1	ITPR2@actinopteri	ITPR2	ITPR2	ITPR2	gene_symbol	ITPR	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	actinopteri	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	2665	5		0	Evidence at protein level	high	3986.5	428.8	0.8924	InterPro						protein_existence	A0AAX7UHL1	276	s2_seeded	2665	0
ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896	GCA_057876775.1|ITPR2|CM174645.1:17288896-17593392+	R1	ITPR2@chondrichthyes	ITPR2	ITPR2	ITPR2	s5_cell	ITPR	Echinorhinus cookei		chondrichthyes	Vertebrata	Metazoa	Chordata	Chondrichthyes	Echinorhiniformes	2704					high	4134.2	431.7	0.8956	S5_genome	genome_only	GCA_057876775.1	ITPR2			sole_candidate		1	s5_models	2704	1
ITPR2_Gallus_gallus_Chicken_F1P1X4	F1P1X4	R1	ITPR2@aves	ITPR2	ITPR2	ITPR2	gene_symbol	ITPR	Gallus gallus (Chicken)	9031	aves	Vertebrata	Metazoa	Chordata	Aves	Galliformes	2700	5		0	Evidence at protein level	high	4282.0	437.7	0.8978	InterPro						protein_existence	A0A672UP22	168	s2_seeded	2700	0
ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32	A0ABM1LG32	R1	ITPR2@reptilia	ITPR2	ITPR2	ITPR2	gene_symbol	ITPR	Gekko japonicus (Schlegel's Japanese gecko)	146911	reptilia	Vertebrata	Metazoa	Chordata	Lepidosauria	Squamata	2701	5		0	Inferred from homology	high	4231.2	432.4	0.8978	InterPro						is_bait	A0A674KB41	89	s2_seeded	2701	0
ITPR2_Homo_sapiens_Human_Q14571	Q14571	R1	forced:Hs_ITPR2_Q14571	ITPR2	ITPR2	ITPR2	gene_symbol	ITPR	Homo sapiens (Human)	9606	mammalia	Vertebrata	Metazoa	Chordata	Mammalia	Primates	2701	5		1	Evidence at protein level	high	4274.3	446.8	0.8955	InterPro						forced		1	s2_seeded	2701	0
ITPR2_Mus_musculus_Mouse_Q9Z329	Q9Z329	R1	ITPR2@mammalia	ITPR2	ITPR2	ITPR2	gene_symbol	ITPR	Mus musculus (Mouse)	10090	mammalia	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	2701	5		1	Evidence at protein level	high	4266.1	454.2	0.8935	InterPro						is_bait	P29995	205	s2_seeded	2701	0
ITPR2_Nibea_albiflora_GCA_014281875.1_ITPR2_12447838	GCA_014281875.1|ITPR2|CM024800.1:12447838-12500306-	R7	novel:vertebrate	ITPR2	ITPR2	ITPR2	s5_cell	ITPR	Nibea albiflora		actinopteri	Vertebrata	Metazoa	Chordata	Actinopteri		2673					high	4015.9	450.6	0.8878	S5_genome	genome_only	GCA_014281875.1	ITPR2			profile_score	GCA_002197005.1|ITPR1|CM008031.1:28422367-28806490-	205	s5_models	2673	1
ITPR2_Rattus_norvegicus_Rat_P29995	P29995	R1	ITPR2@mammalia	ITPR2	ITPR2	ITPR2	gene_symbol	ITPR	Rattus norvegicus (Rat)	10116	mammalia	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	2701	5		1	Evidence at protein level	high	4262.0	456.4	0.8929	InterPro						profile_score	Q8WN96	205	s2_seeded	2701	0
ITPR2_Strigops_habroptila_Kakapo_A0A672UP22	A0A672UP22	R1	ITPR2@aves	ITPR2	ITPR2	ITPR2	gene_symbol	ITPR	Strigops habroptila (Kakapo)	2489341	aves	Vertebrata	Metazoa	Chordata	Aves	Psittaciformes	2700	5		0	Inferred from homology	high	4276.2	439.3	0.8973	InterPro						is_bait	A0A1D5P2S9	168	s2_seeded	2700	0
ITPR2_Xenopus_tropicalis_Western_clawed_frog_A0A6I8RGU0	A0A6I8RGU0	R1	ITPR2@amphibia	ITPR2	ITPR2	ITPR2	gene_symbol	ITPR	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	8364	amphibia	Vertebrata	Metazoa	Chordata	Amphibia	Anura	2705	5		0	Inferred from homology	high	4231.1	439.1	0.8962	InterPro						is_bait	A0A6P8RSG5	9	s2_seeded	2705	0
ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9	A0A663MIF9	R1	ITPR3@aves	ITPR3	ITPR3	ITPR3	gene_symbol	ITPR	Athene cunicularia (Burrowing owl) (Speotyto cunicularia)	194338	aves	Vertebrata	Metazoa	Chordata	Aves	Strigiformes	2666	5		0	Inferred from homology	high	3997.0	405.6	0.8985	InterPro						length_fit	A0A6J3E5N5	334	s2_seeded	2666	0
ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7	A0A4W3GWE7	R1	ITPR3@chondrichthyes	ITPR3	ITPR3	ITPR3	gene_symbol	ITPR	Callorhinchus milii (Ghost shark)	7868	chondrichthyes	Vertebrata	Metazoa	Chordata	Chondrichthyes	Chimaeriformes	2630	5		0	Inferred from homology	high	3827.0	417.5	0.8909	InterPro						is_bait	A0A4W3GHU7	11	s2_seeded	2630	0
ITPR3_Copsychus_sechellarum_GCA_054084135.1_ITPR3_2574051	GCA_054084135.1|ITPR3|CM133804.1:2574051-2620493+	R7	novel:vertebrate	ITPR3	ITPR3	ITPR3	s5_cell	ITPR	Copsychus sechellarum		aves	Vertebrata	Metazoa	Chordata	Aves	Passeriformes	2671					high	4042.9	413.6	0.8977	S5_genome	genome_only	GCA_054084135.1	ITPR3			profile_score	GCA_056776345.1|ITPR3|CM165329.1:2783550-2828148+	205	s5_models	2671	1
ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266	A0A8M6Z266	R1	ITPR3@actinopteri	ITPR3	ITPR3	ITPR3	gene_symbol	ITPR	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	actinopteri	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	2635	5		0	Inferred from homology	high	3898.6	394.8	0.8987	InterPro						is_bait	W5UCH4	176	s2_seeded	2635	0
ITPR3_Echinorhinus_cookei_GCA_057876775.1_ITPR3_46076206	GCA_057876775.1|ITPR3|CM174648.1:46076206-46431389-	R7	novel:vertebrate	ITPR3	ITPR3	ITPR3	s5_cell	ITPR	Echinorhinus cookei		chondrichthyes	Vertebrata	Metazoa	Chordata	Chondrichthyes	Echinorhiniformes	2633					high	3815.9	402.9	0.8944	S5_genome	genome_only	GCA_057876775.1	ITPR3			length_fit	GCA_036247105.2|ITPR1|CM070012.1:25047339-25086266+	205	s5_models	2633	2
ITPR3_Gallus_gallus_Chicken_A0A8V1ACE6	A0A8V1ACE6	R1	ITPR3@aves	ITPR3	ITPR3	ITPR3	gene_symbol	ITPR	Gallus gallus (Chicken)	9031	aves	Vertebrata	Metazoa	Chordata	Aves	Galliformes	2664	5		0	Evidence at protein level	high	4065.1	413.1	0.8984	InterPro						is_bait	A0A8V1ACF1	334	s2_seeded	2664	0
ITPR3_Homo_sapiens_Human_Q14573	Q14573	R1	forced:Hs_ITPR3_Q14573	ITPR3	ITPR3	ITPR3	gene_symbol	ITPR	Homo sapiens (Human)	9606	mammalia	Vertebrata	Metazoa	Chordata	Mammalia	Primates	2671	5		1	Evidence at protein level	high	4045.7	420.1	0.8962	InterPro						forced		1	s2_seeded	2671	0
ITPR3_Hymenochirus_boettgeri_GCA_019447015.1_ITPR3_126480658	GCA_019447015.1|ITPR3|CM033470.1:126480658-127318646+	R7	novel:vertebrate	ITPR3	ITPR3	ITPR3	s5_cell	ITPR	Hymenochirus boettgeri		amphibia	Vertebrata	Metazoa	Chordata	Amphibia	Anura	2666					high	3887.5	392.4	0.8991	S5_genome	genome_only	GCA_019447015.1	ITPR3			profile_score	GCA_056824565.1|ITPR3|CM166132.1:92347456-92429958-	205	s5_models	2666	1
ITPR3_Latimeria_chalumnae_Coelacanth_H3B932	H3B932	R1	ITPR3@sarcopterygian_fish	ITPR3	ITPR3	ITPR3	gene_symbol	ITPR	Latimeria chalumnae (Coelacanth)	7897	sarcopterygian_fish	Vertebrata	Metazoa	Chordata		Coelacanthiformes	2675	5		0	Inferred from homology	high	3705.8	383.7	0.8965	InterPro						sole_candidate		1	s2_seeded	2675	0
ITPR3_Mus_musculus_Mouse_P70227	P70227	R1	ITPR3@mammalia	ITPR3	ITPR3	ITPR3	gene_symbol	ITPR	Mus musculus (Mouse)	10090	mammalia	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	2670	5		1	Evidence at protein level	high	4034.9	417.5	0.8965	InterPro						is_bait	Q63269	208	s2_seeded	2670	0
ITPR3_Nothobranchius_furzeri_Turquoise_killi_A0A8C6KWV8	A0A8C6KWV8	R1	ITPR3@actinopteri	ITPR3	ITPR3	ITPR3	gene_symbol	ITPR	Nothobranchius furzeri (Turquoise killifish)	105023	actinopteri	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	2670	5		0	Inferred from homology	high	3867.2	406.6	0.8949	InterPro						length_fit	A0A8M6Z266	176	s2_seeded	2670	0
ITPR3_Pogona_vitticeps_central_bearded_drago_A0A6J0TV85	A0A6J0TV85	R1	ITPR3@reptilia	ITPR3	ITPR3	ITPR3	gene_symbol	ITPR	Pogona vitticeps (central bearded dragon)	103695	reptilia	Vertebrata	Metazoa	Chordata	Lepidosauria	Squamata	2666	5		0	Inferred from homology	high	4033.7	414.4	0.8973	InterPro						is_bait	K7G568	53	s2_seeded	2666	0
ITPR3_Rattus_norvegicus_Rat_Q63269	Q63269	R1	ITPR3@mammalia	ITPR3	ITPR3	ITPR3	gene_symbol	ITPR	Rattus norvegicus (Rat)	10116	mammalia	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	2670	5		1	Evidence at protein level	high	4032.9	416.4	0.8967	InterPro						length_fit	Q8WN95	208	s2_seeded	2670	0
ITPR3_Saguinus_oedipus_GCA_031835075.1_ITPR3_43596197	GCA_031835075.1|ITPR3|CM063172.1:43596197-43906199+	R7	novel:vertebrate	ITPR3	ITPR3	ITPR3	s5_cell	ITPR	Saguinus oedipus		mammalia	Vertebrata	Metazoa	Chordata	Mammalia	Primates	2672					high	4053.3	419.7	0.8965	S5_genome	genome_only	GCA_031835075.1	ITPR3			profile_score	GCA_007760645.1|ITPR3|RWJT01022005.1:5949234-6016275+	205	s5_models	2672	1
ITPR3_Sousa_chinensis_GCA_007760645.1_ITPR3_5949234	GCA_007760645.1|ITPR3|RWJT01022005.1:5949234-6016275+	R7	novel:vertebrate	ITPR3	ITPR3	ITPR3	s5_cell	ITPR	Sousa chinensis		mammalia	Vertebrata	Metazoa	Chordata	Mammalia	Artiodactyla	2672					high	4040.3	420.3	0.896	S5_genome	genome_only	GCA_007760645.1	ITPR3			profile_score	GCA_987193245.1|ITPR3|OZ497764.1:73318721-73464417+	205	s5_models	2672	1
ITPR3_Sphenodon_punctatus_GCA_003113815.1_ITPR3_3264626	GCA_003113815.1|ITPR3|QEPC01007384.1:3264626-3429450+	R7	novel:vertebrate	ITPR3	ITPR3	ITPR3	s5_cell	ITPR	Sphenodon punctatus		reptilia	Vertebrata	Metazoa	Chordata	Lepidosauria	Sphenodontia	2667					high	4045.6	414.7	0.8975	S5_genome	genome_only	GCA_003113815.1	ITPR3			profile_score	GCA_058224745.1|ITPR3|JAWJJZ010000071.1:234358-294993+	205	s5_models	2667	1
ITPR3_Spizella_passerina_GCA_056776345.1_ITPR3_2783550	GCA_056776345.1|ITPR3|CM165329.1:2783550-2828148+	R7	novel:vertebrate	ITPR3	ITPR3	ITPR3	s5_cell	ITPR	Spizella passerina		aves	Vertebrata	Metazoa	Chordata	Aves	Passeriformes	2671					high	4041.7	413.5	0.8977	S5_genome	genome_only	GCA_056776345.1	ITPR3			length_fit	GCA_031835075.1|ITPR3|CM063172.1:43596197-43906199+	205	s5_models	2671	1
ITPR3_Xenopus_tropicalis_Western_clawed_frog_A0A8J0SYK9	A0A8J0SYK9	R1	ITPR3@amphibia	ITPR3	ITPR3	ITPR3	gene_symbol	ITPR	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	8364	amphibia	Vertebrata	Metazoa	Chordata	Amphibia	Anura	2673	5		0	Inferred from homology	high	3997.2	422.2	0.8944	InterPro						is_bait	A0A6P7ZAD8	9	s2_seeded	2673	0
vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0	A0A4W3JHJ0	R3	basal@chondrichthyes:Callorhinchus_milii	vertebrate_basal			none	ITPR	Callorhinchus milii (Ghost shark)	7868	chondrichthyes	Vertebrata	Metazoa	Chordata	Chondrichthyes	Chimaeriformes	2683	5		0	Inferred from homology	high	4070.7	431.4	0.894	InterPro						is_bait	A0A4W3IQL0	23	s2_seeded	2683	0
vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0	A0A4W3IQL0	R3	basal@chondrichthyes:Callorhinchus_milii	vertebrate_basal			none	ITPR	Callorhinchus milii (Ghost shark)	7868	chondrichthyes	Vertebrata	Metazoa	Chordata	Chondrichthyes	Chimaeriformes	2668	5		0	Inferred from homology	high	4155.5	431.2	0.8962	InterPro						length_fit	A0A4W3JQ24	23	s2_seeded	2668	0
vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JQ24	A0A4W3JQ24	R3	basal@chondrichthyes:Callorhinchus_milii	vertebrate_basal			none	ITPR	Callorhinchus milii (Ghost shark)	7868	chondrichthyes	Vertebrata	Metazoa	Chordata	Chondrichthyes	Chimaeriformes	2667	5		0	Inferred from homology	high	4129.3	450.9	0.8908	InterPro						length_fit	A0A4W3J078	23	s2_seeded	2667	0
vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401SQC9	A0A401SQC9	R3	basal@chondrichthyes:Chiloscyllium_punctatum	vertebrate_basal			none	ITPR	Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	137246	chondrichthyes	Vertebrata	Metazoa	Chordata	Chondrichthyes	Orectolobiformes	2705	5		0	Inferred from homology	high	4251.3	418.7	0.9015	InterPro						length_fit	A0A401S8Q3	3	s2_seeded	2705	0
vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401S8Q3	A0A401S8Q3	R3	basal@chondrichthyes:Chiloscyllium_punctatum	vertebrate_basal			none	ITPR	Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	137246	chondrichthyes	Vertebrata	Metazoa	Chordata	Chondrichthyes	Orectolobiformes	2490	5		0	Inferred from homology	high	3636.0	416.3	0.8855	InterPro						complete_architecture	A0A401RNU3	3	s2_seeded	2490	0
vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3	A0A401RNU3	R3	basal@chondrichthyes:Chiloscyllium_punctatum	vertebrate_basal			none	ITPR	Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	137246	chondrichthyes	Vertebrata	Metazoa	Chordata	Chondrichthyes	Orectolobiformes	2211	3		0	Inferred from homology	high	3155.6	225.9	0.9284	InterPro						sole_candidate		3	s2_seeded	2211	0
vertebrate_basal_Latimeria_chalumnae_GCF_037176945.1_ITPR1_35775795	GCF_037176945.1|ITPR1|NC_088152.1:35775795-36028576+	R3	basal@sarcopterygian_fish:Latimeria_chalumnae	vertebrate_basal		ITPR1	s5_cell (not a label in this band)	ITPR	Latimeria chalumnae		sarcopterygian_fish	Vertebrata	Metazoa	Chordata	Coelacanthimorpha	Coelacanthiformes	2730					high	4072.1	407.0	0.9001	S5_genome	annotated_unnamed	GCF_037176945.1	ITPR1			sole_candidate		1	s5_models	2730	1
vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_86116883	GCF_964187855.1|ITPR1|NC_136272.1:86116883-86302368-	R3	basal@cyclostomata:Myxine_glutinosa	vertebrate_basal		ITPR1	s5_cell (not a label in this band)	ITPR	Myxine glutinosa		cyclostomata	Vertebrata	Metazoa	Chordata	Myxini	Myxiniformes	2710					high	3581.2	415.3	0.884	S5_genome	annotated_unnamed	GCF_964187855.1	ITPR1			length_fit	GCF_964187855.1|ITPR1|NC_136264.1:122839381-123519227-	3	s5_models	2710	1
vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_122839381	GCF_964187855.1|ITPR1|NC_136264.1:122839381-123519227-	R3	basal@cyclostomata:Myxine_glutinosa	vertebrate_basal		ITPR1	s5_cell (not a label in this band)	ITPR	Myxine glutinosa		cyclostomata	Vertebrata	Metazoa	Chordata	Myxini	Myxiniformes	2730					high	3766.7	385.0	0.8978	S5_genome	annotated_unnamed	GCF_964187855.1	ITPR1			length_fit	GCF_964187855.1|ITPR1|NC_136261.1:297520938-297891384-	3	s5_models	2730	0
vertebrate_basal_Myxine_glutinosa_GCF_964187855.1_ITPR1_297520938	GCF_964187855.1|ITPR1|NC_136261.1:297520938-297891384-	R3	basal@cyclostomata:Myxine_glutinosa	vertebrate_basal		ITPR1	s5_cell (not a label in this band)	ITPR	Myxine glutinosa		cyclostomata	Vertebrata	Metazoa	Chordata	Myxini	Myxiniformes	2737					high	3916.1	430.9	0.89	S5_genome	annotated_unnamed	GCF_964187855.1	ITPR1			sole_candidate		3	s5_models	2737	0
vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0AAJ7U4X1	A0AAJ7U4X1	R3	basal@cyclostomata:Petromyzon_marinus	vertebrate_basal			none	ITPR	Petromyzon marinus (Sea lamprey)	7757	cyclostomata	Vertebrata	Metazoa	Chordata	Hyperoartia	Petromyzontiformes	2838	5		0	Inferred from homology	high	4201.2	439.1	0.8955	InterPro						is_bait	A0ACM8BRT5	3	s2_seeded	2838	0
vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8BRT5	A0ACM8BRT5	R3	basal@cyclostomata:Petromyzon_marinus	vertebrate_basal			none	ITPR	Petromyzon marinus (Sea lamprey)	7757	cyclostomata	Vertebrata	Metazoa	Chordata	Hyperoartia	Petromyzontiformes	2737	5		0	Inferred from homology	high	3993.9	432.7	0.8917	InterPro						length_fit	A0ACM8C056	3	s2_seeded	2737	0
vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0ACM8C056	A0ACM8C056	R3	basal@cyclostomata:Petromyzon_marinus	vertebrate_basal			none	ITPR	Petromyzon marinus (Sea lamprey)	7757	cyclostomata	Vertebrata	Metazoa	Chordata	Hyperoartia	Petromyzontiformes	2773	5		0	Inferred from homology	high	3831.6	424.7	0.8892	InterPro						sole_candidate		3	s2_seeded	2773	0
invert_metazoa_Actinia_tenebrosa_Australian_red_warat_A0A6P8IUM8	A0A6P8IUM8	R4	phylum:Cnidaria	invert_metazoa			none	ITPR	Actinia tenebrosa (Australian red waratah sea anemone)	6105		Metazoa (non-vertebrate)	Metazoa	Cnidaria	Anthozoa	Actiniaria	2745	5		0	Inferred from homology	high	3905.6	416.2	0.8934	InterPro						length_fit	A0ABN8N199	13	s2_seeded	2745	0
invert_metazoa_Amphimedon_queenslandica_Sponge_A0AAN0JIF7	A0AAN0JIF7	R4	phylum:Porifera	invert_metazoa			none	ITPR	Amphimedon queenslandica (Sponge)	400682		Metazoa (non-vertebrate)	Metazoa	Porifera	Demospongiae	Haplosclerida	2766	5		0	Inferred from homology	high	3141.3	364.7	0.8839	InterPro						length_fit	A0AAV7JYY9	3	s2_seeded	2766	2
invert_metazoa_Araneus_ventricosus_Orbweaver_spider_E_A0A4Y2F2N2	A0A4Y2F2N2	R4	phylum:Arthropoda	invert_metazoa			none	ITPR	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	182803		Metazoa (non-vertebrate)	Metazoa	Arthropoda	Arachnida	Araneae	2774	5		0	Inferred from homology	high	3963.0	473.7	0.8805	InterPro						length_fit	A0ABM1SEU6	270	s2_seeded	2774	0
invert_metazoa_Brachionus_calyciflorus_A0A813MP72	A0A813MP72	R4	phylum:Rotifera	invert_metazoa			none	ITPR	Brachionus calyciflorus	104777		Metazoa (non-vertebrate)	Metazoa	Rotifera	Eurotatoria	Ploima	3029	5		0	Inferred from homology	high	3077.1	409.6	0.8669	InterPro						is_bait	A0A814SIN2	9	s2_seeded	3029	0
