bait	bait_paralog	bait_clade	bait_family	cell	reference	bait_len	mapped_residues	frac_bait_on_ref	pair_identity	usable	frame_via_cell
A0ABM4F3U0	ITPR1	ITPR1	ITPR	ITPR3	Q14573	2750	2625	0.9545	0.651	1	0
A0AC58GZ77	RYR2	RYR	RYR	RYR	Q92736	4961	4933	0.9944	0.8672	1	0
F1P1X4	ITPR2	ITPR2	ITPR	ITPR1	Q14643	2700	2668	0.9881	0.7174	1	0
F1P1X4	ITPR2	ITPR2	ITPR	ITPR2	Q14571	2700	2698	0.9993	0.9311	1	0
F1P1X4	ITPR2	ITPR2	ITPR	ITPR3	Q14573	2700	2622	0.9711	0.6785	1	0
H3A1P5	ITPR1	ITPR1	ITPR	ITPR1	Q14643	2725	2701	0.9912	0.8686	1	0
H3A1P5	ITPR1	ITPR1	ITPR	ITPR2	Q14571	2725	2628	0.9644	0.6804	1	0
H3A1P5	ITPR1	ITPR1	ITPR	ITPR3	Q14573	2725	2563	0.9406	0.6344	1	0
H3B932	ITPR3	ITPR3	ITPR	ITPR1	Q14643	2675	2609	0.9753	0.6294	1	0
H3B932	ITPR3	ITPR3	ITPR	ITPR2	Q14571	2675	2624	0.9809	0.6433	1	0
H3B932	ITPR3	ITPR3	ITPR	ITPR3	Q14573	2675	2651	0.991	0.7699	1	0
H3BGR5	RYR1	RYR	RYR	RYR	Q92736	5024	4875	0.9703	0.6878	1	0
P11881	ITPR1	ITPR1	ITPR	ITPR1	Q14643	2749	2748	0.9996	0.9865	1	0
P11881	ITPR1	ITPR1	ITPR	ITPR2	Q14571	2749	2675	0.9731	0.7095	1	0
P11881	ITPR1	ITPR1	ITPR	ITPR3	Q14573	2749	2622	0.9538	0.6506	1	0
P70227	ITPR3	ITPR3	ITPR	ITPR1	Q14643	2670	2619	0.9809	0.6491	1	0
P70227	ITPR3	ITPR3	ITPR	ITPR2	Q14571	2670	2624	0.9828	0.6726	1	0
P70227	ITPR3	ITPR3	ITPR	ITPR3	Q14573	2670	2670	1	0.9536	1	0
Q14571	ITPR2	ITPR2	ITPR	ITPR1	Q14643	2701	2670	0.9885	0.7112	1	0
Q14571	ITPR2	ITPR2	ITPR	ITPR2	Q14571	2701	2701	1	1	1	0
Q14571	ITPR2	ITPR2	ITPR	ITPR3	Q14573	2701	2627	0.9726	0.6722	1	0
Q14573	ITPR3	ITPR3	ITPR	ITPR1	Q14643	2671	2622	0.9817	0.6484	1	0
Q14573	ITPR3	ITPR3	ITPR	ITPR2	Q14571	2671	2627	0.9835	0.6722	1	0
Q14573	ITPR3	ITPR3	ITPR	ITPR3	Q14573	2671	2671	1	1	1	0
Q14643	ITPR1	ITPR1	ITPR	ITPR1	Q14643	2758	2758	1	1	1	0
Q14643	ITPR1	ITPR1	ITPR	ITPR2	Q14571	2758	2670	0.9681	0.7112	1	0
Q14643	ITPR1	ITPR1	ITPR	ITPR3	Q14573	2758	2622	0.9507	0.6484	1	0
Q92736	RYR2	RYR	RYR	RYR	Q92736	4967	4967	1	1	1	0
Q9Z329	ITPR2	ITPR2	ITPR	ITPR1	Q14643	2701	2676	0.9907	0.71	1	0
Q9Z329	ITPR2	ITPR2	ITPR	ITPR2	Q14571	2701	2701	1	0.9582	1	0
Q9Z329	ITPR2	ITPR2	ITPR	ITPR3	Q14573	2701	2627	0.9726	0.6734	1	0
W5MYT2		vertebrate_basal	ITPR	ITPR1	Q14643	2772	2741	0.9888	0.896	1	1
W5MYT2		vertebrate_basal	ITPR	ITPR2	Q14571	2772	2684	0.9683	0.706	1	1
W5MYT2		vertebrate_basal	ITPR	ITPR3	Q14573	2772	2623	0.9462	0.655	1	1
