accession	organism	vclass	cell	locus_idx	state	in_architecture_scope	architecture_excluded_by	n_models	n_internal_termini	n_at_exon_boundary	n_mid_exon	n_in_intron	n_splice_ok	n_both_agree	frac_at_exon_boundary	frac_splice_ok	verdict	verdict_reason
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	2	4	0	1	1	0.3333	0.1667	annotation_failure	4 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	3	2	1	0	1	1	0.6667	0.3333	annotation_failure	1 of 3 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013389985.1	Dryoscopus gambensis	Aves	RYR	0	fragmentary	0	A1_not_a_gene_copy	1	2	0	2	0	0	0	0	0	annotation_failure	2 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013390065.1	Chloropsis hardwickii	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	4	3	0.5	0.5	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396355.1	Menura novaehollandiae	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	5	10	5	2	3	5	3	0.5	0.5	annotation_failure	2 of 10 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396465.1	Smithornis capensis	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	3	1	2	0	0	0	0.3333	0	annotation_failure	2 of 3 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396465.1	Smithornis capensis	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396465.1	Smithornis capensis	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	5	3	0.5	0.625	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	3	1	4	4	2	0.375	0.5	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396675.1	Eubucco bourcierii	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	5	10	4	2	4	4	2	0.4	0.4	annotation_failure	2 of 10 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396675.1	Eubucco bourcierii	Aves	RYR	2	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013396835.1	Psilopogon haemacephalus	Aves	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	4	3	0.5	0.5	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396835.1	Psilopogon haemacephalus	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013396875.1	Vireo altiloquus	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396875.1	Vireo altiloquus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396875.1	Vireo altiloquus	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	3	1	2	4	2	0.5	0.6667	annotation_failure	1 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396935.1	Baryphthengus martii	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396935.1	Baryphthengus martii	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396935.1	Baryphthengus martii	Aves	RYR	1	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013396935.1	Baryphthengus martii	Aves	RYR	3	fragmentary	0	A1_not_a_gene_copy	3	6	2	2	2	2	1	0.3333	0.3333	annotation_failure	2 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396935.1	Baryphthengus martii	Aves	RYR	4	fragmentary	0	A1_not_a_gene_copy	1	2	0	1	1	2	0	0	1	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396935.1	Baryphthengus martii	Aves	RYR	6	fragmentary	0	A1_not_a_gene_copy	1	1	0	1	0	1	0	0	1	annotation_failure	1 of 1 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396975.1	Bucco capensis	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	2	4	0	1	1	0.3333	0.1667	annotation_failure	4 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396975.1	Bucco capensis	Aves	ITPR3	1	fragmentary	0	A1_not_a_gene_copy	1	2	0	2	0	0	0	0	0	annotation_failure	2 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396975.1	Bucco capensis	Aves	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	1	2	1	1	1	0.25	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013396975.1	Bucco capensis	Aves	RYR	1	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013396975.1	Bucco capensis	Aves	RYR	3	fragmentary	0	A1_not_a_gene_copy	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013397015.1	Myiagra hebetior	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397015.1	Myiagra hebetior	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	3	2	0.5	0.375	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	1	2	1	1	1	0.25	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR1	1	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR3	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR3	1	fragmentary	0	A1_not_a_gene_copy	1	2	0	2	0	0	0	0	0	annotation_failure	2 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397245.1	Thryothorus ludovicianus	Aves	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397245.1	Thryothorus ludovicianus	Aves	RYR	2	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013397245.1	Thryothorus ludovicianus	Aves	RYR	3	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013397295.1	Polioptila caerulea	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397295.1	Polioptila caerulea	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	5	1	2	3	3	0.625	0.375	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	2	4	0	1	1	0.3333	0.1667	annotation_failure	4 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397395.1	Sinosuthora webbiana	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	3	2	0.5	0.375	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397465.1	Furnarius figulus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397465.1	Furnarius figulus	Aves	RYR	1	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397465.1	Furnarius figulus	Aves	RYR	2	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397495.1	Mionectes macconnelli	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	4	3	0.5	0.5	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397535.1	Pterocles burchelli	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397635.1	Columbina picui	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013397635.1	Columbina picui	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	5	3	0.5	0.625	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	3	1	4	4	2	0.375	0.5	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397895.1	Origma solitaria	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397895.1	Origma solitaria	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397895.1	Origma solitaria	Aves	ITPR3	1	fragmentary	0	A1_not_a_gene_copy	1	2	0	1	1	0	0	0	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397895.1	Origma solitaria	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	5	10	5	2	3	4	2	0.5	0.4	annotation_failure	2 of 10 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397955.1	Grantiella picta	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397955.1	Grantiella picta	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013397955.1	Grantiella picta	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	4	3	0.5	0.5	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398125.1	Aegotheles bennettii	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398125.1	Aegotheles bennettii	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398125.1	Aegotheles bennettii	Aves	ITPR3	1	fragmentary	0	A1_not_a_gene_copy	1	2	0	1	1	0	0	0	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398125.1	Aegotheles bennettii	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	4	1	1	2	2	0.6667	0.3333	annotation_failure	1 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398155.1	Pedionomus torquatus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398175.1	Climacteris rufus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398175.1	Climacteris rufus	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	5	3	0.5	0.625	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398455.1	Loxia curvirostra	Aves	ITPR1	0	fragmentary	1		2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398455.1	Loxia curvirostra	Aves	ITPR2	0	fragmentary	1		2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398455.1	Loxia curvirostra	Aves	RYR	1	fragmentary	1		4	8	3	1	4	4	2	0.375	0.5	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398575.1	Certhia familiaris	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013398575.1	Certhia familiaris	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	3	1	4	4	2	0.375	0.5	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398615.1	Brachypodius melanocephalos	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398615.1	Brachypodius melanocephalos	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398615.1	Brachypodius melanocephalos	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	5	10	4	2	4	4	2	0.4	0.4	annotation_failure	2 of 10 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398795.1	Elachura formosa	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398795.1	Elachura formosa	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398795.1	Elachura formosa	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	3	1	4	4	2	0.375	0.5	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398835.1	Emberiza fucata	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398835.1	Emberiza fucata	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398835.1	Emberiza fucata	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	2	1	3	2	1	0.3333	0.3333	annotation_failure	1 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398935.1	Ceuthmochares aereus	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398935.1	Ceuthmochares aereus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398935.1	Ceuthmochares aereus	Aves	ITPR3	0	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398935.1	Ceuthmochares aereus	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	3	1	2	3	2	0.5	0.5	annotation_failure	1 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398955.1	Callaeas wilsoni	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398955.1	Callaeas wilsoni	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398955.1	Callaeas wilsoni	Aves	ITPR3	1	fragmentary	0	A1_not_a_gene_copy	1	2	0	1	1	0	0	0	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398955.1	Callaeas wilsoni	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	3	0	3	3	2	0.5	0.5	structure_disagreement	3 of 6 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
