accession	organism	vclass	cell	bait	clade	family	class	contig_a	start_a	end_a	strand_a	cov_a	contig_b	start_b	end_b	strand_b	cov_b	q_overlap_frac	genomic_gap_bp	same_contig	same_strand	within_one_locus
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	QEPC01010682.1	4003349	5346596	+	1	QEPC01010852.1	1631536	2749155	+	1	1	-1	0	1	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0AAJ7XD62	RYR	RYR	dispersed	QEPC01001878.1	319223	437986	-	0.9969	QEPC01010682.1	4003349	5346596	+	1	1	-1	0	0	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0AAJ7XD62	RYR	RYR	dispersed	QEPC01001878.1	319223	437986	-	0.9969	QEPC01010852.1	1631536	2749155	+	1	1	-1	0	0	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0AAJ7XD62	RYR	RYR	dispersed	QEPC01010682.1	4003349	5346596	+	1	QEPC01010852.1	1631536	2749155	+	1	1	-1	0	1	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	A0AC58GZ77	RYR	RYR	dispersed	QEPC01010682.1	4003352	5346596	+	1	QEPC01010852.1	1631536	2749155	+	1	1	-1	0	1	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	H3BGR5	RYR	RYR	dispersed	QEPC01001878.1	319223	437983	-	1	QEPC01010682.1	4280014	5346596	+	1	1	-1	0	0	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	H3BGR5	RYR	RYR	dispersed	QEPC01001878.1	319223	437983	-	1	QEPC01010852.1	1870486	2749155	+	1	1	-1	0	0	0
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	H3BGR5	RYR	RYR	dispersed	QEPC01010682.1	4280014	5346596	+	1	QEPC01010852.1	1870486	2749155	+	1	1	-1	0	1	0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	BHFT01026245.1	2114	50549	+	0.4308	BHFT01042859.1	31	83319	+	0.7276	1	-1	0	1	0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	A0A8V0Y8K1	RYR	RYR	dispersed	BHFT01026245.1	2114	50549	+	0.4255	BHFT01042859.1	31	83319	+	0.7234	1	-1	0	1	0
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	A0AC58GZ77	RYR	RYR	dispersed	BHFT01026245.1	2114	50549	+	0.4269	BHFT01042859.1	31	83319	+	0.7247	1	-1	0	1	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	A0A4W3I1N0	RYR	RYR	dispersed	RWJT01001056.1	272527	872842	+	1	RWJT01018246.1	1472992	1838956	-	0.9972	1	-1	0	0	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	A0A4W3I1N0	RYR	RYR	dispersed	RWJT01001056.1	272527	872842	+	1	RWJT01019646.1	7646897	7767859	-	0.9972	1	-1	0	0	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	A0A4W3I1N0	RYR	RYR	dispersed	RWJT01018246.1	1472992	1838956	-	0.9972	RWJT01019646.1	7646897	7767859	-	0.9972	1	-1	0	1	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	RWJT01001056.1	360568	872842	+	0.9968	RWJT01018246.1	1472992	1838959	-	0.9968	1	-1	0	0	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	RWJT01001056.1	360568	872842	+	0.9968	RWJT01019646.1	7646897	7772846	-	1	1	-1	0	0	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	RWJT01018246.1	1472992	1838959	-	0.9968	RWJT01019646.1	7646897	7772846	-	1	1	-1	0	1	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	A0AAJ7XD62	RYR	RYR	dispersed	RWJT01001056.1	360568	872842	+	0.9969	RWJT01018246.1	1472992	2023843	-	1	1	-1	0	0	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	A0AAJ7XD62	RYR	RYR	dispersed	RWJT01001056.1	360568	872842	+	0.9969	RWJT01019646.1	7646897	7772846	-	1	1	-1	0	0	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	A0AAJ7XD62	RYR	RYR	dispersed	RWJT01018246.1	1472992	2023843	-	1	RWJT01019646.1	7646897	7772846	-	1	1	-1	0	1	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	A0AC58GZ77	RYR	RYR	dispersed	RWJT01001056.1	360568	872842	+	0.997	RWJT01018246.1	1472992	2023843	-	1	1	-1	0	0	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	H3BGR5	RYR	RYR	dispersed	RWJT01001056.1	360571	872842	+	1	RWJT01018246.1	1472992	1838956	-	1	1	-1	0	0	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	H3BGR5	RYR	RYR	dispersed	RWJT01001056.1	360571	872842	+	1	RWJT01019646.1	7646897	7767859	-	1	1	-1	0	0	0
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	H3BGR5	RYR	RYR	dispersed	RWJT01018246.1	1472992	1838956	-	1	RWJT01019646.1	7646897	7767859	-	1	1	-1	0	1	0
GCA_008658365.1	Alca torda	Aves	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM018078.1	42099162	42411588	-	0.9972	CM018080.1	32535056	32724339	-	0.9972	1	-1	0	1	0
GCA_008658365.1	Alca torda	Aves	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM018078.1	42099162	42411591	-	0.9968	CM018080.1	32535056	32770773	-	1	1	-1	0	1	0
GCA_008658365.1	Alca torda	Aves	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM018078.1	42099162	42411591	-	0.9969	CM018080.1	32535056	32770773	-	1	1	-1	0	1	0
GCA_008658365.1	Alca torda	Aves	RYR	A0AC58GZ77	RYR	RYR	dispersed	CM018078.1	42099162	42411591	-	0.997	CM018080.1	32535056	32770773	-	1	1	-1	0	1	0
GCA_008658365.1	Alca torda	Aves	RYR	H3BGR5	RYR	RYR	dispersed	CM018078.1	42099162	42411588	-	1	CM018080.1	32535056	32724339	-	1	1	-1	0	1	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM020031.1	30080176	30383635	+	0.9972	CM020042.1	5133878	5305282	-	0.9972	1	-1	0	0	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM020031.1	30080173	30383635	+	0.9968	CM020042.1	5133878	5346665	-	1	1	-1	0	0	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM020031.1	30080173	30383635	+	0.9969	CM020042.1	5133878	5346665	-	1	1	-1	0	0	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	A0AC58GZ77	RYR	RYR	dispersed	CM020031.1	30080173	30383635	+	0.997	CM020042.1	5133878	5346665	-	1	1	-1	0	0	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	H3BGR5	RYR	RYR	dispersed	CM020031.1	30080176	30383635	+	1	CM020042.1	5133878	5305282	-	1	1	-1	0	0	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM020217.1	43176402	43517476	-	0.9972	CM020219.1	36468119	36660665	+	0.9972	1	-1	0	0	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM020217.1	43176402	43517479	-	0.9968	CM020219.1	36415959	36660665	+	1	1	-1	0	0	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM020217.1	43176402	43517479	-	0.9969	CM020219.1	36415959	36660665	+	1	1	-1	0	0	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	A0AC58GZ77	RYR	RYR	dispersed	CM020217.1	43176402	43517479	-	0.997	CM020219.1	36415959	36660665	+	1	1	-1	0	0	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	H3BGR5	RYR	RYR	dispersed	CM020217.1	43176402	43517476	-	1	CM020219.1	36468119	36660665	+	1	1	-1	0	0	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM021195.1	45417026	45713776	+	1	CM021203.1	24710155	25075160	-	0.9972	1	-1	0	0	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM021195.1	45417026	45713776	+	1	CM021206.1	2723846	3287026	-	0.9972	1	-1	0	0	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM021203.1	24710155	25075160	-	0.9972	CM021206.1	2723846	3287026	-	0.9972	1	-1	0	1	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM021195.1	45588686	45713776	+	1	CM021203.1	24710155	25256973	-	1	1	-1	0	0	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM021195.1	45588686	45713776	+	1	CM021206.1	2723846	3495477	-	1	1	-1	0	0	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM021203.1	24710155	25256973	-	1	CM021206.1	2723846	3495477	-	1	1	-1	0	1	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM021195.1	45588686	45713776	+	1	CM021203.1	24710155	25256973	-	1	1	-1	0	0	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM021195.1	45588686	45713776	+	1	CM021206.1	2723846	3495477	-	1	1	-1	0	0	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM021203.1	24710155	25256973	-	1	CM021206.1	2723846	3495477	-	1	1	-1	0	1	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	A0AC58GZ77	RYR	RYR	dispersed	CM021203.1	24710155	25256973	-	1	CM021206.1	2723846	3495477	-	1	1	-1	0	1	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	H3BGR5	RYR	RYR	dispersed	CM021195.1	45594270	45713776	+	1	CM021203.1	24710155	25075160	-	1	1	-1	0	0	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	H3BGR5	RYR	RYR	dispersed	CM021195.1	45594270	45713776	+	1	CM021206.1	2723846	3287026	-	1	1	-1	0	0	0
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	H3BGR5	RYR	RYR	dispersed	CM021203.1	24710155	25075160	-	1	CM021206.1	2723846	3287026	-	1	1	-1	0	1	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A4W3GWE7	ITPR3	ITPR	dispersed	JAAKFY010000006.1	12061972	12166504	+	0.9973	JAAKFY010000006.1	25372500	25435843	-	1	1	13205995	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A4W3JHJ0	vertebrate_basal	ITPR	dispersed	JAAKFY010000006.1	12080574	12166519	+	0.9724	JAAKFY010000006.1	25372485	25422794	-	0.9724	1	13205965	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A670JBK6	ITPR1	ITPR	dispersed	JAAKFY010000006.1	12061969	12166519	+	1	JAAKFY010000006.1	25372485	25435846	-	1	1	13205965	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A672IUQ7	ITPR1	ITPR	dispersed	JAAKFY010000006.1	12061969	12166519	+	1	JAAKFY010000006.1	25372485	25435846	-	1	1	13205965	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A672UP22	ITPR2	ITPR	dispersed	JAAKFY010000006.1	12061969	12166513	+	1	JAAKFY010000006.1	25372491	25435846	-	1	1	13205977	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A6I8RGU0	ITPR2	ITPR	dispersed	JAAKFY010000006.1	12061969	12166495	+	0.9978	JAAKFY010000006.1	25372509	25435846	-	0.9978	1	13206013	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A6J0TV85	ITPR3	ITPR	dispersed	JAAKFY010000006.1	12061972	12166498	+	1	JAAKFY010000006.1	25372530	25435843	-	0.997	1	13206031	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A7K6LHC3	ITPR3	ITPR	dispersed	JAAKFY010000006.1	12061972	12166498	+	1	JAAKFY010000006.1	25372506	25435843	-	1	1	13206007	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A8J0SYK9	ITPR3	ITPR	dispersed	JAAKFY010000006.1	12061972	12166474	+	0.9929	JAAKFY010000006.1	25372530	25435843	-	0.9929	1	13206055	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A8J0T3U5	ITPR1	ITPR	dispersed	JAAKFY010000006.1	12061969	12166519	+	1	JAAKFY010000006.1	25372485	25435846	-	1	1	13205965	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A8M2BDG0	ITPR1	ITPR	dispersed	JAAKFY010000006.1	12061969	12166519	+	1	JAAKFY010000006.1	25372485	25435846	-	1	1	13205965	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A8M9PQQ3	ITPR2	ITPR	dispersed	JAAKFY010000006.1	12061969	12166486	+	0.9966	JAAKFY010000006.1	25372509	25435846	-	0.9974	1	13206022	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A8V0ZJT0	ITPR1	ITPR	dispersed	JAAKFY010000006.1	12061969	12166519	+	0.995	JAAKFY010000006.1	25372485	25435846	-	0.995	1	13205965	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0A8V1ACE6	ITPR3	ITPR	dispersed	JAAKFY010000006.1	12061972	12166498	+	1	JAAKFY010000006.1	25372506	25435843	-	1	1	13206007	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0AAJ7U4X1	vertebrate_basal	ITPR	dispersed	JAAKFY010000006.1	12061969	12166516	+	0.9996	JAAKFY010000006.1	25372488	25435846	-	0.9996	1	13205971	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0ABM1LG32	ITPR2	ITPR	dispersed	JAAKFY010000006.1	12061969	12166495	+	0.9978	JAAKFY010000006.1	25372509	25435846	-	0.9978	1	13206013	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	A0ABM4F3U0	ITPR1	ITPR	dispersed	JAAKFY010000006.1	12061969	12166519	+	1	JAAKFY010000006.1	25372485	25435846	-	1	1	13205965	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	F1P1X4	ITPR2	ITPR	dispersed	JAAKFY010000006.1	12061969	12166513	+	1	JAAKFY010000006.1	25372491	25435846	-	1	1	13205977	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	H3A1P5	ITPR1	ITPR	dispersed	JAAKFY010000006.1	12080273	12166519	+	1	JAAKFY010000006.1	25372485	25423476	-	1	1	13205965	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	H3B932	ITPR3	ITPR	dispersed	JAAKFY010000006.1	12061972	12166513	+	0.9978	JAAKFY010000006.1	25372500	25435843	-	1	1	13205986	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	P11881	ITPR1	ITPR	dispersed	JAAKFY010000006.1	12061969	12166519	+	1	JAAKFY010000006.1	25372485	25435846	-	1	1	13205965	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	P70227	ITPR3	ITPR	dispersed	JAAKFY010000006.1	12061972	12166498	+	1	JAAKFY010000006.1	25372530	25435843	-	0.997	1	13206031	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	Q14571	ITPR2	ITPR	dispersed	JAAKFY010000006.1	12061969	12166495	+	0.9978	JAAKFY010000006.1	25372509	25435846	-	0.9978	1	13206013	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	Q14573	ITPR3	ITPR	dispersed	JAAKFY010000006.1	12061972	12166474	+	0.997	JAAKFY010000006.1	25372530	25435843	-	0.997	1	13206055	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	Q14643	ITPR1	ITPR	dispersed	JAAKFY010000006.1	12061969	12166519	+	1	JAAKFY010000006.1	25372485	25435846	-	1	1	13205965	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	Q9Z329	ITPR2	ITPR	dispersed	JAAKFY010000006.1	12061969	12166495	+	0.9978	JAAKFY010000006.1	25372509	25435846	-	0.9978	1	13206013	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	W5MYT2	vertebrate_basal	ITPR	dispersed	JAAKFY010000006.1	12061969	12166519	+	1	JAAKFY010000006.1	25372485	25435846	-	1	1	13205965	1	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	JAAKFY010000008.1	28872738	28999030	+	0.996	JAAKFY010000013.1	8762014	8855231	-	0.997	1	-1	0	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	JAAKFY010000008.1	28872738	28999030	+	0.996	JAAKFY010000015.1	14914890	15017626	+	0.9968	1	-1	0	1	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	JAAKFY010000008.1	28872738	28999030	+	0.996	JAAKFY010000019.1	13855309	13935566	+	0.9962	1	-1	0	1	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	JAAKFY010000008.1	28872738	28999030	+	0.996	JAAKFY010000020.1	12009470	12060667	-	0.996	1	-1	0	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	JAAKFY010000013.1	8762014	8855231	-	0.997	JAAKFY010000015.1	14914890	15017626	+	0.9968	1	-1	0	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	JAAKFY010000013.1	8762014	8855231	-	0.997	JAAKFY010000019.1	13855309	13935566	+	0.9962	1	-1	0	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	JAAKFY010000013.1	8762014	8855231	-	0.997	JAAKFY010000020.1	12009470	12060667	-	0.996	1	-1	0	1	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	JAAKFY010000015.1	14914890	15017626	+	0.9968	JAAKFY010000019.1	13855309	13935566	+	0.9962	1	-1	0	1	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	JAAKFY010000015.1	14914890	15017626	+	0.9968	JAAKFY010000020.1	12009470	12060667	-	0.996	1	-1	0	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	JAAKFY010000019.1	13855309	13935566	+	0.9962	JAAKFY010000020.1	12009470	12060667	-	0.996	1	-1	0	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	JAAKFY010000008.1	28872741	28999030	+	0.9972	JAAKFY010000013.1	8762014	8855225	-	0.998	1	-1	0	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	JAAKFY010000008.1	28872741	28999030	+	0.9972	JAAKFY010000015.1	14914896	15017626	+	0.9978	1	-1	0	1	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	JAAKFY010000008.1	28872741	28999030	+	0.9972	JAAKFY010000020.1	12009470	12060664	-	0.9972	1	-1	0	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	JAAKFY010000013.1	8762014	8855225	-	0.998	JAAKFY010000015.1	14914896	15017626	+	0.9978	1	-1	0	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	JAAKFY010000013.1	8762014	8855225	-	0.998	JAAKFY010000020.1	12009470	12060664	-	0.9972	1	-1	0	1	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	JAAKFY010000015.1	14914896	15017626	+	0.9978	JAAKFY010000020.1	12009470	12060664	-	0.9972	1	-1	0	0	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	JAAKFY010000008.1	28825736	28999030	+	1	JAAKFY010000013.1	8762014	8874375	-	0.9992	1	-1	0	0	0
