accession	organism	vclass	cell	detector_fires	n_pairs	n_within_locus	n_tandem	n_dispersed	s16_copies	s16_same_contig_copies	truth_duplicated	agreement
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_007760645.1	Sousa chinensis	Mammalia	RYR	1	13	0	0	13	3	0	1	tp
GCA_008658365.1	Alca torda	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_008658365.1	Alca torda	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_008658365.1	Alca torda	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_008658365.1	Alca torda	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_009769605.1	Bucorvus abyssinicus	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	RYR	1	13	0	0	13	3	0	1	tp
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	1	27	0	0	27	2	1	1	tp
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	1	63	0	0	63	6	0	1	tp
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013389825.1	Crypturellus undulatus	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013389885.1	Geococcyx californianus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013389885.1	Geococcyx californianus	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013389885.1	Geococcyx californianus	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013389885.1	Geococcyx californianus	Aves	RYR	1	4	0	0	4	2	0	1	tp
GCA_013389965.1	Todus mexicanus	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013389965.1	Todus mexicanus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013389965.1	Todus mexicanus	Aves	RYR	0	0	0	0	0	1	0	0	tn
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013389985.1	Dryoscopus gambensis	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013389985.1	Dryoscopus gambensis	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013390065.1	Chloropsis hardwickii	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013390065.1	Chloropsis hardwickii	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013390105.1	Tichodroma muraria	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013390105.1	Tichodroma muraria	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013390105.1	Tichodroma muraria	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013390105.1	Tichodroma muraria	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013396355.1	Menura novaehollandiae	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013396355.1	Menura novaehollandiae	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013396465.1	Smithornis capensis	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013396465.1	Smithornis capensis	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013396465.1	Smithornis capensis	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013396465.1	Smithornis capensis	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013396675.1	Eubucco bourcierii	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013396675.1	Eubucco bourcierii	Aves	RYR	1	8	0	0	8	2	0	1	tp
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013396835.1	Psilopogon haemacephalus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013396835.1	Psilopogon haemacephalus	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013396875.1	Vireo altiloquus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013396875.1	Vireo altiloquus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013396875.1	Vireo altiloquus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013396875.1	Vireo altiloquus	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013396935.1	Baryphthengus martii	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013396935.1	Baryphthengus martii	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013396935.1	Baryphthengus martii	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013396935.1	Baryphthengus martii	Aves	RYR	1	3	0	0	3	0	0	0	fp
GCA_013396975.1	Bucco capensis	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013396975.1	Bucco capensis	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013396975.1	Bucco capensis	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013396975.1	Bucco capensis	Aves	RYR	1	7	0	0	7	1	0	0	fp
GCA_013397015.1	Myiagra hebetior	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013397015.1	Myiagra hebetior	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013397015.1	Myiagra hebetior	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013397015.1	Myiagra hebetior	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013397245.1	Thryothorus ludovicianus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013397245.1	Thryothorus ludovicianus	Aves	RYR	1	4	0	0	4	2	0	1	tp
GCA_013397295.1	Polioptila caerulea	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013397295.1	Polioptila caerulea	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013397295.1	Polioptila caerulea	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013397295.1	Polioptila caerulea	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013397395.1	Sinosuthora webbiana	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013397395.1	Sinosuthora webbiana	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013397465.1	Furnarius figulus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013397465.1	Furnarius figulus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013397465.1	Furnarius figulus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013397465.1	Furnarius figulus	Aves	RYR	0	0	0	0	0	1	0	0	tn
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013397495.1	Mionectes macconnelli	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013397535.1	Pterocles burchelli	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013397535.1	Pterocles burchelli	Aves	RYR	0	0	0	0	0	1	0	0	tn
GCA_013397635.1	Columbina picui	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013397635.1	Columbina picui	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013397635.1	Columbina picui	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013397635.1	Columbina picui	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013397895.1	Origma solitaria	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013397895.1	Origma solitaria	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013397895.1	Origma solitaria	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013397895.1	Origma solitaria	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013397955.1	Grantiella picta	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013397955.1	Grantiella picta	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013397955.1	Grantiella picta	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013397955.1	Grantiella picta	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013398125.1	Aegotheles bennettii	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013398125.1	Aegotheles bennettii	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013398125.1	Aegotheles bennettii	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013398125.1	Aegotheles bennettii	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013398155.1	Pedionomus torquatus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013398155.1	Pedionomus torquatus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013398155.1	Pedionomus torquatus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013398155.1	Pedionomus torquatus	Aves	RYR	0	0	0	0	0	1	0	0	tn
GCA_013398175.1	Climacteris rufus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013398175.1	Climacteris rufus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013398175.1	Climacteris rufus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013398175.1	Climacteris rufus	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013398455.1	Loxia curvirostra	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013398455.1	Loxia curvirostra	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013398455.1	Loxia curvirostra	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013398455.1	Loxia curvirostra	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013398575.1	Certhia familiaris	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013398575.1	Certhia familiaris	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013398575.1	Certhia familiaris	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013398575.1	Certhia familiaris	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013398615.1	Brachypodius melanocephalos	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013398615.1	Brachypodius melanocephalos	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013398615.1	Brachypodius melanocephalos	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013398615.1	Brachypodius melanocephalos	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013398795.1	Elachura formosa	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013398795.1	Elachura formosa	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013398795.1	Elachura formosa	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013398795.1	Elachura formosa	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013398835.1	Emberiza fucata	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013398835.1	Emberiza fucata	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013398835.1	Emberiza fucata	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013398835.1	Emberiza fucata	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013398935.1	Ceuthmochares aereus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013398935.1	Ceuthmochares aereus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013398935.1	Ceuthmochares aereus	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013398935.1	Ceuthmochares aereus	Aves	RYR	1	1	0	0	1	2	0	1	tp
GCA_013398955.1	Callaeas wilsoni	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013398955.1	Callaeas wilsoni	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013398955.1	Callaeas wilsoni	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013398955.1	Callaeas wilsoni	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013398975.1	Catharus fuscescens	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013398975.1	Catharus fuscescens	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013398975.1	Catharus fuscescens	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013398975.1	Catharus fuscescens	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013399035.1	Quiscalus mexicanus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013399035.1	Quiscalus mexicanus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013399035.1	Quiscalus mexicanus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013399035.1	Quiscalus mexicanus	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013399075.1	Chloroceryle aenea	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013399075.1	Chloroceryle aenea	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013399075.1	Chloroceryle aenea	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013399075.1	Chloroceryle aenea	Aves	RYR	0	0	0	0	0	1	0	0	tn
GCA_013399305.1	Rostratula benghalensis	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013399305.1	Rostratula benghalensis	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013399305.1	Rostratula benghalensis	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013399305.1	Rostratula benghalensis	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013399395.1	Nyctiprogne leucopyga	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013399455.1	Anthoscopus minutus	Aves	RYR	0	0	0	0	0	1	0	0	tn
GCA_013399495.1	Corythaixoides concolor	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013399495.1	Corythaixoides concolor	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013399495.1	Corythaixoides concolor	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013399495.1	Corythaixoides concolor	Aves	RYR	0	0	0	0	0	1	0	0	tn
GCA_013399565.1	Podilymbus podiceps	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013399565.1	Podilymbus podiceps	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013399565.1	Podilymbus podiceps	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013399565.1	Podilymbus podiceps	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013399735.1	Tyrannus savana	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013399735.1	Tyrannus savana	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013399735.1	Tyrannus savana	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013399735.1	Tyrannus savana	Aves	RYR	1	8	0	0	8	2	0	1	tp
GCA_013399775.1	Semnornis frantzii	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013399775.1	Semnornis frantzii	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013399775.1	Semnornis frantzii	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013399775.1	Semnornis frantzii	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013399795.1	Zosterops hypoxanthus	Aves	RYR	1	16	0	0	16	3	0	1	tp
GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013399855.1	Oxyruncus cristatus	Aves	RYR	1	6	0	0	6	2	0	1	tp
GCA_013399895.1	Serilophus lunatus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013399895.1	Serilophus lunatus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013399895.1	Serilophus lunatus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013399895.1	Serilophus lunatus	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013400075.1	Hippolais icterina	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013400075.1	Hippolais icterina	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400075.1	Hippolais icterina	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400075.1	Hippolais icterina	Aves	RYR	1	3	0	0	3	2	0	1	tp
GCA_013400195.1	Aramus guarauna	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013400195.1	Aramus guarauna	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400195.1	Aramus guarauna	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400195.1	Aramus guarauna	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013400215.1	Cisticola juncidis	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013400215.1	Cisticola juncidis	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400215.1	Cisticola juncidis	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400215.1	Cisticola juncidis	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400415.1	Scytalopus superciliaris	Aves	RYR	1	6	0	0	6	2	0	1	tp
GCA_013400445.1	Leiothrix lutea	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013400445.1	Leiothrix lutea	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400445.1	Leiothrix lutea	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400445.1	Leiothrix lutea	Aves	RYR	1	3	0	0	3	2	0	1	tp
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400515.1	Erpornis zantholeuca	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400585.1	Chloropsis cyanopogon	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
