accession	organism	vclass	source	cell	locus_idx	state	n_annot_edges	n_exact	n_within_tol	n_no_match	frac_exact	frac_within_tol	n_model_exons	n_annot_blocks	median_offset
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	GenBank	RYR	3	complete	190	151	151	39	0.7947	0.7947	100	96	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	GenBank	RYR	4	fragmentary	30	28	28	2	0.9333	0.9333	105	16	0
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	GenBank	RYR	2	split	130	108	108	22	0.8308	0.8308	105	66	0
GCA_013398455.1	Loxia curvirostra	Aves	GenBank	ITPR1	0	fragmentary	14	9	9	5	0.6429	0.6429	62	8	0
GCA_013398455.1	Loxia curvirostra	Aves	GenBank	ITPR2	0	fragmentary	12	11	12	0	0.9167	1	57	7	0
GCA_013398455.1	Loxia curvirostra	Aves	GenBank	ITPR3	0	noncoding	116	112	112	4	0.9655	0.9655	58	59	0
GCA_013398455.1	Loxia curvirostra	Aves	GenBank	RYR	1	fragmentary	22	17	17	5	0.7727	0.7727	102	12	0
GCA_013398455.1	Loxia curvirostra	Aves	GenBank	RYR	0	complete	198	189	189	9	0.9545	0.9545	103	100	0
GCA_014281875.1	Nibea albiflora	Actinopteri	GenBank	ITPR1	0	fragmentary	106	89	89	17	0.8396	0.8396	58	54	0
GCA_014281875.1	Nibea albiflora	Actinopteri	GenBank	ITPR3	0	noncoding	100	83	83	17	0.83	0.83	58	51	0
GCA_014281875.1	Nibea albiflora	Actinopteri	GenBank	ITPR3	1	fragmentary	24	14	15	9	0.5833	0.625	57	13	0
GCA_014281875.1	Nibea albiflora	Actinopteri	GenBank	RYR	1	noncoding	198	184	184	14	0.9293	0.9293	105	100	0
GCA_014281875.1	Nibea albiflora	Actinopteri	GenBank	RYR	5	fragmentary	184	155	155	29	0.8424	0.8424	101	93	0
GCA_014281875.1	Nibea albiflora	Actinopteri	GenBank	RYR	3	noncoding	112	93	93	19	0.8304	0.8304	101	57	0
GCA_014281875.1	Nibea albiflora	Actinopteri	GenBank	RYR	4	noncoding	208	186	186	22	0.8942	0.8942	103	105	0
GCA_014281875.1	Nibea albiflora	Actinopteri	GenBank	RYR	2	noncoding	198	180	180	18	0.9091	0.9091	104	100	0
GCA_014839755.1	Sylvia borin	Aves	GenBank	ITPR1	0	complete	112	112	112	0	1	1	62	57	0
GCA_014839755.1	Sylvia borin	Aves	GenBank	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCA_014839755.1	Sylvia borin	Aves	GenBank	ITPR3	0	complete	114	112	112	2	0.9825	0.9825	58	58	0
GCA_014839755.1	Sylvia borin	Aves	GenBank	RYR	0	complete	208	203	203	5	0.976	0.976	104	105	0
GCA_014839755.1	Sylvia borin	Aves	GenBank	RYR	2	complete	206	195	195	11	0.9466	0.9466	102	104	0
GCA_014839755.1	Sylvia borin	Aves	GenBank	RYR	1	complete	214	207	207	7	0.9673	0.9673	105	108	0
GCA_015883425.2	Lamprotornis superbus	Aves	GenBank	ITPR1	0	noncoding	122	105	105	17	0.8607	0.8607	63	62	0
GCA_015883425.2	Lamprotornis superbus	Aves	GenBank	ITPR2	0	complete	122	99	99	23	0.8115	0.8115	57	62	0
GCA_015883425.2	Lamprotornis superbus	Aves	GenBank	ITPR3	0	noncoding	112	86	88	24	0.7679	0.7857	58	57	0
GCA_015883425.2	Lamprotornis superbus	Aves	GenBank	RYR	0	complete	154	116	116	38	0.7532	0.7532	104	78	0
GCA_015883425.2	Lamprotornis superbus	Aves	GenBank	RYR	1	complete	202	189	189	13	0.9356	0.9356	103	102	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	GenBank	ITPR1	0	complete	116	112	112	4	0.9655	0.9655	58	59	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	GenBank	ITPR2	0	complete	110	109	109	1	0.9909	0.9909	56	56	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	GenBank	ITPR3	0	complete	116	115	115	1	0.9914	0.9914	59	59	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	GenBank	RYR	1	complete	222	206	207	15	0.9279	0.9324	109	112	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	GenBank	RYR	4	complete	210	199	200	10	0.9476	0.9524	106	106	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	GenBank	RYR	3	complete	208	195	195	13	0.9375	0.9375	103	105	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	GenBank	RYR	5	complete	226	203	203	23	0.8982	0.8982	112	114	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	GenBank	RYR	0	complete	222	218	218	4	0.982	0.982	112	112	0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	GenBank	RYR	2	complete	212	204	204	8	0.9623	0.9623	104	107	0
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	GenBank	ITPR1	0	complete	86	82	82	4	0.9535	0.9535	50	44	0
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	GenBank	ITPR2	0	fragmentary	68	50	50	18	0.7353	0.7353	42	35	0
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	GenBank	ITPR3	0	split	70	68	68	2	0.9714	0.9714	58	36	0
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	GenBank	RYR	0	complete	206	181	181	25	0.8786	0.8786	107	104	0
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	GenBank	RYR	1	complete	222	170	170	52	0.7658	0.7658	104	112	0
GCA_022829145.1	Albula goreensis	Actinopteri	GenBank	ITPR1	0	complete	102	98	98	4	0.9608	0.9608	58	52	0
GCA_022829145.1	Albula goreensis	Actinopteri	GenBank	ITPR1	1	complete	120	112	112	8	0.9333	0.9333	58	61	0
GCA_022829145.1	Albula goreensis	Actinopteri	GenBank	ITPR2	0	complete	110	108	108	2	0.9818	0.9818	57	56	0
GCA_022829145.1	Albula goreensis	Actinopteri	GenBank	ITPR3	0	complete	118	109	109	9	0.9237	0.9237	58	60	0
GCA_022829145.1	Albula goreensis	Actinopteri	GenBank	RYR	2	complete	214	204	204	10	0.9533	0.9533	106	108	0
GCA_022829145.1	Albula goreensis	Actinopteri	GenBank	RYR	4	complete	188	178	178	10	0.9468	0.9468	101	95	0
GCA_022829145.1	Albula goreensis	Actinopteri	GenBank	RYR	3	complete	208	195	195	13	0.9375	0.9375	103	105	0
GCA_022829145.1	Albula goreensis	Actinopteri	GenBank	RYR	1	complete	212	206	206	6	0.9717	0.9717	106	107	0
GCA_022829145.1	Albula goreensis	Actinopteri	GenBank	RYR	0	complete	208	204	204	4	0.9808	0.9808	105	105	0
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	GenBank	ITPR1	0	split	102	86	86	16	0.8431	0.8431	57	52	0
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	GenBank	ITPR1	1	complete	80	67	67	13	0.8375	0.8375	58	41	0
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	GenBank	ITPR2	0	complete	78	73	73	5	0.9359	0.9359	56	40	0
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	GenBank	RYR	2	complete	190	180	180	10	0.9474	0.9474	105	96	0
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	GenBank	RYR	1	complete	212	199	199	13	0.9387	0.9387	104	107	0
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	GenBank	RYR	3	complete	142	124	124	18	0.8732	0.8732	100	72	0
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	GenBank	RYR	5	complete	174	150	150	24	0.8621	0.8621	104	88	0
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	GenBank	RYR	4	complete	198	177	177	21	0.8939	0.8939	100	100	0
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	GenBank	RYR	0	split	212	172	172	40	0.8113	0.8113	116	107	0
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	GenBank	ITPR1	0	complete	76	62	62	14	0.8158	0.8158	58	39	0
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	GenBank	ITPR1	1	split	90	54	54	36	0.6	0.6	58	46	0
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	GenBank	ITPR2	0	split	98	84	84	14	0.8571	0.8571	56	50	0
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	GenBank	ITPR3	0	fragmentary	64	44	44	20	0.6875	0.6875	60	33	0
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	GenBank	RYR	2	complete	158	140	140	18	0.8861	0.8861	105	80	0
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	GenBank	RYR	1	complete	182	167	167	15	0.9176	0.9176	106	92	0
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	GenBank	RYR	0	complete	114	106	106	8	0.9298	0.9298	117	58	0
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	GenBank	RYR	3	fragmentary	86	73	73	13	0.8488	0.8488	102	44	0
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	GenBank	RYR	5	complete	206	172	172	34	0.835	0.835	102	104	0
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	GenBank	RYR	4	complete	212	180	180	32	0.8491	0.8491	104	107	0
GCA_028571685.1	Heterohyrax brucei	Mammalia	GenBank	ITPR1	0	complete	118	117	117	1	0.9915	0.9915	60	60	0
GCA_028571685.1	Heterohyrax brucei	Mammalia	GenBank	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCA_028571685.1	Heterohyrax brucei	Mammalia	GenBank	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCA_028571685.1	Heterohyrax brucei	Mammalia	GenBank	RYR	2	complete	206	193	193	13	0.9369	0.9369	100	104	0
GCA_028571685.1	Heterohyrax brucei	Mammalia	GenBank	RYR	1	complete	212	207	207	5	0.9764	0.9764	105	107	0
GCA_028571685.1	Heterohyrax brucei	Mammalia	GenBank	RYR	0	complete	214	207	207	7	0.9673	0.9673	105	108	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	GenBank	ITPR1	0	complete	112	105	105	7	0.9375	0.9375	58	57	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	GenBank	ITPR1	1	complete	118	109	109	9	0.9237	0.9237	59	60	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	GenBank	ITPR2	0	complete	112	106	106	6	0.9464	0.9464	56	57	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	GenBank	ITPR3	0	complete	116	109	109	7	0.9397	0.9397	58	59	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	GenBank	RYR	0	split	136	125	125	11	0.9191	0.9191	105	69	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	GenBank	RYR	1	complete	214	203	203	11	0.9486	0.9486	105	108	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	GenBank	RYR	3	complete	208	191	191	17	0.9183	0.9183	102	105	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	GenBank	RYR	4	complete	200	184	184	16	0.92	0.92	101	101	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	GenBank	RYR	2	split	210	183	184	26	0.8714	0.8762	107	106	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	GenBank	ITPR1	1	split	84	71	71	13	0.8452	0.8452	58	43	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	GenBank	ITPR1	0	split	116	96	96	20	0.8276	0.8276	58	59	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	GenBank	ITPR3	0	split	74	63	63	11	0.8514	0.8514	60	38	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	GenBank	RYR	1	unannotated	4	1	1	3	0.25	0.25	105	3	7455
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	GenBank	RYR	3	fragmentary	90	58	58	32	0.6444	0.6444	100	46	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	GenBank	RYR	5	complete	210	190	190	20	0.9048	0.9048	105	106	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	GenBank	RYR	2	complete	182	165	165	17	0.9066	0.9066	104	92	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	GenBank	RYR	4	complete	200	178	178	22	0.89	0.89	102	101	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	GenBank	RYR	0	complete	190	181	181	9	0.9526	0.9526	115	96	0
GCA_031835075.1	Saguinus oedipus	Mammalia	GenBank	ITPR1	0	fragmentary	18	10	10	8	0.5556	0.5556	60	10	0
GCA_031835075.1	Saguinus oedipus	Mammalia	GenBank	ITPR2	0	fragmentary	40	22	22	18	0.55	0.55	57	21	0
GCA_031835075.1	Saguinus oedipus	Mammalia	GenBank	ITPR3	0	split	110	91	92	18	0.8273	0.8364	58	56	0
GCA_031835075.1	Saguinus oedipus	Mammalia	GenBank	RYR	2	fragmentary	32	16	16	16	0.5	0.5	101	17	1.5
GCA_031835075.1	Saguinus oedipus	Mammalia	GenBank	RYR	1	split	164	115	115	49	0.7012	0.7012	105	83	0
GCA_031835075.1	Saguinus oedipus	Mammalia	GenBank	RYR	0	fragmentary	46	26	27	19	0.5652	0.587	105	24	0
GCA_033238685.1	Lates japonicus	Actinopteri	GenBank	ITPR1	0	complete	66	61	61	5	0.9242	0.9242	58	34	0
GCA_033238685.1	Lates japonicus	Actinopteri	GenBank	ITPR1	1	split	68	57	58	10	0.8382	0.8529	43	35	0
GCA_033238685.1	Lates japonicus	Actinopteri	GenBank	ITPR2	0	complete	54	46	46	8	0.8519	0.8519	44	28	0
GCA_033238685.1	Lates japonicus	Actinopteri	GenBank	ITPR3	0	fragmentary	36	34	34	2	0.9444	0.9444	60	19	0
GCA_033238685.1	Lates japonicus	Actinopteri	GenBank	ITPR3	1	split	64	64	64	0	1	1	55	33	0
GCA_033238685.1	Lates japonicus	Actinopteri	GenBank	RYR	2	complete	184	178	178	6	0.9674	0.9674	105	93	0
GCA_033238685.1	Lates japonicus	Actinopteri	GenBank	RYR	1	fragmentary	50	39	39	11	0.78	0.78	100	26	0
GCA_033238685.1	Lates japonicus	Actinopteri	GenBank	RYR	5	fragmentary	20	10	10	10	0.5	0.5	91	11	2
GCA_033238685.1	Lates japonicus	Actinopteri	GenBank	RYR	3	complete	134	128	128	6	0.9552	0.9552	104	68	0
GCA_033238685.1	Lates japonicus	Actinopteri	GenBank	RYR	0	split	198	187	187	11	0.9444	0.9444	114	100	0
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	GenBank	ITPR1	0	fragmentary	26	23	23	3	0.8846	0.8846	60	14	0
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	GenBank	ITPR1	1	fragmentary	32	22	22	10	0.6875	0.6875	58	17	0
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	GenBank	ITPR2	0	fragmentary	36	23	23	13	0.6389	0.6389	56	19	0
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	GenBank	ITPR3	0	fragmentary	6	0	0	6	0	0	58	4	65
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	GenBank	RYR	1	fragmentary	38	24	24	14	0.6316	0.6316	105	20	0
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	GenBank	RYR	0	fragmentary	22	12	12	10	0.5455	0.5455	105	12	0
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	GenBank	RYR	5	fragmentary	38	16	16	22	0.4211	0.4211	98	20	27.5
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	GenBank	RYR	3	fragmentary	44	33	33	11	0.75	0.75	103	23	0
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	GenBank	RYR	2	fragmentary	58	40	40	18	0.6897	0.6897	104	30	0
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	GenBank	RYR	4	fragmentary	26	14	14	12	0.5385	0.5385	100	14	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	GenBank	ITPR1	0	complete	116	107	107	9	0.9224	0.9224	58	59	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	GenBank	ITPR1	1	complete	120	110	111	9	0.9167	0.925	58	61	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	GenBank	ITPR2	1	complete	112	107	107	5	0.9554	0.9554	56	57	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	GenBank	ITPR2	0	complete	114	106	106	8	0.9298	0.9298	56	58	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	GenBank	ITPR3	0	complete	118	116	116	2	0.9831	0.9831	60	60	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	GenBank	RYR	1	complete	212	207	207	5	0.9764	0.9764	106	107	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	GenBank	RYR	3	complete	200	184	184	16	0.92	0.92	102	101	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	GenBank	RYR	2	complete	210	201	201	9	0.9571	0.9571	103	106	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	GenBank	RYR	5	complete	198	191	191	7	0.9646	0.9646	105	100	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	GenBank	RYR	4	complete	206	186	186	20	0.9029	0.9029	101	104	0
GCA_048569125.1	Diretmus argenteus	Actinopteri	GenBank	RYR	0	complete	230	226	226	4	0.9826	0.9826	117	116	0
GCA_054099775.1	Steatornis caripensis	Aves	GenBank	ITPR1	0	complete	124	120	120	4	0.9677	0.9677	62	63	0
GCA_054099775.1	Steatornis caripensis	Aves	GenBank	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCA_054099775.1	Steatornis caripensis	Aves	GenBank	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCA_054099775.1	Steatornis caripensis	Aves	GenBank	RYR	0	complete	210	203	203	7	0.9667	0.9667	103	106	0
GCA_054099775.1	Steatornis caripensis	Aves	GenBank	RYR	1	complete	212	186	186	26	0.8774	0.8774	101	107	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	GenBank	ITPR1	0	complete	116	112	112	4	0.9655	0.9655	58	59	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	GenBank	ITPR1	1	complete	124	106	106	18	0.8548	0.8548	59	63	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	GenBank	ITPR2	1	complete	110	106	106	4	0.9636	0.9636	57	56	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	GenBank	ITPR2	0	complete	110	102	102	8	0.9273	0.9273	55	56	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	GenBank	ITPR3	0	complete	114	113	113	1	0.9912	0.9912	58	58	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	GenBank	RYR	1	complete	214	204	204	10	0.9533	0.9533	106	108	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	GenBank	RYR	0	complete	206	203	203	3	0.9854	0.9854	104	104	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	GenBank	RYR	2	complete	214	204	204	10	0.9533	0.9533	105	108	0
GCA_056783565.1	Hiodon alosoides	Actinopteri	GenBank	RYR	3	complete	210	192	192	18	0.9143	0.9143	103	106	0
GCA_951230385.1	Staurois parvus	Amphibia	GenBank	ITPR1	0	fragmentary	56	41	41	15	0.7321	0.7321	56	29	0
GCA_951230385.1	Staurois parvus	Amphibia	GenBank	RYR	0	fragmentary	58	51	51	7	0.8793	0.8793	106	30	0
GCF_000001405.40	Homo sapiens	Mammalia	RefSeq	ITPR1	0	complete	118	116	116	2	0.9831	0.9831	60	60	0
GCF_000001405.40	Homo sapiens	Mammalia	RefSeq	ITPR2	0	complete	118	112	112	6	0.9492	0.9492	57	60	0
GCF_000001405.40	Homo sapiens	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_000001405.40	Homo sapiens	Mammalia	RefSeq	RYR	0	complete	212	207	207	5	0.9764	0.9764	105	107	0
GCF_000001405.40	Homo sapiens	Mammalia	RefSeq	RYR	2	complete	212	190	190	22	0.8962	0.8962	101	107	0
GCF_000001405.40	Homo sapiens	Mammalia	RefSeq	RYR	1	complete	210	204	204	6	0.9714	0.9714	105	106	0
GCF_000001635.27	Mus musculus	Mammalia	RefSeq	ITPR1	0	complete	122	116	116	6	0.9508	0.9508	60	62	0
GCF_000001635.27	Mus musculus	Mammalia	RefSeq	ITPR2	0	complete	114	112	112	2	0.9825	0.9825	57	58	0
GCF_000001635.27	Mus musculus	Mammalia	RefSeq	ITPR3	0	complete	112	112	112	0	1	1	58	57	0
GCF_000001635.27	Mus musculus	Mammalia	RefSeq	RYR	2	complete	210	187	187	23	0.8905	0.8905	100	106	0
GCF_000001635.27	Mus musculus	Mammalia	RefSeq	RYR	1	complete	214	204	204	10	0.9533	0.9533	105	108	0
GCF_000001635.27	Mus musculus	Mammalia	RefSeq	RYR	0	complete	214	207	207	7	0.9673	0.9673	105	108	0
GCF_000004195.4	Xenopus tropicalis	Amphibia	RefSeq	ITPR1	0	complete	120	118	118	2	0.9833	0.9833	61	61	0
GCF_000004195.4	Xenopus tropicalis	Amphibia	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_000004195.4	Xenopus tropicalis	Amphibia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_000004195.4	Xenopus tropicalis	Amphibia	RefSeq	RYR	0	complete	214	209	209	5	0.9766	0.9766	106	108	0
GCF_000004195.4	Xenopus tropicalis	Amphibia	RefSeq	RYR	1	complete	212	196	196	16	0.9245	0.9245	103	107	0
GCF_001715985.3	Manacus vitellinus	Aves	RefSeq	ITPR1	0	complete	122	120	120	2	0.9836	0.9836	62	62	0
GCF_001715985.3	Manacus vitellinus	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_001715985.3	Manacus vitellinus	Aves	RefSeq	ITPR3	0	complete	108	106	106	2	0.9815	0.9815	57	55	0
GCF_001715985.3	Manacus vitellinus	Aves	RefSeq	RYR	1	complete	206	198	198	8	0.9612	0.9612	102	104	0
GCF_001715985.3	Manacus vitellinus	Aves	RefSeq	RYR	0	complete	206	202	202	4	0.9806	0.9806	103	104	0
GCF_003668045.3	Cricetulus griseus	Mammalia	RefSeq	ITPR1	0	complete	116	115	115	1	0.9914	0.9914	60	59	0
GCF_003668045.3	Cricetulus griseus	Mammalia	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_003668045.3	Cricetulus griseus	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_003668045.3	Cricetulus griseus	Mammalia	RefSeq	RYR	0	complete	208	207	207	1	0.9952	0.9952	105	105	0
GCF_003668045.3	Cricetulus griseus	Mammalia	RefSeq	RYR	2	complete	210	183	183	27	0.8714	0.8714	100	106	0
GCF_003668045.3	Cricetulus griseus	Mammalia	RefSeq	RYR	1	complete	214	203	203	11	0.9486	0.9486	105	108	0
GCF_003957555.1	Calypte anna	Aves	RefSeq	ITPR1	0	complete	118	115	115	3	0.9746	0.9746	62	60	0
GCF_003957555.1	Calypte anna	Aves	RefSeq	ITPR2	0	complete	112	108	108	4	0.9643	0.9643	57	57	0
GCF_003957555.1	Calypte anna	Aves	RefSeq	ITPR3	0	complete	114	105	106	8	0.9211	0.9298	56	58	0
GCF_003957555.1	Calypte anna	Aves	RefSeq	RYR	0	complete	212	204	204	8	0.9623	0.9623	104	107	0
GCF_003957555.1	Calypte anna	Aves	RefSeq	RYR	1	complete	206	193	193	13	0.9369	0.9369	101	104	0
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	RefSeq	ITPR1	0	complete	118	114	114	4	0.9661	0.9661	59	60	0
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	RefSeq	RYR	1	complete	210	201	201	9	0.9571	0.9571	103	106	0
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	RefSeq	RYR	2	complete	210	188	189	21	0.8952	0.9	102	106	0
