accession	cell	locus_idx	intron_index	length	splice_class	frame_ok	col_left	col_right	intron_phase	q_left	q_right
GCA_008658365.1	ITPR1	0	47	1254	minor	1	8710	8711	0	2115	2116
GCA_008658365.1	ITPR1	0	48	759	canonical	1	8803	8823	0	2147	2148
GCA_008658365.1	ITPR1	0	49	979	canonical	1	9042	9052	0	2188	2189
GCA_008658365.1	ITPR1	0	50	844	canonical	1	9198	9206	0	2223	2224
GCA_008658365.1	ITPR1	0	51	3694	canonical	1	9303	9672	1	2287	2288
GCA_008658365.1	ITPR1	0	52	3685	canonical	1	9731	9755	1	2328	2329
GCA_008658365.1	ITPR1	0	53	1255	canonical	1	9890	9898	0	2387	2388
GCA_008658365.1	ITPR1	0	54	1626	canonical	1	10173	10174	0	2442	2443
GCA_008658365.1	ITPR1	0	55	1358	canonical	1	10255	0	1	2507	2508
GCA_008658365.1	ITPR1	0	56	1912	canonical	1	10322	10357	1	2541	2542
GCA_008658365.1	ITPR1	0	57	1339	canonical	1	10438	10439	0	2588	2589
GCA_008658365.1	ITPR1	0	58	765	canonical	1	10499	10500	1	2643	2644
GCA_008658365.1	ITPR1	0	59	11221	canonical	1	10572	10585	0	2697	2698
GCA_008658365.1	ITPR1	0	60	5634	canonical	1	10740	10741	0	2751	2752
GCA_008658365.1	ITPR2	0	0	32492	canonical	1	215	216	2	30	31
GCA_008658365.1	ITPR2	0	1	10209	canonical	1	283	292	1	54	55
GCA_008658365.1	ITPR2	0	2	1182	canonical	1	463	464	0	93	94
GCA_008658365.1	ITPR2	0	3	681	canonical	1	514	524	0	122	123
GCA_008658365.1	ITPR2	0	4	5879	canonical	1	579	605	0	175	176
GCA_008658365.1	ITPR2	0	5	513	canonical	1	716	725	0	208	209
GCA_008658365.1	ITPR2	0	6	1099	canonical	1	784	785	0	236	237
GCA_008658365.1	ITPR2	0	7	1232	canonical	1	917	918	0	285	286
GCA_008658365.1	ITPR2	0	8	13443	canonical	1	1049	1060	0	317	318
GCA_008658365.1	ITPR2	0	9	7396	canonical	1	1088	1091	0	332	333
GCA_008658365.1	ITPR2	0	10	1390	canonical	1	1275	1276	2	382	383
GCA_008658365.1	ITPR2	0	11	148	canonical	1	1491	1513	0	416	417
GCA_008658365.1	ITPR2	0	12	2335	canonical	1	1617	1645	2	469	470
GCA_008658365.1	ITPR2	0	13	1946	canonical	1	1748	1749	0	517	518
GCA_008658365.1	ITPR2	0	14	951	canonical	1	1895	1930	0	570	571
GCA_008658365.1	ITPR2	0	15	2541	canonical	1	2138	2151	2	627	628
GCA_008658365.1	ITPR2	0	16	103	canonical	1	2308	2309	2	667	668
GCA_008658365.1	ITPR2	0	17	607	canonical	1	2855	2925	2	729	730
GCA_008658365.1	ITPR2	0	18	1130	canonical	1	3615	3616	2	813	814
GCA_008658365.1	ITPR2	0	19	947	canonical	1	3864	3865	0	862	863
GCA_008658365.1	ITPR2	0	20	18331	canonical	1	4044	4062	1	912	913
GCA_008658365.1	ITPR2	0	21	2815	canonical	1	4386	4387	0	977	978
GCA_008658365.1	ITPR2	0	22	971	canonical	1	4534	4535	1	1021	1022
GCA_008658365.1	ITPR2	0	23	1520	canonical	1	4604	4625	2	1040	1041
GCA_008658365.1	ITPR2	0	24	1997	canonical	1	4812	4813	0	1096	1097
GCA_008658365.1	ITPR2	0	25	5340	canonical	1	4900	4901	0	1154	1155
GCA_008658365.1	ITPR2	0	26	142	canonical	1	5016	5017	0	1184	1185
GCA_008658365.1	ITPR2	0	27	1193	canonical	1	5281	5307	0	1226	1227
GCA_008658365.1	ITPR2	0	28	1550	canonical	1	5394	5417	0	1267	1268
GCA_008658365.1	ITPR2	0	29	4179	canonical	1	5602	5603	0	1334	1335
GCA_008658365.1	ITPR2	0	30	1583	canonical	1	6035	6036	0	1418	1419
GCA_008658365.1	ITPR2	0	31	4951	canonical	1	6105	6123	0	1460	1461
GCA_008658365.1	ITPR2	0	32	600	canonical	1	6303	6304	0	1503	1504
GCA_008658365.1	ITPR2	0	33	9681	canonical	1	6553	6554	1	1543	1544
GCA_008658365.1	ITPR2	0	34	843	canonical	1	6778	6779	0	1607	1608
GCA_008658365.1	ITPR2	0	35	1694	canonical	1	7283	7284	2	1654	1655
GCA_008658365.1	ITPR2	0	36	38529	canonical	1	7716	7792	0	1691	1692
GCA_008658365.1	ITPR2	0	37	1639	canonical	1	7866	7867	1	1727	1728
GCA_008658365.1	ITPR2	0	38	1119	canonical	1	8020	8021	0	1790	1791
GCA_008658365.1	ITPR2	0	39	584	canonical	0	8151	8156	0	1852	1853
GCA_008658365.1	ITPR2	0	40	952	canonical	1	8466	8467	0	1937	1938
GCA_008658365.1	ITPR2	0	41	1967	canonical	1	8599	8614	0	2004	2005
GCA_008658365.1	ITPR2	0	42	4887	canonical	1	8710	8711	0	2041	2042
GCA_008658365.1	ITPR2	0	43	1235	canonical	1	8803	8823	0	2073	2074
GCA_008658365.1	ITPR2	0	44	19360	canonical	1	9042	9052	0	2113	2114
GCA_008658365.1	ITPR2	0	45	2480	canonical	1	9198	9206	0	2149	2150
GCA_008658365.1	ITPR2	0	46	2861	canonical	1	9303	9672	1	2213	2214
GCA_008658365.1	ITPR2	0	47	2856	minor	1	9747	9755	1	2255	2256
GCA_008658365.1	ITPR2	0	48	1308	canonical	1	9890	9898	0	2314	2315
GCA_008658365.1	ITPR2	0	49	2160	canonical	1	10173	10174	0	2369	2370
GCA_008658365.1	ITPR2	0	50	2071	canonical	1	10271	10274	1	2435	2436
GCA_008658365.1	ITPR2	0	51	4440	canonical	1	10359	10360	1	2466	2467
GCA_008658365.1	ITPR2	0	52	1770	canonical	1	10438	10439	0	2509	2510
GCA_008658365.1	ITPR2	0	53	1269	canonical	1	10499	10500	1	2564	2565
GCA_008658365.1	ITPR2	0	54	22099	canonical	1	10572	10585	0	2618	2619
GCA_008658365.1	ITPR2	0	55	1250	canonical	1	10740	10741	0	2672	2673
GCA_008658365.1	ITPR3	0	0	8251	canonical	1	215	216	2	29	30
GCA_008658365.1	ITPR3	0	1	3963	canonical	1	283	292	1	53	54
GCA_008658365.1	ITPR3	0	2	3261	canonical	1	463	464	0	94	95
GCA_008658365.1	ITPR3	0	3	177	canonical	1	514	524	0	123	124
GCA_008658365.1	ITPR3	0	4	117	canonical	1	579	605	0	176	177
GCA_008658365.1	ITPR3	0	5	124	canonical	1	716	725	0	209	210
GCA_008658365.1	ITPR3	0	6	968	canonical	1	784	785	0	237	238
GCA_008658365.1	ITPR3	0	7	340	canonical	1	917	918	0	286	287
GCA_008658365.1	ITPR3	0	8	1197	canonical	1	1049	1060	0	318	319
GCA_008658365.1	ITPR3	0	9	562	canonical	0	1129	1130	0	335	336
GCA_008658365.1	ITPR3	0	10	163	canonical	0	1275	1276	2	382	383
GCA_008658365.1	ITPR3	0	11	284	canonical	1	1491	1513	0	416	417
GCA_008658365.1	ITPR3	0	12	701	canonical	1	1617	1645	2	469	470
GCA_008658365.1	ITPR3	0	13	244	canonical	1	1748	1749	0	517	518
GCA_008658365.1	ITPR3	0	14	146	canonical	1	1895	1930	0	571	572
GCA_008658365.1	ITPR3	0	15	129	canonical	0	2138	2151	2	628	629
GCA_008658365.1	ITPR3	0	16	157	canonical	0	2308	2309	2	668	669
GCA_008658365.1	ITPR3	0	17	83	canonical	0	2855	2925	2	729	730
GCA_008658365.1	ITPR3	0	18	293	canonical	1	3615	3616	2	813	814
GCA_008658365.1	ITPR3	0	19	158	canonical	0	3864	3865	0	862	863
GCA_008658365.1	ITPR3	0	20	309	canonical	0	4044	4062	1	911	912
GCA_008658365.1	ITPR3	0	21	153	canonical	0	4386	4387	0	977	978
GCA_008658365.1	ITPR3	0	22	276	canonical	1	4534	4535	1	1020	1021
GCA_008658365.1	ITPR3	0	23	209	canonical	1	4604	4625	2	1039	1040
GCA_008658365.1	ITPR3	0	24	139	canonical	1	4812	4813	0	1095	1096
GCA_008658365.1	ITPR3	0	25	215	canonical	1	4896	4897	0	1150	1151
GCA_008658365.1	ITPR3	0	26	420	canonical	1	5016	5017	0	1173	1174
GCA_008658365.1	ITPR3	0	27	158	canonical	1	5281	5307	0	1215	1216
GCA_008658365.1	ITPR3	0	28	172	canonical	1	5394	5417	0	1256	1257
GCA_008658365.1	ITPR3	0	29	376	canonical	1	5602	5603	0	1323	1324
GCA_008658365.1	ITPR3	0	30	108	canonical	1	6035	6036	0	1407	1408
GCA_008658365.1	ITPR3	0	31	314	canonical	1	6105	6123	0	1449	1450
GCA_008658365.1	ITPR3	0	32	119	canonical	1	6303	6304	0	1491	1492
GCA_008658365.1	ITPR3	0	33	1563	canonical	1	6553	6554	1	1531	1532
GCA_008658365.1	ITPR3	0	34	136	canonical	1	6778	6779	0	1593	1594
GCA_008658365.1	ITPR3	0	35	180	canonical	1	7283	7284	2	1642	1643
GCA_008658365.1	ITPR3	0	36	158	canonical	1	7716	7792	0	1679	1680
GCA_008658365.1	ITPR3	0	37	327	canonical	1	7886	7887	1	1709	1710
GCA_008658365.1	ITPR3	0	38	689	canonical	1	8020	8021	0	1766	1767
GCA_008658365.1	ITPR3	0	39	82	canonical	1	8165	8166	1	1824	1825
GCA_008658365.1	ITPR3	0	40	354	canonical	1	8466	8467	0	1886	1887
GCA_008658365.1	ITPR3	0	41	855	canonical	1	8599	8614	0	1953	1954
GCA_008658365.1	ITPR3	0	42	325	canonical	1	8710	8711	0	1990	1991
GCA_008658365.1	ITPR3	0	43	262	canonical	1	8803	8823	0	2022	2023
GCA_008658365.1	ITPR3	0	44	242	canonical	1	9042	9052	0	2056	2057
GCA_008658365.1	ITPR3	0	45	646	canonical	1	9144	9145	0	2085	2086
GCA_008658365.1	ITPR3	0	46	577	minor	1	9198	9206	0	2122	2123
GCA_008658365.1	ITPR3	0	47	990	canonical	1	9303	9672	1	2186	2187
GCA_008658365.1	ITPR3	0	48	514	canonical	1	9747	9755	1	2228	2229
GCA_008658365.1	ITPR3	0	49	113	canonical	1	9890	9898	0	2286	2287
GCA_008658365.1	ITPR3	0	50	484	canonical	1	10173	10174	0	2341	2342
GCA_008658365.1	ITPR3	0	51	519	canonical	1	10246	10255	1	2405	2406
GCA_008658365.1	ITPR3	0	52	428	canonical	1	10360	10361	1	2437	2438
GCA_008658365.1	ITPR3	0	53	269	canonical	1	10438	10439	0	2479	2480
GCA_008658365.1	ITPR3	0	54	748	canonical	1	10499	10500	1	2534	2535
GCA_008658365.1	ITPR3	0	55	512	canonical	1	10572	10585	0	2588	2589
GCA_008658365.1	ITPR3	0	56	352	canonical	1	10740	10741	0	2642	2643
GCA_008658365.1	RYR	0	0	12783	canonical	1	153	0	0	16	17
GCA_008658365.1	RYR	0	1	96930	canonical	1	0	154	0	35	36
GCA_008658365.1	RYR	0	2	19520	canonical	1	272	274	0	75	76
GCA_008658365.1	RYR	0	3	22979	canonical	1	484	485	0	110	111
GCA_008658365.1	RYR	0	4	17228	canonical	1	491	497	0	117	118
GCA_008658365.1	RYR	0	5	498	canonical	1	531	532	0	142	143
GCA_008658365.1	RYR	0	6	1116	canonical	1	557	558	1	168	169
GCA_008658365.1	RYR	0	7	11641	canonical	1	640	641	0	206	207
GCA_008658365.1	RYR	0	8	1730	canonical	1	769	780	1	239	240
GCA_008658365.1	RYR	0	9	8881	canonical	1	847	860	2	271	272
GCA_008658365.1	RYR	0	10	3354	canonical	1	1014	1015	2	296	297
GCA_008658365.1	RYR	0	11	3553	canonical	1	1247	1248	0	349	350
GCA_008658365.1	RYR	0	12	1390	canonical	1	1491	1513	0	404	405
GCA_008658365.1	RYR	0	13	2973	canonical	1	1569	1570	2	444	445
GCA_008658365.1	RYR	0	14	707	canonical	1	1743	1744	0	506	507
GCA_008658365.1	RYR	0	15	6132	canonical	1	1875	1876	1	551	552
GCA_008658365.1	RYR	0	16	10166	canonical	1	2023	2024	1	583	584
GCA_008658365.1	RYR	0	17	400	canonical	1	2151	2152	0	623	624
GCA_008658365.1	RYR	0	18	2625	canonical	1	2318	2319	2	667	668
GCA_008658365.1	RYR	0	19	3665	canonical	1	2434	2435	1	748	749
GCA_008658365.1	RYR	0	20	1713	canonical	1	2500	2501	2	812	813
GCA_008658365.1	RYR	0	21	1224	canonical	1	2574	2575	0	885	886
GCA_008658365.1	RYR	0	22	4039	canonical	1	2621	2622	0	920	921
GCA_008658365.1	RYR	0	23	4236	canonical	1	2664	2665	2	954	955
GCA_008658365.1	RYR	0	24	3541	canonical	1	2692	2693	2	982	983
GCA_008658365.1	RYR	0	25	9462	canonical	1	2764	2767	0	1036	1037
GCA_008658365.1	RYR	0	26	4892	canonical	1	2817	2818	1	1085	1086
GCA_008658365.1	RYR	0	27	1933	canonical	1	2893	2894	0	1155	1156
GCA_008658365.1	RYR	0	28	7021	canonical	1	2953	2954	1	1213	1214
GCA_008658365.1	RYR	0	29	908	canonical	1	3025	3026	0	1283	1284
GCA_008658365.1	RYR	0	30	1060	canonical	1	3239	3240	2	1400	1401
GCA_008658365.1	RYR	0	31	851	canonical	1	3378	3379	0	1439	1440
GCA_008658365.1	RYR	0	32	687	canonical	1	3432	3433	2	1492	1493
GCA_008658365.1	RYR	0	33	275	canonical	1	3502	3503	0	1546	1547
GCA_008658365.1	RYR	0	34	771	canonical	1	3531	3552	0	1575	1576
GCA_008658365.1	RYR	0	35	951	canonical	1	3746	3750	2	1650	1651
GCA_008658365.1	RYR	0	36	540	canonical	1	4339	4340	0	1916	1917
GCA_008658365.1	RYR	0	37	122	canonical	1	4594	4595	0	1983	1984
GCA_008658365.1	RYR	0	38	4317	canonical	1	4669	4670	1	2018	2019
GCA_008658365.1	RYR	0	39	2754	canonical	1	4748	4749	1	2066	2067
GCA_008658365.1	RYR	0	40	2896	canonical	1	5018	5019	2	2157	2158
GCA_008658365.1	RYR	0	41	586	canonical	1	5287	5288	0	2196	2197
GCA_008658365.1	RYR	0	42	1711	canonical	1	5417	5418	1	2240	2241
GCA_008658365.1	RYR	0	43	1357	canonical	1	5505	5506	0	2275	2276
GCA_008658365.1	RYR	0	44	683	canonical	1	5581	5582	1	2320	2321
GCA_008658365.1	RYR	0	45	479	canonical	1	5702	5706	2	2382	2383
GCA_008658365.1	RYR	0	46	1253	canonical	1	5844	5845	0	2418	2419
GCA_008658365.1	RYR	0	47	1258	canonical	1	5977	5978	1	2458	2459
GCA_008658365.1	RYR	0	48	1042	canonical	1	6139	6140	0	2515	2516
GCA_008658365.1	RYR	0	49	1341	canonical	1	6315	6316	2	2588	2589
GCA_008658365.1	RYR	0	50	3256	canonical	1	6348	6349	0	2619	2620
GCA_008658365.1	RYR	0	51	822	canonical	1	6403	6404	0	2666	2667
GCA_008658365.1	RYR	0	52	2265	canonical	1	6459	6460	2	2720	2721
GCA_008658365.1	RYR	0	53	640	canonical	1	6486	6487	0	2747	2748
GCA_008658365.1	RYR	0	54	1132	canonical	1	6516	6517	0	2777	2778
GCA_008658365.1	RYR	0	55	2231	canonical	1	6592	6593	0	2823	2824
GCA_008658365.1	RYR	0	56	1977	canonical	1	6648	6667	0	2849	2850
GCA_008658365.1	RYR	0	57	2455	canonical	1	6698	0	1	2874	2875
GCA_008658365.1	RYR	0	58	2993	canonical	1	6744	6745	2	2916	2917
GCA_008658365.1	RYR	0	59	1532	canonical	1	6791	6792	1	2955	2956
GCA_008658365.1	RYR	0	60	1979	canonical	1	6816	6817	0	2977	2978
GCA_008658365.1	RYR	0	61	3274	canonical	1	6892	6893	2	3017	3018
GCA_008658365.1	RYR	0	62	5061	canonical	1	6909	6910	1	3034	3035
GCA_008658365.1	RYR	0	63	1665	canonical	1	6929	6930	2	3054	3055
GCA_008658365.1	RYR	0	64	2342	canonical	1	7011	7012	1	3134	3135
GCA_008658365.1	RYR	0	65	1422	canonical	1	7048	7049	2	3161	3162
GCA_008658365.1	RYR	0	66	1768	canonical	1	7092	7093	1	3205	3206
GCA_008658365.1	RYR	0	67	1392	canonical	1	7208	7209	1	3312	3313
GCA_008658365.1	RYR	0	68	409	canonical	1	7292	7293	2	3392	3393
GCA_008658365.1	RYR	0	69	1917	canonical	1	7327	7328	0	3422	3423
GCA_008658365.1	RYR	0	70	332	canonical	1	7367	7368	0	3453	3454
GCA_008658365.1	RYR	0	71	918	canonical	1	7452	7453	0	3510	3511
GCA_008658365.1	RYR	0	72	4257	canonical	1	7472	7549	0	3530	3531
GCA_008658365.1	RYR	0	73	4231	canonical	1	7645	7658	0	3575	3576
GCA_008658365.1	RYR	0	74	1570	canonical	1	7694	7695	2	3612	3613
GCA_008658365.1	RYR	0	75	3420	canonical	1	7732	7733	0	3645	3646
GCA_008658365.1	RYR	0	76	607	canonical	1	7797	7801	2	3679	3680
GCA_008658365.1	RYR	0	77	159	canonical	1	7823	7824	0	3697	3698
GCA_008658365.1	RYR	0	78	11687	canonical	1	7887	7888	0	3715	3716
GCA_008658365.1	RYR	0	79	967	canonical	1	7984	7985	1	3748	3749
GCA_008658365.1	RYR	0	80	1990	canonical	1	8021	8022	0	3775	3776
GCA_008658365.1	RYR	0	81	571	canonical	1	8062	8063	2	3800	3801
GCA_008658365.1	RYR	0	82	7772	canonical	1	8434	8435	1	3825	3826
GCA_008658365.1	RYR	0	83	993	canonical	1	8462	8463	1	3852	3853
GCA_008658365.1	RYR	0	84	1568	canonical	1	8506	8507	0	3882	3883
GCA_008658365.1	RYR	0	85	3128	canonical	1	8592	8593	0	3925	3926
GCA_008658365.1	RYR	0	86	2810	canonical	1	8669	8670	0	3960	3961
GCA_008658365.1	RYR	0	87	1121	canonical	1	8726	8727	1	3987	3988
GCA_008658365.1	RYR	0	88	383	canonical	1	9574	9575	0	4422	4423
GCA_008658365.1	RYR	0	89	1835	canonical	1	9617	9618	2	4443	4444
GCA_008658365.1	RYR	0	90	1512	canonical	1	9688	9689	0	4493	4494
GCA_008658365.1	RYR	0	91	831	canonical	1	9719	9720	0	4522	4523
GCA_008658365.1	RYR	0	92	2301	canonical	1	9926	9927	0	4595	4596
GCA_008658365.1	RYR	0	93	636	canonical	1	10023	10024	2	4638	4639
GCA_008658365.1	RYR	0	94	2658	canonical	1	10064	10065	0	4653	4654
GCA_008658365.1	RYR	0	95	5715	canonical	1	10110	10111	2	4697	4698
GCA_008658365.1	RYR	0	96	1714	canonical	1	10144	10145	0	4718	4719
GCA_008658365.1	RYR	0	97	1804	canonical	1	10197	10198	0	4767	4768
GCA_008658365.1	RYR	0	98	2261	canonical	1	10377	10378	0	4812	4813
GCA_008658365.1	RYR	0	99	1839	canonical	1	10471	10472	1	4864	4865
GCA_008658365.1	RYR	0	100	1282	canonical	1	10493	10494	0	4886	4887
GCA_008658365.1	RYR	0	101	1458	canonical	1	10539	10540	2	4919	4920
GCA_008658365.1	RYR	0	102	302	canonical	1	10563	10564	0	4937	4938
GCA_008658365.1	RYR	1	0	46380	canonical	1	153	154	0	16	17
GCA_008658365.1	RYR	1	1	12353	canonical	1	272	274	0	56	57
GCA_008658365.1	RYR	1	2	2700	canonical	1	497	498	1	92	93
GCA_008658365.1	RYR	1	3	993	canonical	1	531	532	0	116	117
GCA_008658365.1	RYR	1	4	2531	canonical	1	557	558	1	142	143
GCA_008658365.1	RYR	1	5	454	canonical	1	640	641	0	180	181
GCA_008658365.1	RYR	1	6	3139	canonical	1	769	780	1	213	214
GCA_008658365.1	RYR	1	7	3790	canonical	1	847	860	2	245	246
GCA_008658365.1	RYR	1	8	917	canonical	1	1014	1015	2	270	271
GCA_008658365.1	RYR	1	9	6123	canonical	1	1247	1248	0	323	324
GCA_008658365.1	RYR	1	10	3921	canonical	1	1491	1513	0	378	379
GCA_008658365.1	RYR	1	11	3847	canonical	1	1575	1576	2	424	425
GCA_008658365.1	RYR	1	12	1032	canonical	1	1743	1744	0	481	482
GCA_008658365.1	RYR	1	13	1617	canonical	1	1875	1876	1	526	527
GCA_008658365.1	RYR	1	14	702	canonical	1	2023	2024	1	558	559
GCA_008658365.1	RYR	1	15	2425	canonical	1	2151	2152	0	598	599
GCA_008658365.1	RYR	1	16	632	canonical	1	2318	2319	2	642	643
GCA_008658365.1	RYR	1	17	2868	canonical	1	2434	2435	1	723	724
GCA_008658365.1	RYR	1	18	3944	canonical	1	2500	2501	2	787	788
GCA_008658365.1	RYR	1	19	210	canonical	1	2574	2575	0	860	861
GCA_008658365.1	RYR	1	20	1521	canonical	1	2621	2622	0	895	896
GCA_008658365.1	RYR	1	21	452	canonical	1	2664	2665	2	929	930
GCA_008658365.1	RYR	1	22	1696	canonical	1	2692	2693	2	957	958
GCA_008658365.1	RYR	1	23	409	canonical	1	2764	2767	0	1011	1012
GCA_008658365.1	RYR	1	24	938	canonical	1	2817	2818	1	1060	1061
GCA_008658365.1	RYR	1	25	736	canonical	1	2893	2894	0	1129	1130
GCA_008658365.1	RYR	1	26	1646	canonical	1	2953	2954	1	1187	1188
GCA_008658365.1	RYR	1	27	1267	canonical	1	3025	3026	0	1257	1258
GCA_008658365.1	RYR	1	28	146	canonical	1	3140	3141	0	1341	1342
GCA_008658365.1	RYR	1	29	740	canonical	0	3378	3379	0	1421	1422
GCA_008658365.1	RYR	1	30	780	canonical	1	3432	3433	2	1474	1475
GCA_008658365.1	RYR	1	31	2872	canonical	1	3502	3503	0	1530	1531
GCA_008658365.1	RYR	1	32	372	canonical	1	3531	3552	0	1559	1560
GCA_008658365.1	RYR	1	33	1097	canonical	1	3746	3750	2	1634	1635
GCA_008658365.1	RYR	1	34	520	canonical	1	4339	4340	0	1933	1934
GCA_008658365.1	RYR	1	35	570	canonical	1	4594	4595	0	2000	2001
GCA_008658365.1	RYR	1	36	4119	canonical	1	4669	4670	1	2036	2037
GCA_008658365.1	RYR	1	37	9096	canonical	1	4748	4749	1	2085	2086
GCA_008658365.1	RYR	1	38	1900	canonical	1	5018	5019	2	2176	2177
GCA_008658365.1	RYR	1	39	4200	canonical	1	5287	5288	0	2215	2216
GCA_008658365.1	RYR	1	40	989	canonical	1	5417	5421	1	2259	2260
GCA_008658365.1	RYR	1	41	3367	canonical	1	5505	5506	0	2291	2292
GCA_008658365.1	RYR	1	42	3827	canonical	1	5581	5582	1	2336	2337
GCA_008658365.1	RYR	1	43	458	canonical	1	5700	5701	2	2396	2397
GCA_008658365.1	RYR	1	44	1249	canonical	1	5844	5845	0	2436	2437
GCA_008658365.1	RYR	1	45	723	canonical	1	5977	5978	1	2476	2477
GCA_008658365.1	RYR	1	46	682	canonical	1	6139	6140	0	2533	2534
GCA_008658365.1	RYR	1	47	1273	canonical	1	6315	6316	2	2606	2607
GCA_008658365.1	RYR	1	48	1398	canonical	1	6348	6349	0	2637	2638
GCA_008658365.1	RYR	1	49	2329	canonical	1	6403	6404	0	2684	2685
GCA_008658365.1	RYR	1	50	962	canonical	1	6459	6460	2	2738	2739
GCA_008658365.1	RYR	1	51	1406	canonical	1	6486	6487	0	2765	2766
GCA_008658365.1	RYR	1	52	1382	canonical	1	6516	6517	0	2795	2796
GCA_008658365.1	RYR	1	53	1572	canonical	1	6592	6593	0	2843	2844
GCA_008658365.1	RYR	1	54	422	canonical	1	6648	6667	0	2870	2871
GCA_008658365.1	RYR	1	55	170	canonical	1	6698	6699	1	2895	2896
GCA_008658365.1	RYR	1	56	4275	canonical	1	6744	6745	2	2936	2937
GCA_008658365.1	RYR	1	57	281	canonical	1	6791	6792	1	2975	2976
GCA_008658365.1	RYR	1	58	841	canonical	1	6816	6817	0	2998	2999
GCA_008658365.1	RYR	1	59	2251	canonical	1	6892	6893	2	3038	3039
GCA_008658365.1	RYR	1	60	700	canonical	1	6909	6910	1	3055	3056
GCA_008658365.1	RYR	1	61	1033	canonical	1	6929	6930	2	3075	3076
GCA_008658365.1	RYR	1	62	934	canonical	1	7011	7012	1	3155	3156
GCA_008658365.1	RYR	1	63	6754	canonical	1	7048	7049	2	3182	3183
