cell	vclass	n_loci	n_genomes	n_exons_median	n_exons_p10	n_exons_p90	n_exons_min	n_exons_max	cds_bp_median	cds_bp_p10	cds_bp_p90	cds_bp_min	cds_bp_max	span_bp_median	span_bp_p10	span_bp_p90	span_bp_min	span_bp_max	median_intron_bp_median	median_intron_bp_p10	median_intron_bp_p90	median_intron_bp_min	median_intron_bp_max	max_intron_bp_median	max_intron_bp_p10	max_intron_bp_p90	max_intron_bp_min	max_intron_bp_max	mean_exon_bp_median	mean_exon_bp_p10	mean_exon_bp_p90	mean_exon_bp_min	mean_exon_bp_max	total_intron_bp_median	total_intron_bp_p10	total_intron_bp_p90	total_intron_bp_min	total_intron_bp_max
ITPR1	Mammalia	30	30	60	60	60	59	60	8271	8250	8277.6	8250	8289	320372	276626	379119	141423	400472	2173.5	1922.5	2483.2	894	2660	99076.5	83870.6	127590	40978	153093	137.8	137.5	138.1	137.5	140.2	312098	268354	370848	133173	392222
ITPR1	Myxini	3	1	56	55.2	56	55	56	8187	8141.4	8203.8	8130	8208	370441	222470	444435	185477	462933	2616	1518.4	2797.6	1244	2843	42022	28966.8	81178	25703	90967	146.6	145.5	148.4	145.2	148.8	362233	214324	436243	177347	454746
ITPR1	Testudines	1	1	58	58	58	58	58	8235	8235	8235	8235	8235	225460	225460	225460	225460	225460	1917	1917	1917	1917	1917	60977	60977	60977	60977	60977	142	142	142	142	142	217225	217225	217225	217225	217225
ITPR2	Actinopteri	83	78	56	55	57	44	58	8074	8021.2	8145.8	7847	8294	71605	50137.6	161979	36174	284458	359	233.8	879.6	117	2338	11919	8340.2	32465.2	5975	70681	144.1	141.4	147.6	139	178.3	63534	42048.6	153926	28170	276369
ITPR2	Amphibia	6	6	57	49.5	57	42	57	8112	7796	8149.5	7495	8151	946702	164664	2.10269e+06	120448	2.4721e+06	8060.5	1060.2	14692.2	655.5	14811.5	119505	40636.5	675826	16776	1.05837e+06	142.7	142.1	160.7	142.1	178.4	938573	156858	2.09457e+06	112330	2.46395e+06
ITPR2	Aves	52	51	57	57	57	56	57	8100	8099.1	8103	8050	8118	263880	240269	270144	174212	280031	1624.2	1497.6	1736.2	1301.5	1869.5	37455.5	34747.9	40104.8	25561	41995	142.1	142.1	142.2	141.2	144.8	255780	232169	262050	166097	271922
ITPR2	Chondrichthyes	12	12	57	55.1	57	55	57	8109	8083.8	8131.5	8040	8136	283710	248151	325907	69348	468663	2519.8	2140.7	2805.8	638	2866.5	47379	40304.1	69652	4928	220071	142.5	142.2	146.1	142.1	146.9	275605	240018	317800	61308	460530
ITPR2	Cladistia	1	1	57	57	57	57	57	8061	8061	8061	8061	8061	559966	559966	559966	559966	559966	3344.5	3344.5	3344.5	3344.5	3344.5	118034	118034	118034	118034	118034	141.4	141.4	141.4	141.4	141.4	551905	551905	551905	551905	551905
ITPR2	Coelacanthimorpha	1	1	57	57	57	57	57	8130	8130	8130	8130	8130	364558	364558	364558	364558	364558	3857.5	3857.5	3857.5	3857.5	3857.5	49598	49598	49598	49598	49598	142.6	142.6	142.6	142.6	142.6	356428	356428	356428	356428	356428
ITPR2	Crocodylia	1	1	57	57	57	57	57	8106	8106	8106	8106	8106	421179	421179	421179	421179	421179	2563.5	2563.5	2563.5	2563.5	2563.5	73775	73775	73775	73775	73775	142.2	142.2	142.2	142.2	142.2	413073	413073	413073	413073	413073
ITPR2	Dipnoi	1	1	58	58	58	58	58	8127	8127	8127	8127	8127	2.41345e+06	2.41345e+06	2.41345e+06	2.41345e+06	2.41345e+06	23352	23352	23352	23352	23352	396016	396016	396016	396016	396016	140.1	140.1	140.1	140.1	140.1	2.40533e+06	2.40533e+06	2.40533e+06	2.40533e+06	2.40533e+06
ITPR2	Lepidosauria	2	2	56	56	56	56	56	8112	8106.4	8117.6	8105	8119	287122	239147	335098	227153	347092	2330.5	1925.3	2735.7	1824	2837	44221	37436.2	51005.8	35740	52702	144.9	144.8	145	144.7	145	279010	231040	326980	219048	338973
ITPR2	Mammalia	30	30	57	57	57	56	57	8106	8097	8106	8028	8106	502132	422217	560126	316917	586138	3202.2	2791.1	3951.6	2115	4086.5	61221.5	51108	82206.8	45959	91179	142.2	142.1	142.2	142	143.4	494032	414111	552020	308812	578032
ITPR2	Testudines	1	1	57	57	57	57	57	8100	8100	8100	8100	8100	365175	365175	365175	365175	365175	2224	2224	2224	2224	2224	60859	60859	60859	60859	60859	142.1	142.1	142.1	142.1	142.1	357075	357075	357075	357075	357075
ITPR3	Actinopteri	79	75	59	57.8	60	44	61	8040	7956.4	8088.2	7289	8205	55226	29307.2	143520	23285	299056	346	145.8	729.1	95	1780	9369	3446.8	40536.6	1325	98524	136.3	134.1	139.6	132.8	165.7	47213	21285	135435	15284	290988
ITPR3	Amphibia	7	7	58	58	58	58	58	8022	8000.6	8070.4	8000	8098	566930	268450	717114	148713	795475	2722	1644.6	4856.4	1155	6996	71456	34667	134307	33074	145579	138.3	137.9	139.1	137.9	139.6	558908	260437	709083	140712	787475
ITPR3	Aves	51	51	58	58	58	56	58	7995	7995	8014	7886	8067	41680	36618	43217	30320	50623	286	253	308	227	325	7515	5560	8048	2923	8533	137.8	137.8	138.4	137.8	141.5	33666	28605	35222	22376	42628
ITPR3	Chondrichthyes	12	12	56	56	56	56	57	7914	7879.5	7957.6	7879	7968	288997	207500	351720	103440	360606	2405	2119.9	2865.2	1163	3297	62434.5	40711.6	84372.1	11615	87318	141.3	140.7	142.1	138.7	142.3	281055	199553	343814	95525	352722
ITPR3	Cladistia	1	1	58	58	58	58	58	7968	7968	7968	7968	7968	195408	195408	195408	195408	195408	1163	1163	1163	1163	1163	43105	43105	43105	43105	43105	137.4	137.4	137.4	137.4	137.4	187440	187440	187440	187440	187440
ITPR3	Coelacanthimorpha	1	1	57	57	57	57	57	8148	8148	8148	8148	8148	69159	69159	69159	69159	69159	872	872	872	872	872	6881	6881	6881	6881	6881	142.9	142.9	142.9	142.9	142.9	61011	61011	61011	61011	61011
ITPR3	Crocodylia	1	1	58	58	58	58	58	8004	8004	8004	8004	8004	67527	67527	67527	67527	67527	559	559	559	559	559	13407	13407	13407	13407	13407	138	138	138	138	138	59523	59523	59523	59523	59523
ITPR3	Dipnoi	1	1	58	58	58	58	58	7989	7989	7989	7989	7989	2.40004e+06	2.40004e+06	2.40004e+06	2.40004e+06	2.40004e+06	30995	30995	30995	30995	30995	440715	440715	440715	440715	440715	137.7	137.7	137.7	137.7	137.7	2.39205e+06	2.39205e+06	2.39205e+06	2.39205e+06	2.39205e+06
ITPR3	Lepidosauria	3	3	58	55.6	58	55	58	8001	7707.4	8010.6	7634	8013	116317	113507	161329	112805	172582	875.5	829.5	1067.1	818	1115	31908	29415.2	44776	28792	47993	138.2	138	138.7	137.9	138.8	108683	105580	153392	104804	164569
ITPR3	Mammalia	30	30	58	58	58	57	58	8016	8007	8016.3	8002	8076	71617	62121.1	120918	59461	133589	514.5	375.1	1023.5	355	1191	15584.5	14029.9	23255.5	12567	27044	138.2	138.1	138.2	138	141.7	63605.5	54103	112912	51385	125582
ITPR3	Testudines	1	1	58	58	58	58	58	7992	7992	7992	7992	7992	83998	83998	83998	83998	83998	744	744	744	744	744	16361	16361	16361	16361	16361	137.8	137.8	137.8	137.8	137.8	76006	76006	76006	76006	76006
RYR	Actinopteri	447	78	104	100	114	91	117	14919	14715	15231	13952	15403	105462	55594	239495	35095	2.52809e+06	385	113	856.5	76	5622	14963	3757.4	54527.4	1221	402917	144.7	131.2	147.9	127.2	158.5	90773	40605.2	224483	19801	2.51325e+06
RYR	Amphibia	17	8	104	101.6	107	101	107	14955	14781.6	15128.4	14773	15261	453290	125095	1.54436e+06	111612	3.42436e+06	1547	419	9711.7	262.5	21806	72092	20944	150010	12405	223711	144	141.3	145.7	141.1	146.4	438341	109962	1.52952e+06	96507	3.40945e+06
RYR	Aves	119	51	103	101	104	94	106	14883	14637	14916	13907	15269	254843	112425	446076	54694	469798	1162.5	863.6	1804.8	325.5	1952.5	52038	4499.6	101744	1587	119722	143.9	143.3	146.1	140.6	156.7	240141	97211.4	431168	39533	454927
RYR	Chondrichthyes	36	12	102	102	104	101	105	14924.5	14711.5	15027	14631	15075	444250	293743	636236	110781	788667	2697	1788.5	3328	565.5	3516.5	35295	15040.5	76267.5	6569	178242	145.3	143.5	147.1	140.2	147.8	429330	279026	621316	96081	773745
RYR	Cladistia	3	1	104	103.2	104.8	103	105	14955	14875.8	15103.8	14856	15141	533542	415424	631553	385894	656056	2587.5	2323.9	2594.3	2258	2596	58640	38532.8	200254	33506	235658	144.2	143.1	145	142.8	145.2	518686	400340	616618	370753	641101
RYR	Coelacanthimorpha	3	1	103	102.2	107	102	108	14898	14768.4	15079.6	14736	15125	366131	187187	576558	142451	629165	2041	1113.8	3061	882	3316	37340	11852.8	74181.6	5481	83392	144.5	140.9	144.6	140.1	144.6	351395	172140	561693	127326	614267
RYR	Crocodylia	3	1	104	102.4	104	102	104	14958	14886	15097.2	14868	15132	555704	156958	780394	57272	836566	2344	651.2	3092	228	3279	119241	27659.4	193596	4764	212185	145.5	144.2	145.7	143.8	145.8	540836	141879	765454	42140	821608
RYR	Dipnoi	3	1	103	103	104.6	103	105	14895	14892.6	15091	14892	15140	3.24898e+06	2.36574e+06	5.62811e+06	2.14493e+06	6.22289e+06	19888	17737.6	30116	17200	32673	538108	224746	859006	146406	939231	144.6	142.4	146.5	141.9	147	3.23409e+06	2.35065e+06	5.61322e+06	2.12979e+06	6.208e+06
RYR	Hyperoartia	2	1	106	103.6	108.4	103	109	15256.5	15056.1	15456.9	15006	15507	322539	317970	327108	316828	328250	1444.2	1434.8	1453.7	1432.5	1456	27941.5	25832.3	30050.7	25305	30578	144	142.6	145.3	142.3	145.7	307282	302513	312052	301321	313244
RYR	Lepidosauria	7	3	103	89.6	103	71	103	14860	14537	15008.4	14171	15192	367841	171635	561655	121520	643754	1989	1090.2	2626.5	714	3009	45199	21239.6	64275.6	13778	89988	144.9	144.3	168.3	143.9	199.6	352955	157056	546795	106328	628934
RYR	Mammalia	89	30	104	100	105	98	106	14913	14776.8	15165	14663	15231	514645	109535	795935	70238	959664	1764	475.4	2669.7	349	3014.5	153828	8334.8	222540	2792	264589	144.2	142	147.9	140.7	152.9	499807	94405.6	781024	55064	944751
RYR	Myxini	2	1	107.5	102.3	112.7	101	114	14961	14829	15093	14796	15126	481626	371007	592246	343352	619901	2427.8	1525.5	3329.9	1300	3555.5	35678.5	22947.7	48409.3	19765	51592	139.6	134.1	145.1	132.7	146.5	466666	355914	577417	328226	605105
RYR	Testudines	3	1	103	102.2	103.8	102	104	14892	14767.2	14985.6	14736	15009	553504	197203	615463	108128	630953	2602	935.6	2632.8	519	2640.5	45949	15850.6	90856.2	8326	102083	144.5	144.3	144.6	144.3	144.6	538612	182218	600696	93119	616217
