accession	organism	vclass	vorder	cell	locus_idx	mp_id	bait	bait_paralog	frame_via_cell	reference	strand	contig	start	end	coverage	identity	q_start	q_end	residues	n_blocks	n_exons	n_merges	n_introns	frame_steps	cds_bp	span_bp	total_intron_bp	median_intron_bp	max_intron_bp	min_intron_bp_seen	mean_exon_bp	frame_balance_bp	canonical_junctions	minor_junctions	non_canonical_junctions	frac_canonical	in_scope	excluded_by
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	RYR	3	MP000046	A0A8V0Y8K1	RYR2	0	Q92736	-	KL320477.1	2040	18489	0.1556	0.9715	3926	4698	773	10	10	0	9	0	2319	16450	14131	1559	2808	378	231.9	0	9	0	0	1	0	A1_not_a_gene_copy
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	RYR	2	MP000052	A0A4W3I1N0		0	Q92736	+	KL332051.1	2241	27149	0.2589	0.6357	728	2017	1290	19	19	0	18	0	3723	24909	21186	653.5	3920	210	195.95	-147	18	0	0	1	0	A1_not_a_gene_copy
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	ITPR1	0	MP000001	Q14643	ITPR1	0	Q14643	-	CM008031.1	28422367	28806481	1	0.8879	1	2758	2758	57	57	0	56	1	8020	384115	376095	2605	109418	97	140.7	-257	54	1	1	0.9821	0	A2_contig_cannot_span_the_gene
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	ITPR2	0	MP000007	Q14571	ITPR2	0	Q14571	-	CM008029.1	46562293	47287741	1	0.8296	1	2701	2701	54	54	0	53	1	7988	725449	717461	4382	88769	113	147.93	-118	51	2	0	1	0	A2_contig_cannot_span_the_gene
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	RYR	1	MP000029	A0A6I8Q6P7	RYR1	0	Q92736	-	CM008011.1	60192955	60333350	1	0.7407	1	5037	5037	101	101	0	100	5	14961	140396	125435	598	15086	82	148.13	-153	98	1	1	0.99	0	A2_contig_cannot_span_the_gene
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	RYR	2	MP000030	A0A6I8Q6P7	RYR1	0	Q92736	-	CM008019.1	88509295	89000828	0.9968	0.6313	17	5037	5021	96	96	0	95	2	14782	491534	476752	2254	50866	101	153.98	-284	94	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	RYR	0	MP000032	Q92736	RYR2	0	Q92736	+	CM008022.1	12245616	13191845	0.9974	0.8775	14	4967	4954	96	96	0	95	0	14583	946230	931647	3301	110897	200	151.91	-282	93	1	1	0.9895	0	A2_contig_cannot_span_the_gene
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	ITPR3	0	MP000014	A0A8V1ACE6	ITPR3	0	Q14573	-	KZ509852.1	4513	37856	0.9801	0.8623	54	2664	2611	47	47	0	46	2	7428	33344	25916	278.5	7497	78	158.04	-408	44	1	1	0.9783	0	A2_contig_cannot_span_the_gene
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	RYR	0	MP000023	A0A8V0Y8K1	RYR2	0	Q92736	+	KZ505650.1	1556943	1978394	1	0.9845	1	4968	4968	104	104	0	103	0	14913	421452	406539	1706	97061	120	143.39	6	103	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	RYR	1	MP000021	A0A6I8Q6P7	RYR1	0	Q92736	-	KZ505716.1	586247	805857	1	0.6774	1	5037	5037	103	103	0	102	0	14823	219611	204788	1051.5	42292	111	143.91	-291	100	1	1	0.9902	0	A2_contig_cannot_span_the_gene
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR1	0	MP000008	A0A8V0ZJT0	ITPR1	0	Q14643	-	PPHD01000413.1	9106	65921	0.3516	1	1803	2779	977	19	19	0	18	0	2934	56816	53882	1314.5	14333	624	154.42	0	17	1	0	1	0	A1_not_a_gene_copy
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR1	1	MP000009	A0A8V0ZJT0	ITPR1	0	Q14643	+	PPHD01008249.1	590	21997	0.3188	0.9989	81	966	886	20	20	0	19	0	2658	21408	18750	920	2696	89	132.9	0	19	0	0	1	0	A1_not_a_gene_copy
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR2	1	MP000027	F1P1X4	ITPR2	0	Q14571	+	PPHD01002362.1	4881	19406	0.1589	0.9837	1689	2117	429	8	8	0	7	0	1287	14526	13239	1284	6034	573	160.88	0	7	0	0	1	0	A1_not_a_gene_copy
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR2	0	MP000026	F1P1X4	ITPR2	0	Q14571	-	PPHD01003807.1	6160	29027	0.2111	0.9	2115	2684	570	10	10	0	9	0	1704	22868	21164	2098	4721	1241	170.4	-6	8	1	0	1	0	A1_not_a_gene_copy
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR3	0	MP000036	A0A8V1ACE6	ITPR3	0	Q14573	-	PPHD01009884.1	3	19437	0.6295	0.9988	31	1707	1677	37	37	0	36	0	5031	19435	14404	166.5	3335	87	135.97	0	36	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR3	1	MP000038	A0A8V1ACE6	ITPR3	0	Q14573	+	PPHD01019520.1	82	6747	0.2042	0.9963	2121	2664	544	11	11	0	10	0	1635	6666	5031	474	913	116	148.64	0	10	0	0	1	0	A1_not_a_gene_copy
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	2	MP000064	A0A4W3I1N0		0	Q92736	+	PPHD01004103.1	719	28757	0.2694	0.6254	900	2241	1342	19	19	0	18	0	3858	28039	24181	905.5	5433	355	203.05	-168	17	0	1	0.9444	0	A1_not_a_gene_copy
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	1	MP000060	A0A8V0Y8K1	RYR2	0	Q92736	-	PPHD01004762.1	949	25925	0.1795	0.9832	3763	4654	892	14	14	0	13	0	2676	24977	22301	1310	7525	369	191.14	0	13	0	0	1	0	A1_not_a_gene_copy
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	0	MP000059	A0A8V0Y8K1	RYR2	0	Q92736	-	PPHD01005234.1	2410	19607	0.1985	0.9929	1034	2019	986	13	13	0	12	0	2961	17198	14237	595	5489	121	227.77	3	12	0	0	1	0	A1_not_a_gene_copy
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	3	MP000107	H3BGR5	RYR1	0	Q92736	+	PPHD01048816.1	168	6558	0.1336	0.6774	3757	4427	671	9	9	0	8	0	2022	6391	4369	428.5	1119	248	224.67	9	8	0	0	1	0	A1_not_a_gene_copy
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	ITPR1	0	MP000003	A0A8V0ZJT0	ITPR1	0	Q14643	-	QEPC01008366.1	2025790	2509193	0.9975	0.9524	8	2779	2772	60	60	0	59	0	8280	483404	475124	3583	128667	81	138	-39	57	1	1	0.9831	0	A2_contig_cannot_span_the_gene
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	ITPR2	0	MP000010	F1P1X4	ITPR2	0	Q14571	-	QEPC01007142.1	294532	852348	1	0.9338	1	2700	2700	57	57	0	56	0	8112	557817	549705	2698	95676	119	142.32	9	55	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	ITPR3	0	MP000017	A0A8V1ACE6	ITPR3	0	Q14573	+	QEPC01007384.1	3264629	3429450	1	0.9415	1	2664	2664	58	58	0	57	0	8001	164822	156821	1068	47676	151	137.95	6	57	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	RYR	1	MP000029	A0A6I8Q6P7	RYR1	0	Q92736	-	QEPC01001878.1	319223	437986	0.9968	0.738	17	5037	5021	86	86	0	85	4	14426	118764	104338	608	8564	94	167.74	-640	84	0	1	0.9882	0	A2_contig_cannot_span_the_gene
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	RYR	0	MP000059	A0A3Q0HBW9	RYR2	0	Q92736	+	QEPC01010682.1	4280011	5346596	0.996	0.9493	21	4986	4966	103	103	0	102	0	14895	1066586	1051691	5522	103059	244	144.61	-6	102	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	Sphenodontia	RYR	2	MP000030	A0A6I8Q6P7	RYR1	0	Q92736	+	QEPC01010852.1	1631536	2749155	1	0.6711	1	5037	5037	101	101	0	100	1	14816	1117620	1102804	4760.5	238896	178	146.69	-298	99	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	ITPR1	0	MP000083	A0A670JBK6	ITPR1	0	Q14643	-	BHFT01002173.1	11501	60614	0.5817	0.9671	94	1691	1598	33	33	0	32	0	4833	49114	44281	1195	5354	86	146.45	39	32	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	ITPR2	0	MP000084	A0ABM1LG32	ITPR2	0	Q14571	-	BHFT01019722.1	2323	51441	0.5616	0.913	176	1692	1517	31	31	0	30	0	4551	49119	44568	1057	12932	104	146.81	0	30	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	ITPR3	0	MP000086	A0A6J0TV85	ITPR3	0	Q14573	-	BHFT01014849.1	44892	87820	0.5911	0.9385	1091	2666	1576	33	33	0	32	0	4731	42929	38198	1034.5	3428	248	143.36	0	32	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	RYR	1	MP000090	A0A3Q0HBW9	RYR2	0	Q92736	+	BHFT01026245.1	2114	50549	0.4308	0.905	490	2637	2148	36	36	0	35	0	6342	48436	42094	931	4878	139	176.17	-102	35	0	0	1	0	A1_not_a_gene_copy
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	RYR	3	MP000051	Q92736	RYR2	0	Q92736	-	BHFT01031326.1	736	43779	0.2156	0.9045	2609	3679	1071	26	26	0	25	0	3225	43044	39819	1118	7815	286	124.04	12	25	0	0	1	0	A1_not_a_gene_copy
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	RYR	2	MP000096	H3BGR5	RYR1	0	Q92736	+	BHFT01031327.1	6567	41077	0.2422	0.7973	3808	5024	1217	21	21	0	20	0	3711	34511	30800	1159.5	7044	118	176.71	57	20	0	0	1	0	A1_not_a_gene_copy
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	RYR	5	MP000053	Q92736	RYR2	0	Q92736	-	BHFT01036106.1	2172	45179	0.1572	0.8903	3681	4461	781	13	13	0	12	0	2352	43008	40656	1310.5	13060	211	180.92	9	12	0	0	1	0	A1_not_a_gene_copy
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	RYR	4	MP000052	Q92736	RYR2	0	Q92736	-	BHFT01041112.1	5596	50321	0.2559	0.7173	3697	4967	1271	26	26	0	25	0	3834	44726	40892	1118	9175	111	147.46	18	25	0	0	1	0	A1_not_a_gene_copy
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	Squamata	RYR	0	MP000048	A0A6I8Q6P7	RYR1	0	Q92736	+	BHFT01042859.1	31	83319	0.725	0.8504	181	3832	3652	74	74	0	73	0	11016	83289	72273	895	3784	81	148.86	60	73	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	ITPR1	0	MP000003	A0A8V0ZJT0	ITPR1	0	Q14643	+	SZQC01000012.1	7428581	7607553	1	0.9412	1	2779	2779	61	61	0	60	1	8342	178973	170631	1376.5	34321	85	136.75	2	54	1	5	0.9167	0	A2_contig_cannot_span_the_gene
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	ITPR2	0	MP000010	F1P1X4	ITPR2	0	Q14571	-	SZQC01000052.1	75815	345217	1	0.9404	1	2700	2700	57	57	0	56	0	8139	269403	261264	1594	36837	102	142.79	36	50	1	5	0.9107	0	A2_contig_cannot_span_the_gene
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	ITPR3	0	MP000018	A0A8V1ACE6	ITPR3	0	Q14573	+	SZQC01000046.1	3993912	4037271	1	0.9589	1	2664	2664	58	58	0	57	0	8031	43360	35329	309	7123	85	138.47	36	55	1	1	0.9825	0	A2_contig_cannot_span_the_gene
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	RYR	1	MP000063	A0A3Q0HBW9	RYR2	0	Q92736	-	SZQC01000017.1	7191534	7297088	0.5473	0.6358	2258	4986	2729	55	55	0	54	1	8206	105555	97349	1154.5	8510	118	149.2	19	51	1	2	0.963	0	A2_contig_cannot_span_the_gene
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	RYR	2	MP000038	A0A8V0Y8K1	RYR2	0	Q92736	-	SZQC01000027.1	6276364	6354250	0.2816	0.9042	3570	4968	1399	29	29	0	28	0	4179	77887	73708	1770.5	13354	143	144.1	-21	28	0	0	1	0	A1_not_a_gene_copy
GCA_006937325.1	Anomalopteryx didiformis	Aves	Dinornithiformes	RYR	0	MP000036	A0A8V0Y8K1	RYR2	0	Q92736	-	SZQC01000381.1	3443	371350	0.7081	0.9043	14	3531	3518	73	73	0	72	0	10770	367908	357138	1857.5	109951	60	147.53	216	69	0	3	0.9583	0	A2_contig_cannot_span_the_gene
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	ITPR1	0	MP000001	Q14643	ITPR1	0	Q14643	+	RWJT01005793.1	19976070	20272933	1	0.9797	1	2758	2758	60	60	0	59	0	8283	296864	288581	2153	88280	97	138.05	6	57	2	0	1	0	A2_contig_cannot_span_the_gene
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	ITPR2	0	MP000008	Q14571	ITPR2	0	Q14571	+	RWJT01020497.1	5271385	5782005	1	0.9594	1	2701	2701	56	56	0	55	0	8202	510621	502419	4125	57398	116	146.46	96	53	2	0	1	0	A2_contig_cannot_span_the_gene
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	ITPR3	0	MP000016	Q14573	ITPR3	0	Q14573	+	RWJT01022005.1	5949234	6016275	1	0.9738	1	2671	2671	58	58	0	57	0	8016	67042	59026	533	14507	76	138.21	0	57	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	RYR	0	MP000035	Q92736	RYR2	0	Q92736	+	RWJT01001056.1	140403	872842	1	0.9763	1	4967	4967	104	104	0	103	0	14925	732440	717515	2751	220117	209	143.51	21	103	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	RYR	2	MP000034	A0A6I8Q6P7	RYR1	0	Q92736	-	RWJT01018246.1	1472992	1838959	0.9968	0.6653	17	5037	5021	101	101	0	100	0	14829	365968	351139	1696	29045	64	146.82	-237	99	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_007760645.1	Sousa chinensis	Mammalia	Artiodactyla	RYR	1	MP000032	A0A6I8Q6P7	RYR1	0	Q92736	-	RWJT01019646.1	7646897	7772846	1	0.7861	1	5037	5037	106	106	0	105	1	14903	125950	111047	557	13627	82	140.59	-211	104	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_008658365.1	Alca torda	Aves	Charadriiformes	ITPR1	0	MP000003	A0A8V0ZJT0	ITPR1	0	Q14643	+	CM018086.1	14511323	14687739	1	0.9903	1	2779	2779	62	62	0	61	0	8337	176417	168080	1356	33523	83	134.47	-3	60	1	0	1	1	
GCA_008658365.1	Alca torda	Aves	Charadriiformes	ITPR2	0	MP000051	A0A672UP22	ITPR2	0	Q14571	-	CM018076.1	74630781	74897326	1	0.9772	1	2700	2700	57	57	0	56	1	8096	266546	258450	1666.5	38529	103	142.04	-7	55	1	0	1	1	
GCA_008658365.1	Alca torda	Aves	Charadriiformes	ITPR3	0	MP000018	A0A8V1ACE6	ITPR3	0	Q14573	-	CM018095.1	3511946	3555549	1	0.9831	1	2664	2664	58	58	0	57	8	7993	43604	35611	293	8251	82	137.81	-2	56	1	0	1	1	
GCA_008658365.1	Alca torda	Aves	Charadriiformes	RYR	0	MP000035	A0A8V0Y8K1	RYR2	0	Q92736	-	CM018078.1	42099162	42521409	1	0.9847	1	4968	4968	104	104	0	103	0	14910	422248	407338	1730	96930	122	143.37	3	103	0	0	1	1	
GCA_008658365.1	Alca torda	Aves	Charadriiformes	RYR	1	MP000033	A0A6I8Q6P7	RYR1	0	Q92736	-	CM018080.1	32535056	32770773	1	0.6768	1	5037	5037	102	102	0	101	1	14833	235718	220885	1049	46380	107	145.42	-281	100	1	0	1	1	
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	ITPR1	0	MP000003	A0A8V0ZJT0	ITPR1	0	Q14643	+	CM020037.1	21025145	21185024	1	0.9888	1	2779	2779	62	62	0	61	0	8337	159880	151543	1266	29375	82	134.47	-3	60	1	0	1	1	
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	ITPR2	0	MP000049	A0A672UP22	ITPR2	0	Q14571	+	CM020053.1	12089772	12346833	1	0.9767	1	2700	2700	57	57	0	56	0	8103	257062	248959	1592.5	35083	99	142.16	0	55	1	0	1	1	
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	ITPR3	0	MP000018	A0A8V1ACE6	ITPR3	0	Q14573	+	CM020055.1	2991831	3031857	1	0.9865	1	2664	2664	58	58	0	57	0	7995	40027	32032	285	7332	82	137.84	0	56	1	0	1	1	
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	RYR	0	MP000033	A0A8V0Y8K1	RYR2	0	Q92736	+	CM020031.1	30080173	30383635	0.993	0.9795	36	4968	4933	102	102	0	101	0	14808	303463	288655	1568	22201	121	145.18	6	101	0	0	1	1	
GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	RYR	1	MP000031	A0A6I8Q6P7	RYR1	0	Q92736	-	CM020042.1	5133878	5346665	1	0.6738	1	5037	5037	103	103	0	102	1	14812	212788	197976	980.5	41329	102	143.81	-302	101	1	0	1	1	
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	ITPR1	0	MP000003	A0A8V0ZJT0	ITPR1	0	Q14643	-	CM020224.1	2238597	2413674	1	0.9928	1	2779	2779	62	62	0	61	0	8337	175078	166741	1351	33050	82	134.47	-3	60	1	0	1	1	
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	ITPR2	0	MP000050	A0A672UP22	ITPR2	0	Q14571	-	CM020215.1	76787452	77053252	1	0.9865	1	2700	2700	57	57	0	56	2	8101	265801	257700	1639	36370	101	142.12	-2	55	1	0	1	1	
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	ITPR3	0	MP000018	A0A8V1ACE6	ITPR3	0	Q14573	+	CM020239.1	4308887	4350709	1	0.9899	1	2664	2664	58	58	0	57	0	7995	41823	33828	282	7840	76	137.84	0	56	1	0	1	1	
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	RYR	0	MP000034	A0A8V0Y8K1	RYR2	0	Q92736	-	CM020217.1	43176402	43630802	1	0.9851	1	4968	4968	104	104	0	103	0	14913	454401	439488	1835	100384	122	143.39	6	103	0	0	1	1	
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	Phoenicopteriformes	RYR	1	MP000031	A0A6I8Q6P7	RYR1	0	Q92736	+	CM020219.1	36415959	36660665	1	0.6771	1	5037	5037	103	103	0	102	1	14803	244707	229904	1086.5	52106	111	143.72	-311	101	1	0	1	1	
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	ITPR1	0	MP000001	Q14643	ITPR1	0	Q14643	+	CM021215.1	37515238	37833219	1	0.9815	1	2758	2758	60	60	0	59	0	8283	317982	309699	2423	94867	97	138.05	6	58	1	0	1	1	
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	ITPR2	0	MP000008	Q14571	ITPR2	0	Q14571	+	CM021213.1	22769371	23329935	1	0.9785	1	2701	2701	57	57	0	56	0	8106	560565	552459	3810.5	62030	113	142.21	0	54	2	0	1	1	
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	ITPR3	0	MP000016	Q14573	ITPR3	0	Q14573	+	CM021198.1	7228230	7295249	1	0.9715	1	2671	2671	58	58	0	57	0	8016	67020	59004	508	14095	74	138.21	0	57	0	0	1	1	
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	RYR	1	MP000032	A0A6I8Q6P7	RYR1	0	Q92736	+	CM021195.1	45588686	45713776	1	0.7888	1	5037	5037	106	106	0	105	0	14910	125091	110181	597	13847	82	140.66	-204	104	1	0	1	1	
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	RYR	2	MP000034	A0A6I8Q6P7	RYR1	0	Q92736	-	CM021203.1	24710155	25256973	1	0.6715	1	5037	5037	101	101	0	100	1	14912	546819	531907	1862	181759	101	147.64	-202	99	1	0	1	1	
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	Artiodactyla	RYR	0	MP000035	Q92736	RYR2	0	Q92736	-	CM021206.1	2723846	3495477	1	0.9793	1	4967	4967	104	104	0	103	0	14880	771632	756752	2668	208400	200	143.08	-24	102	1	0	1	1	
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR1	1	MP000084	A0A672IUQ7	ITPR1	0	Q14643	+	JAAKFY010000006.1	12061969	12166519	1	0.847	1	2748	2748	58	58	0	57	8	8166	104551	96385	646	12865	75	140.79	-81	56	1	0	1	1	
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR1	0	MP000083	A0A672IUQ7	ITPR1	0	Q14643	-	JAAKFY010000006.1	25372485	25435846	1	0.9528	1	2748	2748	58	58	0	57	3	8228	63362	55134	414	9325	78	141.86	-19	57	0	0	1	1	
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR2	0	MP000085	A0AAX7UHL1	ITPR2	0	Q14571	-	JAAKFY010000007.1	17781036	17839072	1	0.8622	1	2701	2701	56	56	0	55	4	8065	58037	49972	298	9962	80	144.02	-41	55	0	0	1	1	
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR3	0	MP000087	A0A8C6KWV8	ITPR3	0	Q14573	+	JAAKFY010000002.1	32293568	32378972	1	0.8856	1	2670	2670	60	60	0	59	9	8058	85405	77347	495	26714	82	134.3	45	59	0	0	1	1	
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	0	MP000072	A0AC58GZ77	RYR2	0	Q92736	+	JAAKFY010000008.1	28825739	28999030	1	0.8696	1	4961	4961	115	115	0	114	14	14887	173292	158405	477	46954	85	129.45	4	112	2	0	1	1	
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	5	MP000081	A0AAJ7XD62		0	Q92736	-	JAAKFY010000011.1	18743167	18859665	1	0.6069	1	5168	5168	105	105	0	104	6	14831	116499	101668	537	14053	32	141.25	-676	101	2	1	0.9904	1	
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	1	MP000058	A0A6I8Q6P7	RYR1	0	Q92736	-	JAAKFY010000013.1	8762014	8874375	0.9992	0.7975	5	5037	5033	105	105	0	104	6	15160	112362	97202	323	19123	81	144.38	58	104	0	0	1	1	
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	3	MP000065	Q92736	RYR2	0	Q92736	+	JAAKFY010000015.1	14893862	15017626	1	0.6669	1	4967	4967	100	100	0	99	9	14682	123765	109083	529	20992	64	146.82	-222	98	0	1	0.9899	1	
