accession	organism	group	cell	s16_copies	detector_fires	n_tandem	n_dispersed	expected	agrees
GCA_056783665.1	Albula glossodonta	teleost	ITPR2	1	0	0	0	0	1
GCA_056783665.1	Albula glossodonta	teleost	ITPR3	1	0	0	0	0	1
GCA_022829145.1	Albula goreensis	teleost	ITPR1	2	1	0	28	1	1
GCA_022829145.1	Albula goreensis	teleost	ITPR2	1	0	0	0	0	1
GCA_022829145.1	Albula goreensis	teleost	ITPR3	1	0	0	0	0	1
GCA_029706075.1	Aldrovandia affinis	teleost	ITPR1	2	1	0	28	1	1
GCA_029706075.1	Aldrovandia affinis	teleost	ITPR2	1	0	0	0	0	1
GCA_029706075.1	Aldrovandia affinis	teleost	ITPR3	1	0	0	0	0	1
GCA_056824585.1	Alepocephalus tenebrosus	teleost	ITPR1	2	1	0	28	1	1
GCA_056824585.1	Alepocephalus tenebrosus	teleost	ITPR2	1	0	0	0	0	1
GCA_056824585.1	Alepocephalus tenebrosus	teleost	ITPR3	1	0	0	0	0	1
GCA_046255725.1	Amblyopsis spelaea	teleost	ITPR1	2	1	29	0	1	1
GCA_046255725.1	Amblyopsis spelaea	teleost	ITPR2	1	0	0	0	0	1
GCA_046255725.1	Amblyopsis spelaea	teleost	ITPR3	1	0	0	0	0	1
GCA_040091285.1	Ameca splendens	teleost	ITPR1	0	1	0	29	0	0
GCA_040091285.1	Ameca splendens	teleost	ITPR2	0	0	0	0	0	1
GCA_040091285.1	Ameca splendens	teleost	ITPR3	0	0	0	0	0	1
GCF_949987685.1	Ammodytes marinus	teleost	ITPR1	2	1	0	27	1	1
GCF_949987685.1	Ammodytes marinus	teleost	ITPR2	1	0	0	0	0	1
GCF_949987685.1	Ammodytes marinus	teleost	ITPR3	1	0	0	0	0	1
GCF_040054535.1	Antennarius striatus	teleost	ITPR1	2	1	0	27	1	1
GCF_040054535.1	Antennarius striatus	teleost	ITPR2	1	0	0	0	0	1
GCF_040054535.1	Antennarius striatus	teleost	ITPR3	1	0	0	0	0	1
GCA_017639675.1	Aplochiton taeniatus	teleost	ITPR1	1	0	0	0	0	1
GCA_017639675.1	Aplochiton taeniatus	teleost	ITPR2	1	0	0	0	0	1
GCA_017639675.1	Aplochiton taeniatus	teleost	ITPR3	1	0	0	0	0	1
GCA_054883375.1	Arapaima gigas	teleost	ITPR1	2	1	0	28	1	1
GCA_054883375.1	Arapaima gigas	teleost	ITPR2	1	0	0	0	0	1
GCA_054883375.1	Arapaima gigas	teleost	ITPR3	1	0	0	0	0	1
GCA_036250305.1	Ataeniobius toweri	teleost	ITPR1	0	1	0	29	0	0
GCA_036250305.1	Ataeniobius toweri	teleost	ITPR2	0	0	0	0	0	1
GCA_036250305.1	Ataeniobius toweri	teleost	ITPR3	1	0	0	0	0	1
GCF_949987555.1	Borostomias antarcticus	teleost	ITPR1	2	1	0	28	1	1
GCF_949987555.1	Borostomias antarcticus	teleost	ITPR2	1	0	0	0	0	1
GCF_949987555.1	Borostomias antarcticus	teleost	ITPR3	1	0	0	0	0	1
GCA_965364685.1	Capros aper	teleost	ITPR1	2	1	0	27	1	1
GCA_965364685.1	Capros aper	teleost	ITPR2	1	0	0	0	0	1
GCA_965364685.1	Capros aper	teleost	ITPR3	1	0	0	0	0	1
GCA_023974075.1	Chaenocephalus aceratus	teleost	ITPR1	2	1	0	29	1	1
GCA_023974075.1	Chaenocephalus aceratus	teleost	ITPR2	1	0	0	0	0	1
GCA_023974075.1	Chaenocephalus aceratus	teleost	ITPR3	1	0	0	0	0	1
GCF_039877785.1	Chaetodon trifascialis	teleost	ITPR1	2	1	0	27	1	1
GCF_039877785.1	Chaetodon trifascialis	teleost	ITPR2	1	0	0	0	0	1
GCF_039877785.1	Chaetodon trifascialis	teleost	ITPR3	1	0	0	0	0	1
GCF_033026475.1	Channa argus	teleost	ITPR1	2	1	0	27	1	1
GCF_033026475.1	Channa argus	teleost	ITPR2	1	0	0	0	0	1
GCF_033026475.1	Channa argus	teleost	ITPR3	1	0	0	0	0	1
GCF_902362185.1	Chanos chanos	teleost	ITPR1	2	1	0	27	1	1
GCF_902362185.1	Chanos chanos	teleost	ITPR2	1	0	0	0	0	1
GCF_902362185.1	Chanos chanos	teleost	ITPR3	1	0	0	0	0	1
GCA_036250325.1	Characodon lateralis	teleost	ITPR1	0	1	0	11	0	0
GCA_036250325.1	Characodon lateralis	teleost	ITPR2	1	0	0	0	0	1
GCA_036250325.1	Characodon lateralis	teleost	ITPR3	0	0	0	0	0	1
GCF_018320785.1	Cheilinus undulatus	teleost	ITPR1	2	1	0	27	1	1
GCF_018320785.1	Cheilinus undulatus	teleost	ITPR2	1	0	0	0	0	1
GCF_018320785.1	Cheilinus undulatus	teleost	ITPR3	1	0	0	0	0	1
GCF_963514085.1	Chelon labrosus	teleost	ITPR1	2	1	0	27	1	1
GCF_963514085.1	Chelon labrosus	teleost	ITPR2	1	0	0	0	0	1
GCF_963514085.1	Chelon labrosus	teleost	ITPR3	1	0	0	0	0	1
GCA_036247105.2	Cirrhinus mrigala	teleost	ITPR1	2	1	0	27	1	1
GCA_036247105.2	Cirrhinus mrigala	teleost	ITPR2	1	0	0	0	0	1
GCA_036247105.2	Cirrhinus mrigala	teleost	ITPR3	1	0	0	0	0	1
GCF_033807715.1	Cololabis saira	teleost	ITPR1	2	1	0	27	1	1
GCF_033807715.1	Cololabis saira	teleost	ITPR2	1	0	0	0	0	1
GCF_033807715.1	Cololabis saira	teleost	ITPR3	1	0	0	0	0	1
GCF_963514075.1	Conger conger	teleost	ITPR1	2	1	0	28	1	1
GCF_963514075.1	Conger conger	teleost	ITPR2	1	0	0	0	0	1
GCF_963514075.1	Conger conger	teleost	ITPR3	1	0	0	0	0	1
GCF_052040795.1	Danio rerio	teleost	ITPR1	2	1	0	27	1	1
GCF_052040795.1	Danio rerio	teleost	ITPR2	1	0	0	0	0	1
GCF_052040795.1	Danio rerio	teleost	ITPR3	1	0	0	0	0	1
GCA_054883175.1	Datnioides polota	teleost	ITPR1	2	1	0	27	1	1
GCA_054883175.1	Datnioides polota	teleost	ITPR2	1	0	0	0	0	1
GCA_054883175.1	Datnioides polota	teleost	ITPR3	1	0	0	0	0	1
GCA_048569125.1	Diretmus argenteus	teleost	ITPR1	2	1	0	27	1	1
GCA_048569125.1	Diretmus argenteus	teleost	ITPR2	2	1	17	0	1	1
GCA_048569125.1	Diretmus argenteus	teleost	ITPR3	1	0	0	0	0	1
GCA_031216635.1	Dissostichus eleginoides	teleost	ITPR1	2	1	0	27	1	1
GCA_031216635.1	Dissostichus eleginoides	teleost	ITPR2	1	0	0	0	0	1
GCA_031216635.1	Dissostichus eleginoides	teleost	ITPR3	1	0	0	0	0	1
GCA_011823955.1	Dissostichus mawsoni	teleost	ITPR1	2	1	0	27	1	1
GCA_011823955.1	Dissostichus mawsoni	teleost	ITPR2	1	0	0	0	0	1
GCA_011823955.1	Dissostichus mawsoni	teleost	ITPR3	1	0	0	0	0	1
GCF_041902795.1	Electrophorus electricus	teleost	ITPR1	2	1	0	28	1	1
GCF_041902795.1	Electrophorus electricus	teleost	ITPR2	1	0	0	0	0	1
GCF_041902795.1	Electrophorus electricus	teleost	ITPR3	1	0	0	0	0	1
GCF_034702125.1	Engraulis encrasicolus	teleost	ITPR1	2	1	0	28	1	1
GCF_034702125.1	Engraulis encrasicolus	teleost	ITPR2	1	0	0	0	0	1
GCF_034702125.1	Engraulis encrasicolus	teleost	ITPR3	1	0	0	0	0	1
GCF_033978785.1	Entelurus aequoreus	teleost	ITPR1	2	1	0	28	1	1
GCF_033978785.1	Entelurus aequoreus	teleost	ITPR2	1	0	0	0	0	1
GCF_033978785.1	Entelurus aequoreus	teleost	ITPR3	1	0	0	0	0	1
GCF_011004845.1	Esox lucius	teleost	ITPR1	2	1	0	28	1	1
GCF_011004845.1	Esox lucius	teleost	ITPR2	1	0	0	0	0	1
GCF_011004845.1	Esox lucius	teleost	ITPR3	1	0	0	0	0	1
GCF_902167405.1	Gadus morhua	teleost	ITPR1	2	1	0	28	1	1
GCF_902167405.1	Gadus morhua	teleost	ITPR2	1	0	0	0	0	1
GCF_902167405.1	Gadus morhua	teleost	ITPR3	1	0	0	0	0	1
GCF_019740435.1	Gambusia affinis	teleost	ITPR1	2	1	0	28	1	1
GCF_019740435.1	Gambusia affinis	teleost	ITPR2	1	0	0	0	0	1
GCF_019740435.1	Gambusia affinis	teleost	ITPR3	1	0	0	0	0	1
GCF_046128005.1	Genypterus blacodes	teleost	ITPR1	2	1	0	29	1	1
GCF_046128005.1	Genypterus blacodes	teleost	ITPR2	1	0	0	0	0	1
GCF_046128005.1	Genypterus blacodes	teleost	ITPR3	1	0	0	0	0	1
GCF_951799975.1	Gobius niger	teleost	ITPR1	2	1	0	28	1	1
GCF_951799975.1	Gobius niger	teleost	ITPR2	1	0	0	0	0	1
GCF_951799975.1	Gobius niger	teleost	ITPR3	1	0	0	0	0	1
GCA_040091325.1	Goodea atripinnis	teleost	ITPR1	0	1	0	30	0	0
GCA_040091325.1	Goodea atripinnis	teleost	ITPR2	0	0	0	0	0	1
GCA_040091325.1	Goodea atripinnis	teleost	ITPR3	0	0	0	0	0	1
GCF_900634775.2	Gouania willdenowi	teleost	ITPR1	2	1	0	29	1	1
GCF_900634775.2	Gouania willdenowi	teleost	ITPR2	1	0	0	0	0	1
GCF_900634775.2	Gouania willdenowi	teleost	ITPR3	1	0	0	0	0	1
GCA_900312595.1	Guentherus altivela	teleost	ITPR1	0	0	0	0	0	1
GCA_900312595.1	Guentherus altivela	teleost	ITPR2	0	0	0	0	0	1
GCA_900312595.1	Guentherus altivela	teleost	ITPR3	0	0	0	0	0	1
GCA_056783565.1	Hiodon alosoides	teleost	ITPR1	2	1	0	28	1	1
GCA_056783565.1	Hiodon alosoides	teleost	ITPR2	2	1	0	17	1	1
GCA_056783565.1	Hiodon alosoides	teleost	ITPR3	1	0	0	0	0	1
GCF_029633855.1	Hoplias malabaricus	teleost	ITPR1	2	1	0	28	1	1
GCF_029633855.1	Hoplias malabaricus	teleost	ITPR2	1	0	0	0	0	1
GCF_029633855.1	Hoplias malabaricus	teleost	ITPR3	1	0	0	0	0	1
GCF_054491055.1	Hypomesus nipponensis	teleost	ITPR1	2	1	0	28	1	1
GCF_054491055.1	Hypomesus nipponensis	teleost	ITPR2	1	0	0	0	0	1
GCF_054491055.1	Hypomesus nipponensis	teleost	ITPR3	1	0	0	0	0	1
GCA_040091305.1	Ilyodon furcidens	teleost	ITPR1	0	1	0	30	0	0
GCA_040091305.1	Ilyodon furcidens	teleost	ITPR2	0	0	0	0	0	1
GCA_040091305.1	Ilyodon furcidens	teleost	ITPR3	0	0	0	0	0	1
GCF_029633865.1	Lampris incognitus	teleost	ITPR1	2	1	0	30	1	1
GCF_029633865.1	Lampris incognitus	teleost	ITPR2	1	0	0	0	0	1
GCF_029633865.1	Lampris incognitus	teleost	ITPR3	1	0	0	0	0	1
GCA_033238685.1	Lates japonicus	teleost	ITPR1	2	1	0	1	1	1
GCA_033238685.1	Lates japonicus	teleost	ITPR2	1	0	0	0	0	1
GCA_033238685.1	Lates japonicus	teleost	ITPR3	3	1	0	55	1	1
GCA_051992705.1	Lepidogalaxias salamandroides	teleost	ITPR1	0	0	0	0	0	1
GCA_051992705.1	Lepidogalaxias salamandroides	teleost	ITPR2	0	0	0	0	0	1
GCA_051992705.1	Lepidogalaxias salamandroides	teleost	ITPR3	0	0	0	0	0	1
GCA_050084785.1	Liparis tanakae	teleost	ITPR1	2	1	0	28	1	1
GCA_050084785.1	Liparis tanakae	teleost	ITPR2	1	0	0	0	0	1
GCA_050084785.1	Liparis tanakae	teleost	ITPR3	1	0	0	0	0	1
GCF_056507025.1	Lutjanus erythropterus	teleost	ITPR1	2	1	0	27	1	1
GCF_056507025.1	Lutjanus erythropterus	teleost	ITPR2	1	0	0	0	0	1
GCF_056507025.1	Lutjanus erythropterus	teleost	ITPR3	1	0	0	0	0	1
GCF_900324485.3	Mastacembelus armatus	teleost	ITPR1	2	1	0	27	1	1
GCF_900324485.3	Mastacembelus armatus	teleost	ITPR2	1	0	0	0	0	1
GCF_900324485.3	Mastacembelus armatus	teleost	ITPR3	1	0	0	0	0	1
GCF_013368585.1	Megalops cyprinoides	teleost	ITPR1	2	1	0	28	1	1
GCF_013368585.1	Megalops cyprinoides	teleost	ITPR2	1	0	0	0	0	1
GCF_013368585.1	Megalops cyprinoides	teleost	ITPR3	1	0	0	0	0	1
GCF_963457635.1	Microchirus variegatus	teleost	ITPR1	2	1	0	27	1	1
GCF_963457635.1	Microchirus variegatus	teleost	ITPR2	1	0	0	0	0	1
GCF_963457635.1	Microchirus variegatus	teleost	ITPR3	1	0	0	0	0	1
GCF_021292245.1	Micropterus dolomieu	teleost	ITPR1	2	1	0	26	1	1
GCF_021292245.1	Micropterus dolomieu	teleost	ITPR2	1	0	0	0	0	1
GCF_021292245.1	Micropterus dolomieu	teleost	ITPR3	1	0	0	0	0	1
GCA_027704905.1	Muraenolepis orangiensis	teleost	ITPR1	2	1	0	28	1	1
GCA_027704905.1	Muraenolepis orangiensis	teleost	ITPR2	1	0	0	0	0	1
GCA_027704905.1	Muraenolepis orangiensis	teleost	ITPR3	1	0	0	0	0	1
GCF_902150065.1	Myripristis murdjan	teleost	ITPR1	2	1	0	27	1	1
GCF_902150065.1	Myripristis murdjan	teleost	ITPR2	1	0	0	0	0	1
GCF_902150065.1	Myripristis murdjan	teleost	ITPR3	1	0	0	0	0	1
GCF_963921795.1	Nannobrachium achirus	teleost	ITPR1	2	1	0	28	1	1
GCF_963921795.1	Nannobrachium achirus	teleost	ITPR2	2	1	9	0	1	1
GCF_963921795.1	Nannobrachium achirus	teleost	ITPR3	1	0	0	0	0	1
GCF_963989245.1	Nansenia antarctica	teleost	ITPR1	2	1	0	28	1	1
GCF_963989245.1	Nansenia antarctica	teleost	ITPR2	1	0	0	0	0	1
GCF_963989245.1	Nansenia antarctica	teleost	ITPR3	1	0	0	0	0	1
GCF_027579695.1	Neoarius graeffei	teleost	ITPR1	2	1	0	28	1	1
GCF_027579695.1	Neoarius graeffei	teleost	ITPR2	1	0	0	0	0	1
GCF_027579695.1	Neoarius graeffei	teleost	ITPR3	1	0	0	0	0	1
GCA_014281875.1	Nibea albiflora	teleost	ITPR1	2	1	0	27	1	1
GCA_014281875.1	Nibea albiflora	teleost	ITPR2	1	0	0	0	0	1
GCA_014281875.1	Nibea albiflora	teleost	ITPR3	2	1	0	17	1	1
GCF_043380555.1	Nothobranchius furzeri	teleost	ITPR1	2	1	0	28	1	1
GCF_043380555.1	Nothobranchius furzeri	teleost	ITPR2	1	0	0	0	0	1
GCF_043380555.1	Nothobranchius furzeri	teleost	ITPR3	1	0	0	0	0	1
GCF_963971535.1	Notolepis coatsorum	teleost	ITPR1	2	1	0	17	1	1
GCF_963971535.1	Notolepis coatsorum	teleost	ITPR2	1	0	0	0	0	1
GCF_963971535.1	Notolepis coatsorum	teleost	ITPR3	1	0	0	0	0	1
GCF_949606895.1	Notothenia rossii	teleost	ITPR1	1	0	0	0	0	1
GCF_949606895.1	Notothenia rossii	teleost	ITPR2	1	0	0	0	0	1
GCF_949606895.1	Notothenia rossii	teleost	ITPR3	1	0	0	0	0	1
GCF_048594095.1	Paramormyrops kingsleyae	teleost	ITPR1	2	1	0	28	1	1
GCF_048594095.1	Paramormyrops kingsleyae	teleost	ITPR2	1	0	0	0	0	1
GCF_048594095.1	Paramormyrops kingsleyae	teleost	ITPR3	1	0	0	0	0	1
GCA_984656905.1	Parequula melbournensis	teleost	ITPR1	2	1	0	27	1	1
GCA_984656905.1	Parequula melbournensis	teleost	ITPR2	1	0	0	0	0	1
GCA_984656905.1	Parequula melbournensis	teleost	ITPR3	1	0	0	0	0	1
GCF_042242105.1	Pempheris klunzingeri	teleost	ITPR1	2	1	0	27	1	1
GCF_042242105.1	Pempheris klunzingeri	teleost	ITPR2	1	0	0	0	0	1
GCF_042242105.1	Pempheris klunzingeri	teleost	ITPR3	1	0	0	0	0	1
GCF_949152265.1	Phoxinus phoxinus	teleost	ITPR1	2	1	0	27	1	1
GCF_949152265.1	Phoxinus phoxinus	teleost	ITPR2	1	0	0	0	0	1
GCF_949152265.1	Phoxinus phoxinus	teleost	ITPR3	1	0	0	0	0	1
GCA_058707665.1	Platax teira	teleost	ITPR1	2	1	0	27	1	1
GCA_058707665.1	Platax teira	teleost	ITPR2	1	0	0	0	0	1
GCA_058707665.1	Platax teira	teleost	ITPR3	1	0	0	0	0	1
GCA_047511595.1	Polymixia lowei	teleost	ITPR1	2	1	0	27	1	1
GCA_047511595.1	Polymixia lowei	teleost	ITPR2	1	0	0	0	0	1
GCA_047511595.1	Polymixia lowei	teleost	ITPR3	1	0	0	0	0	1
GCF_964638095.1	Poromitra crassiceps	teleost	ITPR1	2	1	0	28	1	1
GCF_964638095.1	Poromitra crassiceps	teleost	ITPR2	1	0	0	0	0	1
GCF_964638095.1	Poromitra crassiceps	teleost	ITPR3	1	0	0	0	0	1
GCA_056506795.1	Pristigenys meyeri	teleost	ITPR1	2	1	0	27	1	1
GCA_056506795.1	Pristigenys meyeri	teleost	ITPR2	1	0	0	0	0	1
GCA_056506795.1	Pristigenys meyeri	teleost	ITPR3	1	0	0	0	0	1
GCF_057381845.1	Rhamphochromis longiceps	teleost	ITPR1	2	1	0	27	1	1
GCF_057381845.1	Rhamphochromis longiceps	teleost	ITPR2	1	0	0	0	0	1
GCF_057381845.1	Rhamphochromis longiceps	teleost	ITPR3	1	0	0	0	0	1
GCF_027409825.1	Scomber japonicus	teleost	ITPR1	2	1	0	29	1	1
GCF_027409825.1	Scomber japonicus	teleost	ITPR2	1	0	0	0	0	1
GCF_027409825.1	Scomber japonicus	teleost	ITPR3	1	0	0	0	0	1
GCF_900880675.2	Sparus aurata	teleost	ITPR1	2	1	0	27	1	1
GCF_900880675.2	Sparus aurata	teleost	ITPR2	1	0	0	0	0	1
GCF_900880675.2	Sparus aurata	teleost	ITPR3	1	0	0	0	0	1
GCF_902148855.1	Sphaeramia orbicularis	teleost	ITPR1	2	1	0	28	1	1
GCF_902148855.1	Sphaeramia orbicularis	teleost	ITPR2	1	0	0	0	0	1
GCF_902148855.1	Sphaeramia orbicularis	teleost	ITPR3	1	0	0	0	0	1
GCA_056824565.1	Stylephorus chordatus	teleost	ITPR1	2	1	0	29	1	1
GCA_056824565.1	Stylephorus chordatus	teleost	ITPR2	1	0	0	0	0	1
GCA_056824565.1	Stylephorus chordatus	teleost	ITPR3	1	0	0	0	0	1
GCF_901000725.3	Takifugu rubripes	teleost	ITPR1	2	1	0	28	1	1
GCF_901000725.3	Takifugu rubripes	teleost	ITPR2	1	0	0	0	0	1
GCF_901000725.3	Takifugu rubripes	teleost	ITPR3	1	0	0	0	0	1
GCF_933228915.1	Telmatherina bonti	teleost	ITPR1	2	1	0	27	1	1
GCF_933228915.1	Telmatherina bonti	teleost	ITPR2	1	0	0	0	0	1
GCF_933228915.1	Telmatherina bonti	teleost	ITPR3	1	0	0	0	0	1
GCF_902500255.1	Thalassophryne amazonica	teleost	ITPR1	2	1	0	27	1	1
GCF_902500255.1	Thalassophryne amazonica	teleost	ITPR2	1	0	0	0	0	1
GCF_902500255.1	Thalassophryne amazonica	teleost	ITPR3	1	0	0	0	0	1
GCF_045865225.1	Trachurus japonicus	teleost	ITPR1	2	1	0	27	1	1
GCF_045865225.1	Trachurus japonicus	teleost	ITPR2	1	0	0	0	0	1
GCF_045865225.1	Trachurus japonicus	teleost	ITPR3	1	0	0	0	0	1
GCA_040091335.1	Xenoophorus captivus	teleost	ITPR1	0	0	0	0	0	1
GCA_040091335.1	Xenoophorus captivus	teleost	ITPR2	1	0	0	0	0	1
GCA_040091335.1	Xenoophorus captivus	teleost	ITPR3	0	0	0	0	0	1
GCA_040091345.1	Xenotaenia resolanae	teleost	ITPR1	0	1	0	29	0	0
GCA_040091345.1	Xenotaenia resolanae	teleost	ITPR2	0	0	0	0	0	1
GCA_040091345.1	Xenotaenia resolanae	teleost	ITPR3	1	0	0	0	0	1
GCF_016859285.1	Xiphias gladius	teleost	ITPR1	2	1	0	27	1	1
GCF_016859285.1	Xiphias gladius	teleost	ITPR2	1	0	0	0	0	1
GCF_016859285.1	Xiphias gladius	teleost	ITPR3	1	0	0	0	0	1
GCF_960531495.1	Zeus faber	teleost	ITPR1	2	1	0	27	1	1
GCF_960531495.1	Zeus faber	teleost	ITPR2	1	0	0	0	0	1
GCF_960531495.1	Zeus faber	teleost	ITPR3	1	0	0	0	0	1
