n_introns_a	n_introns_b	n_introns_b_in_shared	n_shared_columns	observed	expected_analytic	p_analytic	n_perm	expected_perm	p_perm	accession	organism	vclass	cell_a	cell_b	tolerance	is_operating_point	frame_via_cell
57	56	55	2661	48	0.541	1.35988e-91	1000	0.562	0.001	GCA_054883375.1	Arapaima gigas	Actinopteri	ITPR1	ITPR2	0	1	0
57	55	53	2623	49	0.542	9.85105e-96	1000	0.524	0.001	GCA_056506795.1	Pristigenys meyeri	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.561	0.001	GCA_056776345.1	Spizella passerina	Aves	ITPR1	ITPR2	0	1	0
56	56	55	2661	48	0.534	7.77613e-92	1000	0.535	0.001	GCA_056783565.1	Hiodon alosoides	Actinopteri	ITPR1	ITPR2	0	1	0
56	55	54	2659	47	0.525	4.78997e-90	1000	0.588	0.001	GCA_056783665.1	Albula glossodonta	Actinopteri	ITPR1	ITPR2	0	1	0
57	53	52	2623	48	0.526	3.50573e-94	1000	0.547	0.001	GCA_056824565.1	Stylephorus chordatus	Actinopteri	ITPR1	ITPR2	0	1	0
56	55	54	2625	45	0.517	6.33592e-85	1000	0.509	0.001	GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	ITPR1	ITPR2	0	1	0
56	56	55	2663	48	0.537	6.31177e-92	1000	0.508	0.001	GCA_057876775.1	Echinorhinus cookei	Chondrichthyes	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.548	0.001	GCA_058224745.1	Acrocephalus arundinaceus	Aves	ITPR1	ITPR2	0	1	0
57	54	52	2623	46	0.512	1.92351e-88	1000	0.508	0.001	GCA_058707665.1	Platax teira	Actinopteri	ITPR1	ITPR2	0	1	0
56	54	52	2623	48	0.535	3.61927e-94	1000	0.52	0.001	GCA_965364685.1	Capros aper	Actinopteri	ITPR1	ITPR2	0	1	0
57	56	54	2623	48	0.542	3.07154e-92	1000	0.556	0.001	GCA_980438365.1	Acanthurus tractus	Actinopteri	ITPR1	ITPR2	0	1	0
57	54	52	2623	47	0.523	2.02376e-91	1000	0.508	0.001	GCA_984656905.1	Parequula melbournensis	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.523	0.001	GCA_987193245.1	Pontoporia blainvillei	Mammalia	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.559	0.001	GCF_000001405.40	Homo sapiens	Mammalia	ITPR1	ITPR2	0	1	0
59	56	55	2666	50	0.55	1.29999e-97	1000	0.552	0.001	GCF_000001635.27	Mus musculus	Mammalia	ITPR1	ITPR2	0	1	0
59	55	54	2650	49	0.55	1.28877e-95	1000	0.541	0.001	GCF_000004195.4	Xenopus tropicalis	Amphibia	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.541	0.001	GCF_001715985.3	Manacus vitellinus	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2666	50	0.55	1.29999e-97	1000	0.573	0.001	GCF_003668045.3	Cricetulus griseus	Mammalia	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.575	0.001	GCF_003957555.1	Calypte anna	Aves	ITPR1	ITPR2	0	1	0
58	56	55	2666	49	0.537	5.96659e-95	1000	0.469	0.001	GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	ITPR1	ITPR2	0	1	0
56	56	55	2665	49	0.547	6.23807e-95	1000	0.565	0.001	GCF_009764475.1	Pristis pectinata	Chondrichthyes	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.576	0.001	GCF_009769465.1	Tauraco erythrolophus	Aves	ITPR1	ITPR2	0	1	0
56	56	54	2623	47	0.536	6.58624e-90	1000	0.552	0.001	GCF_011004845.1	Esox lucius	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.564	0.001	GCF_011004875.1	Balearica regulorum gibbericeps	Aves	ITPR1	ITPR2	0	1	0
56	55	53	2623	47	0.509	4.45902e-91	1000	0.499	0.001	GCF_013368585.1	Megalops cyprinoides	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.555	0.001	GCF_013368605.1	Nyctibius grandis	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.531	0.001	GCF_014839835.1	Dryobates pubescens	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.547	0.001	GCF_016699485.2	Gallus gallus	Aves	ITPR1	ITPR2	0	1	0
56	53	51	2623	46	0.506	6.5543e-90	1000	0.557	0.001	GCF_016859285.1	Xiphias gladius	Actinopteri	ITPR1	ITPR2	0	1	0
56	56	54	2663	48	0.534	1.38737e-92	1000	0.495	0.001	GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	ITPR1	ITPR2	0	1	0
56	55	54	2659	48	0.521	5.60635e-93	1000	0.548	0.001	GCF_017654505.1	Polyodon spathula	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.558	0.001	GCF_017976375.1	Cuculus canorus	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.561	0.001	GCF_018139145.2	Gymnogyps californianus	Aves	ITPR1	ITPR2	0	1	0
57	54	52	2623	48	0.519	2.23925e-94	1000	0.515	0.001	GCF_018320785.1	Cheilinus undulatus	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.619	0.001	GCF_018691265.1	Tyto alba	Aves	ITPR1	ITPR2	0	1	0
59	54	53	2633	48	0.551	1.43961e-92	1000	0.531	0.001	GCF_018977255.1	Callorhinchus milii	Chondrichthyes	ITPR1	ITPR2	0	1	0
55	57	56	2663	46	0.578	5.38993e-84	1000	0.564	0.001	GCF_019279795.1	Protopterus annectens	Dipnoi	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.603	0.001	GCF_019393635.1	Dromiciops gliroides	Mammalia	ITPR1	ITPR2	0	1	0
57	53	51	2623	46	0.512	3.26129e-89	1000	0.514	0.001	GCF_019740435.1	Gambusia affinis	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.564	0.001	GCF_020171115.1	Neogale vison	Mammalia	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.562	0.001	GCF_020740795.1	Apus apus	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.583	0.001	GCF_020826845.1	Diceros bicornis minor	Mammalia	ITPR1	ITPR2	0	1	0
52	55	54	2661	36	0.454	1.23357e-62	1000	0.464	0.001	GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.571	0.001	GCF_021613505.1	Equus quagga	Mammalia	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.568	0.001	GCF_023634155.1	Falco peregrinus	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.518	0.001	GCF_023851605.1	Tamandua tetradactyla	Mammalia	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.542	0.001	GCF_024166365.1	Elephas maximus indicus	Mammalia	ITPR1	ITPR2	0	1	0
56	56	55	2663	44	0.523	4.02122e-81	1000	0.515	0.001	GCF_025201925.1	Gopherus flavomarginatus	Testudines	ITPR1	ITPR2	0	1	0
57	55	54	2661	47	0.548	1.27128e-89	1000	0.518	0.001	GCF_027244095.1	Hemicordylus capensis	Lepidosauria	ITPR1	ITPR2	0	1	0
59	56	55	2666	48	0.56	1.72986e-91	1000	0.579	0.001	GCF_027409185.1	Cynocephalus volans	Mammalia	ITPR1	ITPR2	0	1	0
57	55	53	2623	48	0.531	9.12347e-93	1000	0.585	0.001	GCF_027409825.1	Scomber japonicus	Actinopteri	ITPR1	ITPR2	0	1	0
58	56	53	2596	47	0.537	1.77916e-89	1000	0.521	0.001	GCF_027579695.1	Neoarius graeffei	Actinopteri	ITPR1	ITPR2	0	1	0
57	55	54	2650	47	0.546	6.40108e-90	1000	0.564	0.001	GCF_027579735.1	Bombina bombina	Amphibia	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.556	0.001	GCF_027595985.1	Sorex araneus	Mammalia	ITPR1	ITPR2	0	1	0
59	56	55	2666	50	0.55	1.29999e-97	1000	0.527	0.001	GCF_028372415.1	Notamacropus eugenii	Mammalia	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.541	0.001	GCF_028389875.1	Rhea pennata	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.567	0.001	GCF_028858725.1	Colius striatus	Aves	ITPR1	ITPR2	0	1	0
59	56	53	2596	48	0.551	4.61457e-92	1000	0.554	0.001	GCF_029633855.1	Hoplias malabaricus	Actinopteri	ITPR1	ITPR2	0	1	0
56	54	52	2623	46	0.54	1.39376e-87	1000	0.563	0.001	GCF_029633865.1	Lampris incognitus	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.568	0.001	GCF_030020395.1	Manis pentadactyla	Mammalia	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.568	0.001	GCF_030445035.2	Dasypus novemcinctus	Mammalia	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.523	0.001	GCF_030463565.1	Pelecanus crispus	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.535	0.001	GCF_030490865.1	Poecile atricapillus	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.537	0.001	GCF_030867095.1	Alligator mississippiensis	Crocodylia	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.576	0.001	GCF_030867145.1	Opisthocomus hoazin	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.561	0.001	GCF_030936135.1	Gavia stellata	Aves	ITPR1	ITPR2	0	1	0
57	55	53	2623	47	0.525	2.66705e-90	1000	0.522	0.001	GCF_033026475.1	Channa argus	Actinopteri	ITPR1	ITPR2	0	1	0
57	54	52	2623	47	0.522	2.14664e-91	1000	0.489	0.001	GCF_033807715.1	Cololabis saira	Actinopteri	ITPR1	ITPR2	0	1	0
55	53	52	2623	46	0.519	1.06893e-88	1000	0.503	0.001	GCF_033978785.1	Entelurus aequoreus	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.542	0.001	GCF_034619465.1	Leptosomus discolor	Aves	ITPR1	ITPR2	0	1	0
58	56	55	2663	49	0.561	1.80095e-94	1000	0.561	0.001	GCF_034638445.1	Ciconia boyciana	Aves	ITPR1	ITPR2	0	1	0
58	55	52	2596	47	0.533	3.69627e-90	1000	0.504	0.001	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	ITPR1	ITPR2	0	1	0
56	56	55	2665	48	0.533	2.49642e-92	1000	0.518	0.001	GCF_035084215.1	Heptranchias perlo	Chondrichthyes	ITPR1	ITPR2	0	1	0
58	56	55	2663	49	0.561	1.80095e-94	1000	0.558	0.001	GCF_035582795.1	Mycteria americana	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.581	0.001	GCF_036013445.1	Caloenas nicobarica	Aves	ITPR1	ITPR2	0	1	0
56	56	55	2665	48	0.523	7.03434e-93	1000	0.527	0.001	GCF_036365525.1	Heterodontus francisci	Chondrichthyes	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.575	0.001	GCF_036370855.1	Dromaius novaehollandiae	Aves	ITPR1	ITPR2	0	1	0
57	55	54	2659	47	0.525	4.78997e-90	1000	0.545	0.001	GCF_036373705.1	Amia ocellicauda	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.587	0.001	GCF_036417535.1	Chlamydotis macqueenii	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.571	0.001	GCF_036417845.1	Apteryx mantelli	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.55316e-94	1000	0.574	0.001	GCF_036850765.1	Saccopteryx bilineata	Mammalia	ITPR1	ITPR2	0	1	0
56	54	53	2660	49	0.532	8.04556e-97	1000	0.507	0.001	GCF_036971445.1	Narcine bancroftii	Chondrichthyes	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.541	0.001	GCF_037157495.1	Lathamus discolor	Aves	ITPR1	ITPR2	0	1	0
60	56	53	2610	45	0.548	2.00215e-83	1000	0.587	0.001	GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	ITPR1	ITPR2	0	1	0
59	55	54	2666	47	0.557	3.93317e-89	1000	0.632	0.001	GCF_037893015.1	Macrotis lagotis	Mammalia	ITPR1	ITPR2	0	1	0
57	55	53	2623	47	0.525	9.44785e-91	1000	0.551	0.001	GCF_039877785.1	Chaetodon trifascialis	Actinopteri	ITPR1	ITPR2	0	1	0
57	55	54	2623	47	0.529	4.08353e-90	1000	0.569	0.001	GCF_040054535.1	Antennarius striatus	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.571	1.85394e-91	1000	0.557	0.001	GCF_040807025.1	Struthio camelus	Aves	ITPR1	ITPR2	0	1	0
57	56	55	2659	47	0.538	5.75836e-89	1000	0.554	0.001	GCF_040954835.1	Lepisosteus oculatus	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.541	0.001	GCF_041296385.2	Aphelocoma coerulescens	Aves	ITPR1	ITPR2	0	1	0
59	55	52	2596	48	0.547	8.16585e-93	1000	0.539	0.001	GCF_041902795.1	Electrophorus electricus	Actinopteri	ITPR1	ITPR2	0	1	0
56	55	53	2623	48	0.533	1.29049e-93	1000	0.514	0.001	GCF_042242105.1	Pempheris klunzingeri	Actinopteri	ITPR1	ITPR2	0	1	0
57	54	52	2623	47	0.549	3.76822e-90	1000	0.557	0.001	GCF_043380555.1	Nothobranchius furzeri	Actinopteri	ITPR1	ITPR2	0	1	0
56	53	51	2623	45	0.517	2.99303e-86	1000	0.516	0.001	GCF_045865225.1	Trachurus japonicus	Actinopteri	ITPR1	ITPR2	0	1	0
57	55	53	2623	47	0.537	1.51393e-89	1000	0.503	0.001	GCF_046128005.1	Genypterus blacodes	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.597	0.001	GCF_047370975.1	Nipponia nippon	Aves	ITPR1	ITPR2	0	1	0
58	54	53	2665	46	0.52	9.73611e-88	1000	0.479	0.001	GCF_047496795.1	Chiloscyllium punctatum	Chondrichthyes	ITPR1	ITPR2	0	1	0
56	55	54	2665	48	0.547	9.95476e-92	1000	0.526	0.001	GCF_047496885.1	Scyliorhinus torazame	Chondrichthyes	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.577	0.001	GCF_047663525.1	Anas platyrhynchos	Aves	ITPR1	ITPR2	0	1	0
59	55	54	2663	46	0.547	1.04237e-86	1000	0.565	0.001	GCF_047716275.1	Strix uralensis	Aves	ITPR1	ITPR2	0	1	0
57	54	53	2661	49	0.545	6.25648e-96	1000	0.562	0.001	GCF_048418815.1	Hemitrygon akajei	Chondrichthyes	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.599	0.001	GCF_048593235.1	Sminthopsis crassicaudata	Mammalia	ITPR1	ITPR2	0	1	0
57	56	54	2659	48	0.548	4.13595e-92	1000	0.553	0.001	GCF_048594095.1	Paramormyrops kingsleyae	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.583	0.001	GCF_049350105.2	Macaca mulatta	Mammalia	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.555	0.001	GCF_050624435.1	Tenrec ecaudatus	Mammalia	ITPR1	ITPR2	0	1	0
59	56	53	2596	48	0.551	4.61457e-92	1000	0.572	0.001	GCF_052040795.1	Danio rerio	Actinopteri	ITPR1	ITPR2	0	1	0
56	56	55	2663	46	0.514	1.14611e-86	1000	0.518	0.001	GCF_052327205.1	Somniosus microcephalus	Chondrichthyes	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.575	0.001	GCF_054371585.1	Giraffa tippelskirchi	Mammalia	ITPR1	ITPR2	0	1	0
57	54	53	2623	47	0.522	1.17025e-90	1000	0.497	0.001	GCF_054491055.1	Hypomesus nipponensis	Actinopteri	ITPR1	ITPR2	0	1	0
58	53	51	2623	47	0.522	8.52506e-92	1000	0.525	0.001	GCF_056507025.1	Lutjanus erythropterus	Actinopteri	ITPR1	ITPR2	0	1	0
57	56	54	2623	46	0.542	5.87581e-86	1000	0.546	0.001	GCF_057381845.1	Rhamphochromis longiceps	Actinopteri	ITPR1	ITPR2	0	1	0
57	53	51	2623	46	0.502	2.79591e-89	1000	0.523	0.001	GCF_900324485.3	Mastacembelus armatus	Actinopteri	ITPR1	ITPR2	0	1	0
57	54	52	2623	46	0.523	2.62501e-88	1000	0.508	0.001	GCF_900634775.2	Gouania willdenowi	Actinopteri	ITPR1	ITPR2	0	1	0
56	56	55	2659	48	0.552	1.74043e-91	1000	0.539	0.001	GCF_900747795.2	Erpetoichthys calabaricus	Cladistia	ITPR1	ITPR2	0	1	0
56	52	50	2623	46	0.513	4.91701e-90	1000	0.512	0.001	GCF_900880675.2	Sparus aurata	Actinopteri	ITPR1	ITPR2	0	1	0
56	55	53	2623	47	0.533	1.5171e-90	1000	0.538	0.001	GCF_901000725.3	Takifugu rubripes	Actinopteri	ITPR1	ITPR2	0	1	0
58	56	55	2664	47	0.541	3.89524e-89	1000	0.521	0.001	GCF_901001135.2	Rhinatrema bivittatum	Amphibia	ITPR1	ITPR2	0	1	0
56	53	50	2623	46	0.502	4.0101e-90	1000	0.513	0.001	GCF_902148855.1	Sphaeramia orbicularis	Actinopteri	ITPR1	ITPR2	0	1	0
56	54	52	2623	47	0.53	3.80968e-91	1000	0.573	0.001	GCF_902150065.1	Myripristis murdjan	Actinopteri	ITPR1	ITPR2	0	1	0
57	54	52	2623	47	0.536	1.7303e-90	1000	0.529	0.001	GCF_902167405.1	Gadus morhua	Actinopteri	ITPR1	ITPR2	0	1	0
55	56	55	2625	47	0.531	4.05004e-89	1000	0.523	0.001	GCF_902362185.1	Chanos chanos	Actinopteri	ITPR1	ITPR2	0	1	0
57	54	53	2623	46	0.535	2.35281e-87	1000	0.577	0.001	GCF_902500255.1	Thalassophryne amazonica	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.548	0.001	GCF_907165065.1	Caprimulgus europaeus	Aves	ITPR1	ITPR2	0	1	0
57	52	50	2623	46	0.518	2.0991e-89	1000	0.505	0.001	GCF_933228915.1	Telmatherina bonti	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.564	0.001	GCF_947461875.1	Haliaeetus albicilla	Aves	ITPR1	ITPR2	0	1	0
59	55	52	2596	47	0.537	3.2323e-90	1000	0.485	0.001	GCF_949152265.1	Phoxinus phoxinus	Actinopteri	ITPR1	ITPR2	0	1	0
56	54	52	2623	47	0.53	3.80968e-91	1000	0.508	0.001	GCF_949606895.1	Notothenia rossii	Actinopteri	ITPR1	ITPR2	0	1	0
56	52	50	2623	45	0.513	6.46725e-87	1000	0.525	0.001	GCF_949987555.1	Borostomias antarcticus	Actinopteri	ITPR1	ITPR2	0	1	0
57	53	51	2623	47	0.532	2.93188e-91	1000	0.553	0.001	GCF_949987685.1	Ammodytes marinus	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.55316e-94	1000	0.548	0.001	GCF_951640355.1	Cnephaeus nilssonii	Mammalia	ITPR1	ITPR2	0	1	0
55	55	53	2623	43	0.478	2.72167e-80	1000	0.456	0.001	GCF_951799975.1	Gobius niger	Actinopteri	ITPR1	ITPR2	0	1	0
57	54	52	2623	48	0.522	1.55231e-94	1000	0.519	0.001	GCF_960531495.1	Zeus faber	Actinopteri	ITPR1	ITPR2	0	1	0
56	55	53	2623	48	0.536	2.84332e-93	1000	0.565	0.001	GCF_963457635.1	Microchirus variegatus	Actinopteri	ITPR1	ITPR2	0	1	0
56	56	55	2665	49	0.558	2.55371e-94	1000	0.562	0.001	GCF_963514005.1	Raja brachyura	Chondrichthyes	ITPR1	ITPR2	0	1	0
57	56	55	2661	47	0.524	2.13675e-89	1000	0.489	0.001	GCF_963514075.1	Conger conger	Actinopteri	ITPR1	ITPR2	0	1	0
57	53	51	2623	46	0.502	2.79591e-89	1000	0.533	0.001	GCF_963514085.1	Chelon labrosus	Actinopteri	ITPR1	ITPR2	0	1	0
58	55	53	2623	47	0.546	3.93513e-90	1000	0.547	0.001	GCF_963921795.1	Nannobrachium achirus	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.564	0.001	GCF_963921805.1	Phalacrocorax carbo	Aves	ITPR1	ITPR2	0	1	0
50	56	54	2623	38	0.464	1.04036e-67	1000	0.514	0.001	GCF_963971535.1	Notolepis coatsorum	Actinopteri	ITPR1	ITPR2	0	1	0
56	53	51	2623	47	0.52	1.4253e-92	1000	0.483	0.001	GCF_963989245.1	Nansenia antarctica	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	49	0.561	1.80095e-94	1000	0.582	0.001	GCF_964195595.1	Calonectris borealis	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2666	50	0.55	1.29999e-97	1000	0.575	0.001	GCF_964237555.1	Oryctolagus cuniculus	Mammalia	ITPR1	ITPR2	0	1	0
