cell	column	phase	n_loci_with	n_loci	prevalence
ITPR1	10296	0	1	188	0.0053
ITPR1	10316	1	1	188	0.0053
ITPR1	10317	0	1	188	0.0053
ITPR1	10318	0	2	188	0.0106
ITPR1	10318	1	1	188	0.0053
ITPR1	10320	0	1	188	0.0053
ITPR1	10320	1	14	188	0.0745
ITPR1	10321	1	6	188	0.0319
ITPR1	10322	1	121	188	0.6436
ITPR1	10322	2	2	188	0.0106
ITPR1	10357	1	3	188	0.016
ITPR1	10358	1	4	188	0.0213
ITPR1	10359	0	8	188	0.0426
ITPR1	10360	1	1	188	0.0053
ITPR1	10361	1	10	188	0.0532
ITPR1	10363	1	1	188	0.0053
ITPR1	10364	1	1	188	0.0053
ITPR1	10365	1	9	188	0.0479
ITPR1	10385	2	1	188	0.0053
ITPR1	10438	0	187	188	0.9947
ITPR1	10499	1	186	188	0.9894
ITPR1	10500	2	1	188	0.0053
ITPR1	10525	2	1	188	0.0053
ITPR1	10545	2	1	188	0.0053
ITPR1	10568	2	1	188	0.0053
ITPR1	10572	0	185	188	0.984
ITPR1	10740	0	186	188	0.9894
ITPR2	215	2	183	184	0.9946
ITPR2	283	1	184	184	1
ITPR2	463	0	183	184	0.9946
ITPR2	514	0	184	184	1
ITPR2	579	0	183	184	0.9946
ITPR2	610	0	1	184	0.0054
ITPR2	716	0	184	184	1
ITPR2	784	0	183	184	0.9946
ITPR2	784	1	1	184	0.0054
ITPR2	914	1	1	184	0.0054
ITPR2	917	0	183	184	0.9946
ITPR2	1049	0	178	184	0.9674
ITPR2	1060	1	1	184	0.0054
ITPR2	1062	2	1	184	0.0054
ITPR2	1071	0	1	184	0.0054
ITPR2	1087	0	4	184	0.0217
ITPR2	1088	0	162	184	0.8804
ITPR2	1091	0	1	184	0.0054
ITPR2	1129	0	1	184	0.0054
ITPR2	1275	2	184	184	1
ITPR2	1491	0	183	184	0.9946
ITPR2	1513	1	1	184	0.0054
ITPR2	1617	2	183	184	0.9946
ITPR2	1653	2	1	184	0.0054
ITPR2	1748	0	184	184	1
ITPR2	1895	0	180	184	0.9783
ITPR2	1932	1	1	184	0.0054
ITPR2	2039	1	1	184	0.0054
ITPR2	2138	2	183	184	0.9946
ITPR2	2308	2	182	184	0.9891
ITPR2	2309	2	1	184	0.0054
ITPR2	2855	2	183	184	0.9946
ITPR2	3615	2	183	184	0.9946
ITPR2	3860	0	1	184	0.0054
ITPR2	3864	0	183	184	0.9946
ITPR2	4042	1	1	184	0.0054
ITPR2	4043	1	12	184	0.0652
ITPR2	4044	1	169	184	0.9185
ITPR2	4044	2	1	184	0.0054
ITPR2	4244	2	1	184	0.0054
ITPR2	4386	0	183	184	0.9946
ITPR2	4457	1	1	184	0.0054
ITPR2	4484	1	1	184	0.0054
ITPR2	4533	1	2	184	0.0109
ITPR2	4534	1	153	184	0.8315
ITPR2	4535	1	1	184	0.0054
ITPR2	4537	1	22	184	0.1196
ITPR2	4549	1	1	184	0.0054
ITPR2	4600	2	1	184	0.0054
ITPR2	4604	1	1	184	0.0054
ITPR2	4604	2	158	184	0.8587
ITPR2	4626	1	1	184	0.0054
ITPR2	4656	2	1	184	0.0054
ITPR2	4753	2	1	184	0.0054
ITPR2	4812	0	183	184	0.9946
ITPR2	4899	2	1	184	0.0054
ITPR2	4900	0	120	184	0.6522
ITPR2	4901	0	58	184	0.3152
ITPR2	4902	1	4	184	0.0217
ITPR2	4983	2	1	184	0.0054
ITPR2	5016	0	183	184	0.9946
ITPR2	5281	0	183	184	0.9946
ITPR2	5394	0	183	184	0.9946
ITPR2	5602	0	183	184	0.9946
ITPR2	5871	0	1	184	0.0054
ITPR2	5872	0	1	184	0.0054
ITPR2	5879	0	1	184	0.0054
ITPR2	5880	1	2	184	0.0109
ITPR2	5882	0	2	184	0.0109
ITPR2	6017	2	1	184	0.0054
ITPR2	6035	0	152	184	0.8261
ITPR2	6059	1	1	184	0.0054
ITPR2	6105	0	183	184	0.9946
ITPR2	6303	0	183	184	0.9946
ITPR2	6553	1	183	184	0.9946
ITPR2	6686	0	1	184	0.0054
ITPR2	6778	0	182	184	0.9891
ITPR2	6778	1	1	184	0.0054
ITPR2	7283	2	182	184	0.9891
ITPR2	7293	1	1	184	0.0054
ITPR2	7635	1	1	184	0.0054
ITPR2	7716	0	180	184	0.9783
ITPR2	7806	1	1	184	0.0054
ITPR2	7846	1	1	184	0.0054
ITPR2	7847	1	1	184	0.0054
ITPR2	7852	1	3	184	0.0163
ITPR2	7853	1	1	184	0.0054
ITPR2	7856	1	1	184	0.0054
ITPR2	7865	1	1	184	0.0054
ITPR2	7866	1	114	184	0.6196
ITPR2	7867	1	4	184	0.0217
ITPR2	7867	2	3	184	0.0163
ITPR2	7870	2	1	184	0.0054
ITPR2	7885	0	1	184	0.0054
ITPR2	7886	0	3	184	0.0163
ITPR2	7886	1	48	184	0.2609
ITPR2	8020	0	183	184	0.9946
ITPR2	8025	2	1	184	0.0054
ITPR2	8149	1	1	184	0.0054
ITPR2	8150	1	171	184	0.9293
ITPR2	8151	0	1	184	0.0054
ITPR2	8151	1	10	184	0.0543
ITPR2	8167	2	1	184	0.0054
ITPR2	8466	0	182	184	0.9891
ITPR2	8483	2	1	184	0.0054
ITPR2	8599	0	183	184	0.9946
ITPR2	8710	0	183	184	0.9946
ITPR2	8714	2	1	184	0.0054
ITPR2	8803	0	183	184	0.9946
ITPR2	9042	0	183	184	0.9946
ITPR2	9167	1	1	184	0.0054
ITPR2	9198	0	182	184	0.9891
ITPR2	9293	0	1	184	0.0054
ITPR2	9303	1	182	184	0.9891
ITPR2	9747	1	179	184	0.9728
ITPR2	9890	0	183	184	0.9946
ITPR2	10144	1	1	184	0.0054
ITPR2	10149	0	1	184	0.0054
ITPR2	10173	0	182	184	0.9891
ITPR2	10228	0	4	184	0.0217
ITPR2	10238	1	3	184	0.0163
ITPR2	10240	0	2	184	0.0109
ITPR2	10240	1	1	184	0.0054
ITPR2	10240	2	1	184	0.0054
ITPR2	10241	1	3	184	0.0163
ITPR2	10241	2	1	184	0.0054
ITPR2	10242	1	17	184	0.0924
ITPR2	10242	2	2	184	0.0109
ITPR2	10243	0	1	184	0.0054
ITPR2	10243	1	1	184	0.0054
ITPR2	10243	2	1	184	0.0054
ITPR2	10244	2	1	184	0.0054
ITPR2	10245	1	2	184	0.0109
ITPR2	10245	2	1	184	0.0054
ITPR2	10246	1	1	184	0.0054
ITPR2	10255	1	64	184	0.3478
ITPR2	10255	2	2	184	0.0109
ITPR2	10271	1	30	184	0.163
ITPR2	10274	0	2	184	0.0109
ITPR2	10274	1	1	184	0.0054
ITPR2	10275	1	1	184	0.0054
ITPR2	10275	2	4	184	0.0217
ITPR2	10276	1	2	184	0.0109
ITPR2	10276	2	1	184	0.0054
ITPR2	10277	1	1	184	0.0054
ITPR2	10278	0	1	184	0.0054
ITPR2	10278	1	2	184	0.0109
ITPR2	10278	2	1	184	0.0054
ITPR2	10279	0	1	184	0.0054
ITPR2	10279	2	3	184	0.0163
ITPR2	10280	0	1	184	0.0054
ITPR2	10280	1	3	184	0.0163
ITPR2	10284	2	1	184	0.0054
ITPR2	10287	0	2	184	0.0109
ITPR2	10288	1	3	184	0.0163
ITPR2	10291	0	1	184	0.0054
ITPR2	10291	1	12	184	0.0652
ITPR2	10292	2	1	184	0.0054
ITPR2	10294	0	1	184	0.0054
ITPR2	10294	1	1	184	0.0054
ITPR2	10316	1	1	184	0.0054
ITPR2	10316	2	1	184	0.0054
ITPR2	10318	2	1	184	0.0054
ITPR2	10357	1	6	184	0.0326
ITPR2	10358	1	4	184	0.0217
ITPR2	10359	1	95	184	0.5163
ITPR2	10360	1	7	184	0.038
ITPR2	10362	1	1	184	0.0054
ITPR2	10363	1	1	184	0.0054
ITPR2	10366	1	1	184	0.0054
ITPR2	10438	0	183	184	0.9946
ITPR2	10499	1	183	184	0.9946
ITPR2	10543	2	1	184	0.0054
ITPR2	10572	0	183	184	0.9946
ITPR2	10740	0	183	184	0.9946
ITPR3	215	2	179	183	0.9781
ITPR3	216	2	1	183	0.0055
ITPR3	282	1	1	183	0.0055
ITPR3	283	1	181	183	0.9891
ITPR3	463	0	175	183	0.9563
ITPR3	514	0	183	183	1
ITPR3	568	2	1	183	0.0055
ITPR3	579	0	181	183	0.9891
ITPR3	605	1	1	183	0.0055
ITPR3	715	2	1	183	0.0055
ITPR3	716	0	181	183	0.9891
ITPR3	725	2	1	183	0.0055
ITPR3	784	0	182	183	0.9945
ITPR3	917	0	181	183	0.9891
ITPR3	1049	0	183	183	1
ITPR3	1071	0	4	183	0.0219
ITPR3	1087	0	9	183	0.0492
ITPR3	1088	0	68	183	0.3716
ITPR3	1089	1	1	183	0.0055
ITPR3	1129	0	87	183	0.4754
ITPR3	1130	0	5	183	0.0273
ITPR3	1131	0	7	183	0.0383
ITPR3	1131	2	1	183	0.0055
ITPR3	1133	0	1	183	0.0055
ITPR3	1275	2	181	183	0.9891
ITPR3	1276	0	1	183	0.0055
ITPR3	1295	0	1	183	0.0055
ITPR3	1491	0	182	183	0.9945
ITPR3	1513	1	1	183	0.0055
ITPR3	1617	2	181	183	0.9891
ITPR3	1645	0	1	183	0.0055
ITPR3	1748	0	181	183	0.9891
ITPR3	1758	0	1	183	0.0055
ITPR3	1795	0	1	183	0.0055
ITPR3	1895	0	181	183	0.9891
ITPR3	2138	1	1	183	0.0055
ITPR3	2138	2	180	183	0.9836
ITPR3	2308	2	182	183	0.9945
ITPR3	2602	0	47	183	0.2568
ITPR3	2855	2	181	183	0.9891
ITPR3	3507	1	1	183	0.0055
ITPR3	3615	2	182	183	0.9945
ITPR3	3864	0	181	183	0.9891
ITPR3	3915	2	1	183	0.0055
ITPR3	4044	1	163	183	0.8907
ITPR3	4170	0	1	183	0.0055
ITPR3	4386	0	181	183	0.9891
ITPR3	4386	1	1	183	0.0055
ITPR3	4437	2	1	183	0.0055
ITPR3	4534	1	96	183	0.5246
ITPR3	4535	1	73	183	0.3989
ITPR3	4546	2	2	183	0.0109
ITPR3	4547	2	6	183	0.0328
ITPR3	4549	1	2	183	0.0109
ITPR3	4549	2	2	183	0.0109
ITPR3	4604	2	168	183	0.918
ITPR3	4625	0	1	183	0.0055
ITPR3	4625	2	1	183	0.0055
ITPR3	4772	2	1	183	0.0055
ITPR3	4812	0	182	183	0.9945
ITPR3	4870	1	1	183	0.0055
ITPR3	4887	0	1	183	0.0055
ITPR3	4888	0	49	183	0.2678
ITPR3	4889	0	2	183	0.0109
ITPR3	4890	0	3	183	0.0164
ITPR3	4891	0	1	183	0.0055
ITPR3	4893	0	1	183	0.0055
ITPR3	4893	1	1	183	0.0055
ITPR3	4894	0	1	183	0.0055
ITPR3	4895	0	2	183	0.0109
ITPR3	4896	0	103	183	0.5628
ITPR3	4896	1	1	183	0.0055
ITPR3	4897	0	1	183	0.0055
ITPR3	4897	2	1	183	0.0055
ITPR3	4955	0	1	183	0.0055
ITPR3	5016	0	182	183	0.9945
ITPR3	5196	0	1	183	0.0055
ITPR3	5281	0	182	183	0.9945
ITPR3	5393	2	1	183	0.0055
ITPR3	5394	0	180	183	0.9836
ITPR3	5602	0	181	183	0.9891
ITPR3	5823	2	1	183	0.0055
ITPR3	5825	2	47	183	0.2568
ITPR3	5832	2	1	183	0.0055
ITPR3	6035	0	180	183	0.9836
ITPR3	6105	0	181	183	0.9891
ITPR3	6303	0	182	183	0.9945
ITPR3	6349	0	1	183	0.0055
ITPR3	6553	1	180	183	0.9836
ITPR3	6587	1	1	183	0.0055
ITPR3	6618	0	1	183	0.0055
ITPR3	6778	0	182	183	0.9945
ITPR3	7283	2	182	183	0.9945
ITPR3	7287	0	1	183	0.0055
ITPR3	7716	0	183	183	1
ITPR3	7838	1	1	183	0.0055
ITPR3	7839	1	2	183	0.0109
ITPR3	7840	1	70	183	0.3825
ITPR3	7885	1	10	183	0.0546
ITPR3	7886	1	94	183	0.5137
ITPR3	7887	1	1	183	0.0055
ITPR3	7888	0	1	183	0.0055
ITPR3	7890	0	1	183	0.0055
ITPR3	8020	0	183	183	1
ITPR3	8112	1	1	183	0.0055
ITPR3	8161	1	1	183	0.0055
ITPR3	8164	1	2	183	0.0109
ITPR3	8165	1	145	183	0.7923
ITPR3	8166	1	3	183	0.0164
ITPR3	8166	2	2	183	0.0109
ITPR3	8167	1	1	183	0.0055
ITPR3	8167	2	1	183	0.0055
ITPR3	8181	1	1	183	0.0055
ITPR3	8182	1	1	183	0.0055
ITPR3	8201	1	3	183	0.0164
ITPR3	8202	1	1	183	0.0055
ITPR3	8203	1	1	183	0.0055
ITPR3	8204	0	1	183	0.0055
ITPR3	8204	1	1	183	0.0055
ITPR3	8206	1	1	183	0.0055
ITPR3	8207	2	2	183	0.0109
ITPR3	8208	1	1	183	0.0055
ITPR3	8246	1	1	183	0.0055
ITPR3	8421	0	1	183	0.0055
ITPR3	8466	0	182	183	0.9945
ITPR3	8599	0	183	183	1
ITPR3	8710	0	183	183	1
ITPR3	8803	0	183	183	1
ITPR3	9042	0	182	183	0.9945
ITPR3	9144	0	182	183	0.9945
ITPR3	9151	0	1	183	0.0055
ITPR3	9198	0	173	183	0.9454
ITPR3	9303	1	181	183	0.9891
ITPR3	9729	1	28	183	0.153
ITPR3	9730	1	4	183	0.0219
ITPR3	9731	1	5	183	0.0273
ITPR3	9747	1	142	183	0.776
ITPR3	9755	0	2	183	0.0109
ITPR3	9755	1	1	183	0.0055
ITPR3	9890	0	182	183	0.9945
ITPR3	10159	2	1	183	0.0055
ITPR3	10173	0	182	183	0.9945
ITPR3	10241	1	1	183	0.0055
ITPR3	10242	1	4	183	0.0219
ITPR3	10244	1	2	183	0.0109
ITPR3	10246	1	89	183	0.4863
ITPR3	10255	1	9	183	0.0492
ITPR3	10271	1	44	183	0.2404
ITPR3	10273	1	5	183	0.0273
ITPR3	10274	1	3	183	0.0164
ITPR3	10274	2	1	183	0.0055
ITPR3	10275	0	1	183	0.0055
ITPR3	10276	1	1	183	0.0055
ITPR3	10277	1	2	183	0.0109
ITPR3	10278	1	2	183	0.0109
ITPR3	10279	1	1	183	0.0055
ITPR3	10280	1	1	183	0.0055
ITPR3	10285	2	1	183	0.0055
ITPR3	10287	2	1	183	0.0055
ITPR3	10295	1	2	183	0.0109
ITPR3	10296	2	1	183	0.0055
ITPR3	10315	2	1	183	0.0055
ITPR3	10317	1	1	183	0.0055
ITPR3	10317	2	1	183	0.0055
ITPR3	10319	0	1	183	0.0055
ITPR3	10320	1	1	183	0.0055
ITPR3	10359	1	2	183	0.0109
ITPR3	10360	1	103	183	0.5628
ITPR3	10361	1	17	183	0.0929
ITPR3	10361	2	1	183	0.0055
ITPR3	10362	0	1	183	0.0055
ITPR3	10362	1	45	183	0.2459
ITPR3	10363	1	4	183	0.0219
ITPR3	10364	1	2	183	0.0109
ITPR3	10438	0	182	183	0.9945
ITPR3	10439	1	1	183	0.0055
ITPR3	10499	1	182	183	0.9945
ITPR3	10572	0	182	183	0.9945
ITPR3	10740	0	182	183	0.9945
RYR	153	0	184	189	0.9735
RYR	272	0	189	189	1
RYR	484	0	62	189	0.328
RYR	485	0	1	189	0.0053
RYR	485	1	4	189	0.0212
RYR	491	0	64	189	0.3386
RYR	492	1	1	189	0.0053
RYR	495	1	1	189	0.0053
RYR	496	0	117	189	0.619
RYR	497	0	4	189	0.0212
RYR	497	1	14	189	0.0741
RYR	531	0	189	189	1
RYR	557	1	188	189	0.9947
RYR	640	0	189	189	1
RYR	768	0	1	189	0.0053
RYR	769	1	185	189	0.9788
RYR	845	2	1	189	0.0053
RYR	847	2	187	189	0.9894
RYR	1014	2	189	189	1
RYR	1230	0	2	189	0.0106
RYR	1247	0	187	189	0.9894
RYR	1491	0	189	189	1
RYR	1569	2	171	189	0.9048
RYR	1574	2	1	189	0.0053
RYR	1575	2	17	189	0.0899
RYR	1576	2	1	189	0.0053
RYR	1743	0	189	189	1
RYR	1875	0	1	189	0.0053
RYR	1875	1	188	189	0.9947
RYR	2023	1	189	189	1
RYR	2151	0	189	189	1
RYR	2318	2	189	189	1
RYR	2383	0	1	189	0.0053
RYR	2410	0	1	189	0.0053
RYR	2424	1	1	189	0.0053
RYR	2434	1	188	189	0.9947
RYR	2500	2	189	189	1
RYR	2574	0	189	189	1
RYR	2621	0	188	189	0.9947
RYR	2623	1	1	189	0.0053
RYR	2640	0	1	189	0.0053
RYR	2655	0	1	189	0.0053
RYR	2664	2	189	189	1
RYR	2692	2	189	189	1
RYR	2764	0	181	189	0.9577
RYR	2764	1	1	189	0.0053
RYR	2816	1	4	189	0.0212
RYR	2817	1	176	189	0.9312
RYR	2818	1	4	189	0.0212
RYR	2819	0	1	189	0.0053
RYR	2831	1	1	189	0.0053
RYR	2831	2	1	189	0.0053
RYR	2832	2	3	189	0.0159
RYR	2858	0	4	189	0.0212
RYR	2893	0	189	189	1
RYR	2953	1	189	189	1
RYR	3025	0	188	189	0.9947
RYR	3045	2	1	189	0.0053
RYR	3083	0	1	189	0.0053
RYR	3085	0	1	189	0.0053
RYR	3085	1	1	189	0.0053
RYR	3091	1	1	189	0.0053
RYR	3094	0	1	189	0.0053
RYR	3095	2	1	189	0.0053
RYR	3102	2	1	189	0.0053
RYR	3103	1	1	189	0.0053
RYR	3105	0	4	189	0.0212
RYR	3106	0	1	189	0.0053
RYR	3106	1	1	189	0.0053
RYR	3122	1	1	189	0.0053
RYR	3123	2	3	189	0.0159
RYR	3126	2	1	189	0.0053
RYR	3127	2	2	189	0.0106
RYR	3128	2	1	189	0.0053
RYR	3129	2	1	189	0.0053
RYR	3134	0	2	189	0.0106
RYR	3134	2	1	189	0.0053
RYR	3136	2	1	189	0.0053
RYR	3138	2	3	189	0.0159
RYR	3140	0	1	189	0.0053
RYR	3143	1	1	189	0.0053
RYR	3143	2	2	189	0.0106
RYR	3145	0	1	189	0.0053
RYR	3147	0	1	189	0.0053
RYR	3205	0	2	189	0.0106
RYR	3205	2	1	189	0.0053
RYR	3206	0	1	189	0.0053
RYR	3206	2	1	189	0.0053
RYR	3211	2	1	189	0.0053
RYR	3212	1	1	189	0.0053
RYR	3221	2	1	189	0.0053
RYR	3222	1	1	189	0.0053
RYR	3238	0	1	189	0.0053
RYR	3239	2	135	189	0.7143
RYR	3246	2	1	189	0.0053
RYR	3247	0	1	189	0.0053
RYR	3248	0	1	189	0.0053
RYR	3257	2	1	189	0.0053
RYR	3259	2	1	189	0.0053
RYR	3310	1	1	189	0.0053
RYR	3310	2	1	189	0.0053
RYR	3311	0	1	189	0.0053
RYR	3312	0	1	189	0.0053
RYR	3312	2	1	189	0.0053
RYR	3313	0	1	189	0.0053
RYR	3314	0	1	189	0.0053
RYR	3360	2	2	189	0.0106
RYR	3377	0	3	189	0.0159
RYR	3378	0	164	189	0.8677
RYR	3432	2	189	189	1
RYR	3502	0	189	189	1
RYR	3531	0	189	189	1
RYR	3608	0	4	189	0.0212
RYR	3746	2	189	189	1
RYR	3769	0	1	189	0.0053
RYR	3871	1	4	189	0.0212
RYR	3876	2	1	189	0.0053
RYR	3919	2	4	189	0.0212
RYR	3920	0	2	189	0.0106
RYR	4056	2	1	189	0.0053
RYR	4135	0	57	189	0.3016
RYR	4138	0	2	189	0.0106
RYR	4248	0	5	189	0.0265
RYR	4272	1	4	189	0.0212
RYR	4274	1	1	189	0.0053
RYR	4286	0	1	189	0.0053
RYR	4297	0	1	189	0.0053
RYR	4317	0	1	189	0.0053
RYR	4339	0	188	189	0.9947
RYR	4594	0	188	189	0.9947
RYR	4669	1	187	189	0.9894
RYR	4676	0	1	189	0.0053
RYR	4700	2	1	189	0.0053
RYR	4738	1	1	189	0.0053
RYR	4743	1	1	189	0.0053
RYR	4748	1	186	189	0.9841
RYR	4806	0	4	189	0.0212
RYR	4839	0	1	189	0.0053
RYR	5018	2	189	189	1
RYR	5287	0	173	189	0.9153
RYR	5288	0	15	189	0.0794
RYR	5417	1	184	189	0.9735
RYR	5418	1	1	189	0.0053
RYR	5421	2	1	189	0.0053
RYR	5422	2	2	189	0.0106
RYR	5505	0	184	189	0.9735
RYR	5506	1	5	189	0.0265
RYR	5581	1	186	189	0.9841
RYR	5693	2	2	189	0.0106
RYR	5698	2	1	189	0.0053
RYR	5700	2	15	189	0.0794
RYR	5701	2	35	189	0.1852
RYR	5702	2	127	189	0.672
RYR	5706	2	5	189	0.0265
RYR	5707	2	2	189	0.0106
RYR	5718	2	2	189	0.0106
RYR	5719	2	1	189	0.0053
RYR	5844	0	189	189	1
RYR	5977	1	189	189	1
RYR	6139	0	188	189	0.9947
RYR	6140	2	1	189	0.0053
RYR	6315	2	187	189	0.9894
RYR	6317	0	1	189	0.0053
RYR	6348	0	188	189	0.9947
RYR	6403	0	189	189	1
RYR	6459	2	189	189	1
RYR	6486	0	189	189	1
RYR	6516	0	188	189	0.9947
RYR	6589	0	3	189	0.0159
RYR	6592	0	160	189	0.8466
RYR	6593	0	4	189	0.0212
RYR	6593	2	1	189	0.0053
RYR	6594	0	1	189	0.0053
RYR	6595	0	1	189	0.0053
RYR	6596	0	1	189	0.0053
RYR	6602	0	12	189	0.0635
RYR	6603	1	2	189	0.0106
RYR	6604	2	1	189	0.0053
RYR	6605	0	1	189	0.0053
RYR	6648	0	188	189	0.9947
RYR	6698	1	187	189	0.9894
RYR	6744	2	188	189	0.9947
RYR	6783	2	1	189	0.0053
RYR	6790	1	1	189	0.0053
RYR	6791	1	181	189	0.9577
RYR	6792	2	1	189	0.0053
RYR	6793	1	1	189	0.0053
